date,buckshot_nswc_seal,dragomir_sabre,osiris_elite_crew,seal_team_6_soldier_nswc_seal,slingshot_phoenix,soldier_phoenix,lt._commander_ricksaw_nswc_seal,b_squadron_officer_sas,special_agent_ava_fbi,blackwolf_sabre,enforcer_phoenix,maximus_sabre,the_elite_mr._muhlik_elite_crew,3rd_commando_company_ksk,'two_times'_mccoy_usaf_tacp,rezan_the_ready_sabre,'the_doctor'_romanov_sabre,markus_delrow_fbi_hrt,operator_fbi_swat,prof._shahmat_elite_crew,getaway_sally_the_professionals,number_k_the_professionals,little_kev_the_professionals,safecracker_voltzmann_the_professionals,sergeant_bombson_swat,john_'van_healen'_kask_swat,'blueberries'_buckshot_nswc_seal,sir_bloody_loudmouth_darryl_the_professionals,dragomir_sabre_footsoldier,sir_bloody_miami_darryl_the_professionals,cmdr._mae_'dead_cold'_jamison_swat,sir_bloody_skullhead_darryl_the_professionals,chem-haz_specialist_swat,bio-haz_specialist_swat,street_soldier_phoenix,1st_lieutenant_farlow_swat,'two_times'_mccoy_tacp_cavalry,sir_bloody_darryl_royale_the_professionals,sir_bloody_silent_darryl_the_professionals,sous-lieutenant_medic_gendarmerie_nationale,trapper_aggressor_guerrilla_warfare,vypa_sista_of_the_revolution_guerrilla_warfare,officer_jacques_beltram_gendarmerie_nationale,'medium_rare'_crasswater_guerrilla_warfare,arno_the_overgrown_guerrilla_warfare,aspirant_gendarmerie_nationale,bloody_darryl_the_strapped_the_professionals,chef_d'escadron_rouchard_gendarmerie_nationale,chem-haz_capitaine_gendarmerie_nationale,cmdr._davida_'goggles'_fernandez_seal_frogman,cmdr._frank_'wet_sox'_baroud_seal_frogman,col._mangos_dabisi_guerrilla_warfare,crasswater_the_forgotten_guerrilla_warfare,d_squadron_officer_nzsas,elite_trapper_solman_guerrilla_warfare,trapper_guerrilla_warfare,lieutenant_'tree_hugger'_farlow_swat,lieutenant_rex_krikey_seal_frogman,primeiro_tenente_brazilian_1st_battalion,jungle_rebel_elite_crew
2020-01-17 00:00:00+00:00,1.255,1.144,0.712,2.725,0.892,0.48,5.294,0.847,12.617,4.419,0.511,1.18,5.245,3.687,2.293,3.597,8.711,0.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-18 00:00:00+00:00,1.244,1.14,0.682,2.617,0.878,0.476,5.266,0.863,12.698,4.389,0.509,1.182,5.241,3.632,2.253,3.643,8.769,0.547,1.197,1.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19 00:00:00+00:00,1.231,1.129,0.67,2.594,0.858,0.449,5.354,0.855,12.734,4.398,0.484,1.175,5.207,3.538,2.231,3.72,8.872,0.539,1.182,1.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20 00:00:00+00:00,1.219,1.12,0.632,2.582,0.844,0.455,5.311,0.851,12.596,4.342,0.486,1.164,5.201,3.514,2.248,3.704,8.882,0.527,1.186,1.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21 00:00:00+00:00,1.233,1.028,0.619,2.533,0.804,0.44,5.234,0.838,12.285,4.201,0.483,1.158,5.071,3.435,2.141,3.5,8.294,0.514,1.191,1.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22 00:00:00+00:00,1.161,0.993,0.6,2.44,0.774,0.4,5.138,0.798,12.016,3.815,0.451,1.067,5.095,3.319,1.964,3.369,7.945,0.508,1.119,1.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23 00:00:00+00:00,1.081,0.953,0.569,2.298,0.734,0.374,4.877,0.738,11.36,3.664,0.406,1.019,4.987,3.141,1.92,3.193,7.793,0.481,1.09,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24 00:00:00+00:00,1.012,0.875,0.525,2.181,0.655,0.348,4.858,0.691,11.207,3.619,0.369,0.977,4.992,3.013,1.922,3.117,7.51,0.439,1.017,1.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25 00:00:00+00:00,1.038,0.868,0.519,2.232,0.643,0.35,5.009,0.696,11.545,3.697,0.354,0.912,5.119,3.195,1.885,3.172,7.708,0.427,0.995,1.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26 00:00:00+00:00,1.05,0.902,0.519,2.219,0.649,0.354,5.1,0.705,11.965,3.834,0.353,0.949,5.183,3.328,1.931,3.347,7.847,0.433,0.994,1.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27 00:00:00+00:00,1.046,0.911,0.518,2.313,0.652,0.342,5.238,0.717,12.078,3.812,0.37,0.983,5.156,3.283,1.837,3.371,7.834,0.446,0.983,1.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 00:00:00+00:00,1.081,0.892,0.533,2.373,0.665,0.351,5.347,0.732,11.898,3.842,0.372,0.986,5.183,3.197,1.809,3.465,7.63,0.47,0.988,1.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29 00:00:00+00:00,1.103,0.943,0.547,2.306,0.712,0.357,5.21,0.764,11.834,3.524,0.379,0.98,5.02,3.251,1.818,3.374,7.646,0.499,1.032,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
