,date,price,volume
60,2021-02-01 01:00:00+00:00,0.859,392
61,2021-02-02 01:00:00+00:00,0.866,432
62,2021-02-03 01:00:00+00:00,0.824,610
63,2021-02-04 01:00:00+00:00,0.843,496
64,2021-02-05 01:00:00+00:00,0.837,472
65,2021-02-06 01:00:00+00:00,0.843,465
66,2021-02-07 01:00:00+00:00,0.828,441
67,2021-02-08 01:00:00+00:00,0.816,415
68,2021-02-09 01:00:00+00:00,0.829,400
69,2021-02-10 01:00:00+00:00,0.754,641
70,2021-02-11 01:00:00+00:00,0.752,539
71,2021-02-12 01:00:00+00:00,0.742,508
72,2021-02-13 01:00:00+00:00,0.752,524
73,2021-02-14 01:00:00+00:00,0.741,484
74,2021-02-15 01:00:00+00:00,0.763,444
75,2021-02-16 01:00:00+00:00,0.731,428
76,2021-02-17 01:00:00+00:00,0.746,639
77,2021-02-18 01:00:00+00:00,0.798,541
78,2021-02-19 01:00:00+00:00,0.821,478
79,2021-02-20 01:00:00+00:00,0.863,552
80,2021-02-21 01:00:00+00:00,0.914,430
81,2021-02-22 01:00:00+00:00,0.87,446
82,2021-02-23 01:00:00+00:00,0.886,468
83,2021-02-24 01:00:00+00:00,0.846,570
84,2021-02-25 01:00:00+00:00,0.85,478
85,2021-02-26 01:00:00+00:00,0.87,489
86,2021-02-27 01:00:00+00:00,0.87,551
87,2021-02-28 01:00:00+00:00,0.885,510
88,2021-03-01 01:00:00+00:00,0.876,446
89,2021-03-02 01:00:00+00:00,0.873,483
90,2021-03-03 01:00:00+00:00,0.873,541
91,2021-03-04 01:00:00+00:00,0.848,539
92,2021-03-05 01:00:00+00:00,0.905,588
93,2021-03-06 01:00:00+00:00,0.941,543
94,2021-03-07 01:00:00+00:00,0.972,508
95,2021-03-08 01:00:00+00:00,1.002,463
96,2021-03-09 01:00:00+00:00,0.985,460
97,2021-03-10 01:00:00+00:00,0.911,581
98,2021-03-11 01:00:00+00:00,0.913,488
99,2021-03-12 01:00:00+00:00,0.917,529
100,2021-03-13 01:00:00+00:00,0.959,562
101,2021-03-14 01:00:00+00:00,0.966,497
102,2021-03-15 01:00:00+00:00,0.961,451
103,2021-03-16 01:00:00+00:00,0.958,456
104,2021-03-17 01:00:00+00:00,0.877,778
105,2021-03-18 01:00:00+00:00,0.905,642
106,2021-03-19 01:00:00+00:00,0.895,723
107,2021-03-20 01:00:00+00:00,0.928,683
108,2021-03-21 01:00:00+00:00,0.939,655
109,2021-03-22 01:00:00+00:00,0.921,542
110,2021-03-23 01:00:00+00:00,0.944,517
111,2021-03-24 01:00:00+00:00,0.959,545
112,2021-03-25 01:00:00+00:00,0.974,463
113,2021-03-26 01:00:00+00:00,0.992,485
114,2021-03-27 01:00:00+00:00,0.984,433
115,2021-03-28 01:00:00+00:00,0.94,485
116,2021-03-29 01:00:00+00:00,0.942,394
117,2021-03-30 01:00:00+00:00,0.926,417
118,2021-03-31 01:00:00+00:00,0.941,440
119,2021-04-01 01:00:00+00:00,0.924,439
120,2021-04-02 01:00:00+00:00,0.934,448
121,2021-04-03 01:00:00+00:00,0.934,477
122,2021-04-04 01:00:00+00:00,0.947,463
123,2021-04-05 01:00:00+00:00,0.998,422
124,2021-04-06 01:00:00+00:00,1.004,392
125,2021-04-07 01:00:00+00:00,0.831,663
126,2021-04-08 01:00:00+00:00,0.752,647
127,2021-04-09 01:00:00+00:00,0.784,636
128,2021-04-10 01:00:00+00:00,0.787,594
129,2021-04-11 01:00:00+00:00,0.79,442
130,2021-04-12 01:00:00+00:00,0.808,378
131,2021-04-13 01:00:00+00:00,0.83,399
132,2021-04-14 01:00:00+00:00,0.883,118
133,2021-04-15 01:00:00+00:00,0.913,475
134,2021-04-16 01:00:00+00:00,0.938,384
135,2021-04-17 01:00:00+00:00,0.899,386
136,2021-04-18 01:00:00+00:00,0.916,374
137,2021-04-19 01:00:00+00:00,0.927,436
138,2021-04-20 01:00:00+00:00,0.905,338
139,2021-04-21 01:00:00+00:00,0.921,346
140,2021-04-22 01:00:00+00:00,0.936,269
141,2021-04-23 01:00:00+00:00,0.928,312
142,2021-04-24 01:00:00+00:00,0.934,331
143,2021-04-25 01:00:00+00:00,0.925,308
144,2021-04-26 01:00:00+00:00,0.919,297
145,2021-04-27 01:00:00+00:00,0.937,318
146,2021-04-28 01:00:00+00:00,0.994,355
147,2021-04-29 01:00:00+00:00,0.955,331
148,2021-04-30 01:00:00+00:00,0.968,366
149,2021-05-01 01:00:00+00:00,0.97,297
150,2021-05-02 01:00:00+00:00,0.975,326
151,2021-05-03 01:00:00+00:00,0.967,318
152,2021-05-04 01:00:00+00:00,0.965,460
153,2021-05-05 01:00:00+00:00,1.024,421
154,2021-05-06 01:00:00+00:00,1.056,357
155,2021-05-07 01:00:00+00:00,1.114,386
156,2021-05-08 01:00:00+00:00,1.125,298
157,2021-05-09 01:00:00+00:00,1.131,312
158,2021-05-10 01:00:00+00:00,1.139,284
159,2021-05-11 01:00:00+00:00,1.147,316
160,2021-05-12 01:00:00+00:00,1.172,298
161,2021-05-13 01:00:00+00:00,1.138,281
162,2021-05-14 01:00:00+00:00,1.169,262
163,2021-05-15 01:00:00+00:00,1.201,276
164,2021-05-16 01:00:00+00:00,1.17,281
165,2021-05-17 01:00:00+00:00,1.199,257
166,2021-05-18 01:00:00+00:00,1.22,278
167,2021-05-19 01:00:00+00:00,1.218,220
168,2021-05-20 01:00:00+00:00,1.224,298
169,2021-05-21 01:00:00+00:00,1.232,293
170,2021-05-22 01:00:00+00:00,1.265,315
171,2021-05-23 01:00:00+00:00,1.283,261
172,2021-05-24 01:00:00+00:00,1.269,275
173,2021-05-25 01:00:00+00:00,1.276,235
174,2021-05-26 01:00:00+00:00,1.288,252
175,2021-05-27 01:00:00+00:00,1.298,235
