,date,price,volume
60,2021-11-21 01:00:00+00:00,5.357,175
61,2021-11-22 01:00:00+00:00,5.262,159
62,2021-11-23 01:00:00+00:00,5.153,147
63,2021-11-24 01:00:00+00:00,4.75,206
64,2021-11-25 01:00:00+00:00,4.416,220
65,2021-11-26 01:00:00+00:00,4.267,200
66,2021-11-27 01:00:00+00:00,4.226,191
67,2021-11-28 01:00:00+00:00,4.118,211
68,2021-11-29 01:00:00+00:00,4.24,198
69,2021-11-30 01:00:00+00:00,4.352,222
70,2021-12-01 01:00:00+00:00,4.275,253
71,2021-12-02 01:00:00+00:00,4.506,187
72,2021-12-03 01:00:00+00:00,4.778,185
73,2021-12-04 01:00:00+00:00,4.952,219
74,2021-12-05 01:00:00+00:00,5.102,231
75,2021-12-06 01:00:00+00:00,5.172,133
76,2021-12-07 01:00:00+00:00,5.251,169
77,2021-12-08 01:00:00+00:00,5.107,218
78,2021-12-09 01:00:00+00:00,4.936,205
79,2021-12-10 01:00:00+00:00,4.917,205
80,2021-12-11 01:00:00+00:00,4.963,229
81,2021-12-12 01:00:00+00:00,4.953,188
82,2021-12-13 01:00:00+00:00,4.863,169
83,2021-12-14 01:00:00+00:00,4.923,140
84,2021-12-15 01:00:00+00:00,4.773,213
85,2021-12-16 01:00:00+00:00,4.601,188
86,2021-12-17 01:00:00+00:00,4.573,173
87,2021-12-18 01:00:00+00:00,4.427,314
88,2021-12-19 01:00:00+00:00,4.468,224
89,2021-12-20 01:00:00+00:00,4.481,179
90,2021-12-21 01:00:00+00:00,4.384,155
91,2021-12-22 01:00:00+00:00,4.355,195
92,2021-12-23 01:00:00+00:00,4.192,240
93,2021-12-24 01:00:00+00:00,4.131,217
94,2021-12-25 01:00:00+00:00,4.342,232
95,2021-12-26 01:00:00+00:00,4.323,222
96,2021-12-27 01:00:00+00:00,4.231,203
97,2021-12-28 01:00:00+00:00,4.18,219
98,2021-12-29 01:00:00+00:00,4.146,275
99,2021-12-30 01:00:00+00:00,4.281,244
100,2021-12-31 01:00:00+00:00,4.45,195
101,2022-01-01 01:00:00+00:00,4.453,210
102,2022-01-02 01:00:00+00:00,4.528,233
103,2022-01-03 01:00:00+00:00,4.517,238
104,2022-01-04 01:00:00+00:00,4.467,245
105,2022-01-05 01:00:00+00:00,4.393,444
106,2022-01-06 01:00:00+00:00,4.607,409
107,2022-01-07 01:00:00+00:00,4.588,291
108,2022-01-08 01:00:00+00:00,4.678,279
109,2022-01-09 01:00:00+00:00,4.686,277
110,2022-01-10 01:00:00+00:00,4.495,216
111,2022-01-11 01:00:00+00:00,4.425,210
112,2022-01-12 01:00:00+00:00,4.405,228
113,2022-01-13 01:00:00+00:00,4.426,190
114,2022-01-14 01:00:00+00:00,4.363,205
115,2022-01-15 01:00:00+00:00,4.335,193
116,2022-01-16 01:00:00+00:00,4.294,196
117,2022-01-17 01:00:00+00:00,4.225,171
118,2022-01-18 01:00:00+00:00,4.117,173
119,2022-01-19 01:00:00+00:00,4.091,204
120,2022-01-20 01:00:00+00:00,4.083,175
121,2022-01-21 01:00:00+00:00,4.253,230
122,2022-01-22 01:00:00+00:00,4.143,210
123,2022-01-23 01:00:00+00:00,4.149,202
124,2022-01-24 01:00:00+00:00,4.143,160
125,2022-01-25 01:00:00+00:00,3.911,171
126,2022-01-26 01:00:00+00:00,3.852,199
127,2022-01-27 01:00:00+00:00,3.969,188
128,2022-01-28 01:00:00+00:00,3.834,216
129,2022-01-29 01:00:00+00:00,3.884,216
130,2022-01-30 01:00:00+00:00,3.867,223
131,2022-01-31 01:00:00+00:00,3.827,188
132,2022-02-01 01:00:00+00:00,3.867,254
133,2022-02-02 01:00:00+00:00,3.913,202
134,2022-02-03 01:00:00+00:00,3.945,190
135,2022-02-04 01:00:00+00:00,4.031,180
136,2022-02-05 01:00:00+00:00,4.131,216
137,2022-02-06 01:00:00+00:00,4.128,149
138,2022-02-07 01:00:00+00:00,4.072,141
139,2022-02-08 01:00:00+00:00,4.073,149
140,2022-02-09 01:00:00+00:00,4.028,148
141,2022-02-10 01:00:00+00:00,4.072,175
142,2022-02-11 01:00:00+00:00,4.17,152
143,2022-02-12 01:00:00+00:00,4.219,139
144,2022-02-13 01:00:00+00:00,4.237,141
145,2022-02-14 01:00:00+00:00,4.288,123
146,2022-02-15 01:00:00+00:00,4.227,145
147,2022-02-16 01:00:00+00:00,4.364,152
148,2022-02-17 01:00:00+00:00,4.426,141
149,2022-02-18 01:00:00+00:00,4.484,135
150,2022-02-19 01:00:00+00:00,4.411,148
151,2022-02-20 01:00:00+00:00,4.417,165
152,2022-02-21 01:00:00+00:00,4.407,112
153,2022-02-22 01:00:00+00:00,4.419,130
154,2022-02-23 01:00:00+00:00,4.373,118
155,2022-02-24 01:00:00+00:00,4.306,89
156,2022-02-25 01:00:00+00:00,4.215,114
157,2022-02-26 01:00:00+00:00,4.284,112
158,2022-02-27 01:00:00+00:00,4.263,117
159,2022-02-28 01:00:00+00:00,4.335,134
160,2022-03-01 01:00:00+00:00,4.435,112
161,2022-03-02 01:00:00+00:00,4.257,98
162,2022-03-03 01:00:00+00:00,4.42,117
163,2022-03-04 01:00:00+00:00,4.434,118
164,2022-03-05 01:00:00+00:00,4.398,121
165,2022-03-06 01:00:00+00:00,4.527,137
166,2022-03-07 01:00:00+00:00,4.503,123
167,2022-03-08 01:00:00+00:00,4.397,143
168,2022-03-09 01:00:00+00:00,4.317,91
169,2022-03-10 01:00:00+00:00,4.245,94
170,2022-03-11 01:00:00+00:00,4.495,80
171,2022-03-12 01:00:00+00:00,4.482,119
172,2022-03-13 01:00:00+00:00,4.517,118
173,2022-03-14 01:00:00+00:00,4.48,99
174,2022-03-15 01:00:00+00:00,4.483,106
175,2022-03-16 01:00:00+00:00,4.467,105
176,2022-03-17 01:00:00+00:00,4.554,91
177,2022-03-18 01:00:00+00:00,4.463,105
178,2022-03-19 01:00:00+00:00,4.521,82
179,2022-03-20 01:00:00+00:00,4.52,119
180,2022-03-21 01:00:00+00:00,4.574,89
181,2022-03-22 01:00:00+00:00,4.69,85
182,2022-03-23 01:00:00+00:00,4.652,92
183,2022-03-24 01:00:00+00:00,4.708,106
184,2022-03-25 01:00:00+00:00,4.785,99
185,2022-03-26 01:00:00+00:00,4.859,94
186,2022-03-27 01:00:00+00:00,4.854,101
187,2022-03-28 01:00:00+00:00,4.799,63
188,2022-03-29 01:00:00+00:00,4.722,85
189,2022-03-30 01:00:00+00:00,4.959,71
190,2022-03-31 01:00:00+00:00,5.064,81
191,2022-04-01 01:00:00+00:00,4.926,89
192,2022-04-02 01:00:00+00:00,4.966,84
193,2022-04-03 01:00:00+00:00,5.092,85
194,2022-04-04 01:00:00+00:00,5.019,97
195,2022-04-05 01:00:00+00:00,5.158,72
196,2022-04-06 01:00:00+00:00,5.239,79
197,2022-04-07 01:00:00+00:00,5.193,61
198,2022-04-08 01:00:00+00:00,5.293,90
199,2022-04-09 01:00:00+00:00,5.292,97
200,2022-04-10 01:00:00+00:00,5.399,98
201,2022-04-11 01:00:00+00:00,5.389,66
