,date,price,volume
60,2020-01-17 01:00:00+00:00,8.711,461
61,2020-01-18 01:00:00+00:00,8.769,428
62,2020-01-19 01:00:00+00:00,8.872,408
63,2020-01-20 01:00:00+00:00,8.882,353
64,2020-01-21 01:00:00+00:00,8.294,433
65,2020-01-22 01:00:00+00:00,7.945,504
66,2020-01-23 01:00:00+00:00,7.793,521
67,2020-01-24 01:00:00+00:00,7.51,568
68,2020-01-25 01:00:00+00:00,7.708,547
69,2020-01-26 01:00:00+00:00,7.847,502
70,2020-01-27 01:00:00+00:00,7.834,437
71,2020-01-28 01:00:00+00:00,7.63,435
72,2020-01-29 01:00:00+00:00,7.646,546
73,2020-01-30 01:00:00+00:00,7.62,477
74,2020-01-31 01:00:00+00:00,7.9,538
75,2020-02-01 01:00:00+00:00,7.916,631
76,2020-02-02 01:00:00+00:00,7.742,519
77,2020-02-03 01:00:00+00:00,7.337,445
78,2020-02-04 01:00:00+00:00,7.39,568
79,2020-02-05 01:00:00+00:00,7.428,745
80,2020-02-06 01:00:00+00:00,7.306,605
81,2020-02-07 01:00:00+00:00,6.75,738
82,2020-02-08 01:00:00+00:00,6.722,865
83,2020-02-09 01:00:00+00:00,6.63,749
84,2020-02-10 01:00:00+00:00,6.288,649
85,2020-02-11 01:00:00+00:00,6.21,658
86,2020-02-12 01:00:00+00:00,5.884,840
87,2020-02-13 01:00:00+00:00,5.786,701
88,2020-02-14 01:00:00+00:00,5.96,698
89,2020-02-15 01:00:00+00:00,5.678,790
90,2020-02-16 01:00:00+00:00,5.63,735
91,2020-02-17 01:00:00+00:00,5.393,638
92,2020-02-18 01:00:00+00:00,5.304,705
93,2020-02-19 01:00:00+00:00,4.956,1268
94,2020-02-20 01:00:00+00:00,4.971,815
95,2020-02-21 01:00:00+00:00,5.064,799
96,2020-02-22 01:00:00+00:00,5.279,809
97,2020-02-23 01:00:00+00:00,5.433,816
98,2020-02-24 01:00:00+00:00,5.318,756
99,2020-02-25 01:00:00+00:00,6.921,1849
100,2020-02-26 01:00:00+00:00,5.735,1538
101,2020-02-27 01:00:00+00:00,5.913,1279
102,2020-02-28 01:00:00+00:00,6.035,1442
103,2020-02-29 01:00:00+00:00,6.184,1381
104,2020-03-01 01:00:00+00:00,6.144,1278
105,2020-03-02 01:00:00+00:00,5.681,1114
106,2020-03-03 01:00:00+00:00,5.653,1818
107,2020-03-04 01:00:00+00:00,4.625,11689
108,2020-03-05 01:00:00+00:00,4.865,5290
109,2020-03-06 01:00:00+00:00,4.885,4091
110,2020-03-07 01:00:00+00:00,4.796,3816
111,2020-03-08 01:00:00+00:00,4.762,3265
112,2020-03-09 01:00:00+00:00,4.841,2611
113,2020-03-10 01:00:00+00:00,4.936,2278
114,2020-03-11 01:00:00+00:00,5.052,2205
115,2020-03-12 01:00:00+00:00,4.822,2316
116,2020-03-13 01:00:00+00:00,4.565,2298
117,2020-03-14 01:00:00+00:00,4.413,2456
118,2020-03-15 01:00:00+00:00,4.162,2346
119,2020-03-16 01:00:00+00:00,3.931,2324
120,2020-03-17 01:00:00+00:00,3.79,2018
121,2020-03-18 01:00:00+00:00,3.756,2013
122,2020-03-19 01:00:00+00:00,3.971,1960
123,2020-03-20 01:00:00+00:00,4.001,1927
124,2020-03-21 01:00:00+00:00,4.05,1691
125,2020-03-22 01:00:00+00:00,4.064,2249
126,2020-03-23 01:00:00+00:00,3.98,1786
127,2020-03-24 01:00:00+00:00,3.957,1689
128,2020-03-25 01:00:00+00:00,4.088,1940
129,2020-03-26 01:00:00+00:00,3.955,1961
130,2020-03-27 01:00:00+00:00,4.018,1882
131,2020-03-28 01:00:00+00:00,4.098,1759
132,2020-03-29 01:00:00+00:00,4.84,2138
133,2020-03-30 01:00:00+00:00,5.534,4525
134,2020-03-31 01:00:00+00:00,5.125,5245
135,2020-04-01 01:00:00+00:00,5.711,4631
136,2020-04-02 01:00:00+00:00,5.046,2372
137,2020-04-03 01:00:00+00:00,4.617,2043
138,2020-04-04 01:00:00+00:00,4.574,1735
139,2020-04-05 01:00:00+00:00,4.473,1528
140,2020-04-06 01:00:00+00:00,4.381,1494
141,2020-04-07 01:00:00+00:00,4.201,1536
142,2020-04-08 01:00:00+00:00,4.273,1540
143,2020-04-09 01:00:00+00:00,4.214,1370
144,2020-04-10 01:00:00+00:00,4.088,1497
145,2020-04-11 01:00:00+00:00,3.996,1685
146,2020-04-12 01:00:00+00:00,4.177,1309
147,2020-04-13 01:00:00+00:00,4.079,1282
148,2020-04-14 01:00:00+00:00,4.185,1289
149,2020-04-15 01:00:00+00:00,4.283,1271
150,2020-04-16 01:00:00+00:00,4.257,1191
151,2020-04-17 01:00:00+00:00,4.113,1222
152,2020-04-18 01:00:00+00:00,4.068,1297
153,2020-04-19 01:00:00+00:00,4.129,1135
154,2020-04-20 01:00:00+00:00,4.101,1044
155,2020-04-21 01:00:00+00:00,4.018,1122
156,2020-04-22 01:00:00+00:00,3.895,1069
157,2020-04-23 01:00:00+00:00,3.783,1106
158,2020-04-24 01:00:00+00:00,3.743,1173
159,2020-04-25 01:00:00+00:00,3.884,1043
160,2020-04-26 01:00:00+00:00,3.756,1012
161,2020-04-27 01:00:00+00:00,3.714,1065
162,2020-04-28 01:00:00+00:00,3.63,1019
163,2020-04-29 01:00:00+00:00,3.63,1066
164,2020-04-30 01:00:00+00:00,3.623,1119
165,2020-05-01 01:00:00+00:00,3.673,1180
166,2020-05-02 01:00:00+00:00,3.786,1004
167,2020-05-03 01:00:00+00:00,3.784,988
168,2020-05-04 01:00:00+00:00,3.832,993
169,2020-05-05 01:00:00+00:00,3.884,931
170,2020-05-06 01:00:00+00:00,3.925,1017
171,2020-05-07 01:00:00+00:00,3.99,922
172,2020-05-08 01:00:00+00:00,4.019,864
173,2020-05-09 01:00:00+00:00,4.009,889
174,2020-05-10 01:00:00+00:00,3.963,799
175,2020-05-11 01:00:00+00:00,3.972,858
176,2020-05-12 01:00:00+00:00,3.977,836
177,2020-05-13 01:00:00+00:00,3.987,908
178,2020-05-14 01:00:00+00:00,3.995,802
179,2020-05-15 01:00:00+00:00,4.009,916
180,2020-05-16 01:00:00+00:00,4.029,855
181,2020-05-17 01:00:00+00:00,4.076,756
182,2020-05-18 01:00:00+00:00,4.042,772
183,2020-05-19 01:00:00+00:00,3.961,741
184,2020-05-20 01:00:00+00:00,3.97,768
185,2020-05-21 01:00:00+00:00,3.998,773
186,2020-05-22 01:00:00+00:00,4.005,798
187,2020-05-23 01:00:00+00:00,4.002,784
188,2020-05-24 01:00:00+00:00,4.004,794
189,2020-05-25 01:00:00+00:00,3.857,895
190,2020-05-26 01:00:00+00:00,3.617,996
191,2020-05-27 01:00:00+00:00,3.873,737
192,2020-05-28 01:00:00+00:00,3.912,737
193,2020-05-29 01:00:00+00:00,3.91,752
194,2020-05-30 01:00:00+00:00,3.961,719
195,2020-05-31 01:00:00+00:00,3.902,731
196,2020-06-01 01:00:00+00:00,3.914,780
197,2020-06-02 01:00:00+00:00,3.935,666
198,2020-06-03 01:00:00+00:00,3.963,728
199,2020-06-04 01:00:00+00:00,3.918,666
200,2020-06-05 01:00:00+00:00,3.899,737
201,2020-06-06 01:00:00+00:00,3.944,742
202,2020-06-07 01:00:00+00:00,3.895,718
203,2020-06-08 01:00:00+00:00,3.894,695
204,2020-06-09 01:00:00+00:00,3.818,798
205,2020-06-10 01:00:00+00:00,3.833,740
206,2020-06-11 01:00:00+00:00,3.934,662
207,2020-06-12 01:00:00+00:00,3.896,680
208,2020-06-13 01:00:00+00:00,3.88,675
209,2020-06-14 01:00:00+00:00,3.825,668
210,2020-06-15 01:00:00+00:00,3.745,768
211,2020-06-16 01:00:00+00:00,3.801,660
212,2020-06-17 01:00:00+00:00,3.72,706
213,2020-06-18 01:00:00+00:00,3.708,681
214,2020-06-19 01:00:00+00:00,3.68,755
215,2020-06-20 01:00:00+00:00,3.724,686
216,2020-06-21 01:00:00+00:00,3.676,688
217,2020-06-22 01:00:00+00:00,3.652,707
218,2020-06-23 01:00:00+00:00,3.648,768
219,2020-06-24 01:00:00+00:00,3.633,758
220,2020-06-25 01:00:00+00:00,3.463,1074
221,2020-06-26 01:00:00+00:00,3.386,1150
222,2020-06-27 01:00:00+00:00,3.441,870
223,2020-06-28 01:00:00+00:00,3.47,815
224,2020-06-29 01:00:00+00:00,3.354,1014
225,2020-06-30 01:00:00+00:00,3.392,748
226,2020-07-01 01:00:00+00:00,3.459,724
227,2020-07-02 01:00:00+00:00,3.53,740
228,2020-07-03 01:00:00+00:00,3.504,792
229,2020-07-04 01:00:00+00:00,3.465,860
230,2020-07-05 01:00:00+00:00,3.613,746
231,2020-07-06 01:00:00+00:00,3.563,706
232,2020-07-07 01:00:00+00:00,3.587,707
233,2020-07-08 01:00:00+00:00,3.541,733
234,2020-07-09 01:00:00+00:00,3.649,732
235,2020-07-10 01:00:00+00:00,3.807,611
236,2020-07-11 01:00:00+00:00,3.868,556
237,2020-07-12 01:00:00+00:00,3.943,658
238,2020-07-13 01:00:00+00:00,3.95,582
239,2020-07-14 01:00:00+00:00,3.964,612
240,2020-07-15 01:00:00+00:00,4.065,518
241,2020-07-16 01:00:00+00:00,3.951,598
242,2020-07-17 01:00:00+00:00,4.105,545
243,2020-07-18 01:00:00+00:00,4.156,540
244,2020-07-19 01:00:00+00:00,4.149,619
245,2020-07-20 01:00:00+00:00,4.235,734
246,2020-07-21 01:00:00+00:00,4.34,678
247,2020-07-22 01:00:00+00:00,4.685,887
248,2020-07-23 01:00:00+00:00,5.037,684
249,2020-07-24 01:00:00+00:00,5.027,697
250,2020-07-25 01:00:00+00:00,4.867,496
251,2020-07-26 01:00:00+00:00,4.728,522
252,2020-07-27 01:00:00+00:00,4.559,715
253,2020-07-28 01:00:00+00:00,4.598,655
254,2020-07-29 01:00:00+00:00,4.603,509
255,2020-07-30 01:00:00+00:00,4.647,532
256,2020-07-31 01:00:00+00:00,4.647,501
257,2020-08-01 01:00:00+00:00,4.718,464
258,2020-08-02 01:00:00+00:00,4.692,472
259,2020-08-03 01:00:00+00:00,4.734,493
260,2020-08-04 01:00:00+00:00,4.738,491
261,2020-08-05 01:00:00+00:00,4.737,485
262,2020-08-06 01:00:00+00:00,4.788,520
263,2020-08-07 01:00:00+00:00,4.845,688
264,2020-08-08 01:00:00+00:00,4.892,550
265,2020-08-09 01:00:00+00:00,4.846,564
266,2020-08-10 01:00:00+00:00,4.723,565
267,2020-08-11 01:00:00+00:00,4.806,563
268,2020-08-12 01:00:00+00:00,4.557,544
269,2020-08-13 01:00:00+00:00,4.606,545
270,2020-08-14 01:00:00+00:00,4.573,588
271,2020-08-15 01:00:00+00:00,4.598,549
272,2020-08-16 01:00:00+00:00,4.569,546
273,2020-08-17 01:00:00+00:00,4.562,501
274,2020-08-18 01:00:00+00:00,4.551,513
275,2020-08-19 01:00:00+00:00,4.488,529
276,2020-08-20 01:00:00+00:00,4.418,515
277,2020-08-21 01:00:00+00:00,4.336,536
278,2020-08-22 01:00:00+00:00,4.369,539
279,2020-08-23 01:00:00+00:00,4.271,529
280,2020-08-24 01:00:00+00:00,4.277,516
281,2020-08-25 01:00:00+00:00,4.272,526
282,2020-08-26 01:00:00+00:00,4.266,541
283,2020-08-27 01:00:00+00:00,4.262,560
284,2020-08-28 01:00:00+00:00,4.288,518
285,2020-08-29 01:00:00+00:00,4.344,556
286,2020-08-30 01:00:00+00:00,4.368,586
287,2020-08-31 01:00:00+00:00,4.348,471
288,2020-09-01 01:00:00+00:00,4.404,428
289,2020-09-02 01:00:00+00:00,4.462,445
290,2020-09-03 01:00:00+00:00,4.481,422
291,2020-09-04 01:00:00+00:00,4.493,447
292,2020-09-05 01:00:00+00:00,4.408,470
293,2020-09-06 01:00:00+00:00,4.413,471
294,2020-09-07 01:00:00+00:00,4.408,493
295,2020-09-08 01:00:00+00:00,4.403,454
296,2020-09-09 01:00:00+00:00,4.379,461
297,2020-09-10 01:00:00+00:00,4.408,481
298,2020-09-11 01:00:00+00:00,4.451,498
299,2020-09-12 01:00:00+00:00,4.44,520
300,2020-09-13 01:00:00+00:00,4.444,509
301,2020-09-14 01:00:00+00:00,4.475,537
302,2020-09-15 01:00:00+00:00,4.472,476
303,2020-09-16 01:00:00+00:00,4.494,515
304,2020-09-17 01:00:00+00:00,4.488,472
305,2020-09-18 01:00:00+00:00,4.519,498
306,2020-09-19 01:00:00+00:00,4.506,525
307,2020-09-20 01:00:00+00:00,4.511,508
308,2020-09-21 01:00:00+00:00,4.48,442
309,2020-09-22 01:00:00+00:00,4.548,421
310,2020-09-23 01:00:00+00:00,4.487,436
311,2020-09-24 01:00:00+00:00,4.536,670
312,2020-09-25 01:00:00+00:00,4.607,466
313,2020-09-26 01:00:00+00:00,4.526,501
314,2020-09-27 01:00:00+00:00,4.409,489
315,2020-09-28 01:00:00+00:00,4.427,457
316,2020-09-29 01:00:00+00:00,4.485,416
317,2020-09-30 01:00:00+00:00,4.465,440
318,2020-10-01 01:00:00+00:00,4.484,436
319,2020-10-02 01:00:00+00:00,4.553,491
320,2020-10-03 01:00:00+00:00,4.509,456
321,2020-10-04 01:00:00+00:00,4.509,484
322,2020-10-05 01:00:00+00:00,4.468,446
323,2020-10-06 01:00:00+00:00,4.424,447
324,2020-10-07 01:00:00+00:00,4.512,416
325,2020-10-08 01:00:00+00:00,4.492,378
326,2020-10-09 01:00:00+00:00,4.511,467
327,2020-10-10 01:00:00+00:00,4.567,485
328,2020-10-11 01:00:00+00:00,4.688,501
329,2020-10-12 01:00:00+00:00,4.767,393
330,2020-10-13 01:00:00+00:00,4.822,409
331,2020-10-14 01:00:00+00:00,4.863,403
332,2020-10-15 01:00:00+00:00,4.76,419
333,2020-10-16 01:00:00+00:00,4.873,438
334,2020-10-17 01:00:00+00:00,4.847,444
335,2020-10-18 01:00:00+00:00,4.962,420
336,2020-10-19 01:00:00+00:00,5.036,394
337,2020-10-20 01:00:00+00:00,4.847,354
338,2020-10-21 01:00:00+00:00,4.92,349
339,2020-10-22 01:00:00+00:00,4.902,350
340,2020-10-23 01:00:00+00:00,4.923,382
341,2020-10-24 01:00:00+00:00,4.829,428
342,2020-10-25 01:00:00+00:00,4.928,377
343,2020-10-26 01:00:00+00:00,4.897,350
344,2020-10-27 01:00:00+00:00,4.867,360
345,2020-10-28 01:00:00+00:00,4.799,342
346,2020-10-29 01:00:00+00:00,4.717,408
347,2020-10-30 01:00:00+00:00,4.61,466
348,2020-10-31 01:00:00+00:00,4.627,468
349,2020-11-01 01:00:00+00:00,4.625,477
350,2020-11-02 01:00:00+00:00,4.611,343
351,2020-11-03 01:00:00+00:00,4.706,384
352,2020-11-04 01:00:00+00:00,4.684,413
353,2020-11-05 01:00:00+00:00,4.773,380
354,2020-11-06 01:00:00+00:00,4.897,407
355,2020-11-07 01:00:00+00:00,4.737,544
356,2020-11-08 01:00:00+00:00,4.674,593
357,2020-11-09 01:00:00+00:00,4.652,492
358,2020-11-10 01:00:00+00:00,4.639,497
359,2020-11-11 01:00:00+00:00,4.645,402
360,2020-11-12 01:00:00+00:00,4.687,434
361,2020-11-13 01:00:00+00:00,4.704,466
362,2020-11-14 01:00:00+00:00,4.658,484
363,2020-11-15 01:00:00+00:00,4.558,480
364,2020-11-16 01:00:00+00:00,4.617,480
365,2020-11-17 01:00:00+00:00,4.553,432
366,2020-11-18 01:00:00+00:00,4.469,473
367,2020-11-19 01:00:00+00:00,4.541,460
368,2020-11-20 01:00:00+00:00,4.552,471
369,2020-11-21 01:00:00+00:00,4.661,450
370,2020-11-22 01:00:00+00:00,4.759,439
371,2020-11-23 01:00:00+00:00,4.757,385
372,2020-11-24 01:00:00+00:00,4.629,399
373,2020-11-25 01:00:00+00:00,4.525,456
374,2020-11-26 01:00:00+00:00,4.288,928
375,2020-11-27 01:00:00+00:00,4.342,573
376,2020-11-28 01:00:00+00:00,4.397,520
377,2020-11-29 01:00:00+00:00,4.376,537
378,2020-11-30 01:00:00+00:00,4.413,453
379,2020-12-01 01:00:00+00:00,4.353,505
380,2020-12-02 01:00:00+00:00,4.396,408
381,2020-12-03 01:00:00+00:00,4.391,1166
382,2020-12-04 01:00:00+00:00,3.139,4074
383,2020-12-05 01:00:00+00:00,3.354,1321
384,2020-12-06 01:00:00+00:00,3.441,934
385,2020-12-07 01:00:00+00:00,3.333,847
386,2020-12-08 01:00:00+00:00,3.332,673
387,2020-12-09 01:00:00+00:00,3.244,788
388,2020-12-10 01:00:00+00:00,3.117,847
389,2020-12-11 01:00:00+00:00,3.128,920
390,2020-12-12 01:00:00+00:00,3.083,949
391,2020-12-13 01:00:00+00:00,3.143,658
392,2020-12-14 01:00:00+00:00,3.142,627
393,2020-12-15 01:00:00+00:00,3.181,705
