,date,price,volume
60,2021-02-01 01:00:00+00:00,0.628,1012
61,2021-02-02 01:00:00+00:00,0.657,1081
62,2021-02-03 01:00:00+00:00,0.613,1313
63,2021-02-04 01:00:00+00:00,0.651,1194
64,2021-02-05 01:00:00+00:00,0.639,1211
65,2021-02-06 01:00:00+00:00,0.628,1092
66,2021-02-07 01:00:00+00:00,0.636,968
67,2021-02-08 01:00:00+00:00,0.629,983
68,2021-02-09 01:00:00+00:00,0.622,943
69,2021-02-10 01:00:00+00:00,0.582,1407
70,2021-02-11 01:00:00+00:00,0.588,1254
71,2021-02-12 01:00:00+00:00,0.551,1234
72,2021-02-13 01:00:00+00:00,0.557,1344
73,2021-02-14 01:00:00+00:00,0.545,1271
74,2021-02-15 01:00:00+00:00,0.553,1144
75,2021-02-16 01:00:00+00:00,0.572,1068
76,2021-02-17 01:00:00+00:00,0.584,1261
77,2021-02-18 01:00:00+00:00,0.593,1148
78,2021-02-19 01:00:00+00:00,0.614,1009
79,2021-02-20 01:00:00+00:00,0.623,1066
80,2021-02-21 01:00:00+00:00,0.626,1062
81,2021-02-22 01:00:00+00:00,0.642,1077
82,2021-02-23 01:00:00+00:00,0.642,1129
83,2021-02-24 01:00:00+00:00,0.642,1359
84,2021-02-25 01:00:00+00:00,0.673,1224
85,2021-02-26 01:00:00+00:00,0.67,1276
86,2021-02-27 01:00:00+00:00,0.673,1365
87,2021-02-28 01:00:00+00:00,0.669,1283
88,2021-03-01 01:00:00+00:00,0.683,1130
89,2021-03-02 01:00:00+00:00,0.696,1029
90,2021-03-03 01:00:00+00:00,0.697,1315
91,2021-03-04 01:00:00+00:00,0.7,1145
92,2021-03-05 01:00:00+00:00,0.724,1292
93,2021-03-06 01:00:00+00:00,0.747,1368
94,2021-03-07 01:00:00+00:00,0.768,1244
95,2021-03-08 01:00:00+00:00,0.767,1161
96,2021-03-09 01:00:00+00:00,0.75,1100
97,2021-03-10 01:00:00+00:00,0.723,1371
98,2021-03-11 01:00:00+00:00,0.73,1201
99,2021-03-12 01:00:00+00:00,0.759,1278
100,2021-03-13 01:00:00+00:00,0.77,1335
101,2021-03-14 01:00:00+00:00,0.779,1207
102,2021-03-15 01:00:00+00:00,0.754,1070
103,2021-03-16 01:00:00+00:00,0.751,1204
104,2021-03-17 01:00:00+00:00,0.7,1783
105,2021-03-18 01:00:00+00:00,0.703,1432
106,2021-03-19 01:00:00+00:00,0.665,1801
107,2021-03-20 01:00:00+00:00,0.706,1583
108,2021-03-21 01:00:00+00:00,0.718,1474
109,2021-03-22 01:00:00+00:00,0.721,1371
110,2021-03-23 01:00:00+00:00,0.727,1345
111,2021-03-24 01:00:00+00:00,0.738,1293
112,2021-03-25 01:00:00+00:00,0.741,1260
113,2021-03-26 01:00:00+00:00,0.731,1316
114,2021-03-27 01:00:00+00:00,0.744,1223
115,2021-03-28 01:00:00+00:00,0.751,1291
116,2021-03-29 01:00:00+00:00,0.753,1126
117,2021-03-30 01:00:00+00:00,0.757,1173
118,2021-03-31 01:00:00+00:00,0.754,1090
119,2021-04-01 01:00:00+00:00,0.756,1026
120,2021-04-02 01:00:00+00:00,0.764,1175
121,2021-04-03 01:00:00+00:00,0.813,1418
122,2021-04-04 01:00:00+00:00,0.827,1041
123,2021-04-05 01:00:00+00:00,0.83,1027
124,2021-04-06 01:00:00+00:00,0.842,952
125,2021-04-07 01:00:00+00:00,0.692,1968
126,2021-04-08 01:00:00+00:00,0.579,1570
127,2021-04-09 01:00:00+00:00,0.585,1564
128,2021-04-10 01:00:00+00:00,0.598,1266
129,2021-04-11 01:00:00+00:00,0.615,980
130,2021-04-12 01:00:00+00:00,0.62,922
131,2021-04-13 01:00:00+00:00,0.62,931
132,2021-04-14 01:00:00+00:00,0.648,266
133,2021-04-15 01:00:00+00:00,0.653,1244
134,2021-04-16 01:00:00+00:00,0.639,1111
135,2021-04-17 01:00:00+00:00,0.66,1044
136,2021-04-18 01:00:00+00:00,0.661,873
137,2021-04-19 01:00:00+00:00,0.657,859
138,2021-04-20 01:00:00+00:00,0.648,798
139,2021-04-21 01:00:00+00:00,0.663,836
140,2021-04-22 01:00:00+00:00,0.652,822
141,2021-04-23 01:00:00+00:00,0.647,892
142,2021-04-24 01:00:00+00:00,0.669,966
143,2021-04-25 01:00:00+00:00,0.658,906
144,2021-04-26 01:00:00+00:00,0.655,830
145,2021-04-27 01:00:00+00:00,0.663,863
146,2021-04-28 01:00:00+00:00,0.675,815
147,2021-04-29 01:00:00+00:00,0.673,782
148,2021-04-30 01:00:00+00:00,0.673,896
149,2021-05-01 01:00:00+00:00,0.691,851
150,2021-05-02 01:00:00+00:00,0.715,848
151,2021-05-03 01:00:00+00:00,0.722,807
152,2021-05-04 01:00:00+00:00,0.75,1105
153,2021-05-05 01:00:00+00:00,0.787,903
154,2021-05-06 01:00:00+00:00,0.793,975
155,2021-05-07 01:00:00+00:00,0.81,914
156,2021-05-08 01:00:00+00:00,0.812,925
157,2021-05-09 01:00:00+00:00,0.835,798
158,2021-05-10 01:00:00+00:00,0.819,834
159,2021-05-11 01:00:00+00:00,0.831,753
160,2021-05-12 01:00:00+00:00,0.845,743
161,2021-05-13 01:00:00+00:00,0.845,706
162,2021-05-14 01:00:00+00:00,0.847,752
163,2021-05-15 01:00:00+00:00,0.856,757
164,2021-05-16 01:00:00+00:00,0.843,751
165,2021-05-17 01:00:00+00:00,0.875,646
166,2021-05-18 01:00:00+00:00,0.875,690
167,2021-05-19 01:00:00+00:00,0.888,640
168,2021-05-20 01:00:00+00:00,0.887,687
169,2021-05-21 01:00:00+00:00,0.874,741
170,2021-05-22 01:00:00+00:00,0.917,852
171,2021-05-23 01:00:00+00:00,0.917,689
172,2021-05-24 01:00:00+00:00,0.925,712
173,2021-05-25 01:00:00+00:00,0.937,691
174,2021-05-26 01:00:00+00:00,0.972,630
175,2021-05-27 01:00:00+00:00,0.979,559
176,2021-05-28 01:00:00+00:00,0.956,807
177,2021-05-29 01:00:00+00:00,0.938,749
178,2021-05-30 01:00:00+00:00,0.922,731
179,2021-05-31 01:00:00+00:00,0.932,676
180,2021-06-01 01:00:00+00:00,0.941,637
181,2021-06-02 01:00:00+00:00,0.955,659
182,2021-06-03 01:00:00+00:00,0.978,645
183,2021-06-04 01:00:00+00:00,0.952,752
184,2021-06-05 01:00:00+00:00,0.961,670
185,2021-06-06 01:00:00+00:00,0.959,646
186,2021-06-07 01:00:00+00:00,0.96,605
187,2021-06-08 01:00:00+00:00,0.968,600
188,2021-06-09 01:00:00+00:00,0.963,579
189,2021-06-10 01:00:00+00:00,0.963,590
190,2021-06-11 01:00:00+00:00,0.967,594
191,2021-06-12 01:00:00+00:00,0.979,629
192,2021-06-13 01:00:00+00:00,0.978,586
193,2021-06-14 01:00:00+00:00,0.992,565
194,2021-06-15 01:00:00+00:00,0.998,556
195,2021-06-16 01:00:00+00:00,0.996,567
196,2021-06-17 01:00:00+00:00,0.975,632
197,2021-06-18 01:00:00+00:00,0.986,564
198,2021-06-19 01:00:00+00:00,0.981,490
199,2021-06-20 01:00:00+00:00,0.976,519
200,2021-06-21 01:00:00+00:00,0.993,665
201,2021-06-22 01:00:00+00:00,0.966,563
202,2021-06-23 01:00:00+00:00,0.965,527
203,2021-06-24 01:00:00+00:00,0.869,830
204,2021-06-25 01:00:00+00:00,0.808,954
205,2021-06-26 01:00:00+00:00,0.823,736
206,2021-06-27 01:00:00+00:00,0.827,691
207,2021-06-28 01:00:00+00:00,0.818,733
208,2021-06-29 01:00:00+00:00,0.83,729
209,2021-06-30 01:00:00+00:00,0.827,607
210,2021-07-01 01:00:00+00:00,0.838,593
211,2021-07-02 01:00:00+00:00,0.839,625
212,2021-07-03 01:00:00+00:00,0.832,524
213,2021-07-04 01:00:00+00:00,0.826,509
214,2021-07-05 01:00:00+00:00,0.826,580
215,2021-07-06 01:00:00+00:00,0.82,491
216,2021-07-07 01:00:00+00:00,0.808,573
217,2021-07-08 01:00:00+00:00,0.814,557
218,2021-07-09 01:00:00+00:00,0.834,448
219,2021-07-10 01:00:00+00:00,0.847,420
220,2021-07-11 01:00:00+00:00,0.835,431
221,2021-07-12 01:00:00+00:00,0.864,488
222,2021-07-13 01:00:00+00:00,0.859,424
223,2021-07-14 01:00:00+00:00,0.881,436
224,2021-07-15 01:00:00+00:00,0.875,456
225,2021-07-16 01:00:00+00:00,0.871,396
226,2021-07-17 01:00:00+00:00,0.891,450
227,2021-07-18 01:00:00+00:00,0.918,408
228,2021-07-19 01:00:00+00:00,0.947,381
229,2021-07-20 01:00:00+00:00,0.936,319
230,2021-07-21 01:00:00+00:00,0.936,390
231,2021-07-22 01:00:00+00:00,0.959,372
232,2021-07-23 01:00:00+00:00,0.945,412
233,2021-07-24 01:00:00+00:00,0.964,377
234,2021-07-25 01:00:00+00:00,0.983,384
235,2021-07-26 01:00:00+00:00,0.957,375
