,date,price,volume
60,2020-01-17 01:00:00+00:00,2.293,520
61,2020-01-18 01:00:00+00:00,2.253,505
62,2020-01-19 01:00:00+00:00,2.231,475
63,2020-01-20 01:00:00+00:00,2.248,478
64,2020-01-21 01:00:00+00:00,2.141,499
65,2020-01-22 01:00:00+00:00,1.964,713
66,2020-01-23 01:00:00+00:00,1.92,713
67,2020-01-24 01:00:00+00:00,1.922,602
68,2020-01-25 01:00:00+00:00,1.885,663
69,2020-01-26 01:00:00+00:00,1.931,616
70,2020-01-27 01:00:00+00:00,1.837,523
71,2020-01-28 01:00:00+00:00,1.809,584
72,2020-01-29 01:00:00+00:00,1.818,885
73,2020-01-30 01:00:00+00:00,1.882,549
74,2020-01-31 01:00:00+00:00,1.893,669
75,2020-02-01 01:00:00+00:00,1.943,724
76,2020-02-02 01:00:00+00:00,1.955,689
77,2020-02-03 01:00:00+00:00,1.887,528
78,2020-02-04 01:00:00+00:00,1.786,939
79,2020-02-05 01:00:00+00:00,1.549,5039
80,2020-02-06 01:00:00+00:00,1.385,2638
81,2020-02-07 01:00:00+00:00,1.311,2447
82,2020-02-08 01:00:00+00:00,1.28,2411
83,2020-02-09 01:00:00+00:00,1.265,2128
84,2020-02-10 01:00:00+00:00,1.221,1865
85,2020-02-11 01:00:00+00:00,1.199,1667
86,2020-02-12 01:00:00+00:00,1.211,2257
87,2020-02-13 01:00:00+00:00,1.226,1892
88,2020-02-14 01:00:00+00:00,1.212,1831
89,2020-02-15 01:00:00+00:00,1.173,2014
90,2020-02-16 01:00:00+00:00,1.052,2029
91,2020-02-17 01:00:00+00:00,0.967,1641
92,2020-02-18 01:00:00+00:00,0.927,1532
93,2020-02-19 01:00:00+00:00,0.86,2060
94,2020-02-20 01:00:00+00:00,0.863,1812
95,2020-02-21 01:00:00+00:00,0.894,1725
96,2020-02-22 01:00:00+00:00,0.895,1989
97,2020-02-23 01:00:00+00:00,0.936,1980
98,2020-02-24 01:00:00+00:00,0.947,1649
99,2020-02-25 01:00:00+00:00,1.137,2984
100,2020-02-26 01:00:00+00:00,1.125,2173
101,2020-02-27 01:00:00+00:00,1.115,1993
102,2020-02-28 01:00:00+00:00,1.108,2046
103,2020-02-29 01:00:00+00:00,1.113,2287
104,2020-03-01 01:00:00+00:00,1.104,2090
105,2020-03-02 01:00:00+00:00,1.075,1745
106,2020-03-03 01:00:00+00:00,1.117,1731
107,2020-03-04 01:00:00+00:00,0.903,4051
108,2020-03-05 01:00:00+00:00,0.86,3089
109,2020-03-06 01:00:00+00:00,0.894,2822
110,2020-03-07 01:00:00+00:00,0.886,2885
111,2020-03-08 01:00:00+00:00,0.88,2716
112,2020-03-09 01:00:00+00:00,0.875,2317
113,2020-03-10 01:00:00+00:00,0.89,1966
114,2020-03-11 01:00:00+00:00,0.873,1973
115,2020-03-12 01:00:00+00:00,0.855,2028
116,2020-03-13 01:00:00+00:00,0.838,2141
117,2020-03-14 01:00:00+00:00,0.831,2339
118,2020-03-15 01:00:00+00:00,0.815,2362
119,2020-03-16 01:00:00+00:00,0.809,2029
120,2020-03-17 01:00:00+00:00,0.765,2241
121,2020-03-18 01:00:00+00:00,0.754,2070
122,2020-03-19 01:00:00+00:00,0.76,2142
123,2020-03-20 01:00:00+00:00,0.739,2119
124,2020-03-21 01:00:00+00:00,0.795,1889
125,2020-03-22 01:00:00+00:00,0.765,2328
126,2020-03-23 01:00:00+00:00,0.791,1661
127,2020-03-24 01:00:00+00:00,0.78,1994
128,2020-03-25 01:00:00+00:00,0.803,2132
129,2020-03-26 01:00:00+00:00,0.77,2064
130,2020-03-27 01:00:00+00:00,0.775,1979
131,2020-03-28 01:00:00+00:00,0.801,1869
132,2020-03-29 01:00:00+00:00,0.91,1686
133,2020-03-30 01:00:00+00:00,1.101,6567
134,2020-03-31 01:00:00+00:00,0.946,4798
135,2020-04-01 01:00:00+00:00,0.911,3307
136,2020-04-02 01:00:00+00:00,0.918,2548
137,2020-04-03 01:00:00+00:00,0.855,2279
138,2020-04-04 01:00:00+00:00,0.87,2232
139,2020-04-05 01:00:00+00:00,0.871,1951
140,2020-04-06 01:00:00+00:00,0.864,1971
141,2020-04-07 01:00:00+00:00,0.868,1891
142,2020-04-08 01:00:00+00:00,0.872,1776
143,2020-04-09 01:00:00+00:00,0.877,1781
144,2020-04-10 01:00:00+00:00,0.874,1824
145,2020-04-11 01:00:00+00:00,0.899,1837
146,2020-04-12 01:00:00+00:00,0.911,1773
147,2020-04-13 01:00:00+00:00,0.928,1594
148,2020-04-14 01:00:00+00:00,0.924,1819
149,2020-04-15 01:00:00+00:00,0.967,1785
150,2020-04-16 01:00:00+00:00,1.023,1673
151,2020-04-17 01:00:00+00:00,1.054,1960
152,2020-04-18 01:00:00+00:00,1.076,1678
153,2020-04-19 01:00:00+00:00,1.085,1481
154,2020-04-20 01:00:00+00:00,1.083,1321
155,2020-04-21 01:00:00+00:00,1.06,1467
156,2020-04-22 01:00:00+00:00,1.04,1479
157,2020-04-23 01:00:00+00:00,0.995,1376
