,date,price,volume
60,2021-02-01 01:00:00+00:00,1.595,746
61,2021-02-02 01:00:00+00:00,1.597,791
62,2021-02-03 01:00:00+00:00,1.575,1117
63,2021-02-04 01:00:00+00:00,1.623,1137
64,2021-02-05 01:00:00+00:00,1.553,835
65,2021-02-06 01:00:00+00:00,1.507,870
66,2021-02-07 01:00:00+00:00,1.494,823
67,2021-02-08 01:00:00+00:00,1.521,740
68,2021-02-09 01:00:00+00:00,1.447,796
69,2021-02-10 01:00:00+00:00,1.305,1149
70,2021-02-11 01:00:00+00:00,1.331,972
71,2021-02-12 01:00:00+00:00,1.245,993
72,2021-02-13 01:00:00+00:00,1.282,1030
73,2021-02-14 01:00:00+00:00,1.318,983
74,2021-02-15 01:00:00+00:00,1.39,780
75,2021-02-16 01:00:00+00:00,1.402,842
76,2021-02-17 01:00:00+00:00,1.44,1018
77,2021-02-18 01:00:00+00:00,1.485,981
78,2021-02-19 01:00:00+00:00,1.554,945
79,2021-02-20 01:00:00+00:00,1.524,880
80,2021-02-21 01:00:00+00:00,1.519,869
81,2021-02-22 01:00:00+00:00,1.469,807
82,2021-02-23 01:00:00+00:00,1.456,883
83,2021-02-24 01:00:00+00:00,1.511,1109
84,2021-02-25 01:00:00+00:00,1.487,936
85,2021-02-26 01:00:00+00:00,1.47,877
86,2021-02-27 01:00:00+00:00,1.493,949
87,2021-02-28 01:00:00+00:00,1.557,890
88,2021-03-01 01:00:00+00:00,1.54,748
89,2021-03-02 01:00:00+00:00,1.533,768
90,2021-03-03 01:00:00+00:00,1.53,1060
91,2021-03-04 01:00:00+00:00,1.541,828
92,2021-03-05 01:00:00+00:00,1.612,920
93,2021-03-06 01:00:00+00:00,1.643,979
94,2021-03-07 01:00:00+00:00,1.713,901
95,2021-03-08 01:00:00+00:00,1.743,885
96,2021-03-09 01:00:00+00:00,1.709,837
97,2021-03-10 01:00:00+00:00,1.62,1088
98,2021-03-11 01:00:00+00:00,1.551,948
99,2021-03-12 01:00:00+00:00,1.573,1090
100,2021-03-13 01:00:00+00:00,1.604,971
101,2021-03-14 01:00:00+00:00,1.568,918
102,2021-03-15 01:00:00+00:00,1.603,904
103,2021-03-16 01:00:00+00:00,1.6,869
104,2021-03-17 01:00:00+00:00,1.454,1377
105,2021-03-18 01:00:00+00:00,1.531,1195
106,2021-03-19 01:00:00+00:00,1.514,1332
107,2021-03-20 01:00:00+00:00,1.489,1223
108,2021-03-21 01:00:00+00:00,1.573,1240
109,2021-03-22 01:00:00+00:00,1.589,1003
110,2021-03-23 01:00:00+00:00,1.619,904
111,2021-03-24 01:00:00+00:00,1.607,882
112,2021-03-25 01:00:00+00:00,1.581,910
113,2021-03-26 01:00:00+00:00,1.591,955
114,2021-03-27 01:00:00+00:00,1.605,851
115,2021-03-28 01:00:00+00:00,1.569,883
116,2021-03-29 01:00:00+00:00,1.543,746
117,2021-03-30 01:00:00+00:00,1.522,688
118,2021-03-31 01:00:00+00:00,1.518,771
119,2021-04-01 01:00:00+00:00,1.565,681
120,2021-04-02 01:00:00+00:00,1.551,702
121,2021-04-03 01:00:00+00:00,1.597,794
122,2021-04-04 01:00:00+00:00,1.633,831
123,2021-04-05 01:00:00+00:00,1.635,713
124,2021-04-06 01:00:00+00:00,1.633,650
125,2021-04-07 01:00:00+00:00,1.422,1140
126,2021-04-08 01:00:00+00:00,1.347,1103
127,2021-04-09 01:00:00+00:00,1.351,1117
128,2021-04-10 01:00:00+00:00,1.402,916
129,2021-04-11 01:00:00+00:00,1.414,821
130,2021-04-12 01:00:00+00:00,1.423,685
131,2021-04-13 01:00:00+00:00,1.397,683
132,2021-04-14 01:00:00+00:00,1.448,231
133,2021-04-15 01:00:00+00:00,1.412,773
134,2021-04-16 01:00:00+00:00,1.417,652
135,2021-04-17 01:00:00+00:00,1.414,702
136,2021-04-18 01:00:00+00:00,1.429,617
137,2021-04-19 01:00:00+00:00,1.397,546
138,2021-04-20 01:00:00+00:00,1.388,592
139,2021-04-21 01:00:00+00:00,1.389,628
140,2021-04-22 01:00:00+00:00,1.385,604
141,2021-04-23 01:00:00+00:00,1.403,590
142,2021-04-24 01:00:00+00:00,1.402,650
143,2021-04-25 01:00:00+00:00,1.403,632
144,2021-04-26 01:00:00+00:00,1.395,582
145,2021-04-27 01:00:00+00:00,1.436,602
146,2021-04-28 01:00:00+00:00,1.443,646
147,2021-04-29 01:00:00+00:00,1.417,559
148,2021-04-30 01:00:00+00:00,1.439,647
149,2021-05-01 01:00:00+00:00,1.455,605
150,2021-05-02 01:00:00+00:00,1.483,595
151,2021-05-03 01:00:00+00:00,1.506,650
152,2021-05-04 01:00:00+00:00,1.52,744
153,2021-05-05 01:00:00+00:00,1.579,738
154,2021-05-06 01:00:00+00:00,1.574,633
155,2021-05-07 01:00:00+00:00,1.61,698
156,2021-05-08 01:00:00+00:00,1.626,654
157,2021-05-09 01:00:00+00:00,1.66,594
158,2021-05-10 01:00:00+00:00,1.663,578
159,2021-05-11 01:00:00+00:00,1.675,554
160,2021-05-12 01:00:00+00:00,1.692,534
161,2021-05-13 01:00:00+00:00,1.688,524
162,2021-05-14 01:00:00+00:00,1.713,497
163,2021-05-15 01:00:00+00:00,1.747,516
164,2021-05-16 01:00:00+00:00,1.734,579
165,2021-05-17 01:00:00+00:00,1.743,497
166,2021-05-18 01:00:00+00:00,1.778,482
167,2021-05-19 01:00:00+00:00,1.797,512
168,2021-05-20 01:00:00+00:00,1.779,480
169,2021-05-21 01:00:00+00:00,1.788,528
170,2021-05-22 01:00:00+00:00,1.832,582
171,2021-05-23 01:00:00+00:00,1.841,474
172,2021-05-24 01:00:00+00:00,1.824,445
173,2021-05-25 01:00:00+00:00,1.814,458
174,2021-05-26 01:00:00+00:00,1.863,414
175,2021-05-27 01:00:00+00:00,1.86,456
176,2021-05-28 01:00:00+00:00,1.788,565
177,2021-05-29 01:00:00+00:00,1.792,513
178,2021-05-30 01:00:00+00:00,1.778,490
179,2021-05-31 01:00:00+00:00,1.789,449
180,2021-06-01 01:00:00+00:00,1.783,387
181,2021-06-02 01:00:00+00:00,1.812,413
182,2021-06-03 01:00:00+00:00,1.834,395
183,2021-06-04 01:00:00+00:00,1.83,467
184,2021-06-05 01:00:00+00:00,1.842,490
185,2021-06-06 01:00:00+00:00,1.818,452
186,2021-06-07 01:00:00+00:00,1.837,449
187,2021-06-08 01:00:00+00:00,1.87,422
188,2021-06-09 01:00:00+00:00,1.869,421
189,2021-06-10 01:00:00+00:00,1.872,377
190,2021-06-11 01:00:00+00:00,1.872,356
191,2021-06-12 01:00:00+00:00,1.902,409
