,date,price,volume
60,2021-11-21 01:00:00+00:00,1.003,748
61,2021-11-22 01:00:00+00:00,1.0,565
62,2021-11-23 01:00:00+00:00,1.007,597
63,2021-11-24 01:00:00+00:00,0.904,889
64,2021-11-25 01:00:00+00:00,0.839,857
65,2021-11-26 01:00:00+00:00,0.862,769
66,2021-11-27 01:00:00+00:00,0.827,815
67,2021-11-28 01:00:00+00:00,0.843,732
68,2021-11-29 01:00:00+00:00,0.829,709
69,2021-11-30 01:00:00+00:00,0.756,902
70,2021-12-01 01:00:00+00:00,0.703,1142
71,2021-12-02 01:00:00+00:00,0.733,774
72,2021-12-03 01:00:00+00:00,0.801,758
73,2021-12-04 01:00:00+00:00,0.823,851
74,2021-12-05 01:00:00+00:00,0.855,760
75,2021-12-06 01:00:00+00:00,0.903,591
76,2021-12-07 01:00:00+00:00,0.894,566
77,2021-12-08 01:00:00+00:00,0.82,862
78,2021-12-09 01:00:00+00:00,0.846,738
79,2021-12-10 01:00:00+00:00,0.866,706
80,2021-12-11 01:00:00+00:00,0.851,820
81,2021-12-12 01:00:00+00:00,0.851,714
82,2021-12-13 01:00:00+00:00,0.876,585
83,2021-12-14 01:00:00+00:00,0.856,576
84,2021-12-15 01:00:00+00:00,0.82,769
85,2021-12-16 01:00:00+00:00,0.811,636
86,2021-12-17 01:00:00+00:00,0.816,610
87,2021-12-18 01:00:00+00:00,0.829,730
88,2021-12-19 01:00:00+00:00,0.853,656
89,2021-12-20 01:00:00+00:00,0.837,592
90,2021-12-21 01:00:00+00:00,0.829,550
91,2021-12-22 01:00:00+00:00,0.757,811
92,2021-12-23 01:00:00+00:00,0.724,826
93,2021-12-24 01:00:00+00:00,0.725,782
94,2021-12-25 01:00:00+00:00,0.732,763
95,2021-12-26 01:00:00+00:00,0.74,824
96,2021-12-27 01:00:00+00:00,0.755,783
97,2021-12-28 01:00:00+00:00,0.766,792
98,2021-12-29 01:00:00+00:00,0.742,1132
99,2021-12-30 01:00:00+00:00,0.784,1071
100,2021-12-31 01:00:00+00:00,0.808,741
101,2022-01-01 01:00:00+00:00,0.821,903
102,2022-01-02 01:00:00+00:00,0.814,917
103,2022-01-03 01:00:00+00:00,0.804,926
104,2022-01-04 01:00:00+00:00,0.812,1127
105,2022-01-05 01:00:00+00:00,0.872,1620
106,2022-01-06 01:00:00+00:00,0.882,1168
107,2022-01-07 01:00:00+00:00,0.9,1025
108,2022-01-08 01:00:00+00:00,0.876,961
109,2022-01-09 01:00:00+00:00,0.879,946
110,2022-01-10 01:00:00+00:00,0.844,878
111,2022-01-11 01:00:00+00:00,0.871,882
112,2022-01-12 01:00:00+00:00,0.878,827
113,2022-01-13 01:00:00+00:00,0.876,745
114,2022-01-14 01:00:00+00:00,0.862,802
115,2022-01-15 01:00:00+00:00,0.864,880
116,2022-01-16 01:00:00+00:00,0.872,819
117,2022-01-17 01:00:00+00:00,0.875,630
118,2022-01-18 01:00:00+00:00,0.862,682
119,2022-01-19 01:00:00+00:00,0.837,750
120,2022-01-20 01:00:00+00:00,0.867,699
