,date,price,volume
60,2021-11-21 01:00:00+00:00,0.516,696
61,2021-11-22 01:00:00+00:00,0.535,583
62,2021-11-23 01:00:00+00:00,0.544,520
63,2021-11-24 01:00:00+00:00,0.496,787
64,2021-11-25 01:00:00+00:00,0.449,825
65,2021-11-26 01:00:00+00:00,0.448,716
66,2021-11-27 01:00:00+00:00,0.444,754
67,2021-11-28 01:00:00+00:00,0.444,705
68,2021-11-29 01:00:00+00:00,0.457,603
69,2021-11-30 01:00:00+00:00,0.414,863
70,2021-12-01 01:00:00+00:00,0.391,977
71,2021-12-02 01:00:00+00:00,0.402,688
72,2021-12-03 01:00:00+00:00,0.415,785
73,2021-12-04 01:00:00+00:00,0.445,811
74,2021-12-05 01:00:00+00:00,0.46,727
75,2021-12-06 01:00:00+00:00,0.485,619
76,2021-12-07 01:00:00+00:00,0.519,581
77,2021-12-08 01:00:00+00:00,0.471,816
78,2021-12-09 01:00:00+00:00,0.494,624
79,2021-12-10 01:00:00+00:00,0.503,666
80,2021-12-11 01:00:00+00:00,0.511,721
81,2021-12-12 01:00:00+00:00,0.506,643
82,2021-12-13 01:00:00+00:00,0.523,520
83,2021-12-14 01:00:00+00:00,0.524,521
84,2021-12-15 01:00:00+00:00,0.475,688
85,2021-12-16 01:00:00+00:00,0.471,592
86,2021-12-17 01:00:00+00:00,0.488,546
87,2021-12-18 01:00:00+00:00,0.485,611
88,2021-12-19 01:00:00+00:00,0.482,586
89,2021-12-20 01:00:00+00:00,0.482,494
90,2021-12-21 01:00:00+00:00,0.465,491
91,2021-12-22 01:00:00+00:00,0.437,761
92,2021-12-23 01:00:00+00:00,0.417,739
93,2021-12-24 01:00:00+00:00,0.43,703
94,2021-12-25 01:00:00+00:00,0.427,697
95,2021-12-26 01:00:00+00:00,0.424,724
96,2021-12-27 01:00:00+00:00,0.437,760
97,2021-12-28 01:00:00+00:00,0.484,898
98,2021-12-29 01:00:00+00:00,0.512,1163
99,2021-12-30 01:00:00+00:00,0.564,779
100,2021-12-31 01:00:00+00:00,0.568,552
101,2022-01-01 01:00:00+00:00,0.587,684
102,2022-01-02 01:00:00+00:00,0.559,664
103,2022-01-03 01:00:00+00:00,0.561,674
104,2022-01-04 01:00:00+00:00,0.596,1547
105,2022-01-05 01:00:00+00:00,0.672,3079
106,2022-01-06 01:00:00+00:00,0.665,1414
107,2022-01-07 01:00:00+00:00,0.649,1136
108,2022-01-08 01:00:00+00:00,0.629,1070
109,2022-01-09 01:00:00+00:00,0.605,1029
110,2022-01-10 01:00:00+00:00,0.62,899
111,2022-01-11 01:00:00+00:00,0.618,911
112,2022-01-12 01:00:00+00:00,0.604,884
113,2022-01-13 01:00:00+00:00,0.598,735
114,2022-01-14 01:00:00+00:00,0.605,796
115,2022-01-15 01:00:00+00:00,0.573,983
116,2022-01-16 01:00:00+00:00,0.568,869
117,2022-01-17 01:00:00+00:00,0.589,725
118,2022-01-18 01:00:00+00:00,0.586,660
119,2022-01-19 01:00:00+00:00,0.576,681
120,2022-01-20 01:00:00+00:00,0.581,696
121,2022-01-21 01:00:00+00:00,0.576,1059
122,2022-01-22 01:00:00+00:00,0.578,1130
123,2022-01-23 01:00:00+00:00,0.588,938
124,2022-01-24 01:00:00+00:00,0.606,791
125,2022-01-25 01:00:00+00:00,0.602,748
126,2022-01-26 01:00:00+00:00,0.609,792
127,2022-01-27 01:00:00+00:00,0.607,815
128,2022-01-28 01:00:00+00:00,0.574,962
129,2022-01-29 01:00:00+00:00,0.571,940
130,2022-01-30 01:00:00+00:00,0.575,923
131,2022-01-31 01:00:00+00:00,0.585,766
132,2022-02-01 01:00:00+00:00,0.58,814
133,2022-02-02 01:00:00+00:00,0.617,956
134,2022-02-03 01:00:00+00:00,0.623,731
135,2022-02-04 01:00:00+00:00,0.655,732
136,2022-02-05 01:00:00+00:00,0.66,774
137,2022-02-06 01:00:00+00:00,0.669,735
138,2022-02-07 01:00:00+00:00,0.676,684
139,2022-02-08 01:00:00+00:00,0.663,674
140,2022-02-09 01:00:00+00:00,0.673,643
141,2022-02-10 01:00:00+00:00,0.68,631
142,2022-02-11 01:00:00+00:00,0.689,690
143,2022-02-12 01:00:00+00:00,0.701,706
144,2022-02-13 01:00:00+00:00,0.705,672
145,2022-02-14 01:00:00+00:00,0.725,743
146,2022-02-15 01:00:00+00:00,0.75,568
147,2022-02-16 01:00:00+00:00,0.738,615
148,2022-02-17 01:00:00+00:00,0.738,684
149,2022-02-18 01:00:00+00:00,0.74,650
150,2022-02-19 01:00:00+00:00,0.763,810
151,2022-02-20 01:00:00+00:00,0.78,770
152,2022-02-21 01:00:00+00:00,0.759,575
153,2022-02-22 01:00:00+00:00,0.752,622
154,2022-02-23 01:00:00+00:00,0.756,698
155,2022-02-24 01:00:00+00:00,0.758,576
156,2022-02-25 01:00:00+00:00,0.775,620
157,2022-02-26 01:00:00+00:00,0.777,587
158,2022-02-27 01:00:00+00:00,0.787,631
159,2022-02-28 01:00:00+00:00,0.774,543
160,2022-03-01 01:00:00+00:00,0.762,549
161,2022-03-02 01:00:00+00:00,0.734,553
162,2022-03-03 01:00:00+00:00,0.736,538
163,2022-03-04 01:00:00+00:00,0.761,591
164,2022-03-05 01:00:00+00:00,0.76,694
165,2022-03-06 01:00:00+00:00,0.781,640
166,2022-03-07 01:00:00+00:00,0.772,615
167,2022-03-08 01:00:00+00:00,0.715,685
168,2022-03-09 01:00:00+00:00,0.704,545
169,2022-03-10 01:00:00+00:00,0.722,525
170,2022-03-11 01:00:00+00:00,0.741,554
171,2022-03-12 01:00:00+00:00,0.759,626
172,2022-03-13 01:00:00+00:00,0.785,549
173,2022-03-14 01:00:00+00:00,0.776,455
174,2022-03-15 01:00:00+00:00,0.796,487
175,2022-03-16 01:00:00+00:00,0.8,410
176,2022-03-17 01:00:00+00:00,0.8,441
177,2022-03-18 01:00:00+00:00,0.798,534
178,2022-03-19 01:00:00+00:00,0.809,540
179,2022-03-20 01:00:00+00:00,0.826,554
180,2022-03-21 01:00:00+00:00,0.819,429
181,2022-03-22 01:00:00+00:00,0.824,422
182,2022-03-23 01:00:00+00:00,0.836,405
183,2022-03-24 01:00:00+00:00,0.829,403
184,2022-03-25 01:00:00+00:00,0.835,417
185,2022-03-26 01:00:00+00:00,0.846,535
186,2022-03-27 01:00:00+00:00,0.848,499
187,2022-03-28 01:00:00+00:00,0.84,424
188,2022-03-29 01:00:00+00:00,0.841,440
189,2022-03-30 01:00:00+00:00,0.866,456
190,2022-03-31 01:00:00+00:00,0.876,395
191,2022-04-01 01:00:00+00:00,0.894,391
192,2022-04-02 01:00:00+00:00,0.9,446
193,2022-04-03 01:00:00+00:00,0.922,468
194,2022-04-04 01:00:00+00:00,0.94,349
195,2022-04-05 01:00:00+00:00,0.953,351
196,2022-04-06 01:00:00+00:00,0.959,281
197,2022-04-07 01:00:00+00:00,0.972,327
198,2022-04-08 01:00:00+00:00,0.989,384
199,2022-04-09 01:00:00+00:00,0.997,408
200,2022-04-10 01:00:00+00:00,1.019,369
201,2022-04-11 01:00:00+00:00,1.017,327
202,2022-04-12 01:00:00+00:00,0.984,370
203,2022-04-13 01:00:00+00:00,0.972,355
204,2022-04-14 01:00:00+00:00,1.002,363
205,2022-04-15 01:00:00+00:00,0.988,402
206,2022-04-16 01:00:00+00:00,1.007,439
207,2022-04-17 01:00:00+00:00,1.03,351
208,2022-04-18 01:00:00+00:00,1.033,324
209,2022-04-19 01:00:00+00:00,1.063,289
210,2022-04-20 01:00:00+00:00,1.054,260
211,2022-04-21 01:00:00+00:00,1.029,220
212,2022-04-22 01:00:00+00:00,1.051,352
213,2022-04-23 01:00:00+00:00,1.076,350
214,2022-04-24 01:00:00+00:00,1.053,310
215,2022-04-25 01:00:00+00:00,1.042,308
216,2022-04-26 01:00:00+00:00,1.045,261
217,2022-04-27 01:00:00+00:00,1.044,277
218,2022-04-28 01:00:00+00:00,1.028,291
219,2022-04-29 01:00:00+00:00,1.045,274
220,2022-04-30 01:00:00+00:00,1.04,352
221,2022-05-01 01:00:00+00:00,1.031,367
222,2022-05-02 01:00:00+00:00,1.036,329
223,2022-05-03 01:00:00+00:00,1.025,342
224,2022-05-04 01:00:00+00:00,0.926,517
225,2022-05-05 01:00:00+00:00,0.916,335
226,2022-05-06 01:00:00+00:00,0.939,355
227,2022-05-07 01:00:00+00:00,0.958,357
228,2022-05-08 01:00:00+00:00,0.946,351
229,2022-05-09 01:00:00+00:00,0.969,323
230,2022-05-10 01:00:00+00:00,0.966,290
231,2022-05-11 01:00:00+00:00,0.943,278
232,2022-05-12 01:00:00+00:00,0.952,263
233,2022-05-13 01:00:00+00:00,0.944,311
234,2022-05-14 01:00:00+00:00,0.945,338
235,2022-05-15 01:00:00+00:00,0.955,359
236,2022-05-16 01:00:00+00:00,0.939,265
237,2022-05-17 01:00:00+00:00,0.959,247
238,2022-05-18 01:00:00+00:00,0.95,262
239,2022-05-19 01:00:00+00:00,0.926,262
240,2022-05-20 01:00:00+00:00,0.928,285
241,2022-05-21 01:00:00+00:00,0.936,349
242,2022-05-22 01:00:00+00:00,0.931,326
243,2022-05-23 01:00:00+00:00,0.932,299
244,2022-05-24 01:00:00+00:00,0.943,308
245,2022-05-25 01:00:00+00:00,0.933,323
246,2022-05-26 01:00:00+00:00,0.93,280
247,2022-05-27 01:00:00+00:00,0.914,276
248,2022-05-28 01:00:00+00:00,0.927,322
249,2022-05-29 01:00:00+00:00,0.934,331
250,2022-05-30 01:00:00+00:00,0.938,279
251,2022-05-31 01:00:00+00:00,0.936,293
252,2022-06-01 01:00:00+00:00,0.938,296
253,2022-06-02 01:00:00+00:00,0.957,344
254,2022-06-03 01:00:00+00:00,0.897,410
255,2022-06-04 01:00:00+00:00,0.915,394
256,2022-06-05 01:00:00+00:00,0.915,371
257,2022-06-06 01:00:00+00:00,0.923,302
258,2022-06-07 01:00:00+00:00,0.952,283
259,2022-06-08 01:00:00+00:00,0.985,281
260,2022-06-09 01:00:00+00:00,0.965,253
261,2022-06-10 01:00:00+00:00,0.966,269
262,2022-06-11 01:00:00+00:00,0.997,290
263,2022-06-12 01:00:00+00:00,0.994,260
264,2022-06-13 01:00:00+00:00,0.958,254
265,2022-06-14 01:00:00+00:00,0.925,266
266,2022-06-15 01:00:00+00:00,0.917,252
267,2022-06-16 01:00:00+00:00,0.928,294
268,2022-06-17 01:00:00+00:00,0.893,296
269,2022-06-18 01:00:00+00:00,0.932,273
270,2022-06-19 01:00:00+00:00,0.892,293
271,2022-06-20 01:00:00+00:00,0.909,292
272,2022-06-21 01:00:00+00:00,0.908,278
273,2022-06-22 01:00:00+00:00,0.896,262
274,2022-06-23 01:00:00+00:00,0.87,301
275,2022-06-24 01:00:00+00:00,0.815,340
276,2022-06-25 01:00:00+00:00,0.801,336
277,2022-06-26 01:00:00+00:00,0.779,366
278,2022-06-27 01:00:00+00:00,0.78,323
279,2022-06-28 01:00:00+00:00,0.784,336
280,2022-06-29 01:00:00+00:00,0.795,332
281,2022-06-30 01:00:00+00:00,0.811,358
282,2022-07-01 01:00:00+00:00,0.852,317
283,2022-07-02 01:00:00+00:00,0.882,387
284,2022-07-03 01:00:00+00:00,0.903,341
285,2022-07-04 01:00:00+00:00,0.902,346
286,2022-07-05 01:00:00+00:00,0.894,371
287,2022-07-06 01:00:00+00:00,0.873,365
288,2022-07-07 01:00:00+00:00,0.893,325
289,2022-07-08 01:00:00+00:00,0.909,311
290,2022-07-09 01:00:00+00:00,0.927,303
291,2022-07-10 01:00:00+00:00,0.955,359
292,2022-07-11 01:00:00+00:00,0.968,327
293,2022-07-12 01:00:00+00:00,0.973,305
294,2022-07-13 01:00:00+00:00,1.036,218
295,2022-07-14 01:00:00+00:00,1.046,314
296,2022-07-15 01:00:00+00:00,1.025,281
297,2022-07-16 01:00:00+00:00,1.057,268
298,2022-07-17 01:00:00+00:00,1.063,280
299,2022-07-18 01:00:00+00:00,1.085,243
300,2022-07-19 01:00:00+00:00,1.111,211
301,2022-07-20 01:00:00+00:00,1.206,150
302,2022-07-21 01:00:00+00:00,1.14,288
303,2022-07-22 01:00:00+00:00,1.115,272
304,2022-07-23 01:00:00+00:00,1.102,291
305,2022-07-24 01:00:00+00:00,1.084,323
306,2022-07-25 01:00:00+00:00,1.135,274
307,2022-07-26 01:00:00+00:00,1.159,280
308,2022-07-27 01:00:00+00:00,1.166,286
309,2022-07-28 01:00:00+00:00,1.185,271
310,2022-07-29 01:00:00+00:00,1.199,269
311,2022-07-30 01:00:00+00:00,1.168,246
312,2022-07-31 01:00:00+00:00,1.191,291
313,2022-08-01 01:00:00+00:00,1.2,308
314,2022-08-02 01:00:00+00:00,1.208,286
315,2022-08-03 01:00:00+00:00,1.201,292
316,2022-08-04 01:00:00+00:00,1.227,294
317,2022-08-05 01:00:00+00:00,1.23,253
318,2022-08-06 01:00:00+00:00,1.264,278
319,2022-08-07 01:00:00+00:00,1.268,284
320,2022-08-08 01:00:00+00:00,1.275,282
321,2022-08-09 01:00:00+00:00,1.293,136
322,2022-08-10 01:00:00+00:00,1.302,320
323,2022-08-11 01:00:00+00:00,1.356,253
324,2022-08-12 01:00:00+00:00,1.299,278
