,date,price,volume
60,2020-01-17 01:00:00+00:00,0.847,1155
61,2020-01-18 01:00:00+00:00,0.863,1257
62,2020-01-19 01:00:00+00:00,0.855,1243
63,2020-01-20 01:00:00+00:00,0.851,952
64,2020-01-21 01:00:00+00:00,0.838,981
65,2020-01-22 01:00:00+00:00,0.798,1110
66,2020-01-23 01:00:00+00:00,0.738,1099
67,2020-01-24 01:00:00+00:00,0.691,1242
68,2020-01-25 01:00:00+00:00,0.696,1396
69,2020-01-26 01:00:00+00:00,0.705,1366
70,2020-01-27 01:00:00+00:00,0.717,1041
71,2020-01-28 01:00:00+00:00,0.732,918
72,2020-01-29 01:00:00+00:00,0.764,1075
73,2020-01-30 01:00:00+00:00,0.784,1034
74,2020-01-31 01:00:00+00:00,0.797,1156
75,2020-02-01 01:00:00+00:00,0.826,1170
76,2020-02-02 01:00:00+00:00,0.854,1162
77,2020-02-03 01:00:00+00:00,0.817,923
78,2020-02-04 01:00:00+00:00,0.792,1019
79,2020-02-05 01:00:00+00:00,0.8,1642
80,2020-02-06 01:00:00+00:00,0.786,1311
81,2020-02-07 01:00:00+00:00,0.674,1782
82,2020-02-08 01:00:00+00:00,0.66,1944
83,2020-02-09 01:00:00+00:00,0.665,1779
84,2020-02-10 01:00:00+00:00,0.682,1468
85,2020-02-11 01:00:00+00:00,0.692,1387
86,2020-02-12 01:00:00+00:00,0.704,1566
87,2020-02-13 01:00:00+00:00,0.706,1372
88,2020-02-14 01:00:00+00:00,0.705,1383
89,2020-02-15 01:00:00+00:00,0.631,1541
90,2020-02-16 01:00:00+00:00,0.589,1535
91,2020-02-17 01:00:00+00:00,0.576,1261
92,2020-02-18 01:00:00+00:00,0.548,1186
93,2020-02-19 01:00:00+00:00,0.5,1397
94,2020-02-20 01:00:00+00:00,0.438,1420
95,2020-02-21 01:00:00+00:00,0.462,1623
96,2020-02-22 01:00:00+00:00,0.522,1378
97,2020-02-23 01:00:00+00:00,0.523,1419
98,2020-02-24 01:00:00+00:00,0.516,1348
99,2020-02-25 01:00:00+00:00,0.686,2967
100,2020-02-26 01:00:00+00:00,0.685,1971
101,2020-02-27 01:00:00+00:00,0.671,1669
102,2020-02-28 01:00:00+00:00,0.658,1801
103,2020-02-29 01:00:00+00:00,0.657,1908
104,2020-03-01 01:00:00+00:00,0.638,1886
105,2020-03-02 01:00:00+00:00,0.628,1496
106,2020-03-03 01:00:00+00:00,0.635,1401
107,2020-03-04 01:00:00+00:00,0.565,2556
108,2020-03-05 01:00:00+00:00,0.542,1999
109,2020-03-06 01:00:00+00:00,0.536,2022
110,2020-03-07 01:00:00+00:00,0.54,2113
111,2020-03-08 01:00:00+00:00,0.532,2031
112,2020-03-09 01:00:00+00:00,0.538,1706
113,2020-03-10 01:00:00+00:00,0.531,1563
114,2020-03-11 01:00:00+00:00,0.51,1499
115,2020-03-12 01:00:00+00:00,0.516,1518
116,2020-03-13 01:00:00+00:00,0.502,1636
117,2020-03-14 01:00:00+00:00,0.492,1731
118,2020-03-15 01:00:00+00:00,0.49,1828
119,2020-03-16 01:00:00+00:00,0.471,1519
120,2020-03-17 01:00:00+00:00,0.437,1669
121,2020-03-18 01:00:00+00:00,0.439,1658
122,2020-03-19 01:00:00+00:00,0.434,1652
123,2020-03-20 01:00:00+00:00,0.42,1798
124,2020-03-21 01:00:00+00:00,0.471,1522
125,2020-03-22 01:00:00+00:00,0.461,1744
126,2020-03-23 01:00:00+00:00,0.495,1572
127,2020-03-24 01:00:00+00:00,0.484,1447
128,2020-03-25 01:00:00+00:00,0.479,1723
129,2020-03-26 01:00:00+00:00,0.502,1639
130,2020-03-27 01:00:00+00:00,0.502,1547
131,2020-03-28 01:00:00+00:00,0.526,1566
132,2020-03-29 01:00:00+00:00,0.608,1648
133,2020-03-30 01:00:00+00:00,0.699,5278
134,2020-03-31 01:00:00+00:00,0.6,3365
135,2020-04-01 01:00:00+00:00,0.574,2470
136,2020-04-02 01:00:00+00:00,0.553,2045
137,2020-04-03 01:00:00+00:00,0.534,1857
138,2020-04-04 01:00:00+00:00,0.561,2003
139,2020-04-05 01:00:00+00:00,0.563,1696
140,2020-04-06 01:00:00+00:00,0.555,1569
141,2020-04-07 01:00:00+00:00,0.548,1523
142,2020-04-08 01:00:00+00:00,0.559,1503
143,2020-04-09 01:00:00+00:00,0.559,1492
144,2020-04-10 01:00:00+00:00,0.579,1485
145,2020-04-11 01:00:00+00:00,0.581,1564
146,2020-04-12 01:00:00+00:00,0.638,1526
147,2020-04-13 01:00:00+00:00,0.661,1416
148,2020-04-14 01:00:00+00:00,0.682,1462
149,2020-04-15 01:00:00+00:00,0.736,1360
150,2020-04-16 01:00:00+00:00,0.721,1274
151,2020-04-17 01:00:00+00:00,0.786,1629
152,2020-04-18 01:00:00+00:00,0.86,1440
153,2020-04-19 01:00:00+00:00,0.866,1308
154,2020-04-20 01:00:00+00:00,0.874,1294
155,2020-04-21 01:00:00+00:00,0.819,1267
156,2020-04-22 01:00:00+00:00,0.803,1100
157,2020-04-23 01:00:00+00:00,0.767,1221
158,2020-04-24 01:00:00+00:00,0.782,1203
159,2020-04-25 01:00:00+00:00,0.778,1142
160,2020-04-26 01:00:00+00:00,0.784,1082
161,2020-04-27 01:00:00+00:00,0.757,1091
162,2020-04-28 01:00:00+00:00,0.736,1073
163,2020-04-29 01:00:00+00:00,0.74,1060
164,2020-04-30 01:00:00+00:00,0.733,1090
165,2020-05-01 01:00:00+00:00,0.719,1132
166,2020-05-02 01:00:00+00:00,0.709,1121
167,2020-05-03 01:00:00+00:00,0.704,1103
168,2020-05-04 01:00:00+00:00,0.691,1082
169,2020-05-05 01:00:00+00:00,0.719,1015
170,2020-05-06 01:00:00+00:00,0.731,1054
171,2020-05-07 01:00:00+00:00,0.744,1063
172,2020-05-08 01:00:00+00:00,0.739,916
173,2020-05-09 01:00:00+00:00,0.746,918
174,2020-05-10 01:00:00+00:00,0.749,918
175,2020-05-11 01:00:00+00:00,0.775,884
176,2020-05-12 01:00:00+00:00,0.768,899
177,2020-05-13 01:00:00+00:00,0.79,965
178,2020-05-14 01:00:00+00:00,0.803,847
179,2020-05-15 01:00:00+00:00,0.798,856
180,2020-05-16 01:00:00+00:00,0.813,829
181,2020-05-17 01:00:00+00:00,0.822,786
182,2020-05-18 01:00:00+00:00,0.8,802
183,2020-05-19 01:00:00+00:00,0.79,779
184,2020-05-20 01:00:00+00:00,0.757,785
185,2020-05-21 01:00:00+00:00,0.77,790
186,2020-05-22 01:00:00+00:00,0.748,866
187,2020-05-23 01:00:00+00:00,0.768,806
188,2020-05-24 01:00:00+00:00,0.762,836
189,2020-05-25 01:00:00+00:00,0.735,840
190,2020-05-26 01:00:00+00:00,0.709,844
191,2020-05-27 01:00:00+00:00,0.733,770
192,2020-05-28 01:00:00+00:00,0.726,829
193,2020-05-29 01:00:00+00:00,0.733,865
194,2020-05-30 01:00:00+00:00,0.736,790
195,2020-05-31 01:00:00+00:00,0.731,865
196,2020-06-01 01:00:00+00:00,0.756,811
197,2020-06-02 01:00:00+00:00,0.764,740
198,2020-06-03 01:00:00+00:00,0.784,745
199,2020-06-04 01:00:00+00:00,0.777,765
200,2020-06-05 01:00:00+00:00,0.773,770
201,2020-06-06 01:00:00+00:00,0.792,745
202,2020-06-07 01:00:00+00:00,0.798,714
203,2020-06-08 01:00:00+00:00,0.784,686
204,2020-06-09 01:00:00+00:00,0.788,685
205,2020-06-10 01:00:00+00:00,0.771,682
206,2020-06-11 01:00:00+00:00,0.772,771
207,2020-06-12 01:00:00+00:00,0.767,704
208,2020-06-13 01:00:00+00:00,0.767,694
209,2020-06-14 01:00:00+00:00,0.768,696
210,2020-06-15 01:00:00+00:00,0.78,674
211,2020-06-16 01:00:00+00:00,0.76,696
212,2020-06-17 01:00:00+00:00,0.711,863
213,2020-06-18 01:00:00+00:00,0.693,1076
214,2020-06-19 01:00:00+00:00,0.721,653
215,2020-06-20 01:00:00+00:00,0.721,649
216,2020-06-21 01:00:00+00:00,0.712,672
217,2020-06-22 01:00:00+00:00,0.708,716
218,2020-06-23 01:00:00+00:00,0.712,677
219,2020-06-24 01:00:00+00:00,0.689,617
220,2020-06-25 01:00:00+00:00,0.67,856
221,2020-06-26 01:00:00+00:00,0.612,1519
222,2020-06-27 01:00:00+00:00,0.628,986
223,2020-06-28 01:00:00+00:00,0.632,1033
224,2020-06-29 01:00:00+00:00,0.604,887
225,2020-06-30 01:00:00+00:00,0.607,989
226,2020-07-01 01:00:00+00:00,0.634,720
227,2020-07-02 01:00:00+00:00,0.664,687
228,2020-07-03 01:00:00+00:00,0.677,686
229,2020-07-04 01:00:00+00:00,0.688,698
230,2020-07-05 01:00:00+00:00,0.676,699
231,2020-07-06 01:00:00+00:00,0.675,706
232,2020-07-07 01:00:00+00:00,0.67,692
233,2020-07-08 01:00:00+00:00,0.676,680
234,2020-07-09 01:00:00+00:00,0.695,637
235,2020-07-10 01:00:00+00:00,0.737,548
236,2020-07-11 01:00:00+00:00,0.742,642
237,2020-07-12 01:00:00+00:00,0.747,572
238,2020-07-13 01:00:00+00:00,0.743,579
239,2020-07-14 01:00:00+00:00,0.754,588
240,2020-07-15 01:00:00+00:00,0.751,553
241,2020-07-16 01:00:00+00:00,0.753,637
242,2020-07-17 01:00:00+00:00,0.759,616
243,2020-07-18 01:00:00+00:00,0.752,730
