,date,price,volume
60,2020-01-17 01:00:00+00:00,4.419,483
61,2020-01-18 01:00:00+00:00,4.389,500
62,2020-01-19 01:00:00+00:00,4.398,471
63,2020-01-20 01:00:00+00:00,4.342,386
64,2020-01-21 01:00:00+00:00,4.201,463
65,2020-01-22 01:00:00+00:00,3.815,731
66,2020-01-23 01:00:00+00:00,3.664,582
67,2020-01-24 01:00:00+00:00,3.619,610
68,2020-01-25 01:00:00+00:00,3.697,603
69,2020-01-26 01:00:00+00:00,3.834,593
70,2020-01-27 01:00:00+00:00,3.812,508
71,2020-01-28 01:00:00+00:00,3.842,561
72,2020-01-29 01:00:00+00:00,3.524,650
73,2020-01-30 01:00:00+00:00,3.674,558
74,2020-01-31 01:00:00+00:00,3.709,643
75,2020-02-01 01:00:00+00:00,3.661,647
76,2020-02-02 01:00:00+00:00,3.66,628
77,2020-02-03 01:00:00+00:00,3.545,528
78,2020-02-04 01:00:00+00:00,3.447,1018
79,2020-02-05 01:00:00+00:00,2.975,4833
80,2020-02-06 01:00:00+00:00,2.775,2555
81,2020-02-07 01:00:00+00:00,2.617,2499
82,2020-02-08 01:00:00+00:00,2.54,2338
83,2020-02-09 01:00:00+00:00,2.475,1986
84,2020-02-10 01:00:00+00:00,2.522,1720
85,2020-02-11 01:00:00+00:00,2.482,1491
86,2020-02-12 01:00:00+00:00,2.336,2138
87,2020-02-13 01:00:00+00:00,2.335,1718
88,2020-02-14 01:00:00+00:00,2.317,1698
89,2020-02-15 01:00:00+00:00,2.245,1795
90,2020-02-16 01:00:00+00:00,2.021,1678
91,2020-02-17 01:00:00+00:00,1.856,1484
92,2020-02-18 01:00:00+00:00,1.84,1343
93,2020-02-19 01:00:00+00:00,1.729,1901
94,2020-02-20 01:00:00+00:00,1.705,1518
95,2020-02-21 01:00:00+00:00,1.716,1572
96,2020-02-22 01:00:00+00:00,1.791,1570
97,2020-02-23 01:00:00+00:00,1.821,1648
98,2020-02-24 01:00:00+00:00,1.905,1528
99,2020-02-25 01:00:00+00:00,2.274,2706
100,2020-02-26 01:00:00+00:00,2.124,1879
101,2020-02-27 01:00:00+00:00,2.101,1694
102,2020-02-28 01:00:00+00:00,2.183,1941
103,2020-02-29 01:00:00+00:00,2.229,2118
104,2020-03-01 01:00:00+00:00,2.12,1818
105,2020-03-02 01:00:00+00:00,2.039,1533
106,2020-03-03 01:00:00+00:00,2.085,1560
107,2020-03-04 01:00:00+00:00,1.815,4105
108,2020-03-05 01:00:00+00:00,1.765,2775
109,2020-03-06 01:00:00+00:00,1.764,2362
110,2020-03-07 01:00:00+00:00,1.727,2550
111,2020-03-08 01:00:00+00:00,1.718,2306
112,2020-03-09 01:00:00+00:00,1.729,1956
113,2020-03-10 01:00:00+00:00,1.774,1817
114,2020-03-11 01:00:00+00:00,1.723,1719
115,2020-03-12 01:00:00+00:00,1.701,1769
116,2020-03-13 01:00:00+00:00,1.639,1844
117,2020-03-14 01:00:00+00:00,1.625,1970
118,2020-03-15 01:00:00+00:00,1.565,1983
119,2020-03-16 01:00:00+00:00,1.546,1866
120,2020-03-17 01:00:00+00:00,1.474,1847
121,2020-03-18 01:00:00+00:00,1.413,1771
122,2020-03-19 01:00:00+00:00,1.437,1695
123,2020-03-20 01:00:00+00:00,1.421,1678
124,2020-03-21 01:00:00+00:00,1.536,1511
125,2020-03-22 01:00:00+00:00,1.512,2036
126,2020-03-23 01:00:00+00:00,1.588,1741
127,2020-03-24 01:00:00+00:00,1.538,1668
128,2020-03-25 01:00:00+00:00,1.579,1817
129,2020-03-26 01:00:00+00:00,1.519,1788
130,2020-03-27 01:00:00+00:00,1.541,1690
131,2020-03-28 01:00:00+00:00,1.582,1685
132,2020-03-29 01:00:00+00:00,1.775,1650
133,2020-03-30 01:00:00+00:00,2.086,4327
134,2020-03-31 01:00:00+00:00,1.887,4339
135,2020-04-01 01:00:00+00:00,1.829,2923
136,2020-04-02 01:00:00+00:00,1.703,2189
137,2020-04-03 01:00:00+00:00,1.576,2126
138,2020-04-04 01:00:00+00:00,1.645,1933
139,2020-04-05 01:00:00+00:00,1.659,1793
140,2020-04-06 01:00:00+00:00,1.626,1874
141,2020-04-07 01:00:00+00:00,1.585,1788
142,2020-04-08 01:00:00+00:00,1.594,1706
143,2020-04-09 01:00:00+00:00,1.579,1563
144,2020-04-10 01:00:00+00:00,1.616,1670
145,2020-04-11 01:00:00+00:00,1.639,1740
146,2020-04-12 01:00:00+00:00,1.652,1626
147,2020-04-13 01:00:00+00:00,1.641,1559
148,2020-04-14 01:00:00+00:00,1.662,1547
149,2020-04-15 01:00:00+00:00,1.694,1451
150,2020-04-16 01:00:00+00:00,1.746,1359
151,2020-04-17 01:00:00+00:00,1.71,1465
152,2020-04-18 01:00:00+00:00,1.734,1474
153,2020-04-19 01:00:00+00:00,1.743,1363
154,2020-04-20 01:00:00+00:00,1.749,1258
155,2020-04-21 01:00:00+00:00,1.706,1208
156,2020-04-22 01:00:00+00:00,1.66,1211
157,2020-04-23 01:00:00+00:00,1.62,1228
158,2020-04-24 01:00:00+00:00,1.641,1300
159,2020-04-25 01:00:00+00:00,1.677,1308
160,2020-04-26 01:00:00+00:00,1.656,1144
161,2020-04-27 01:00:00+00:00,1.625,1157
162,2020-04-28 01:00:00+00:00,1.597,1166
163,2020-04-29 01:00:00+00:00,1.582,1132
164,2020-04-30 01:00:00+00:00,1.595,1250
165,2020-05-01 01:00:00+00:00,1.605,1234
166,2020-05-02 01:00:00+00:00,1.608,1147
167,2020-05-03 01:00:00+00:00,1.613,1144
168,2020-05-04 01:00:00+00:00,1.588,1063
169,2020-05-05 01:00:00+00:00,1.642,1179
170,2020-05-06 01:00:00+00:00,1.654,1113
171,2020-05-07 01:00:00+00:00,1.645,1019
172,2020-05-08 01:00:00+00:00,1.656,1057
173,2020-05-09 01:00:00+00:00,1.673,1158
174,2020-05-10 01:00:00+00:00,1.628,1078
175,2020-05-11 01:00:00+00:00,1.692,1062
176,2020-05-12 01:00:00+00:00,1.687,931
177,2020-05-13 01:00:00+00:00,1.68,980
178,2020-05-14 01:00:00+00:00,1.696,951
179,2020-05-15 01:00:00+00:00,1.669,996
180,2020-05-16 01:00:00+00:00,1.699,930
181,2020-05-17 01:00:00+00:00,1.719,938
182,2020-05-18 01:00:00+00:00,1.697,881
183,2020-05-19 01:00:00+00:00,1.672,894
184,2020-05-20 01:00:00+00:00,1.702,920
185,2020-05-21 01:00:00+00:00,1.704,856
186,2020-05-22 01:00:00+00:00,1.702,932
187,2020-05-23 01:00:00+00:00,1.712,895
188,2020-05-24 01:00:00+00:00,1.688,917
189,2020-05-25 01:00:00+00:00,1.657,981
190,2020-05-26 01:00:00+00:00,1.496,1008
191,2020-05-27 01:00:00+00:00,1.568,871
192,2020-05-28 01:00:00+00:00,1.608,983
193,2020-05-29 01:00:00+00:00,1.623,902
194,2020-05-30 01:00:00+00:00,1.659,911
195,2020-05-31 01:00:00+00:00,1.682,921
196,2020-06-01 01:00:00+00:00,1.7,915
197,2020-06-02 01:00:00+00:00,1.717,800
198,2020-06-03 01:00:00+00:00,1.716,812
199,2020-06-04 01:00:00+00:00,1.709,807
200,2020-06-05 01:00:00+00:00,1.658,792
201,2020-06-06 01:00:00+00:00,1.695,863
202,2020-06-07 01:00:00+00:00,1.685,789
203,2020-06-08 01:00:00+00:00,1.715,825
204,2020-06-09 01:00:00+00:00,1.714,758
205,2020-06-10 01:00:00+00:00,1.69,704
206,2020-06-11 01:00:00+00:00,1.688,778
207,2020-06-12 01:00:00+00:00,1.69,747
208,2020-06-13 01:00:00+00:00,1.699,732
209,2020-06-14 01:00:00+00:00,1.693,770
210,2020-06-15 01:00:00+00:00,1.712,723
211,2020-06-16 01:00:00+00:00,1.676,660
212,2020-06-17 01:00:00+00:00,1.633,701
213,2020-06-18 01:00:00+00:00,1.628,660
214,2020-06-19 01:00:00+00:00,1.596,738
215,2020-06-20 01:00:00+00:00,1.615,667
216,2020-06-21 01:00:00+00:00,1.608,720
217,2020-06-22 01:00:00+00:00,1.554,699
218,2020-06-23 01:00:00+00:00,1.576,729
219,2020-06-24 01:00:00+00:00,1.56,778
220,2020-06-25 01:00:00+00:00,1.489,979
221,2020-06-26 01:00:00+00:00,1.405,1223
222,2020-06-27 01:00:00+00:00,1.416,942
223,2020-06-28 01:00:00+00:00,1.401,810
224,2020-06-29 01:00:00+00:00,1.414,841
225,2020-06-30 01:00:00+00:00,1.395,801
226,2020-07-01 01:00:00+00:00,1.467,834
227,2020-07-02 01:00:00+00:00,1.483,744
228,2020-07-03 01:00:00+00:00,1.47,763
229,2020-07-04 01:00:00+00:00,1.478,725
230,2020-07-05 01:00:00+00:00,1.47,762
231,2020-07-06 01:00:00+00:00,1.503,751
232,2020-07-07 01:00:00+00:00,1.499,756
233,2020-07-08 01:00:00+00:00,1.523,759
234,2020-07-09 01:00:00+00:00,1.544,722
235,2020-07-10 01:00:00+00:00,1.625,637
236,2020-07-11 01:00:00+00:00,1.665,719
237,2020-07-12 01:00:00+00:00,1.702,690
238,2020-07-13 01:00:00+00:00,1.725,718
239,2020-07-14 01:00:00+00:00,1.712,679
240,2020-07-15 01:00:00+00:00,1.745,670
241,2020-07-16 01:00:00+00:00,1.791,624
242,2020-07-17 01:00:00+00:00,1.796,581
243,2020-07-18 01:00:00+00:00,1.826,591
244,2020-07-19 01:00:00+00:00,1.808,619
245,2020-07-20 01:00:00+00:00,1.807,604
246,2020-07-21 01:00:00+00:00,1.834,657
247,2020-07-22 01:00:00+00:00,1.873,688
248,2020-07-23 01:00:00+00:00,1.993,712
249,2020-07-24 01:00:00+00:00,2.005,625
250,2020-07-25 01:00:00+00:00,1.991,530
251,2020-07-26 01:00:00+00:00,1.992,544
252,2020-07-27 01:00:00+00:00,1.936,597
253,2020-07-28 01:00:00+00:00,1.967,566
254,2020-07-29 01:00:00+00:00,1.948,572
255,2020-07-30 01:00:00+00:00,1.903,578
256,2020-07-31 01:00:00+00:00,1.938,589
257,2020-08-01 01:00:00+00:00,1.962,636
258,2020-08-02 01:00:00+00:00,1.969,574
259,2020-08-03 01:00:00+00:00,1.987,648
260,2020-08-04 01:00:00+00:00,2.074,601
261,2020-08-05 01:00:00+00:00,2.112,575
262,2020-08-06 01:00:00+00:00,2.062,561
263,2020-08-07 01:00:00+00:00,2.065,644
264,2020-08-08 01:00:00+00:00,2.135,636
265,2020-08-09 01:00:00+00:00,2.11,649
266,2020-08-10 01:00:00+00:00,2.165,677
267,2020-08-11 01:00:00+00:00,2.144,665
268,2020-08-12 01:00:00+00:00,2.1,624
269,2020-08-13 01:00:00+00:00,2.112,698
270,2020-08-14 01:00:00+00:00,2.102,693
271,2020-08-15 01:00:00+00:00,2.132,660
272,2020-08-16 01:00:00+00:00,2.062,617
273,2020-08-17 01:00:00+00:00,2.061,584
274,2020-08-18 01:00:00+00:00,2.046,639
275,2020-08-19 01:00:00+00:00,1.996,659
276,2020-08-20 01:00:00+00:00,2.011,656
277,2020-08-21 01:00:00+00:00,2.048,577
278,2020-08-22 01:00:00+00:00,2.002,659
279,2020-08-23 01:00:00+00:00,2.037,648
280,2020-08-24 01:00:00+00:00,2.015,618
281,2020-08-25 01:00:00+00:00,1.991,603
282,2020-08-26 01:00:00+00:00,1.969,606
283,2020-08-27 01:00:00+00:00,1.978,557
284,2020-08-28 01:00:00+00:00,1.978,629
285,2020-08-29 01:00:00+00:00,1.975,629
286,2020-08-30 01:00:00+00:00,1.939,627
287,2020-08-31 01:00:00+00:00,1.944,570
288,2020-09-01 01:00:00+00:00,1.95,561
289,2020-09-02 01:00:00+00:00,1.954,466
290,2020-09-03 01:00:00+00:00,1.953,464
291,2020-09-04 01:00:00+00:00,1.941,556
292,2020-09-05 01:00:00+00:00,1.92,603
293,2020-09-06 01:00:00+00:00,1.934,591
294,2020-09-07 01:00:00+00:00,1.915,533
295,2020-09-08 01:00:00+00:00,1.946,524
296,2020-09-09 01:00:00+00:00,1.893,501
297,2020-09-10 01:00:00+00:00,1.899,477
298,2020-09-11 01:00:00+00:00,1.947,553
299,2020-09-12 01:00:00+00:00,1.946,570
300,2020-09-13 01:00:00+00:00,1.916,641
301,2020-09-14 01:00:00+00:00,1.918,565
302,2020-09-15 01:00:00+00:00,1.967,534
303,2020-09-16 01:00:00+00:00,1.986,551
304,2020-09-17 01:00:00+00:00,1.916,557
305,2020-09-18 01:00:00+00:00,1.879,556
306,2020-09-19 01:00:00+00:00,1.892,680
307,2020-09-20 01:00:00+00:00,1.88,675
308,2020-09-21 01:00:00+00:00,1.848,624
309,2020-09-22 01:00:00+00:00,1.856,611
310,2020-09-23 01:00:00+00:00,1.876,587
311,2020-09-24 01:00:00+00:00,1.919,1044
312,2020-09-25 01:00:00+00:00,1.895,596
313,2020-09-26 01:00:00+00:00,1.903,648
314,2020-09-27 01:00:00+00:00,1.894,601
315,2020-09-28 01:00:00+00:00,1.92,521
316,2020-09-29 01:00:00+00:00,1.863,551
317,2020-09-30 01:00:00+00:00,1.915,518
318,2020-10-01 01:00:00+00:00,1.957,487
319,2020-10-02 01:00:00+00:00,1.994,588
320,2020-10-03 01:00:00+00:00,1.979,575
321,2020-10-04 01:00:00+00:00,1.949,603
322,2020-10-05 01:00:00+00:00,1.983,569
323,2020-10-06 01:00:00+00:00,1.989,540
324,2020-10-07 01:00:00+00:00,2.007,521
325,2020-10-08 01:00:00+00:00,1.993,545
326,2020-10-09 01:00:00+00:00,2.0,520
327,2020-10-10 01:00:00+00:00,2.029,546
328,2020-10-11 01:00:00+00:00,2.037,541
329,2020-10-12 01:00:00+00:00,2.079,524
330,2020-10-13 01:00:00+00:00,2.093,457
331,2020-10-14 01:00:00+00:00,2.05,477
332,2020-10-15 01:00:00+00:00,2.15,489
333,2020-10-16 01:00:00+00:00,2.162,477
334,2020-10-17 01:00:00+00:00,2.194,497
335,2020-10-18 01:00:00+00:00,2.171,496
336,2020-10-19 01:00:00+00:00,2.115,437
337,2020-10-20 01:00:00+00:00,2.109,441
338,2020-10-21 01:00:00+00:00,2.105,446
339,2020-10-22 01:00:00+00:00,2.106,411
340,2020-10-23 01:00:00+00:00,2.128,482
341,2020-10-24 01:00:00+00:00,2.106,504
342,2020-10-25 01:00:00+00:00,2.118,475
343,2020-10-26 01:00:00+00:00,2.113,454
344,2020-10-27 01:00:00+00:00,2.068,438
345,2020-10-28 01:00:00+00:00,2.087,448
346,2020-10-29 01:00:00+00:00,2.048,469
347,2020-10-30 01:00:00+00:00,1.931,609
348,2020-10-31 01:00:00+00:00,1.948,580
349,2020-11-01 01:00:00+00:00,1.963,531
350,2020-11-02 01:00:00+00:00,1.969,444
351,2020-11-03 01:00:00+00:00,2.035,474
352,2020-11-04 01:00:00+00:00,2.049,511
353,2020-11-05 01:00:00+00:00,2.064,540
354,2020-11-06 01:00:00+00:00,2.068,483
355,2020-11-07 01:00:00+00:00,2.049,522
356,2020-11-08 01:00:00+00:00,2.044,570
