,date,price,volume
60,2021-11-21 01:00:00+00:00,3.371,514
61,2021-11-22 01:00:00+00:00,3.333,377
62,2021-11-23 01:00:00+00:00,3.325,416
63,2021-11-24 01:00:00+00:00,3.202,652
64,2021-11-25 01:00:00+00:00,3.004,733
65,2021-11-26 01:00:00+00:00,2.94,587
66,2021-11-27 01:00:00+00:00,3.002,646
67,2021-11-28 01:00:00+00:00,3.01,535
68,2021-11-29 01:00:00+00:00,3.049,449
69,2021-11-30 01:00:00+00:00,2.905,704
70,2021-12-01 01:00:00+00:00,2.787,795
71,2021-12-02 01:00:00+00:00,2.952,587
72,2021-12-03 01:00:00+00:00,3.038,572
73,2021-12-04 01:00:00+00:00,3.251,596
74,2021-12-05 01:00:00+00:00,3.325,525
75,2021-12-06 01:00:00+00:00,3.372,471
76,2021-12-07 01:00:00+00:00,3.404,452
77,2021-12-08 01:00:00+00:00,3.319,636
78,2021-12-09 01:00:00+00:00,3.212,578
79,2021-12-10 01:00:00+00:00,3.298,568
80,2021-12-11 01:00:00+00:00,3.378,560
81,2021-12-12 01:00:00+00:00,3.325,496
82,2021-12-13 01:00:00+00:00,3.366,413
83,2021-12-14 01:00:00+00:00,3.37,410
84,2021-12-15 01:00:00+00:00,3.23,565
85,2021-12-16 01:00:00+00:00,3.164,493
86,2021-12-17 01:00:00+00:00,3.198,455
87,2021-12-18 01:00:00+00:00,3.28,520
88,2021-12-19 01:00:00+00:00,3.267,534
89,2021-12-20 01:00:00+00:00,3.279,397
90,2021-12-21 01:00:00+00:00,3.229,433
91,2021-12-22 01:00:00+00:00,3.083,635
92,2021-12-23 01:00:00+00:00,2.998,672
93,2021-12-24 01:00:00+00:00,3.064,617
94,2021-12-25 01:00:00+00:00,3.146,654
95,2021-12-26 01:00:00+00:00,3.213,616
96,2021-12-27 01:00:00+00:00,3.265,552
97,2021-12-28 01:00:00+00:00,3.283,546
98,2021-12-29 01:00:00+00:00,3.211,771
99,2021-12-30 01:00:00+00:00,3.309,701
100,2021-12-31 01:00:00+00:00,3.427,558
101,2022-01-01 01:00:00+00:00,3.476,638
102,2022-01-02 01:00:00+00:00,3.411,670
103,2022-01-03 01:00:00+00:00,3.489,567
104,2022-01-04 01:00:00+00:00,3.37,608
105,2022-01-05 01:00:00+00:00,3.354,1017
106,2022-01-06 01:00:00+00:00,3.504,749
107,2022-01-07 01:00:00+00:00,3.503,664
108,2022-01-08 01:00:00+00:00,3.555,659
109,2022-01-09 01:00:00+00:00,3.585,654
110,2022-01-10 01:00:00+00:00,3.573,540
111,2022-01-11 01:00:00+00:00,3.574,508
112,2022-01-12 01:00:00+00:00,3.581,504
113,2022-01-13 01:00:00+00:00,3.56,518
114,2022-01-14 01:00:00+00:00,3.517,574
115,2022-01-15 01:00:00+00:00,3.551,562
116,2022-01-16 01:00:00+00:00,3.615,525
117,2022-01-17 01:00:00+00:00,3.669,490
118,2022-01-18 01:00:00+00:00,3.614,462
119,2022-01-19 01:00:00+00:00,3.681,474
120,2022-01-20 01:00:00+00:00,3.655,466
121,2022-01-21 01:00:00+00:00,3.671,623
122,2022-01-22 01:00:00+00:00,3.663,637
123,2022-01-23 01:00:00+00:00,3.63,589
124,2022-01-24 01:00:00+00:00,3.713,516
125,2022-01-25 01:00:00+00:00,3.612,516
126,2022-01-26 01:00:00+00:00,3.613,527
127,2022-01-27 01:00:00+00:00,3.546,548
128,2022-01-28 01:00:00+00:00,3.475,642
129,2022-01-29 01:00:00+00:00,3.514,616
130,2022-01-30 01:00:00+00:00,3.448,629
131,2022-01-31 01:00:00+00:00,3.469,531
132,2022-02-01 01:00:00+00:00,3.566,639
133,2022-02-02 01:00:00+00:00,3.645,599
134,2022-02-03 01:00:00+00:00,3.716,558
135,2022-02-04 01:00:00+00:00,3.822,483
136,2022-02-05 01:00:00+00:00,3.888,476
137,2022-02-06 01:00:00+00:00,3.786,491
138,2022-02-07 01:00:00+00:00,3.955,392
139,2022-02-08 01:00:00+00:00,3.846,398
140,2022-02-09 01:00:00+00:00,3.854,390
141,2022-02-10 01:00:00+00:00,3.871,408
142,2022-02-11 01:00:00+00:00,3.916,412
143,2022-02-12 01:00:00+00:00,3.981,413
144,2022-02-13 01:00:00+00:00,3.95,399
145,2022-02-14 01:00:00+00:00,3.927,390
146,2022-02-15 01:00:00+00:00,4.057,377
147,2022-02-16 01:00:00+00:00,4.152,388
148,2022-02-17 01:00:00+00:00,4.201,386
149,2022-02-18 01:00:00+00:00,4.279,433
150,2022-02-19 01:00:00+00:00,4.357,415
151,2022-02-20 01:00:00+00:00,4.289,419
152,2022-02-21 01:00:00+00:00,4.241,360
153,2022-02-22 01:00:00+00:00,4.285,349
154,2022-02-23 01:00:00+00:00,4.247,342
155,2022-02-24 01:00:00+00:00,4.225,294
156,2022-02-25 01:00:00+00:00,4.266,306
157,2022-02-26 01:00:00+00:00,4.241,401
158,2022-02-27 01:00:00+00:00,4.297,354
159,2022-02-28 01:00:00+00:00,4.285,360
160,2022-03-01 01:00:00+00:00,4.266,309
161,2022-03-02 01:00:00+00:00,4.217,345
162,2022-03-03 01:00:00+00:00,4.281,382
