,date,price,volume
60,2021-11-21 01:00:00+00:00,4.695,237
61,2021-11-22 01:00:00+00:00,4.703,191
62,2021-11-23 01:00:00+00:00,4.739,178
63,2021-11-24 01:00:00+00:00,4.5,335
64,2021-11-25 01:00:00+00:00,4.148,275
65,2021-11-26 01:00:00+00:00,3.882,270
66,2021-11-27 01:00:00+00:00,4.002,260
67,2021-11-28 01:00:00+00:00,3.919,257
68,2021-11-29 01:00:00+00:00,4.076,199
69,2021-11-30 01:00:00+00:00,3.966,315
70,2021-12-01 01:00:00+00:00,3.721,388
71,2021-12-02 01:00:00+00:00,3.926,253
72,2021-12-03 01:00:00+00:00,3.988,272
73,2021-12-04 01:00:00+00:00,4.17,229
74,2021-12-05 01:00:00+00:00,4.231,229
75,2021-12-06 01:00:00+00:00,4.384,173
76,2021-12-07 01:00:00+00:00,4.3,297
77,2021-12-08 01:00:00+00:00,4.012,492
78,2021-12-09 01:00:00+00:00,3.958,337
79,2021-12-10 01:00:00+00:00,3.883,283
80,2021-12-11 01:00:00+00:00,3.919,323
81,2021-12-12 01:00:00+00:00,3.927,263
82,2021-12-13 01:00:00+00:00,3.916,194
83,2021-12-14 01:00:00+00:00,3.917,218
84,2021-12-15 01:00:00+00:00,3.705,416
85,2021-12-16 01:00:00+00:00,3.624,287
86,2021-12-17 01:00:00+00:00,3.568,269
87,2021-12-18 01:00:00+00:00,3.463,294
88,2021-12-19 01:00:00+00:00,3.499,277
89,2021-12-20 01:00:00+00:00,3.487,253
90,2021-12-21 01:00:00+00:00,3.461,263
91,2021-12-22 01:00:00+00:00,3.413,385
92,2021-12-23 01:00:00+00:00,3.298,366
93,2021-12-24 01:00:00+00:00,3.188,301
94,2021-12-25 01:00:00+00:00,3.235,306
95,2021-12-26 01:00:00+00:00,3.277,303
96,2021-12-27 01:00:00+00:00,3.192,287
97,2021-12-28 01:00:00+00:00,3.218,315
98,2021-12-29 01:00:00+00:00,3.162,459
99,2021-12-30 01:00:00+00:00,3.217,419
100,2021-12-31 01:00:00+00:00,3.314,348
101,2022-01-01 01:00:00+00:00,3.368,350
102,2022-01-02 01:00:00+00:00,3.38,314
103,2022-01-03 01:00:00+00:00,3.348,310
