,date,price,volume
60,2021-11-21 01:00:00+00:00,2.17,529
61,2021-11-22 01:00:00+00:00,2.224,383
62,2021-11-23 01:00:00+00:00,2.15,376
63,2021-11-24 01:00:00+00:00,1.906,588
64,2021-11-25 01:00:00+00:00,1.741,697
65,2021-11-26 01:00:00+00:00,1.644,602
66,2021-11-27 01:00:00+00:00,1.713,528
67,2021-11-28 01:00:00+00:00,1.681,534
68,2021-11-29 01:00:00+00:00,1.767,455
69,2021-11-30 01:00:00+00:00,1.682,609
70,2021-12-01 01:00:00+00:00,1.56,787
71,2021-12-02 01:00:00+00:00,1.59,542
72,2021-12-03 01:00:00+00:00,1.727,581
73,2021-12-04 01:00:00+00:00,1.841,601
74,2021-12-05 01:00:00+00:00,1.89,504
75,2021-12-06 01:00:00+00:00,1.891,384
76,2021-12-07 01:00:00+00:00,1.957,442
77,2021-12-08 01:00:00+00:00,1.897,574
78,2021-12-09 01:00:00+00:00,1.893,516
79,2021-12-10 01:00:00+00:00,1.879,469
80,2021-12-11 01:00:00+00:00,1.835,565
81,2021-12-12 01:00:00+00:00,1.874,484
82,2021-12-13 01:00:00+00:00,1.866,381
83,2021-12-14 01:00:00+00:00,1.844,385
84,2021-12-15 01:00:00+00:00,1.717,586
85,2021-12-16 01:00:00+00:00,1.704,472
86,2021-12-17 01:00:00+00:00,1.675,486
87,2021-12-18 01:00:00+00:00,1.648,511
88,2021-12-19 01:00:00+00:00,1.663,504
89,2021-12-20 01:00:00+00:00,1.617,425
90,2021-12-21 01:00:00+00:00,1.649,412
91,2021-12-22 01:00:00+00:00,1.464,652
92,2021-12-23 01:00:00+00:00,1.439,634
93,2021-12-24 01:00:00+00:00,1.461,591
94,2021-12-25 01:00:00+00:00,1.466,597
95,2021-12-26 01:00:00+00:00,1.501,601
96,2021-12-27 01:00:00+00:00,1.516,550
97,2021-12-28 01:00:00+00:00,1.543,601
98,2021-12-29 01:00:00+00:00,1.541,812
99,2021-12-30 01:00:00+00:00,1.562,713
100,2021-12-31 01:00:00+00:00,1.592,556
101,2022-01-01 01:00:00+00:00,1.659,681
102,2022-01-02 01:00:00+00:00,1.67,642
103,2022-01-03 01:00:00+00:00,1.639,621
104,2022-01-04 01:00:00+00:00,1.647,683
105,2022-01-05 01:00:00+00:00,1.629,1067
106,2022-01-06 01:00:00+00:00,1.665,831
107,2022-01-07 01:00:00+00:00,1.67,682
108,2022-01-08 01:00:00+00:00,1.67,724
109,2022-01-09 01:00:00+00:00,1.699,617
110,2022-01-10 01:00:00+00:00,1.632,519
111,2022-01-11 01:00:00+00:00,1.596,514
112,2022-01-12 01:00:00+00:00,1.668,541
113,2022-01-13 01:00:00+00:00,1.627,518
114,2022-01-14 01:00:00+00:00,1.62,518
115,2022-01-15 01:00:00+00:00,1.643,543
116,2022-01-16 01:00:00+00:00,1.618,572
117,2022-01-17 01:00:00+00:00,1.597,425
118,2022-01-18 01:00:00+00:00,1.596,493
119,2022-01-19 01:00:00+00:00,1.554,449
120,2022-01-20 01:00:00+00:00,1.553,482
121,2022-01-21 01:00:00+00:00,1.547,654
122,2022-01-22 01:00:00+00:00,1.576,669
123,2022-01-23 01:00:00+00:00,1.623,642
124,2022-01-24 01:00:00+00:00,1.619,565
125,2022-01-25 01:00:00+00:00,1.646,552
126,2022-01-26 01:00:00+00:00,1.588,537
127,2022-01-27 01:00:00+00:00,1.618,499
128,2022-01-28 01:00:00+00:00,1.557,630
129,2022-01-29 01:00:00+00:00,1.596,662
130,2022-01-30 01:00:00+00:00,1.583,614
131,2022-01-31 01:00:00+00:00,1.606,559
132,2022-02-01 01:00:00+00:00,1.685,640
133,2022-02-02 01:00:00+00:00,1.695,556
134,2022-02-03 01:00:00+00:00,1.745,567
135,2022-02-04 01:00:00+00:00,1.792,487
136,2022-02-05 01:00:00+00:00,1.858,499
137,2022-02-06 01:00:00+00:00,1.895,470
138,2022-02-07 01:00:00+00:00,1.783,435
139,2022-02-08 01:00:00+00:00,1.762,417
140,2022-02-09 01:00:00+00:00,1.774,407
141,2022-02-10 01:00:00+00:00,1.836,373
142,2022-02-11 01:00:00+00:00,1.82,419
143,2022-02-12 01:00:00+00:00,1.879,407
144,2022-02-13 01:00:00+00:00,1.872,419
