,date,price,volume
60,2021-02-01 01:00:00+00:00,2.004,386
61,2021-02-02 01:00:00+00:00,2.055,456
62,2021-02-03 01:00:00+00:00,1.964,714
63,2021-02-04 01:00:00+00:00,1.98,637
64,2021-02-05 01:00:00+00:00,2.007,574
65,2021-02-06 01:00:00+00:00,2.018,511
66,2021-02-07 01:00:00+00:00,2.012,471
67,2021-02-08 01:00:00+00:00,1.964,405
68,2021-02-09 01:00:00+00:00,1.92,439
69,2021-02-10 01:00:00+00:00,1.745,694
70,2021-02-11 01:00:00+00:00,1.821,537
71,2021-02-12 01:00:00+00:00,1.823,535
72,2021-02-13 01:00:00+00:00,1.826,619
73,2021-02-14 01:00:00+00:00,1.776,527
74,2021-02-15 01:00:00+00:00,1.838,458
75,2021-02-16 01:00:00+00:00,1.916,557
76,2021-02-17 01:00:00+00:00,1.95,632
77,2021-02-18 01:00:00+00:00,2.015,554
78,2021-02-19 01:00:00+00:00,2.125,509
79,2021-02-20 01:00:00+00:00,2.17,491
80,2021-02-21 01:00:00+00:00,2.122,427
81,2021-02-22 01:00:00+00:00,2.004,398
82,2021-02-23 01:00:00+00:00,2.035,403
83,2021-02-24 01:00:00+00:00,1.909,581
84,2021-02-25 01:00:00+00:00,1.974,504
85,2021-02-26 01:00:00+00:00,2.008,482
86,2021-02-27 01:00:00+00:00,1.986,481
87,2021-02-28 01:00:00+00:00,2.037,532
88,2021-03-01 01:00:00+00:00,2.02,410
89,2021-03-02 01:00:00+00:00,2.083,407
90,2021-03-03 01:00:00+00:00,2.008,524
91,2021-03-04 01:00:00+00:00,2.062,497
92,2021-03-05 01:00:00+00:00,2.211,512
93,2021-03-06 01:00:00+00:00,2.286,490
94,2021-03-07 01:00:00+00:00,2.307,501
95,2021-03-08 01:00:00+00:00,2.325,460
96,2021-03-09 01:00:00+00:00,2.209,437
97,2021-03-10 01:00:00+00:00,2.059,542
98,2021-03-11 01:00:00+00:00,2.092,544
99,2021-03-12 01:00:00+00:00,2.14,505
100,2021-03-13 01:00:00+00:00,2.128,492
101,2021-03-14 01:00:00+00:00,2.138,497
102,2021-03-15 01:00:00+00:00,2.164,373
103,2021-03-16 01:00:00+00:00,2.131,383
104,2021-03-17 01:00:00+00:00,2.02,657
105,2021-03-18 01:00:00+00:00,2.053,550
106,2021-03-19 01:00:00+00:00,2.01,608
107,2021-03-20 01:00:00+00:00,2.065,594
108,2021-03-21 01:00:00+00:00,2.177,533
109,2021-03-22 01:00:00+00:00,2.151,407
110,2021-03-23 01:00:00+00:00,2.172,374
111,2021-03-24 01:00:00+00:00,2.092,411
112,2021-03-25 01:00:00+00:00,2.039,424
113,2021-03-26 01:00:00+00:00,2.084,379
114,2021-03-27 01:00:00+00:00,2.028,400
115,2021-03-28 01:00:00+00:00,2.051,394
116,2021-03-29 01:00:00+00:00,2.055,330
117,2021-03-30 01:00:00+00:00,2.029,336
118,2021-03-31 01:00:00+00:00,2.018,391
119,2021-04-01 01:00:00+00:00,2.052,338
120,2021-04-02 01:00:00+00:00,2.041,356
121,2021-04-03 01:00:00+00:00,2.091,360
122,2021-04-04 01:00:00+00:00,2.14,374
123,2021-04-05 01:00:00+00:00,2.133,367
124,2021-04-06 01:00:00+00:00,2.091,358
125,2021-04-07 01:00:00+00:00,1.943,493
126,2021-04-08 01:00:00+00:00,1.804,554
127,2021-04-09 01:00:00+00:00,1.805,516
128,2021-04-10 01:00:00+00:00,1.884,446
129,2021-04-11 01:00:00+00:00,1.87,402
130,2021-04-12 01:00:00+00:00,1.83,329
131,2021-04-13 01:00:00+00:00,1.812,353
132,2021-04-14 01:00:00+00:00,1.892,93
133,2021-04-15 01:00:00+00:00,1.854,437
134,2021-04-16 01:00:00+00:00,1.887,338
135,2021-04-17 01:00:00+00:00,1.925,385
136,2021-04-18 01:00:00+00:00,1.923,377
137,2021-04-19 01:00:00+00:00,1.882,309
138,2021-04-20 01:00:00+00:00,1.881,309
139,2021-04-21 01:00:00+00:00,1.869,310
140,2021-04-22 01:00:00+00:00,1.898,271
141,2021-04-23 01:00:00+00:00,1.831,307
142,2021-04-24 01:00:00+00:00,1.885,311
143,2021-04-25 01:00:00+00:00,1.892,315
144,2021-04-26 01:00:00+00:00,1.902,317
145,2021-04-27 01:00:00+00:00,1.841,289
146,2021-04-28 01:00:00+00:00,1.887,340
147,2021-04-29 01:00:00+00:00,1.854,279
148,2021-04-30 01:00:00+00:00,1.983,362
149,2021-05-01 01:00:00+00:00,2.03,314
150,2021-05-02 01:00:00+00:00,2.041,309
151,2021-05-03 01:00:00+00:00,1.953,318
152,2021-05-04 01:00:00+00:00,1.947,381
153,2021-05-05 01:00:00+00:00,2.03,368
154,2021-05-06 01:00:00+00:00,2.038,305
155,2021-05-07 01:00:00+00:00,2.114,352
156,2021-05-08 01:00:00+00:00,2.064,321
157,2021-05-09 01:00:00+00:00,2.154,328
158,2021-05-10 01:00:00+00:00,2.133,317
159,2021-05-11 01:00:00+00:00,2.154,271
160,2021-05-12 01:00:00+00:00,2.204,302
161,2021-05-13 01:00:00+00:00,2.237,302
162,2021-05-14 01:00:00+00:00,2.3,332
163,2021-05-15 01:00:00+00:00,2.341,268
164,2021-05-16 01:00:00+00:00,2.314,265
165,2021-05-17 01:00:00+00:00,2.31,303
166,2021-05-18 01:00:00+00:00,2.293,240
167,2021-05-19 01:00:00+00:00,2.258,235
168,2021-05-20 01:00:00+00:00,2.321,268
169,2021-05-21 01:00:00+00:00,2.349,256
170,2021-05-22 01:00:00+00:00,2.39,266
171,2021-05-23 01:00:00+00:00,2.43,255
172,2021-05-24 01:00:00+00:00,2.462,212
173,2021-05-25 01:00:00+00:00,2.456,203
174,2021-05-26 01:00:00+00:00,2.498,203
175,2021-05-27 01:00:00+00:00,2.399,216
176,2021-05-28 01:00:00+00:00,2.416,240
177,2021-05-29 01:00:00+00:00,2.416,274
178,2021-05-30 01:00:00+00:00,2.375,265
179,2021-05-31 01:00:00+00:00,2.405,268
180,2021-06-01 01:00:00+00:00,2.436,217
181,2021-06-02 01:00:00+00:00,2.479,183
182,2021-06-03 01:00:00+00:00,2.496,208
183,2021-06-04 01:00:00+00:00,2.462,256
184,2021-06-05 01:00:00+00:00,2.471,254
185,2021-06-06 01:00:00+00:00,2.528,228
186,2021-06-07 01:00:00+00:00,2.528,211
187,2021-06-08 01:00:00+00:00,2.499,212
188,2021-06-09 01:00:00+00:00,2.53,190
189,2021-06-10 01:00:00+00:00,2.507,212
190,2021-06-11 01:00:00+00:00,2.598,204
191,2021-06-12 01:00:00+00:00,2.591,213
192,2021-06-13 01:00:00+00:00,2.509,196
193,2021-06-14 01:00:00+00:00,2.587,195
194,2021-06-15 01:00:00+00:00,2.551,197
195,2021-06-16 01:00:00+00:00,2.647,160
196,2021-06-17 01:00:00+00:00,2.675,159
197,2021-06-18 01:00:00+00:00,2.675,187
198,2021-06-19 01:00:00+00:00,2.776,175
199,2021-06-20 01:00:00+00:00,2.749,191
200,2021-06-21 01:00:00+00:00,2.705,193
201,2021-06-22 01:00:00+00:00,2.72,161
202,2021-06-23 01:00:00+00:00,2.629,152
203,2021-06-24 01:00:00+00:00,2.396,251
204,2021-06-25 01:00:00+00:00,2.239,288
205,2021-06-26 01:00:00+00:00,2.381,242
206,2021-06-27 01:00:00+00:00,2.427,235
207,2021-06-28 01:00:00+00:00,2.42,184
208,2021-06-29 01:00:00+00:00,2.474,206
