,date,price,volume
60,2021-11-21 01:00:00+00:00,6.043,220
61,2021-11-22 01:00:00+00:00,6.137,212
62,2021-11-23 01:00:00+00:00,6.282,228
63,2021-11-24 01:00:00+00:00,6.194,336
64,2021-11-25 01:00:00+00:00,5.731,274
65,2021-11-26 01:00:00+00:00,5.505,253
66,2021-11-27 01:00:00+00:00,5.826,293
67,2021-11-28 01:00:00+00:00,5.861,244
68,2021-11-29 01:00:00+00:00,5.857,221
69,2021-11-30 01:00:00+00:00,6.02,241
70,2021-12-01 01:00:00+00:00,5.849,411
71,2021-12-02 01:00:00+00:00,5.996,268
72,2021-12-03 01:00:00+00:00,6.243,284
73,2021-12-04 01:00:00+00:00,6.493,256
74,2021-12-05 01:00:00+00:00,6.614,232
75,2021-12-06 01:00:00+00:00,6.71,206
76,2021-12-07 01:00:00+00:00,6.837,324
77,2021-12-08 01:00:00+00:00,6.419,549
78,2021-12-09 01:00:00+00:00,6.184,378
79,2021-12-10 01:00:00+00:00,6.238,325
80,2021-12-11 01:00:00+00:00,6.31,307
81,2021-12-12 01:00:00+00:00,6.33,252
82,2021-12-13 01:00:00+00:00,6.386,204
83,2021-12-14 01:00:00+00:00,6.474,237
84,2021-12-15 01:00:00+00:00,6.403,341
85,2021-12-16 01:00:00+00:00,6.086,280
86,2021-12-17 01:00:00+00:00,6.151,286
87,2021-12-18 01:00:00+00:00,6.034,236
88,2021-12-19 01:00:00+00:00,6.06,268
89,2021-12-20 01:00:00+00:00,5.894,218
90,2021-12-21 01:00:00+00:00,5.96,246
91,2021-12-22 01:00:00+00:00,5.898,362
92,2021-12-23 01:00:00+00:00,5.573,318
93,2021-12-24 01:00:00+00:00,5.362,294
94,2021-12-25 01:00:00+00:00,5.467,240
95,2021-12-26 01:00:00+00:00,5.643,258
96,2021-12-27 01:00:00+00:00,5.735,260
97,2021-12-28 01:00:00+00:00,5.93,290
98,2021-12-29 01:00:00+00:00,6.005,508
99,2021-12-30 01:00:00+00:00,6.195,388
100,2021-12-31 01:00:00+00:00,6.301,279
101,2022-01-01 01:00:00+00:00,6.401,306
102,2022-01-02 01:00:00+00:00,6.38,290
103,2022-01-03 01:00:00+00:00,6.44,318
104,2022-01-04 01:00:00+00:00,6.425,427
105,2022-01-05 01:00:00+00:00,6.272,901
106,2022-01-06 01:00:00+00:00,6.409,500
107,2022-01-07 01:00:00+00:00,6.361,420
108,2022-01-08 01:00:00+00:00,6.451,447
