,date,price,volume
60,2021-11-21 01:00:00+00:00,6.235,221
61,2021-11-22 01:00:00+00:00,6.1,167
62,2021-11-23 01:00:00+00:00,6.277,200
63,2021-11-24 01:00:00+00:00,5.999,356
64,2021-11-25 01:00:00+00:00,5.512,288
65,2021-11-26 01:00:00+00:00,5.481,296
66,2021-11-27 01:00:00+00:00,5.749,280
67,2021-11-28 01:00:00+00:00,5.6,231
68,2021-11-29 01:00:00+00:00,5.695,223
69,2021-11-30 01:00:00+00:00,5.765,270
70,2021-12-01 01:00:00+00:00,5.515,439
71,2021-12-02 01:00:00+00:00,5.768,314
72,2021-12-03 01:00:00+00:00,5.993,266
73,2021-12-04 01:00:00+00:00,6.108,269
74,2021-12-05 01:00:00+00:00,6.216,234
75,2021-12-06 01:00:00+00:00,6.166,205
76,2021-12-07 01:00:00+00:00,6.236,319
77,2021-12-08 01:00:00+00:00,6.106,548
78,2021-12-09 01:00:00+00:00,5.862,375
79,2021-12-10 01:00:00+00:00,5.845,311
80,2021-12-11 01:00:00+00:00,5.755,353
81,2021-12-12 01:00:00+00:00,5.775,299
82,2021-12-13 01:00:00+00:00,5.84,243
83,2021-12-14 01:00:00+00:00,5.985,254
84,2021-12-15 01:00:00+00:00,5.779,370
85,2021-12-16 01:00:00+00:00,5.414,310
86,2021-12-17 01:00:00+00:00,5.42,296
87,2021-12-18 01:00:00+00:00,5.319,274
88,2021-12-19 01:00:00+00:00,5.296,304
89,2021-12-20 01:00:00+00:00,5.304,201
90,2021-12-21 01:00:00+00:00,5.241,258
91,2021-12-22 01:00:00+00:00,5.114,417
92,2021-12-23 01:00:00+00:00,4.895,362
93,2021-12-24 01:00:00+00:00,4.63,280
94,2021-12-25 01:00:00+00:00,4.802,308
95,2021-12-26 01:00:00+00:00,4.86,299
96,2021-12-27 01:00:00+00:00,4.891,239
97,2021-12-28 01:00:00+00:00,5.017,314
98,2021-12-29 01:00:00+00:00,5.051,472
99,2021-12-30 01:00:00+00:00,5.249,395
100,2021-12-31 01:00:00+00:00,5.427,322
101,2022-01-01 01:00:00+00:00,5.505,336
102,2022-01-02 01:00:00+00:00,5.464,312
103,2022-01-03 01:00:00+00:00,5.514,329
104,2022-01-04 01:00:00+00:00,5.573,447
105,2022-01-05 01:00:00+00:00,5.448,890
106,2022-01-06 01:00:00+00:00,5.441,577
107,2022-01-07 01:00:00+00:00,5.365,427
108,2022-01-08 01:00:00+00:00,5.342,424
109,2022-01-09 01:00:00+00:00,5.449,389
110,2022-01-10 01:00:00+00:00,5.557,346
111,2022-01-11 01:00:00+00:00,5.634,311
112,2022-01-12 01:00:00+00:00,5.684,284
113,2022-01-13 01:00:00+00:00,5.629,294
114,2022-01-14 01:00:00+00:00,5.579,251
115,2022-01-15 01:00:00+00:00,5.541,284
116,2022-01-16 01:00:00+00:00,5.499,289
117,2022-01-17 01:00:00+00:00,5.555,231
118,2022-01-18 01:00:00+00:00,5.517,235
119,2022-01-19 01:00:00+00:00,5.502,241
120,2022-01-20 01:00:00+00:00,5.522,260
121,2022-01-21 01:00:00+00:00,5.475,305
122,2022-01-22 01:00:00+00:00,5.252,316
123,2022-01-23 01:00:00+00:00,5.303,288
124,2022-01-24 01:00:00+00:00,5.333,252
125,2022-01-25 01:00:00+00:00,5.32,246
126,2022-01-26 01:00:00+00:00,5.33,235
127,2022-01-27 01:00:00+00:00,5.33,245
128,2022-01-28 01:00:00+00:00,5.268,266
129,2022-01-29 01:00:00+00:00,5.234,307
130,2022-01-30 01:00:00+00:00,5.261,256
131,2022-01-31 01:00:00+00:00,5.217,258
132,2022-02-01 01:00:00+00:00,5.491,304
133,2022-02-02 01:00:00+00:00,5.56,223
134,2022-02-03 01:00:00+00:00,5.73,269
135,2022-02-04 01:00:00+00:00,5.779,224
136,2022-02-05 01:00:00+00:00,5.678,219
137,2022-02-06 01:00:00+00:00,5.675,210
138,2022-02-07 01:00:00+00:00,5.681,211
139,2022-02-08 01:00:00+00:00,5.752,179
140,2022-02-09 01:00:00+00:00,5.692,192
141,2022-02-10 01:00:00+00:00,5.726,206
142,2022-02-11 01:00:00+00:00,6.0,210
143,2022-02-12 01:00:00+00:00,6.139,238
144,2022-02-13 01:00:00+00:00,6.186,201
145,2022-02-14 01:00:00+00:00,6.153,170
146,2022-02-15 01:00:00+00:00,6.141,186
147,2022-02-16 01:00:00+00:00,6.217,180
148,2022-02-17 01:00:00+00:00,6.299,190
149,2022-02-18 01:00:00+00:00,6.324,175
150,2022-02-19 01:00:00+00:00,6.342,191
151,2022-02-20 01:00:00+00:00,6.357,205
152,2022-02-21 01:00:00+00:00,6.31,188
153,2022-02-22 01:00:00+00:00,6.487,172
154,2022-02-23 01:00:00+00:00,6.633,124
155,2022-02-24 01:00:00+00:00,6.511,117
156,2022-02-25 01:00:00+00:00,6.492,131
157,2022-02-26 01:00:00+00:00,6.5,157
158,2022-02-27 01:00:00+00:00,6.7,126
159,2022-02-28 01:00:00+00:00,6.695,121
160,2022-03-01 01:00:00+00:00,6.66,102
161,2022-03-02 01:00:00+00:00,6.872,135
162,2022-03-03 01:00:00+00:00,6.931,132
163,2022-03-04 01:00:00+00:00,7.064,145
164,2022-03-05 01:00:00+00:00,7.263,149
165,2022-03-06 01:00:00+00:00,7.552,142
166,2022-03-07 01:00:00+00:00,7.555,139
167,2022-03-08 01:00:00+00:00,7.174,136
168,2022-03-09 01:00:00+00:00,6.816,111
169,2022-03-10 01:00:00+00:00,6.908,111
170,2022-03-11 01:00:00+00:00,7.419,79
171,2022-03-12 01:00:00+00:00,7.422,139
172,2022-03-13 01:00:00+00:00,7.62,128
173,2022-03-14 01:00:00+00:00,7.689,120
174,2022-03-15 01:00:00+00:00,7.738,123
175,2022-03-16 01:00:00+00:00,7.612,114
176,2022-03-17 01:00:00+00:00,7.793,98
177,2022-03-18 01:00:00+00:00,8.096,102
178,2022-03-19 01:00:00+00:00,8.317,110
179,2022-03-20 01:00:00+00:00,8.575,128
180,2022-03-21 01:00:00+00:00,8.77,97
181,2022-03-22 01:00:00+00:00,8.899,89
182,2022-03-23 01:00:00+00:00,8.563,95
183,2022-03-24 01:00:00+00:00,8.548,81
184,2022-03-25 01:00:00+00:00,8.527,95
185,2022-03-26 01:00:00+00:00,8.696,104
186,2022-03-27 01:00:00+00:00,8.712,97
187,2022-03-28 01:00:00+00:00,8.587,90
188,2022-03-29 01:00:00+00:00,8.616,82
189,2022-03-30 01:00:00+00:00,8.691,82
190,2022-03-31 01:00:00+00:00,8.752,92
191,2022-04-01 01:00:00+00:00,8.81,89
192,2022-04-02 01:00:00+00:00,9.057,85
193,2022-04-03 01:00:00+00:00,9.625,81
194,2022-04-04 01:00:00+00:00,9.616,100
195,2022-04-05 01:00:00+00:00,9.538,78
196,2022-04-06 01:00:00+00:00,9.865,78
197,2022-04-07 01:00:00+00:00,9.507,69
198,2022-04-08 01:00:00+00:00,9.466,91
199,2022-04-09 01:00:00+00:00,9.874,70
200,2022-04-10 01:00:00+00:00,10.141,87
201,2022-04-11 01:00:00+00:00,10.331,76
202,2022-04-12 01:00:00+00:00,10.281,87
203,2022-04-13 01:00:00+00:00,10.45,73
204,2022-04-14 01:00:00+00:00,10.703,70
205,2022-04-15 01:00:00+00:00,10.549,77
206,2022-04-16 01:00:00+00:00,10.786,104
207,2022-04-17 01:00:00+00:00,10.931,85
208,2022-04-18 01:00:00+00:00,11.131,75
209,2022-04-19 01:00:00+00:00,11.105,81
210,2022-04-20 01:00:00+00:00,11.124,68
211,2022-04-21 01:00:00+00:00,11.11,49
212,2022-04-22 01:00:00+00:00,11.354,72
213,2022-04-23 01:00:00+00:00,11.442,74
214,2022-04-24 01:00:00+00:00,10.94,72
215,2022-04-25 01:00:00+00:00,10.822,78
216,2022-04-26 01:00:00+00:00,11.259,74
217,2022-04-27 01:00:00+00:00,10.893,71
218,2022-04-28 01:00:00+00:00,11.226,70
219,2022-04-29 01:00:00+00:00,10.855,77
220,2022-04-30 01:00:00+00:00,11.175,81
221,2022-05-01 01:00:00+00:00,11.328,68
222,2022-05-02 01:00:00+00:00,11.054,60
223,2022-05-03 01:00:00+00:00,11.309,83
224,2022-05-04 01:00:00+00:00,10.155,273
225,2022-05-05 01:00:00+00:00,9.872,120
226,2022-05-06 01:00:00+00:00,10.179,112
227,2022-05-07 01:00:00+00:00,10.726,70
228,2022-05-08 01:00:00+00:00,10.454,89
229,2022-05-09 01:00:00+00:00,10.402,72
230,2022-05-10 01:00:00+00:00,10.197,68
231,2022-05-11 01:00:00+00:00,10.377,106
232,2022-05-12 01:00:00+00:00,10.716,77
233,2022-05-13 01:00:00+00:00,10.534,73
234,2022-05-14 01:00:00+00:00,10.541,61
235,2022-05-15 01:00:00+00:00,10.63,76
236,2022-05-16 01:00:00+00:00,10.45,59
237,2022-05-17 01:00:00+00:00,10.993,61
238,2022-05-18 01:00:00+00:00,11.012,69
239,2022-05-19 01:00:00+00:00,11.038,63
240,2022-05-20 01:00:00+00:00,10.977,60
241,2022-05-21 01:00:00+00:00,10.842,80
242,2022-05-22 01:00:00+00:00,10.843,69
243,2022-05-23 01:00:00+00:00,10.772,64
244,2022-05-24 01:00:00+00:00,10.81,62
245,2022-05-25 01:00:00+00:00,10.585,76
246,2022-05-26 01:00:00+00:00,10.88,77
247,2022-05-27 01:00:00+00:00,10.942,63
248,2022-05-28 01:00:00+00:00,10.648,62
249,2022-05-29 01:00:00+00:00,10.926,76
250,2022-05-30 01:00:00+00:00,11.096,64
251,2022-05-31 01:00:00+00:00,11.469,63
252,2022-06-01 01:00:00+00:00,11.353,72
253,2022-06-02 01:00:00+00:00,11.95,70
254,2022-06-03 01:00:00+00:00,11.226,98
