,date,price,volume
60,2021-02-01 01:00:00+00:00,5.019,317
61,2021-02-02 01:00:00+00:00,5.025,313
62,2021-02-03 01:00:00+00:00,4.831,453
63,2021-02-04 01:00:00+00:00,4.901,377
64,2021-02-05 01:00:00+00:00,4.878,342
65,2021-02-06 01:00:00+00:00,4.924,338
66,2021-02-07 01:00:00+00:00,4.77,335
67,2021-02-08 01:00:00+00:00,4.777,291
68,2021-02-09 01:00:00+00:00,4.956,315
69,2021-02-10 01:00:00+00:00,4.658,436
70,2021-02-11 01:00:00+00:00,4.642,374
71,2021-02-12 01:00:00+00:00,4.627,435
72,2021-02-13 01:00:00+00:00,4.624,495
73,2021-02-14 01:00:00+00:00,4.674,419
74,2021-02-15 01:00:00+00:00,4.741,358
75,2021-02-16 01:00:00+00:00,5.001,371
76,2021-02-17 01:00:00+00:00,4.88,543
77,2021-02-18 01:00:00+00:00,4.93,438
78,2021-02-19 01:00:00+00:00,4.994,375
79,2021-02-20 01:00:00+00:00,4.989,363
80,2021-02-21 01:00:00+00:00,4.928,361
81,2021-02-22 01:00:00+00:00,4.922,344
82,2021-02-23 01:00:00+00:00,4.911,353
83,2021-02-24 01:00:00+00:00,4.606,388
84,2021-02-25 01:00:00+00:00,4.626,405
85,2021-02-26 01:00:00+00:00,4.619,388
86,2021-02-27 01:00:00+00:00,4.695,425
87,2021-02-28 01:00:00+00:00,4.585,384
88,2021-03-01 01:00:00+00:00,4.686,328
89,2021-03-02 01:00:00+00:00,4.746,382
90,2021-03-03 01:00:00+00:00,4.809,404
91,2021-03-04 01:00:00+00:00,4.941,401
92,2021-03-05 01:00:00+00:00,5.041,391
93,2021-03-06 01:00:00+00:00,5.071,380
94,2021-03-07 01:00:00+00:00,5.12,373
95,2021-03-08 01:00:00+00:00,5.118,344
96,2021-03-09 01:00:00+00:00,5.043,391
97,2021-03-10 01:00:00+00:00,4.933,446
98,2021-03-11 01:00:00+00:00,4.894,437
99,2021-03-12 01:00:00+00:00,4.882,393
100,2021-03-13 01:00:00+00:00,4.863,446
101,2021-03-14 01:00:00+00:00,5.002,428
102,2021-03-15 01:00:00+00:00,5.003,386
103,2021-03-16 01:00:00+00:00,4.944,397
104,2021-03-17 01:00:00+00:00,4.687,702
105,2021-03-18 01:00:00+00:00,4.773,575
106,2021-03-19 01:00:00+00:00,4.764,591
