,date,price,volume
60,2021-11-21 01:00:00+00:00,2.252,242
61,2021-11-22 01:00:00+00:00,2.267,226
62,2021-11-23 01:00:00+00:00,2.218,206
63,2021-11-24 01:00:00+00:00,2.062,313
64,2021-11-25 01:00:00+00:00,1.95,357
65,2021-11-26 01:00:00+00:00,1.92,341
66,2021-11-27 01:00:00+00:00,2.043,315
67,2021-11-28 01:00:00+00:00,2.079,320
68,2021-11-29 01:00:00+00:00,2.142,229
69,2021-11-30 01:00:00+00:00,2.097,337
70,2021-12-01 01:00:00+00:00,1.949,394
71,2021-12-02 01:00:00+00:00,2.056,282
72,2021-12-03 01:00:00+00:00,2.165,296
73,2021-12-04 01:00:00+00:00,2.267,308
74,2021-12-05 01:00:00+00:00,2.273,263
75,2021-12-06 01:00:00+00:00,2.327,208
76,2021-12-07 01:00:00+00:00,2.318,217
77,2021-12-08 01:00:00+00:00,2.15,313
78,2021-12-09 01:00:00+00:00,2.087,268
79,2021-12-10 01:00:00+00:00,2.055,250
80,2021-12-11 01:00:00+00:00,2.039,251
81,2021-12-12 01:00:00+00:00,2.068,248
82,2021-12-13 01:00:00+00:00,2.098,208
83,2021-12-14 01:00:00+00:00,2.158,184
84,2021-12-15 01:00:00+00:00,1.975,254
85,2021-12-16 01:00:00+00:00,1.966,255
86,2021-12-17 01:00:00+00:00,1.965,231
87,2021-12-18 01:00:00+00:00,1.981,289
88,2021-12-19 01:00:00+00:00,1.987,243
89,2021-12-20 01:00:00+00:00,1.965,199
90,2021-12-21 01:00:00+00:00,1.973,185
91,2021-12-22 01:00:00+00:00,1.906,280
92,2021-12-23 01:00:00+00:00,1.834,328
93,2021-12-24 01:00:00+00:00,1.828,285
94,2021-12-25 01:00:00+00:00,1.861,276
95,2021-12-26 01:00:00+00:00,1.881,285
96,2021-12-27 01:00:00+00:00,1.917,226
97,2021-12-28 01:00:00+00:00,1.941,262
98,2021-12-29 01:00:00+00:00,1.868,366
99,2021-12-30 01:00:00+00:00,1.898,328
100,2021-12-31 01:00:00+00:00,1.958,244
101,2022-01-01 01:00:00+00:00,2.003,291
102,2022-01-02 01:00:00+00:00,2.023,274
103,2022-01-03 01:00:00+00:00,2.024,282
104,2022-01-04 01:00:00+00:00,2.068,348
105,2022-01-05 01:00:00+00:00,1.962,509
106,2022-01-06 01:00:00+00:00,2.086,403
107,2022-01-07 01:00:00+00:00,2.098,337
108,2022-01-08 01:00:00+00:00,2.141,315
109,2022-01-09 01:00:00+00:00,2.106,300
110,2022-01-10 01:00:00+00:00,2.052,275
111,2022-01-11 01:00:00+00:00,2.086,229
