,date,price,volume
60,2021-11-21 01:00:00+00:00,2.969,230
61,2021-11-22 01:00:00+00:00,2.886,215
62,2021-11-23 01:00:00+00:00,2.847,189
63,2021-11-24 01:00:00+00:00,2.699,298
64,2021-11-25 01:00:00+00:00,2.487,277
65,2021-11-26 01:00:00+00:00,2.401,264
66,2021-11-27 01:00:00+00:00,2.428,269
67,2021-11-28 01:00:00+00:00,2.328,272
68,2021-11-29 01:00:00+00:00,2.382,256
69,2021-11-30 01:00:00+00:00,2.34,317
70,2021-12-01 01:00:00+00:00,2.388,309
71,2021-12-02 01:00:00+00:00,2.481,256
72,2021-12-03 01:00:00+00:00,2.622,228
73,2021-12-04 01:00:00+00:00,2.701,231
74,2021-12-05 01:00:00+00:00,2.74,215
75,2021-12-06 01:00:00+00:00,2.832,185
76,2021-12-07 01:00:00+00:00,2.86,207
77,2021-12-08 01:00:00+00:00,2.74,301
78,2021-12-09 01:00:00+00:00,2.67,279
79,2021-12-10 01:00:00+00:00,2.645,274
80,2021-12-11 01:00:00+00:00,2.662,281
81,2021-12-12 01:00:00+00:00,2.731,223
82,2021-12-13 01:00:00+00:00,2.656,211
83,2021-12-14 01:00:00+00:00,2.693,239
84,2021-12-15 01:00:00+00:00,2.525,292
85,2021-12-16 01:00:00+00:00,2.61,232
86,2021-12-17 01:00:00+00:00,2.593,200
87,2021-12-18 01:00:00+00:00,2.534,310
88,2021-12-19 01:00:00+00:00,2.597,256
89,2021-12-20 01:00:00+00:00,2.579,228
90,2021-12-21 01:00:00+00:00,2.544,221
91,2021-12-22 01:00:00+00:00,2.497,275
92,2021-12-23 01:00:00+00:00,2.358,313
93,2021-12-24 01:00:00+00:00,2.29,283
94,2021-12-25 01:00:00+00:00,2.391,291
95,2021-12-26 01:00:00+00:00,2.369,268
96,2021-12-27 01:00:00+00:00,2.392,282
97,2021-12-28 01:00:00+00:00,2.4,266
98,2021-12-29 01:00:00+00:00,2.408,372
99,2021-12-30 01:00:00+00:00,2.464,317
100,2021-12-31 01:00:00+00:00,2.551,268
101,2022-01-01 01:00:00+00:00,2.569,286
102,2022-01-02 01:00:00+00:00,2.543,266
103,2022-01-03 01:00:00+00:00,2.466,282
104,2022-01-04 01:00:00+00:00,2.474,301
105,2022-01-05 01:00:00+00:00,2.47,547
106,2022-01-06 01:00:00+00:00,2.597,414
107,2022-01-07 01:00:00+00:00,2.633,341
108,2022-01-08 01:00:00+00:00,2.598,312
109,2022-01-09 01:00:00+00:00,2.595,317
110,2022-01-10 01:00:00+00:00,2.572,272
111,2022-01-11 01:00:00+00:00,2.567,262
112,2022-01-12 01:00:00+00:00,2.485,246
113,2022-01-13 01:00:00+00:00,2.53,242
114,2022-01-14 01:00:00+00:00,2.546,247
115,2022-01-15 01:00:00+00:00,2.516,284
116,2022-01-16 01:00:00+00:00,2.476,257
117,2022-01-17 01:00:00+00:00,2.474,213
118,2022-01-18 01:00:00+00:00,2.456,233
119,2022-01-19 01:00:00+00:00,2.43,219
120,2022-01-20 01:00:00+00:00,2.37,206
121,2022-01-21 01:00:00+00:00,2.368,324
122,2022-01-22 01:00:00+00:00,2.318,327
123,2022-01-23 01:00:00+00:00,2.308,299
124,2022-01-24 01:00:00+00:00,2.417,260
125,2022-01-25 01:00:00+00:00,2.421,256
126,2022-01-26 01:00:00+00:00,2.39,263
127,2022-01-27 01:00:00+00:00,2.386,271
128,2022-01-28 01:00:00+00:00,2.32,318
129,2022-01-29 01:00:00+00:00,2.294,340
130,2022-01-30 01:00:00+00:00,2.357,301
131,2022-01-31 01:00:00+00:00,2.267,261
132,2022-02-01 01:00:00+00:00,2.387,329
133,2022-02-02 01:00:00+00:00,2.522,326
134,2022-02-03 01:00:00+00:00,2.511,284
135,2022-02-04 01:00:00+00:00,2.546,236
136,2022-02-05 01:00:00+00:00,2.557,230
137,2022-02-06 01:00:00+00:00,2.58,243
138,2022-02-07 01:00:00+00:00,2.561,199
139,2022-02-08 01:00:00+00:00,2.507,222
140,2022-02-09 01:00:00+00:00,2.557,205
141,2022-02-10 01:00:00+00:00,2.59,164
142,2022-02-11 01:00:00+00:00,2.581,203
143,2022-02-12 01:00:00+00:00,2.557,214
144,2022-02-13 01:00:00+00:00,2.574,228
145,2022-02-14 01:00:00+00:00,2.569,215
146,2022-02-15 01:00:00+00:00,2.614,190
147,2022-02-16 01:00:00+00:00,2.619,204
148,2022-02-17 01:00:00+00:00,2.679,202
149,2022-02-18 01:00:00+00:00,2.675,208
150,2022-02-19 01:00:00+00:00,2.704,223
151,2022-02-20 01:00:00+00:00,2.753,192
152,2022-02-21 01:00:00+00:00,2.738,177
153,2022-02-22 01:00:00+00:00,2.765,192
154,2022-02-23 01:00:00+00:00,2.745,189
155,2022-02-24 01:00:00+00:00,2.708,131
156,2022-02-25 01:00:00+00:00,2.66,141
157,2022-02-26 01:00:00+00:00,2.657,181
158,2022-02-27 01:00:00+00:00,2.743,157
159,2022-02-28 01:00:00+00:00,2.756,159
160,2022-03-01 01:00:00+00:00,2.579,180
161,2022-03-02 01:00:00+00:00,2.623,170
162,2022-03-03 01:00:00+00:00,2.704,162
163,2022-03-04 01:00:00+00:00,2.684,177
164,2022-03-05 01:00:00+00:00,2.69,184
165,2022-03-06 01:00:00+00:00,2.751,188
166,2022-03-07 01:00:00+00:00,2.756,220
167,2022-03-08 01:00:00+00:00,2.729,219
168,2022-03-09 01:00:00+00:00,2.651,173
169,2022-03-10 01:00:00+00:00,2.668,148
170,2022-03-11 01:00:00+00:00,2.76,150
171,2022-03-12 01:00:00+00:00,2.793,183
172,2022-03-13 01:00:00+00:00,2.821,165
173,2022-03-14 01:00:00+00:00,2.737,120
174,2022-03-15 01:00:00+00:00,2.735,137
175,2022-03-16 01:00:00+00:00,2.743,154
176,2022-03-17 01:00:00+00:00,2.802,166
177,2022-03-18 01:00:00+00:00,2.827,161
178,2022-03-19 01:00:00+00:00,2.754,157
179,2022-03-20 01:00:00+00:00,2.809,146
180,2022-03-21 01:00:00+00:00,2.87,127
181,2022-03-22 01:00:00+00:00,2.859,112
182,2022-03-23 01:00:00+00:00,2.815,128
183,2022-03-24 01:00:00+00:00,2.906,145
184,2022-03-25 01:00:00+00:00,2.842,125
185,2022-03-26 01:00:00+00:00,2.878,142
186,2022-03-27 01:00:00+00:00,2.919,145
187,2022-03-28 01:00:00+00:00,2.845,124
188,2022-03-29 01:00:00+00:00,2.806,138
189,2022-03-30 01:00:00+00:00,2.919,95
190,2022-03-31 01:00:00+00:00,2.988,114
191,2022-04-01 01:00:00+00:00,2.951,120
192,2022-04-02 01:00:00+00:00,2.966,142
193,2022-04-03 01:00:00+00:00,2.995,128
194,2022-04-04 01:00:00+00:00,2.987,131
195,2022-04-05 01:00:00+00:00,3.082,136
196,2022-04-06 01:00:00+00:00,3.161,132
197,2022-04-07 01:00:00+00:00,3.091,121
198,2022-04-08 01:00:00+00:00,3.201,136
199,2022-04-09 01:00:00+00:00,3.118,148
200,2022-04-10 01:00:00+00:00,3.127,148
201,2022-04-11 01:00:00+00:00,3.132,131
202,2022-04-12 01:00:00+00:00,3.113,120
203,2022-04-13 01:00:00+00:00,3.082,120
204,2022-04-14 01:00:00+00:00,3.21,112
205,2022-04-15 01:00:00+00:00,3.217,114
206,2022-04-16 01:00:00+00:00,3.169,129
207,2022-04-17 01:00:00+00:00,3.18,134
208,2022-04-18 01:00:00+00:00,3.188,122
209,2022-04-19 01:00:00+00:00,3.212,100
210,2022-04-20 01:00:00+00:00,3.269,110
211,2022-04-21 01:00:00+00:00,3.154,105
212,2022-04-22 01:00:00+00:00,3.264,124
213,2022-04-23 01:00:00+00:00,3.326,114
214,2022-04-24 01:00:00+00:00,3.27,118
215,2022-04-25 01:00:00+00:00,3.247,108
216,2022-04-26 01:00:00+00:00,3.173,84
217,2022-04-27 01:00:00+00:00,3.107,95
218,2022-04-28 01:00:00+00:00,3.141,115
219,2022-04-29 01:00:00+00:00,3.194,119
220,2022-04-30 01:00:00+00:00,3.227,127
221,2022-05-01 01:00:00+00:00,3.153,128
222,2022-05-02 01:00:00+00:00,3.186,127
