,date,price,volume
60,2021-11-21 01:00:00+00:00,0.96,395
61,2021-11-22 01:00:00+00:00,1.002,325
62,2021-11-23 01:00:00+00:00,1.039,319
63,2021-11-24 01:00:00+00:00,0.987,546
64,2021-11-25 01:00:00+00:00,0.891,540
65,2021-11-26 01:00:00+00:00,0.955,505
66,2021-11-27 01:00:00+00:00,0.899,436
67,2021-11-28 01:00:00+00:00,0.908,433
68,2021-11-29 01:00:00+00:00,0.893,311
69,2021-11-30 01:00:00+00:00,0.87,494
70,2021-12-01 01:00:00+00:00,0.784,663
71,2021-12-02 01:00:00+00:00,0.781,457
72,2021-12-03 01:00:00+00:00,0.877,415
73,2021-12-04 01:00:00+00:00,0.937,376
74,2021-12-05 01:00:00+00:00,0.974,410
75,2021-12-06 01:00:00+00:00,1.044,287
76,2021-12-07 01:00:00+00:00,1.111,316
77,2021-12-08 01:00:00+00:00,0.955,575
78,2021-12-09 01:00:00+00:00,0.955,441
79,2021-12-10 01:00:00+00:00,1.001,396
80,2021-12-11 01:00:00+00:00,1.015,381
81,2021-12-12 01:00:00+00:00,1.019,329
82,2021-12-13 01:00:00+00:00,1.014,250
83,2021-12-14 01:00:00+00:00,0.992,305
84,2021-12-15 01:00:00+00:00,0.944,484
85,2021-12-16 01:00:00+00:00,0.905,389
86,2021-12-17 01:00:00+00:00,0.926,337
87,2021-12-18 01:00:00+00:00,0.941,381
88,2021-12-19 01:00:00+00:00,0.945,345
89,2021-12-20 01:00:00+00:00,0.933,283
90,2021-12-21 01:00:00+00:00,0.907,318
91,2021-12-22 01:00:00+00:00,0.813,521
92,2021-12-23 01:00:00+00:00,0.842,521
93,2021-12-24 01:00:00+00:00,0.889,420
94,2021-12-25 01:00:00+00:00,0.912,403
95,2021-12-26 01:00:00+00:00,0.944,378
96,2021-12-27 01:00:00+00:00,0.951,365
97,2021-12-28 01:00:00+00:00,0.987,384
98,2021-12-29 01:00:00+00:00,0.961,654
99,2021-12-30 01:00:00+00:00,0.976,451
100,2021-12-31 01:00:00+00:00,0.991,371
101,2022-01-01 01:00:00+00:00,1.012,416
102,2022-01-02 01:00:00+00:00,0.995,432
103,2022-01-03 01:00:00+00:00,0.992,384
104,2022-01-04 01:00:00+00:00,0.985,558
105,2022-01-05 01:00:00+00:00,1.025,1046
106,2022-01-06 01:00:00+00:00,1.077,632
107,2022-01-07 01:00:00+00:00,1.062,557
108,2022-01-08 01:00:00+00:00,1.03,508
109,2022-01-09 01:00:00+00:00,1.018,513
110,2022-01-10 01:00:00+00:00,1.012,389
111,2022-01-11 01:00:00+00:00,1.078,421
112,2022-01-12 01:00:00+00:00,1.113,391
113,2022-01-13 01:00:00+00:00,1.114,364
114,2022-01-14 01:00:00+00:00,1.044,358
115,2022-01-15 01:00:00+00:00,1.044,358
116,2022-01-16 01:00:00+00:00,1.044,359
117,2022-01-17 01:00:00+00:00,1.043,343
118,2022-01-18 01:00:00+00:00,1.019,311
119,2022-01-19 01:00:00+00:00,1.037,352
120,2022-01-20 01:00:00+00:00,1.048,300
121,2022-01-21 01:00:00+00:00,1.002,426
122,2022-01-22 01:00:00+00:00,0.997,438
123,2022-01-23 01:00:00+00:00,1.003,476
124,2022-01-24 01:00:00+00:00,1.043,389
125,2022-01-25 01:00:00+00:00,1.049,360
126,2022-01-26 01:00:00+00:00,1.049,361
127,2022-01-27 01:00:00+00:00,1.062,336
128,2022-01-28 01:00:00+00:00,1.028,419
129,2022-01-29 01:00:00+00:00,1.027,497
130,2022-01-30 01:00:00+00:00,1.046,430
131,2022-01-31 01:00:00+00:00,1.042,335
132,2022-02-01 01:00:00+00:00,1.112,363
133,2022-02-02 01:00:00+00:00,1.14,381
134,2022-02-03 01:00:00+00:00,1.164,403
135,2022-02-04 01:00:00+00:00,1.224,382
136,2022-02-05 01:00:00+00:00,1.578,548
137,2022-02-06 01:00:00+00:00,1.685,523
138,2022-02-07 01:00:00+00:00,1.544,383
139,2022-02-08 01:00:00+00:00,1.598,343
140,2022-02-09 01:00:00+00:00,1.708,329
141,2022-02-10 01:00:00+00:00,1.883,338
