,date,price,volume
60,2021-02-01 01:00:00+00:00,0.461,607
61,2021-02-02 01:00:00+00:00,0.468,603
62,2021-02-03 01:00:00+00:00,0.426,935
63,2021-02-04 01:00:00+00:00,0.456,908
64,2021-02-05 01:00:00+00:00,0.437,711
65,2021-02-06 01:00:00+00:00,0.434,736
66,2021-02-07 01:00:00+00:00,0.445,671
67,2021-02-08 01:00:00+00:00,0.453,602
68,2021-02-09 01:00:00+00:00,0.437,625
69,2021-02-10 01:00:00+00:00,0.405,941
70,2021-02-11 01:00:00+00:00,0.423,751
71,2021-02-12 01:00:00+00:00,0.403,853
72,2021-02-13 01:00:00+00:00,0.398,826
73,2021-02-14 01:00:00+00:00,0.384,784
74,2021-02-15 01:00:00+00:00,0.387,701
75,2021-02-16 01:00:00+00:00,0.404,679
76,2021-02-17 01:00:00+00:00,0.384,918
77,2021-02-18 01:00:00+00:00,0.392,809
78,2021-02-19 01:00:00+00:00,0.408,759
79,2021-02-20 01:00:00+00:00,0.418,713
80,2021-02-21 01:00:00+00:00,0.419,660
81,2021-02-22 01:00:00+00:00,0.422,658
82,2021-02-23 01:00:00+00:00,0.426,705
83,2021-02-24 01:00:00+00:00,0.42,875
84,2021-02-25 01:00:00+00:00,0.431,751
85,2021-02-26 01:00:00+00:00,0.44,803
86,2021-02-27 01:00:00+00:00,0.459,857
87,2021-02-28 01:00:00+00:00,0.482,959
88,2021-03-01 01:00:00+00:00,0.487,657
89,2021-03-02 01:00:00+00:00,0.496,663
90,2021-03-03 01:00:00+00:00,0.474,861
91,2021-03-04 01:00:00+00:00,0.477,707
92,2021-03-05 01:00:00+00:00,0.498,757
93,2021-03-06 01:00:00+00:00,0.495,875
94,2021-03-07 01:00:00+00:00,0.501,839
95,2021-03-08 01:00:00+00:00,0.515,728
96,2021-03-09 01:00:00+00:00,0.5,694
97,2021-03-10 01:00:00+00:00,0.471,821
98,2021-03-11 01:00:00+00:00,0.487,726
99,2021-03-12 01:00:00+00:00,0.494,787
100,2021-03-13 01:00:00+00:00,0.499,907
101,2021-03-14 01:00:00+00:00,0.498,789
102,2021-03-15 01:00:00+00:00,0.512,705
103,2021-03-16 01:00:00+00:00,0.513,738
104,2021-03-17 01:00:00+00:00,0.474,1030
105,2021-03-18 01:00:00+00:00,0.466,876
106,2021-03-19 01:00:00+00:00,0.454,1056
107,2021-03-20 01:00:00+00:00,0.459,993
108,2021-03-21 01:00:00+00:00,0.465,901
109,2021-03-22 01:00:00+00:00,0.459,798
110,2021-03-23 01:00:00+00:00,0.45,797
111,2021-03-24 01:00:00+00:00,0.46,790
112,2021-03-25 01:00:00+00:00,0.45,812
113,2021-03-26 01:00:00+00:00,0.455,927
114,2021-03-27 01:00:00+00:00,0.474,726
115,2021-03-28 01:00:00+00:00,0.49,685
116,2021-03-29 01:00:00+00:00,0.494,677
117,2021-03-30 01:00:00+00:00,0.502,657
118,2021-03-31 01:00:00+00:00,0.503,622
119,2021-04-01 01:00:00+00:00,0.52,627
120,2021-04-02 01:00:00+00:00,0.512,639
121,2021-04-03 01:00:00+00:00,0.519,633
122,2021-04-04 01:00:00+00:00,0.52,664
123,2021-04-05 01:00:00+00:00,0.516,638
124,2021-04-06 01:00:00+00:00,0.522,625
125,2021-04-07 01:00:00+00:00,0.439,990
126,2021-04-08 01:00:00+00:00,0.396,920
127,2021-04-09 01:00:00+00:00,0.352,826
128,2021-04-10 01:00:00+00:00,0.354,665
129,2021-04-11 01:00:00+00:00,0.386,608
130,2021-04-12 01:00:00+00:00,0.382,533
131,2021-04-13 01:00:00+00:00,0.376,487
132,2021-04-14 01:00:00+00:00,0.407,142
133,2021-04-15 01:00:00+00:00,0.411,589
134,2021-04-16 01:00:00+00:00,0.392,588
135,2021-04-17 01:00:00+00:00,0.389,589
136,2021-04-18 01:00:00+00:00,0.39,548
137,2021-04-19 01:00:00+00:00,0.384,523
138,2021-04-20 01:00:00+00:00,0.384,509
139,2021-04-21 01:00:00+00:00,0.385,535
140,2021-04-22 01:00:00+00:00,0.391,525
141,2021-04-23 01:00:00+00:00,0.386,550
142,2021-04-24 01:00:00+00:00,0.393,694
143,2021-04-25 01:00:00+00:00,0.39,528
144,2021-04-26 01:00:00+00:00,0.381,607
145,2021-04-27 01:00:00+00:00,0.388,614
146,2021-04-28 01:00:00+00:00,0.402,549
147,2021-04-29 01:00:00+00:00,0.405,448
148,2021-04-30 01:00:00+00:00,0.421,581
149,2021-05-01 01:00:00+00:00,0.429,461
150,2021-05-02 01:00:00+00:00,0.435,494
151,2021-05-03 01:00:00+00:00,0.449,462
152,2021-05-04 01:00:00+00:00,0.481,635
153,2021-05-05 01:00:00+00:00,0.482,577
154,2021-05-06 01:00:00+00:00,0.476,577
155,2021-05-07 01:00:00+00:00,0.471,583
156,2021-05-08 01:00:00+00:00,0.468,552
157,2021-05-09 01:00:00+00:00,0.468,501
158,2021-05-10 01:00:00+00:00,0.471,622
159,2021-05-11 01:00:00+00:00,0.474,576
160,2021-05-12 01:00:00+00:00,0.471,493
161,2021-05-13 01:00:00+00:00,0.487,459
162,2021-05-14 01:00:00+00:00,0.476,466
163,2021-05-15 01:00:00+00:00,0.486,464
164,2021-05-16 01:00:00+00:00,0.485,451
165,2021-05-17 01:00:00+00:00,0.49,489
166,2021-05-18 01:00:00+00:00,0.511,445
167,2021-05-19 01:00:00+00:00,0.519,410
168,2021-05-20 01:00:00+00:00,0.528,421
169,2021-05-21 01:00:00+00:00,0.536,497
170,2021-05-22 01:00:00+00:00,0.553,463
171,2021-05-23 01:00:00+00:00,0.57,431
172,2021-05-24 01:00:00+00:00,0.569,401
173,2021-05-25 01:00:00+00:00,0.584,431
174,2021-05-26 01:00:00+00:00,0.578,381
175,2021-05-27 01:00:00+00:00,0.585,398
176,2021-05-28 01:00:00+00:00,0.581,508
177,2021-05-29 01:00:00+00:00,0.565,421
178,2021-05-30 01:00:00+00:00,0.564,460
179,2021-05-31 01:00:00+00:00,0.587,428
180,2021-06-01 01:00:00+00:00,0.591,387
181,2021-06-02 01:00:00+00:00,0.591,415
182,2021-06-03 01:00:00+00:00,0.612,416
183,2021-06-04 01:00:00+00:00,0.591,479
184,2021-06-05 01:00:00+00:00,0.622,433
185,2021-06-06 01:00:00+00:00,0.605,417
186,2021-06-07 01:00:00+00:00,0.62,415
187,2021-06-08 01:00:00+00:00,0.631,338
188,2021-06-09 01:00:00+00:00,0.639,334
189,2021-06-10 01:00:00+00:00,0.645,359
190,2021-06-11 01:00:00+00:00,0.646,314
191,2021-06-12 01:00:00+00:00,0.664,487
192,2021-06-13 01:00:00+00:00,0.692,347
193,2021-06-14 01:00:00+00:00,0.678,316
194,2021-06-15 01:00:00+00:00,0.648,334
195,2021-06-16 01:00:00+00:00,0.677,302
196,2021-06-17 01:00:00+00:00,0.684,309
197,2021-06-18 01:00:00+00:00,0.672,308
198,2021-06-19 01:00:00+00:00,0.693,317
199,2021-06-20 01:00:00+00:00,0.703,293
200,2021-06-21 01:00:00+00:00,0.717,339
201,2021-06-22 01:00:00+00:00,0.696,262
202,2021-06-23 01:00:00+00:00,0.697,312
203,2021-06-24 01:00:00+00:00,0.661,437
204,2021-06-25 01:00:00+00:00,0.591,510
205,2021-06-26 01:00:00+00:00,0.604,373
206,2021-06-27 01:00:00+00:00,0.621,356
207,2021-06-28 01:00:00+00:00,0.615,314
208,2021-06-29 01:00:00+00:00,0.618,350
209,2021-06-30 01:00:00+00:00,0.594,311
210,2021-07-01 01:00:00+00:00,0.597,294
211,2021-07-02 01:00:00+00:00,0.609,304
212,2021-07-03 01:00:00+00:00,0.589,299
213,2021-07-04 01:00:00+00:00,0.601,299
214,2021-07-05 01:00:00+00:00,0.583,319
215,2021-07-06 01:00:00+00:00,0.582,278
216,2021-07-07 01:00:00+00:00,0.571,302
217,2021-07-08 01:00:00+00:00,0.575,318
218,2021-07-09 01:00:00+00:00,0.59,293
219,2021-07-10 01:00:00+00:00,0.59,257
220,2021-07-11 01:00:00+00:00,0.601,282
221,2021-07-12 01:00:00+00:00,0.611,293
222,2021-07-13 01:00:00+00:00,0.606,276
223,2021-07-14 01:00:00+00:00,0.598,274
224,2021-07-15 01:00:00+00:00,0.607,326
225,2021-07-16 01:00:00+00:00,0.607,255
226,2021-07-17 01:00:00+00:00,0.602,247
227,2021-07-18 01:00:00+00:00,0.598,255
228,2021-07-19 01:00:00+00:00,0.612,297
229,2021-07-20 01:00:00+00:00,0.607,255
230,2021-07-21 01:00:00+00:00,0.609,276
231,2021-07-22 01:00:00+00:00,0.618,342
232,2021-07-23 01:00:00+00:00,0.627,264
233,2021-07-24 01:00:00+00:00,0.649,249
234,2021-07-25 01:00:00+00:00,0.66,295
235,2021-07-26 01:00:00+00:00,0.67,249
236,2021-07-27 01:00:00+00:00,0.68,172
237,2021-07-28 01:00:00+00:00,0.698,291
238,2021-07-29 01:00:00+00:00,0.709,261
239,2021-07-30 01:00:00+00:00,0.721,240
240,2021-07-31 01:00:00+00:00,0.75,227
241,2021-08-01 01:00:00+00:00,0.737,196
242,2021-08-02 01:00:00+00:00,0.73,212
243,2021-08-03 01:00:00+00:00,0.734,225
244,2021-08-04 01:00:00+00:00,0.745,222
245,2021-08-05 01:00:00+00:00,0.734,213
246,2021-08-06 01:00:00+00:00,0.712,254
247,2021-08-07 01:00:00+00:00,0.695,253
248,2021-08-08 01:00:00+00:00,0.682,242
249,2021-08-09 01:00:00+00:00,0.68,270
250,2021-08-10 01:00:00+00:00,0.686,248
251,2021-08-11 01:00:00+00:00,0.707,242
252,2021-08-12 01:00:00+00:00,0.707,228
253,2021-08-13 01:00:00+00:00,0.706,217
254,2021-08-14 01:00:00+00:00,0.709,211
255,2021-08-15 01:00:00+00:00,0.711,215
256,2021-08-16 01:00:00+00:00,0.731,245
257,2021-08-17 01:00:00+00:00,0.71,223
258,2021-08-18 01:00:00+00:00,0.708,255
259,2021-08-19 01:00:00+00:00,0.71,205
260,2021-08-20 01:00:00+00:00,0.713,221
261,2021-08-21 01:00:00+00:00,0.725,207
262,2021-08-22 01:00:00+00:00,0.718,233
263,2021-08-23 01:00:00+00:00,0.732,222
264,2021-08-24 01:00:00+00:00,0.724,246
265,2021-08-25 01:00:00+00:00,0.738,226
266,2021-08-26 01:00:00+00:00,0.73,269
267,2021-08-27 01:00:00+00:00,0.726,225
268,2021-08-28 01:00:00+00:00,0.717,234
269,2021-08-29 01:00:00+00:00,0.71,207
270,2021-08-30 01:00:00+00:00,0.723,227
271,2021-08-31 01:00:00+00:00,0.728,238
272,2021-09-01 01:00:00+00:00,0.734,195
273,2021-09-02 01:00:00+00:00,0.747,204
274,2021-09-03 01:00:00+00:00,0.75,223
275,2021-09-04 01:00:00+00:00,0.775,304
276,2021-09-05 01:00:00+00:00,0.813,250
277,2021-09-06 01:00:00+00:00,0.82,195
278,2021-09-07 01:00:00+00:00,0.835,185
279,2021-09-08 01:00:00+00:00,0.835,187
280,2021-09-09 01:00:00+00:00,0.828,212
281,2021-09-10 01:00:00+00:00,0.843,226
282,2021-09-11 01:00:00+00:00,0.831,205
283,2021-09-12 01:00:00+00:00,0.821,192
284,2021-09-13 01:00:00+00:00,0.808,191
285,2021-09-14 01:00:00+00:00,0.792,192
286,2021-09-15 01:00:00+00:00,0.806,201
287,2021-09-16 01:00:00+00:00,0.805,194
288,2021-09-17 01:00:00+00:00,0.793,198
289,2021-09-18 01:00:00+00:00,0.801,229
290,2021-09-19 01:00:00+00:00,0.787,216
291,2021-09-20 01:00:00+00:00,0.789,211
292,2021-09-21 01:00:00+00:00,0.793,186
