,date,price,volume
60,2021-11-21 01:00:00+00:00,3.662,448
61,2021-11-22 01:00:00+00:00,3.578,351
62,2021-11-23 01:00:00+00:00,3.489,373
63,2021-11-24 01:00:00+00:00,3.364,624
64,2021-11-25 01:00:00+00:00,3.179,637
65,2021-11-26 01:00:00+00:00,3.17,573
66,2021-11-27 01:00:00+00:00,3.181,576
67,2021-11-28 01:00:00+00:00,3.18,507
68,2021-11-29 01:00:00+00:00,3.167,367
69,2021-11-30 01:00:00+00:00,3.064,571
70,2021-12-01 01:00:00+00:00,2.94,735
71,2021-12-02 01:00:00+00:00,2.944,546
72,2021-12-03 01:00:00+00:00,3.14,505
73,2021-12-04 01:00:00+00:00,3.258,546
74,2021-12-05 01:00:00+00:00,3.312,513
75,2021-12-06 01:00:00+00:00,3.412,405
76,2021-12-07 01:00:00+00:00,3.46,400
77,2021-12-08 01:00:00+00:00,3.393,595
78,2021-12-09 01:00:00+00:00,3.31,457
79,2021-12-10 01:00:00+00:00,3.278,498
80,2021-12-11 01:00:00+00:00,3.352,533
81,2021-12-12 01:00:00+00:00,3.335,465
82,2021-12-13 01:00:00+00:00,3.369,359
83,2021-12-14 01:00:00+00:00,3.341,372
84,2021-12-15 01:00:00+00:00,3.163,573
85,2021-12-16 01:00:00+00:00,3.056,439
86,2021-12-17 01:00:00+00:00,3.095,425
87,2021-12-18 01:00:00+00:00,3.115,491
88,2021-12-19 01:00:00+00:00,3.023,431
89,2021-12-20 01:00:00+00:00,2.978,413
90,2021-12-21 01:00:00+00:00,2.906,388
91,2021-12-22 01:00:00+00:00,2.875,617
92,2021-12-23 01:00:00+00:00,2.819,631
93,2021-12-24 01:00:00+00:00,2.812,555
94,2021-12-25 01:00:00+00:00,2.892,560
95,2021-12-26 01:00:00+00:00,2.951,564
96,2021-12-27 01:00:00+00:00,2.971,521
97,2021-12-28 01:00:00+00:00,2.968,507
98,2021-12-29 01:00:00+00:00,2.922,802
99,2021-12-30 01:00:00+00:00,2.98,668
100,2021-12-31 01:00:00+00:00,2.961,469
101,2022-01-01 01:00:00+00:00,2.949,556
102,2022-01-02 01:00:00+00:00,2.937,569
103,2022-01-03 01:00:00+00:00,2.934,518
104,2022-01-04 01:00:00+00:00,2.881,636
105,2022-01-05 01:00:00+00:00,2.892,1147
106,2022-01-06 01:00:00+00:00,3.032,769
107,2022-01-07 01:00:00+00:00,3.021,612
108,2022-01-08 01:00:00+00:00,3.076,637
109,2022-01-09 01:00:00+00:00,3.082,613
110,2022-01-10 01:00:00+00:00,3.064,483
111,2022-01-11 01:00:00+00:00,3.046,477
112,2022-01-12 01:00:00+00:00,3.024,462
113,2022-01-13 01:00:00+00:00,3.018,463
114,2022-01-14 01:00:00+00:00,3.057,456
115,2022-01-15 01:00:00+00:00,3.056,500
116,2022-01-16 01:00:00+00:00,3.072,452
