,date,price,volume
60,2020-01-17 01:00:00+00:00,0.511,1269
61,2020-01-18 01:00:00+00:00,0.509,1334
62,2020-01-19 01:00:00+00:00,0.484,1224
63,2020-01-20 01:00:00+00:00,0.486,1123
64,2020-01-21 01:00:00+00:00,0.483,993
65,2020-01-22 01:00:00+00:00,0.451,1184
66,2020-01-23 01:00:00+00:00,0.406,1210
67,2020-01-24 01:00:00+00:00,0.369,1309
68,2020-01-25 01:00:00+00:00,0.354,1369
69,2020-01-26 01:00:00+00:00,0.353,1320
70,2020-01-27 01:00:00+00:00,0.37,1131
71,2020-01-28 01:00:00+00:00,0.372,1023
72,2020-01-29 01:00:00+00:00,0.379,1238
73,2020-01-30 01:00:00+00:00,0.392,1128
74,2020-01-31 01:00:00+00:00,0.424,1129
75,2020-02-01 01:00:00+00:00,0.437,1253
76,2020-02-02 01:00:00+00:00,0.445,1243
77,2020-02-03 01:00:00+00:00,0.423,1069
78,2020-02-04 01:00:00+00:00,0.418,1044
79,2020-02-05 01:00:00+00:00,0.409,1678
80,2020-02-06 01:00:00+00:00,0.403,1558
81,2020-02-07 01:00:00+00:00,0.36,2042
82,2020-02-08 01:00:00+00:00,0.333,2031
83,2020-02-09 01:00:00+00:00,0.325,1916
84,2020-02-10 01:00:00+00:00,0.34,1713
85,2020-02-11 01:00:00+00:00,0.348,1446
86,2020-02-12 01:00:00+00:00,0.343,1770
87,2020-02-13 01:00:00+00:00,0.35,1477
88,2020-02-14 01:00:00+00:00,0.347,1582
89,2020-02-15 01:00:00+00:00,0.346,1821
90,2020-02-16 01:00:00+00:00,0.308,1639
91,2020-02-17 01:00:00+00:00,0.291,1327
92,2020-02-18 01:00:00+00:00,0.276,1300
93,2020-02-19 01:00:00+00:00,0.239,1455
94,2020-02-20 01:00:00+00:00,0.244,1416
95,2020-02-21 01:00:00+00:00,0.246,1403
96,2020-02-22 01:00:00+00:00,0.25,1660
97,2020-02-23 01:00:00+00:00,0.256,1594
98,2020-02-24 01:00:00+00:00,0.261,1599
99,2020-02-25 01:00:00+00:00,0.358,4296
100,2020-02-26 01:00:00+00:00,0.379,2137
101,2020-02-27 01:00:00+00:00,0.353,1878
102,2020-02-28 01:00:00+00:00,0.363,1949
103,2020-02-29 01:00:00+00:00,0.366,2145
104,2020-03-01 01:00:00+00:00,0.375,2005
105,2020-03-02 01:00:00+00:00,0.363,1474
106,2020-03-03 01:00:00+00:00,0.37,1606
107,2020-03-04 01:00:00+00:00,0.371,3636
108,2020-03-05 01:00:00+00:00,0.328,2022
109,2020-03-06 01:00:00+00:00,0.317,1997
110,2020-03-07 01:00:00+00:00,0.323,2389
111,2020-03-08 01:00:00+00:00,0.323,2011
112,2020-03-09 01:00:00+00:00,0.319,2158
113,2020-03-10 01:00:00+00:00,0.33,1748
114,2020-03-11 01:00:00+00:00,0.328,1687
115,2020-03-12 01:00:00+00:00,0.319,1813
116,2020-03-13 01:00:00+00:00,0.312,1782
117,2020-03-14 01:00:00+00:00,0.31,1858
118,2020-03-15 01:00:00+00:00,0.302,1960
119,2020-03-16 01:00:00+00:00,0.291,1686
120,2020-03-17 01:00:00+00:00,0.279,1671
121,2020-03-18 01:00:00+00:00,0.276,1854
122,2020-03-19 01:00:00+00:00,0.289,1820
123,2020-03-20 01:00:00+00:00,0.279,1734
124,2020-03-21 01:00:00+00:00,0.289,1497
125,2020-03-22 01:00:00+00:00,0.286,1871
126,2020-03-23 01:00:00+00:00,0.293,1641
127,2020-03-24 01:00:00+00:00,0.284,1479
128,2020-03-25 01:00:00+00:00,0.288,1678
129,2020-03-26 01:00:00+00:00,0.28,1566
130,2020-03-27 01:00:00+00:00,0.287,1660
131,2020-03-28 01:00:00+00:00,0.296,1618
132,2020-03-29 01:00:00+00:00,0.34,1714
133,2020-03-30 01:00:00+00:00,0.43,10968
134,2020-03-31 01:00:00+00:00,0.356,4132
135,2020-04-01 01:00:00+00:00,0.348,2612
136,2020-04-02 01:00:00+00:00,0.316,1819
137,2020-04-03 01:00:00+00:00,0.284,2004
138,2020-04-04 01:00:00+00:00,0.27,1933
139,2020-04-05 01:00:00+00:00,0.268,1576
140,2020-04-06 01:00:00+00:00,0.266,1584
141,2020-04-07 01:00:00+00:00,0.264,1542
142,2020-04-08 01:00:00+00:00,0.272,1739
143,2020-04-09 01:00:00+00:00,0.266,1655
144,2020-04-10 01:00:00+00:00,0.273,1467
145,2020-04-11 01:00:00+00:00,0.284,1522
146,2020-04-12 01:00:00+00:00,0.292,1504
147,2020-04-13 01:00:00+00:00,0.309,1563
148,2020-04-14 01:00:00+00:00,0.319,1583
149,2020-04-15 01:00:00+00:00,0.327,1549
150,2020-04-16 01:00:00+00:00,0.349,1954
151,2020-04-17 01:00:00+00:00,0.38,1653
152,2020-04-18 01:00:00+00:00,0.377,1690
153,2020-04-19 01:00:00+00:00,0.384,1591
154,2020-04-20 01:00:00+00:00,0.383,1367
155,2020-04-21 01:00:00+00:00,0.37,1472
156,2020-04-22 01:00:00+00:00,0.361,1137
157,2020-04-23 01:00:00+00:00,0.34,1198
158,2020-04-24 01:00:00+00:00,0.336,1271
159,2020-04-25 01:00:00+00:00,0.343,1267
160,2020-04-26 01:00:00+00:00,0.346,1240
161,2020-04-27 01:00:00+00:00,0.336,1186
162,2020-04-28 01:00:00+00:00,0.311,2312
163,2020-04-29 01:00:00+00:00,0.291,1366
164,2020-04-30 01:00:00+00:00,0.289,1375
165,2020-05-01 01:00:00+00:00,0.289,1400
166,2020-05-02 01:00:00+00:00,0.293,1318
167,2020-05-03 01:00:00+00:00,0.293,1252
168,2020-05-04 01:00:00+00:00,0.29,1246
169,2020-05-05 01:00:00+00:00,0.288,1330
170,2020-05-06 01:00:00+00:00,0.293,1607
171,2020-05-07 01:00:00+00:00,0.316,1349
172,2020-05-08 01:00:00+00:00,0.322,1186
173,2020-05-09 01:00:00+00:00,0.33,1157
174,2020-05-10 01:00:00+00:00,0.327,1120
175,2020-05-11 01:00:00+00:00,0.331,1100
176,2020-05-12 01:00:00+00:00,0.337,1144
177,2020-05-13 01:00:00+00:00,0.345,1259
178,2020-05-14 01:00:00+00:00,0.34,1113
179,2020-05-15 01:00:00+00:00,0.331,1082
180,2020-05-16 01:00:00+00:00,0.333,1081
181,2020-05-17 01:00:00+00:00,0.341,1003
182,2020-05-18 01:00:00+00:00,0.34,1051
183,2020-05-19 01:00:00+00:00,0.336,989
184,2020-05-20 01:00:00+00:00,0.34,1053
185,2020-05-21 01:00:00+00:00,0.346,958
186,2020-05-22 01:00:00+00:00,0.342,1218
187,2020-05-23 01:00:00+00:00,0.334,969
188,2020-05-24 01:00:00+00:00,0.334,1095
189,2020-05-25 01:00:00+00:00,0.325,1050
190,2020-05-26 01:00:00+00:00,0.317,1017
191,2020-05-27 01:00:00+00:00,0.332,900
192,2020-05-28 01:00:00+00:00,0.332,955
193,2020-05-29 01:00:00+00:00,0.333,968
194,2020-05-30 01:00:00+00:00,0.34,955
195,2020-05-31 01:00:00+00:00,0.343,968
196,2020-06-01 01:00:00+00:00,0.345,959
197,2020-06-02 01:00:00+00:00,0.351,905
198,2020-06-03 01:00:00+00:00,0.342,833
199,2020-06-04 01:00:00+00:00,0.34,914
200,2020-06-05 01:00:00+00:00,0.334,869
201,2020-06-06 01:00:00+00:00,0.33,917
202,2020-06-07 01:00:00+00:00,0.342,936
203,2020-06-08 01:00:00+00:00,0.338,878
204,2020-06-09 01:00:00+00:00,0.332,811
205,2020-06-10 01:00:00+00:00,0.333,820
206,2020-06-11 01:00:00+00:00,0.33,1007
207,2020-06-12 01:00:00+00:00,0.332,888
208,2020-06-13 01:00:00+00:00,0.334,829
209,2020-06-14 01:00:00+00:00,0.322,874
210,2020-06-15 01:00:00+00:00,0.319,1082
211,2020-06-16 01:00:00+00:00,0.315,879
212,2020-06-17 01:00:00+00:00,0.316,821
213,2020-06-18 01:00:00+00:00,0.313,823
214,2020-06-19 01:00:00+00:00,0.308,958
215,2020-06-20 01:00:00+00:00,0.304,842
216,2020-06-21 01:00:00+00:00,0.289,901
217,2020-06-22 01:00:00+00:00,0.301,879
218,2020-06-23 01:00:00+00:00,0.296,819
219,2020-06-24 01:00:00+00:00,0.295,925
220,2020-06-25 01:00:00+00:00,0.283,1090
221,2020-06-26 01:00:00+00:00,0.277,1188
222,2020-06-27 01:00:00+00:00,0.282,1144
223,2020-06-28 01:00:00+00:00,0.279,950
224,2020-06-29 01:00:00+00:00,0.275,1026
225,2020-06-30 01:00:00+00:00,0.277,896
226,2020-07-01 01:00:00+00:00,0.277,857
227,2020-07-02 01:00:00+00:00,0.279,854
228,2020-07-03 01:00:00+00:00,0.282,807
229,2020-07-04 01:00:00+00:00,0.294,779
230,2020-07-05 01:00:00+00:00,0.3,865
231,2020-07-06 01:00:00+00:00,0.298,909
232,2020-07-07 01:00:00+00:00,0.299,796
233,2020-07-08 01:00:00+00:00,0.301,795
234,2020-07-09 01:00:00+00:00,0.298,792
235,2020-07-10 01:00:00+00:00,0.32,681
236,2020-07-11 01:00:00+00:00,0.32,736
237,2020-07-12 01:00:00+00:00,0.323,823
238,2020-07-13 01:00:00+00:00,0.327,816
239,2020-07-14 01:00:00+00:00,0.325,872
240,2020-07-15 01:00:00+00:00,0.33,805
241,2020-07-16 01:00:00+00:00,0.33,865
242,2020-07-17 01:00:00+00:00,0.33,802
243,2020-07-18 01:00:00+00:00,0.332,803
244,2020-07-19 01:00:00+00:00,0.342,888
245,2020-07-20 01:00:00+00:00,0.354,979
246,2020-07-21 01:00:00+00:00,0.361,846
247,2020-07-22 01:00:00+00:00,0.372,1002
248,2020-07-23 01:00:00+00:00,0.423,1322
249,2020-07-24 01:00:00+00:00,0.475,752
250,2020-07-25 01:00:00+00:00,0.477,657
251,2020-07-26 01:00:00+00:00,0.473,675
252,2020-07-27 01:00:00+00:00,0.466,886
253,2020-07-28 01:00:00+00:00,0.475,894
254,2020-07-29 01:00:00+00:00,0.48,875
255,2020-07-30 01:00:00+00:00,0.494,737
256,2020-07-31 01:00:00+00:00,0.503,751
257,2020-08-01 01:00:00+00:00,0.509,572
258,2020-08-02 01:00:00+00:00,0.516,642
259,2020-08-03 01:00:00+00:00,0.537,715
260,2020-08-04 01:00:00+00:00,0.549,732
261,2020-08-05 01:00:00+00:00,0.55,649
262,2020-08-06 01:00:00+00:00,0.573,718
263,2020-08-07 01:00:00+00:00,0.57,810
264,2020-08-08 01:00:00+00:00,0.586,820
265,2020-08-09 01:00:00+00:00,0.578,721
266,2020-08-10 01:00:00+00:00,0.564,692
267,2020-08-11 01:00:00+00:00,0.545,680
268,2020-08-12 01:00:00+00:00,0.551,745
269,2020-08-13 01:00:00+00:00,0.549,670
270,2020-08-14 01:00:00+00:00,0.541,715
271,2020-08-15 01:00:00+00:00,0.539,655
272,2020-08-16 01:00:00+00:00,0.536,699
273,2020-08-17 01:00:00+00:00,0.531,579
274,2020-08-18 01:00:00+00:00,0.533,736
275,2020-08-19 01:00:00+00:00,0.518,677
276,2020-08-20 01:00:00+00:00,0.494,635
277,2020-08-21 01:00:00+00:00,0.504,627
278,2020-08-22 01:00:00+00:00,0.498,623
279,2020-08-23 01:00:00+00:00,0.499,617
280,2020-08-24 01:00:00+00:00,0.486,626
281,2020-08-25 01:00:00+00:00,0.509,827
282,2020-08-26 01:00:00+00:00,0.495,656
283,2020-08-27 01:00:00+00:00,0.496,643
284,2020-08-28 01:00:00+00:00,0.495,603
285,2020-08-29 01:00:00+00:00,0.498,696
286,2020-08-30 01:00:00+00:00,0.493,717
287,2020-08-31 01:00:00+00:00,0.493,603
288,2020-09-01 01:00:00+00:00,0.49,532
289,2020-09-02 01:00:00+00:00,0.499,540
290,2020-09-03 01:00:00+00:00,0.49,521
291,2020-09-04 01:00:00+00:00,0.492,584
292,2020-09-05 01:00:00+00:00,0.483,617
293,2020-09-06 01:00:00+00:00,0.484,608
294,2020-09-07 01:00:00+00:00,0.474,555
295,2020-09-08 01:00:00+00:00,0.474,530
296,2020-09-09 01:00:00+00:00,0.469,603
297,2020-09-10 01:00:00+00:00,0.476,624
298,2020-09-11 01:00:00+00:00,0.481,629
299,2020-09-12 01:00:00+00:00,0.481,695
300,2020-09-13 01:00:00+00:00,0.496,744
301,2020-09-14 01:00:00+00:00,0.494,661
302,2020-09-15 01:00:00+00:00,0.499,624
303,2020-09-16 01:00:00+00:00,0.495,643
304,2020-09-17 01:00:00+00:00,0.5,689
305,2020-09-18 01:00:00+00:00,0.488,696
306,2020-09-19 01:00:00+00:00,0.505,724
307,2020-09-20 01:00:00+00:00,0.511,725
308,2020-09-21 01:00:00+00:00,0.505,649
309,2020-09-22 01:00:00+00:00,0.526,650
310,2020-09-23 01:00:00+00:00,0.509,624
311,2020-09-24 01:00:00+00:00,0.514,1700
312,2020-09-25 01:00:00+00:00,0.513,718
313,2020-09-26 01:00:00+00:00,0.513,719
314,2020-09-27 01:00:00+00:00,0.506,760
