,date,price,volume
60,2021-02-01 01:00:00+00:00,4.414,290
61,2021-02-02 01:00:00+00:00,4.287,336
62,2021-02-03 01:00:00+00:00,4.266,541
63,2021-02-04 01:00:00+00:00,4.347,438
64,2021-02-05 01:00:00+00:00,4.306,374
65,2021-02-06 01:00:00+00:00,4.017,354
66,2021-02-07 01:00:00+00:00,3.835,342
67,2021-02-08 01:00:00+00:00,3.749,300
68,2021-02-09 01:00:00+00:00,3.783,303
69,2021-02-10 01:00:00+00:00,3.526,468
70,2021-02-11 01:00:00+00:00,3.588,457
71,2021-02-12 01:00:00+00:00,3.703,386
72,2021-02-13 01:00:00+00:00,3.725,410
73,2021-02-14 01:00:00+00:00,3.767,373
74,2021-02-15 01:00:00+00:00,3.955,346
75,2021-02-16 01:00:00+00:00,4.092,479
76,2021-02-17 01:00:00+00:00,4.195,495
77,2021-02-18 01:00:00+00:00,4.321,440
78,2021-02-19 01:00:00+00:00,4.237,341
79,2021-02-20 01:00:00+00:00,4.241,389
80,2021-02-21 01:00:00+00:00,4.211,326
81,2021-02-22 01:00:00+00:00,4.219,328
82,2021-02-23 01:00:00+00:00,4.236,305
83,2021-02-24 01:00:00+00:00,4.243,489
84,2021-02-25 01:00:00+00:00,4.247,417
85,2021-02-26 01:00:00+00:00,4.072,377
86,2021-02-27 01:00:00+00:00,4.206,404
87,2021-02-28 01:00:00+00:00,4.211,393
88,2021-03-01 01:00:00+00:00,4.277,315
89,2021-03-02 01:00:00+00:00,4.452,304
90,2021-03-03 01:00:00+00:00,4.508,404
91,2021-03-04 01:00:00+00:00,4.542,441
92,2021-03-05 01:00:00+00:00,4.617,373
93,2021-03-06 01:00:00+00:00,4.59,436
94,2021-03-07 01:00:00+00:00,4.582,371
95,2021-03-08 01:00:00+00:00,4.605,342
96,2021-03-09 01:00:00+00:00,4.613,326
97,2021-03-10 01:00:00+00:00,4.383,413
98,2021-03-11 01:00:00+00:00,4.332,391
99,2021-03-12 01:00:00+00:00,4.417,409
100,2021-03-13 01:00:00+00:00,4.578,404
101,2021-03-14 01:00:00+00:00,4.623,370
102,2021-03-15 01:00:00+00:00,4.516,323
103,2021-03-16 01:00:00+00:00,4.453,347
104,2021-03-17 01:00:00+00:00,4.267,589
105,2021-03-18 01:00:00+00:00,4.386,497
106,2021-03-19 01:00:00+00:00,4.417,521
107,2021-03-20 01:00:00+00:00,4.529,482
108,2021-03-21 01:00:00+00:00,4.547,429
109,2021-03-22 01:00:00+00:00,4.623,377
110,2021-03-23 01:00:00+00:00,4.712,401
111,2021-03-24 01:00:00+00:00,4.725,313
112,2021-03-25 01:00:00+00:00,4.705,323
113,2021-03-26 01:00:00+00:00,4.659,296
114,2021-03-27 01:00:00+00:00,4.556,322
115,2021-03-28 01:00:00+00:00,4.578,284
116,2021-03-29 01:00:00+00:00,4.514,236
117,2021-03-30 01:00:00+00:00,4.485,262
118,2021-03-31 01:00:00+00:00,4.476,270
119,2021-04-01 01:00:00+00:00,4.511,242
120,2021-04-02 01:00:00+00:00,4.537,277
121,2021-04-03 01:00:00+00:00,4.713,327
122,2021-04-04 01:00:00+00:00,4.837,314
123,2021-04-05 01:00:00+00:00,4.831,273
124,2021-04-06 01:00:00+00:00,4.848,221
125,2021-04-07 01:00:00+00:00,4.498,342
126,2021-04-08 01:00:00+00:00,4.497,361
127,2021-04-09 01:00:00+00:00,4.329,350
128,2021-04-10 01:00:00+00:00,4.475,313
129,2021-04-11 01:00:00+00:00,4.538,304
130,2021-04-12 01:00:00+00:00,4.557,242
131,2021-04-13 01:00:00+00:00,4.589,219
132,2021-04-14 01:00:00+00:00,4.541,65
133,2021-04-15 01:00:00+00:00,4.452,249
134,2021-04-16 01:00:00+00:00,4.437,233
135,2021-04-17 01:00:00+00:00,4.511,235
136,2021-04-18 01:00:00+00:00,4.499,225
137,2021-04-19 01:00:00+00:00,4.472,206
138,2021-04-20 01:00:00+00:00,4.428,220
139,2021-04-21 01:00:00+00:00,4.531,236
140,2021-04-22 01:00:00+00:00,4.622,200
141,2021-04-23 01:00:00+00:00,4.677,220
142,2021-04-24 01:00:00+00:00,4.772,257
143,2021-04-25 01:00:00+00:00,4.646,224
144,2021-04-26 01:00:00+00:00,4.621,208
145,2021-04-27 01:00:00+00:00,4.651,192
146,2021-04-28 01:00:00+00:00,4.663,201
147,2021-04-29 01:00:00+00:00,4.739,212
148,2021-04-30 01:00:00+00:00,4.77,235
149,2021-05-01 01:00:00+00:00,4.862,231
150,2021-05-02 01:00:00+00:00,4.907,199
151,2021-05-03 01:00:00+00:00,4.89,183
152,2021-05-04 01:00:00+00:00,4.86,240
153,2021-05-05 01:00:00+00:00,4.985,229
154,2021-05-06 01:00:00+00:00,5.09,199
155,2021-05-07 01:00:00+00:00,5.08,189
156,2021-05-08 01:00:00+00:00,5.149,188
157,2021-05-09 01:00:00+00:00,5.106,181
158,2021-05-10 01:00:00+00:00,5.086,179
159,2021-05-11 01:00:00+00:00,5.171,163
160,2021-05-12 01:00:00+00:00,5.276,155
161,2021-05-13 01:00:00+00:00,5.271,160
162,2021-05-14 01:00:00+00:00,5.373,165
163,2021-05-15 01:00:00+00:00,5.422,148
164,2021-05-16 01:00:00+00:00,5.537,166
165,2021-05-17 01:00:00+00:00,5.471,149
166,2021-05-18 01:00:00+00:00,5.455,132
167,2021-05-19 01:00:00+00:00,5.711,155
168,2021-05-20 01:00:00+00:00,5.555,145
169,2021-05-21 01:00:00+00:00,5.586,152
170,2021-05-22 01:00:00+00:00,5.741,139
171,2021-05-23 01:00:00+00:00,5.755,149
172,2021-05-24 01:00:00+00:00,5.828,154
173,2021-05-25 01:00:00+00:00,5.732,131
174,2021-05-26 01:00:00+00:00,5.873,121
175,2021-05-27 01:00:00+00:00,5.757,110
176,2021-05-28 01:00:00+00:00,5.756,140
177,2021-05-29 01:00:00+00:00,5.745,146
178,2021-05-30 01:00:00+00:00,5.724,147
179,2021-05-31 01:00:00+00:00,5.818,126
180,2021-06-01 01:00:00+00:00,5.983,117
181,2021-06-02 01:00:00+00:00,6.104,120
182,2021-06-03 01:00:00+00:00,6.059,122
183,2021-06-04 01:00:00+00:00,6.064,145
184,2021-06-05 01:00:00+00:00,6.31,138
185,2021-06-06 01:00:00+00:00,6.038,138
186,2021-06-07 01:00:00+00:00,6.194,137
187,2021-06-08 01:00:00+00:00,6.251,113
188,2021-06-09 01:00:00+00:00,6.431,117
189,2021-06-10 01:00:00+00:00,6.177,122
190,2021-06-11 01:00:00+00:00,6.336,118
191,2021-06-12 01:00:00+00:00,6.539,154
192,2021-06-13 01:00:00+00:00,6.685,122
193,2021-06-14 01:00:00+00:00,6.638,108
194,2021-06-15 01:00:00+00:00,6.542,117
195,2021-06-16 01:00:00+00:00,6.471,102
196,2021-06-17 01:00:00+00:00,6.604,104
197,2021-06-18 01:00:00+00:00,6.394,114
198,2021-06-19 01:00:00+00:00,6.635,97
199,2021-06-20 01:00:00+00:00,6.591,107
200,2021-06-21 01:00:00+00:00,6.642,97
201,2021-06-22 01:00:00+00:00,6.67,106
202,2021-06-23 01:00:00+00:00,6.455,112
203,2021-06-24 01:00:00+00:00,6.057,192
204,2021-06-25 01:00:00+00:00,5.618,190
205,2021-06-26 01:00:00+00:00,5.867,156
206,2021-06-27 01:00:00+00:00,6.185,175
207,2021-06-28 01:00:00+00:00,6.351,151
208,2021-06-29 01:00:00+00:00,6.24,114
209,2021-06-30 01:00:00+00:00,5.981,144
210,2021-07-01 01:00:00+00:00,6.025,120
211,2021-07-02 01:00:00+00:00,6.128,114
212,2021-07-03 01:00:00+00:00,6.262,128
213,2021-07-04 01:00:00+00:00,6.264,115
214,2021-07-05 01:00:00+00:00,6.378,112
215,2021-07-06 01:00:00+00:00,6.331,100
216,2021-07-07 01:00:00+00:00,5.982,116
217,2021-07-08 01:00:00+00:00,6.084,113
218,2021-07-09 01:00:00+00:00,6.27,109
219,2021-07-10 01:00:00+00:00,6.538,114
220,2021-07-11 01:00:00+00:00,6.396,95
221,2021-07-12 01:00:00+00:00,6.373,84
222,2021-07-13 01:00:00+00:00,6.488,83
223,2021-07-14 01:00:00+00:00,6.515,89
224,2021-07-15 01:00:00+00:00,6.519,105
225,2021-07-16 01:00:00+00:00,6.595,90
226,2021-07-17 01:00:00+00:00,6.508,104
227,2021-07-18 01:00:00+00:00,6.686,103
228,2021-07-19 01:00:00+00:00,6.683,110
229,2021-07-20 01:00:00+00:00,6.786,97
230,2021-07-21 01:00:00+00:00,6.687,105
231,2021-07-22 01:00:00+00:00,6.906,88
232,2021-07-23 01:00:00+00:00,6.83,95
233,2021-07-24 01:00:00+00:00,6.925,104
234,2021-07-25 01:00:00+00:00,7.393,91
235,2021-07-26 01:00:00+00:00,7.178,90
236,2021-07-27 01:00:00+00:00,7.234,70
237,2021-07-28 01:00:00+00:00,7.238,82
238,2021-07-29 01:00:00+00:00,7.249,92
239,2021-07-30 01:00:00+00:00,7.224,79
240,2021-07-31 01:00:00+00:00,7.443,91
241,2021-08-01 01:00:00+00:00,7.362,100
242,2021-08-02 01:00:00+00:00,7.291,94
243,2021-08-03 01:00:00+00:00,7.131,77
244,2021-08-04 01:00:00+00:00,7.363,85
245,2021-08-05 01:00:00+00:00,7.419,94
246,2021-08-06 01:00:00+00:00,7.39,104
247,2021-08-07 01:00:00+00:00,7.366,86
248,2021-08-08 01:00:00+00:00,7.541,111
249,2021-08-09 01:00:00+00:00,7.477,97
250,2021-08-10 01:00:00+00:00,7.53,80
251,2021-08-11 01:00:00+00:00,7.096,99
252,2021-08-12 01:00:00+00:00,7.253,95
253,2021-08-13 01:00:00+00:00,7.083,104
254,2021-08-14 01:00:00+00:00,7.286,106
255,2021-08-15 01:00:00+00:00,7.434,103
256,2021-08-16 01:00:00+00:00,7.268,92
257,2021-08-17 01:00:00+00:00,7.263,85
258,2021-08-18 01:00:00+00:00,7.429,102
259,2021-08-19 01:00:00+00:00,7.613,95
260,2021-08-20 01:00:00+00:00,7.463,87
261,2021-08-21 01:00:00+00:00,7.383,92
262,2021-08-22 01:00:00+00:00,7.497,97
263,2021-08-23 01:00:00+00:00,7.606,93
264,2021-08-24 01:00:00+00:00,7.559,90
265,2021-08-25 01:00:00+00:00,7.287,81
266,2021-08-26 01:00:00+00:00,7.89,115
267,2021-08-27 01:00:00+00:00,7.838,85
268,2021-08-28 01:00:00+00:00,8.042,85
269,2021-08-29 01:00:00+00:00,8.233,82
