,date,price,volume
60,2021-02-01 01:00:00+00:00,1.167,361
61,2021-02-02 01:00:00+00:00,1.196,436
62,2021-02-03 01:00:00+00:00,1.112,539
63,2021-02-04 01:00:00+00:00,1.162,478
64,2021-02-05 01:00:00+00:00,1.135,433
65,2021-02-06 01:00:00+00:00,1.129,424
66,2021-02-07 01:00:00+00:00,1.101,432
67,2021-02-08 01:00:00+00:00,1.109,391
68,2021-02-09 01:00:00+00:00,1.061,394
69,2021-02-10 01:00:00+00:00,0.966,560
70,2021-02-11 01:00:00+00:00,0.942,473
71,2021-02-12 01:00:00+00:00,0.905,528
72,2021-02-13 01:00:00+00:00,0.9,509
73,2021-02-14 01:00:00+00:00,0.905,467
74,2021-02-15 01:00:00+00:00,0.911,447
75,2021-02-16 01:00:00+00:00,0.91,504
76,2021-02-17 01:00:00+00:00,0.942,624
77,2021-02-18 01:00:00+00:00,0.996,470
78,2021-02-19 01:00:00+00:00,1.092,429
79,2021-02-20 01:00:00+00:00,1.08,437
80,2021-02-21 01:00:00+00:00,1.062,425
81,2021-02-22 01:00:00+00:00,1.103,401
82,2021-02-23 01:00:00+00:00,1.095,393
83,2021-02-24 01:00:00+00:00,1.067,508
84,2021-02-25 01:00:00+00:00,1.055,440
85,2021-02-26 01:00:00+00:00,1.087,493
86,2021-02-27 01:00:00+00:00,1.064,471
87,2021-02-28 01:00:00+00:00,1.079,458
88,2021-03-01 01:00:00+00:00,1.082,405
89,2021-03-02 01:00:00+00:00,1.11,406
90,2021-03-03 01:00:00+00:00,1.043,515
91,2021-03-04 01:00:00+00:00,1.027,448
92,2021-03-05 01:00:00+00:00,1.069,497
93,2021-03-06 01:00:00+00:00,1.126,527
94,2021-03-07 01:00:00+00:00,1.167,505
95,2021-03-08 01:00:00+00:00,1.21,427
96,2021-03-09 01:00:00+00:00,1.173,408
97,2021-03-10 01:00:00+00:00,1.094,567
98,2021-03-11 01:00:00+00:00,1.103,491
99,2021-03-12 01:00:00+00:00,1.092,513
100,2021-03-13 01:00:00+00:00,1.149,550
101,2021-03-14 01:00:00+00:00,1.15,474
102,2021-03-15 01:00:00+00:00,1.181,428
103,2021-03-16 01:00:00+00:00,1.147,433
104,2021-03-17 01:00:00+00:00,1.062,710
105,2021-03-18 01:00:00+00:00,1.069,589
106,2021-03-19 01:00:00+00:00,1.05,678
107,2021-03-20 01:00:00+00:00,1.071,617
108,2021-03-21 01:00:00+00:00,1.079,620
109,2021-03-22 01:00:00+00:00,1.075,476
