,date,price,volume
60,2021-11-22 01:00:00+00:00,0.545,440
61,2021-11-23 01:00:00+00:00,0.554,412
62,2021-11-24 01:00:00+00:00,0.518,608
63,2021-11-25 01:00:00+00:00,0.472,611
64,2021-11-26 01:00:00+00:00,0.482,552
65,2021-11-27 01:00:00+00:00,0.475,569
66,2021-11-28 01:00:00+00:00,0.481,534
67,2021-11-29 01:00:00+00:00,0.513,470
68,2021-11-30 01:00:00+00:00,0.466,629
69,2021-12-01 01:00:00+00:00,0.423,737
70,2021-12-02 01:00:00+00:00,0.432,496
71,2021-12-03 01:00:00+00:00,0.456,514
72,2021-12-04 01:00:00+00:00,0.503,536
73,2021-12-05 01:00:00+00:00,0.51,475
74,2021-12-06 01:00:00+00:00,0.525,414
75,2021-12-07 01:00:00+00:00,0.525,435
76,2021-12-08 01:00:00+00:00,0.459,695
77,2021-12-09 01:00:00+00:00,0.464,492
78,2021-12-10 01:00:00+00:00,0.488,520
79,2021-12-11 01:00:00+00:00,0.505,500
80,2021-12-12 01:00:00+00:00,0.51,481
81,2021-12-13 01:00:00+00:00,0.528,387
82,2021-12-14 01:00:00+00:00,0.529,392
83,2021-12-15 01:00:00+00:00,0.5,538
84,2021-12-16 01:00:00+00:00,0.492,495
85,2021-12-17 01:00:00+00:00,0.507,408
86,2021-12-18 01:00:00+00:00,0.503,473
87,2021-12-19 01:00:00+00:00,0.498,474
88,2021-12-20 01:00:00+00:00,0.485,373
89,2021-12-21 01:00:00+00:00,0.508,404
90,2021-12-22 01:00:00+00:00,0.47,609
91,2021-12-23 01:00:00+00:00,0.473,569
92,2021-12-24 01:00:00+00:00,0.471,451
93,2021-12-25 01:00:00+00:00,0.49,517
94,2021-12-26 01:00:00+00:00,0.514,459
95,2021-12-27 01:00:00+00:00,0.524,427
96,2021-12-28 01:00:00+00:00,0.527,439
97,2021-12-29 01:00:00+00:00,0.567,883
98,2021-12-30 01:00:00+00:00,0.643,561
99,2021-12-31 01:00:00+00:00,0.648,387
100,2022-01-01 01:00:00+00:00,0.626,463
101,2022-01-02 01:00:00+00:00,0.61,478
102,2022-01-03 01:00:00+00:00,0.591,473
103,2022-01-04 01:00:00+00:00,0.614,1137
104,2022-01-05 01:00:00+00:00,0.743,2104
105,2022-01-06 01:00:00+00:00,0.753,1080
106,2022-01-07 01:00:00+00:00,0.713,893
107,2022-01-08 01:00:00+00:00,0.706,802
108,2022-01-09 01:00:00+00:00,0.712,764
109,2022-01-10 01:00:00+00:00,0.71,602
110,2022-01-11 01:00:00+00:00,0.693,564
111,2022-01-12 01:00:00+00:00,0.675,533
112,2022-01-13 01:00:00+00:00,0.671,531
113,2022-01-14 01:00:00+00:00,0.664,533
114,2022-01-15 01:00:00+00:00,0.652,524
115,2022-01-16 01:00:00+00:00,0.65,594
116,2022-01-17 01:00:00+00:00,0.663,443
117,2022-01-18 01:00:00+00:00,0.671,443
118,2022-01-19 01:00:00+00:00,0.669,461
119,2022-01-20 01:00:00+00:00,0.646,430
120,2022-01-21 01:00:00+00:00,0.649,615
121,2022-01-22 01:00:00+00:00,0.654,674
122,2022-01-23 01:00:00+00:00,0.641,668
123,2022-01-24 01:00:00+00:00,0.637,539
124,2022-01-25 01:00:00+00:00,0.63,534
125,2022-01-26 01:00:00+00:00,0.635,538
126,2022-01-27 01:00:00+00:00,0.625,575
127,2022-01-28 01:00:00+00:00,0.616,608
128,2022-01-29 01:00:00+00:00,0.603,649
129,2022-01-30 01:00:00+00:00,0.612,545
130,2022-01-31 01:00:00+00:00,0.629,489
131,2022-02-01 01:00:00+00:00,0.634,493
132,2022-02-02 01:00:00+00:00,0.652,538
133,2022-02-03 01:00:00+00:00,0.666,473
134,2022-02-04 01:00:00+00:00,0.678,505
135,2022-02-05 01:00:00+00:00,0.697,511
136,2022-02-06 01:00:00+00:00,0.695,534
137,2022-02-07 01:00:00+00:00,0.705,473
138,2022-02-08 01:00:00+00:00,0.708,442
139,2022-02-09 01:00:00+00:00,0.721,448
140,2022-02-10 01:00:00+00:00,0.74,464
141,2022-02-11 01:00:00+00:00,0.73,442
142,2022-02-12 01:00:00+00:00,0.772,486
143,2022-02-13 01:00:00+00:00,0.779,489
144,2022-02-14 01:00:00+00:00,0.789,416
145,2022-02-15 01:00:00+00:00,0.794,400
146,2022-02-16 01:00:00+00:00,0.797,429
147,2022-02-17 01:00:00+00:00,0.805,424
148,2022-02-18 01:00:00+00:00,0.828,402
149,2022-02-19 01:00:00+00:00,0.821,560
150,2022-02-20 01:00:00+00:00,0.828,517
151,2022-02-21 01:00:00+00:00,0.821,380
152,2022-02-22 01:00:00+00:00,0.814,396
153,2022-02-23 01:00:00+00:00,0.799,472
154,2022-02-24 01:00:00+00:00,0.771,332
155,2022-02-25 01:00:00+00:00,0.779,354
156,2022-02-26 01:00:00+00:00,0.764,420
157,2022-02-27 01:00:00+00:00,0.785,373
158,2022-02-28 01:00:00+00:00,0.777,325
159,2022-03-01 01:00:00+00:00,0.785,348
160,2022-03-02 01:00:00+00:00,0.793,333
161,2022-03-03 01:00:00+00:00,0.787,324
162,2022-03-04 01:00:00+00:00,0.825,314
163,2022-03-05 01:00:00+00:00,0.835,375
164,2022-03-06 01:00:00+00:00,0.856,347
165,2022-03-07 01:00:00+00:00,0.835,405
166,2022-03-08 01:00:00+00:00,0.791,404
167,2022-03-09 01:00:00+00:00,0.775,324
168,2022-03-10 01:00:00+00:00,0.798,294
169,2022-03-11 01:00:00+00:00,0.838,280
170,2022-03-12 01:00:00+00:00,0.848,356
171,2022-03-13 01:00:00+00:00,0.865,353
172,2022-03-14 01:00:00+00:00,0.873,279
173,2022-03-15 01:00:00+00:00,0.864,308
174,2022-03-16 01:00:00+00:00,0.863,298
175,2022-03-17 01:00:00+00:00,0.863,265
176,2022-03-18 01:00:00+00:00,0.891,266
177,2022-03-19 01:00:00+00:00,0.902,335
178,2022-03-20 01:00:00+00:00,0.918,340
179,2022-03-21 01:00:00+00:00,0.934,240
180,2022-03-22 01:00:00+00:00,0.934,245
181,2022-03-23 01:00:00+00:00,0.897,259
182,2022-03-24 01:00:00+00:00,0.927,246
183,2022-03-25 01:00:00+00:00,0.946,255
184,2022-03-26 01:00:00+00:00,1.004,281
185,2022-03-27 01:00:00+00:00,1.0,264
186,2022-03-28 01:00:00+00:00,0.975,218
187,2022-03-29 01:00:00+00:00,0.988,247
188,2022-03-30 01:00:00+00:00,0.99,223
189,2022-03-31 01:00:00+00:00,0.985,246
190,2022-04-01 01:00:00+00:00,0.993,250
191,2022-04-02 01:00:00+00:00,1.032,292
192,2022-04-03 01:00:00+00:00,1.083,246
193,2022-04-04 01:00:00+00:00,1.067,208
194,2022-04-05 01:00:00+00:00,1.089,197
195,2022-04-06 01:00:00+00:00,1.123,186
196,2022-04-07 01:00:00+00:00,1.126,221
197,2022-04-08 01:00:00+00:00,1.152,194
198,2022-04-09 01:00:00+00:00,1.175,219
199,2022-04-10 01:00:00+00:00,1.154,255
200,2022-04-11 01:00:00+00:00,1.14,194
201,2022-04-12 01:00:00+00:00,1.13,193
202,2022-04-13 01:00:00+00:00,1.099,205
203,2022-04-14 01:00:00+00:00,1.102,196
204,2022-04-15 01:00:00+00:00,1.118,217
205,2022-04-16 01:00:00+00:00,1.124,240
206,2022-04-17 01:00:00+00:00,1.16,225
207,2022-04-18 01:00:00+00:00,1.15,202
208,2022-04-19 01:00:00+00:00,1.166,180
209,2022-04-20 01:00:00+00:00,1.171,157
210,2022-04-21 01:00:00+00:00,1.137,137
211,2022-04-22 01:00:00+00:00,1.147,182
212,2022-04-23 01:00:00+00:00,1.187,206
213,2022-04-24 01:00:00+00:00,1.175,207
214,2022-04-25 01:00:00+00:00,1.152,177
215,2022-04-26 01:00:00+00:00,1.168,171
216,2022-04-27 01:00:00+00:00,1.138,168
217,2022-04-28 01:00:00+00:00,1.148,172
218,2022-04-29 01:00:00+00:00,1.147,169
219,2022-04-30 01:00:00+00:00,1.174,206
220,2022-05-01 01:00:00+00:00,1.147,181
221,2022-05-02 01:00:00+00:00,1.146,193
222,2022-05-03 01:00:00+00:00,1.189,184
223,2022-05-04 01:00:00+00:00,1.117,372
224,2022-05-05 01:00:00+00:00,1.168,269
225,2022-05-06 01:00:00+00:00,1.183,180
