,date,price,volume
60,2021-11-21 01:00:00+00:00,1.003,308
61,2021-11-22 01:00:00+00:00,1.041,243
62,2021-11-23 01:00:00+00:00,1.066,227
63,2021-11-24 01:00:00+00:00,1.003,344
64,2021-11-25 01:00:00+00:00,0.946,376
65,2021-11-26 01:00:00+00:00,0.949,368
66,2021-11-27 01:00:00+00:00,0.921,332
67,2021-11-28 01:00:00+00:00,0.918,361
68,2021-11-29 01:00:00+00:00,0.955,297
69,2021-11-30 01:00:00+00:00,0.934,376
70,2021-12-01 01:00:00+00:00,0.858,468
71,2021-12-02 01:00:00+00:00,0.861,323
72,2021-12-03 01:00:00+00:00,0.978,348
73,2021-12-04 01:00:00+00:00,1.013,341
74,2021-12-05 01:00:00+00:00,1.029,303
75,2021-12-06 01:00:00+00:00,1.087,218
76,2021-12-07 01:00:00+00:00,1.095,235
77,2021-12-08 01:00:00+00:00,1.021,324
78,2021-12-09 01:00:00+00:00,1.011,302
79,2021-12-10 01:00:00+00:00,1.041,282
80,2021-12-11 01:00:00+00:00,1.079,314
81,2021-12-12 01:00:00+00:00,1.064,303
82,2021-12-13 01:00:00+00:00,1.034,207
83,2021-12-14 01:00:00+00:00,1.058,218
84,2021-12-15 01:00:00+00:00,1.017,301
85,2021-12-16 01:00:00+00:00,1.033,253
86,2021-12-17 01:00:00+00:00,1.042,225
87,2021-12-18 01:00:00+00:00,1.017,287
88,2021-12-19 01:00:00+00:00,1.04,251
89,2021-12-20 01:00:00+00:00,1.059,216
90,2021-12-21 01:00:00+00:00,1.028,231
91,2021-12-22 01:00:00+00:00,0.995,323
92,2021-12-23 01:00:00+00:00,0.956,342
93,2021-12-24 01:00:00+00:00,0.955,285
94,2021-12-25 01:00:00+00:00,0.986,298
95,2021-12-26 01:00:00+00:00,0.997,313
96,2021-12-27 01:00:00+00:00,0.972,274
97,2021-12-28 01:00:00+00:00,0.997,331
98,2021-12-29 01:00:00+00:00,0.981,380
99,2021-12-30 01:00:00+00:00,1.005,319
100,2021-12-31 01:00:00+00:00,1.045,288
101,2022-01-01 01:00:00+00:00,1.034,284
102,2022-01-02 01:00:00+00:00,1.069,298
103,2022-01-03 01:00:00+00:00,1.044,303
104,2022-01-04 01:00:00+00:00,1.06,349
105,2022-01-05 01:00:00+00:00,1.062,558
106,2022-01-06 01:00:00+00:00,1.06,411
107,2022-01-07 01:00:00+00:00,1.087,375
108,2022-01-08 01:00:00+00:00,1.085,361
109,2022-01-09 01:00:00+00:00,1.084,348
110,2022-01-10 01:00:00+00:00,1.072,318
111,2022-01-11 01:00:00+00:00,1.093,299
112,2022-01-12 01:00:00+00:00,1.104,263
113,2022-01-13 01:00:00+00:00,1.099,286
114,2022-01-14 01:00:00+00:00,1.134,272
115,2022-01-15 01:00:00+00:00,1.12,316
116,2022-01-16 01:00:00+00:00,1.104,319
117,2022-01-17 01:00:00+00:00,1.127,263
118,2022-01-18 01:00:00+00:00,1.11,258
119,2022-01-19 01:00:00+00:00,1.111,260
120,2022-01-20 01:00:00+00:00,1.154,233
121,2022-01-21 01:00:00+00:00,1.128,315
122,2022-01-22 01:00:00+00:00,1.158,347
123,2022-01-23 01:00:00+00:00,1.128,340
124,2022-01-24 01:00:00+00:00,1.165,296
125,2022-01-25 01:00:00+00:00,1.16,299
126,2022-01-26 01:00:00+00:00,1.161,283
127,2022-01-27 01:00:00+00:00,1.168,306
128,2022-01-28 01:00:00+00:00,1.089,324
129,2022-01-29 01:00:00+00:00,1.118,375
130,2022-01-30 01:00:00+00:00,1.129,351
131,2022-01-31 01:00:00+00:00,1.11,315
132,2022-02-01 01:00:00+00:00,1.11,311
133,2022-02-02 01:00:00+00:00,1.151,362
134,2022-02-03 01:00:00+00:00,1.216,303
135,2022-02-04 01:00:00+00:00,1.257,298
136,2022-02-05 01:00:00+00:00,1.254,295
137,2022-02-06 01:00:00+00:00,1.284,270
138,2022-02-07 01:00:00+00:00,1.322,247
139,2022-02-08 01:00:00+00:00,1.311,229
140,2022-02-09 01:00:00+00:00,1.325,253
141,2022-02-10 01:00:00+00:00,1.309,253
142,2022-02-11 01:00:00+00:00,1.323,235
143,2022-02-12 01:00:00+00:00,1.323,239
144,2022-02-13 01:00:00+00:00,1.333,253
145,2022-02-14 01:00:00+00:00,1.332,230
146,2022-02-15 01:00:00+00:00,1.322,224
147,2022-02-16 01:00:00+00:00,1.333,190
