,date,price,volume
60,2021-11-21 01:00:00+00:00,1.211,592
61,2021-11-22 01:00:00+00:00,1.237,469
62,2021-11-23 01:00:00+00:00,1.212,482
63,2021-11-24 01:00:00+00:00,1.15,752
64,2021-11-25 01:00:00+00:00,1.075,764
65,2021-11-26 01:00:00+00:00,1.008,682
66,2021-11-27 01:00:00+00:00,1.014,640
67,2021-11-28 01:00:00+00:00,1.02,641
68,2021-11-29 01:00:00+00:00,1.069,501
69,2021-11-30 01:00:00+00:00,0.987,785
70,2021-12-01 01:00:00+00:00,0.956,914
71,2021-12-02 01:00:00+00:00,1.001,676
72,2021-12-03 01:00:00+00:00,1.073,578
73,2021-12-04 01:00:00+00:00,1.127,706
74,2021-12-05 01:00:00+00:00,1.153,570
75,2021-12-06 01:00:00+00:00,1.206,462
76,2021-12-07 01:00:00+00:00,1.231,481
77,2021-12-08 01:00:00+00:00,1.161,682
78,2021-12-09 01:00:00+00:00,1.124,593
79,2021-12-10 01:00:00+00:00,1.138,561
80,2021-12-11 01:00:00+00:00,1.14,613
81,2021-12-12 01:00:00+00:00,1.074,549
82,2021-12-13 01:00:00+00:00,1.086,465
83,2021-12-14 01:00:00+00:00,1.074,451
84,2021-12-15 01:00:00+00:00,1.014,622
85,2021-12-16 01:00:00+00:00,0.959,586
86,2021-12-17 01:00:00+00:00,0.976,518
87,2021-12-18 01:00:00+00:00,0.955,633
88,2021-12-19 01:00:00+00:00,0.959,569
89,2021-12-20 01:00:00+00:00,0.938,498
90,2021-12-21 01:00:00+00:00,0.941,527
91,2021-12-22 01:00:00+00:00,0.917,758
92,2021-12-23 01:00:00+00:00,0.905,749
93,2021-12-24 01:00:00+00:00,0.905,676
94,2021-12-25 01:00:00+00:00,0.922,725
95,2021-12-26 01:00:00+00:00,0.926,733
96,2021-12-27 01:00:00+00:00,0.953,631
97,2021-12-28 01:00:00+00:00,0.983,706
98,2021-12-29 01:00:00+00:00,1.02,1000
99,2021-12-30 01:00:00+00:00,1.034,778
100,2021-12-31 01:00:00+00:00,1.03,612
101,2022-01-01 01:00:00+00:00,1.034,678
102,2022-01-02 01:00:00+00:00,1.025,683
103,2022-01-03 01:00:00+00:00,1.017,701
104,2022-01-04 01:00:00+00:00,1.005,771
105,2022-01-05 01:00:00+00:00,0.981,1198
106,2022-01-06 01:00:00+00:00,1.03,869
107,2022-01-07 01:00:00+00:00,1.027,838
108,2022-01-08 01:00:00+00:00,1.041,755
109,2022-01-09 01:00:00+00:00,1.057,761
110,2022-01-10 01:00:00+00:00,1.047,615
111,2022-01-11 01:00:00+00:00,1.046,603
112,2022-01-12 01:00:00+00:00,1.045,614
113,2022-01-13 01:00:00+00:00,1.061,585
114,2022-01-14 01:00:00+00:00,1.058,582
115,2022-01-15 01:00:00+00:00,1.064,647
116,2022-01-16 01:00:00+00:00,1.031,678
117,2022-01-17 01:00:00+00:00,1.037,517
118,2022-01-18 01:00:00+00:00,1.029,494
119,2022-01-19 01:00:00+00:00,1.021,558
120,2022-01-20 01:00:00+00:00,1.063,547
121,2022-01-21 01:00:00+00:00,1.032,666
122,2022-01-22 01:00:00+00:00,1.062,734
123,2022-01-23 01:00:00+00:00,1.064,733
124,2022-01-24 01:00:00+00:00,1.087,625
125,2022-01-25 01:00:00+00:00,1.103,628
126,2022-01-26 01:00:00+00:00,1.094,612
127,2022-01-27 01:00:00+00:00,1.068,636
128,2022-01-28 01:00:00+00:00,1.025,801
129,2022-01-29 01:00:00+00:00,1.023,759
130,2022-01-30 01:00:00+00:00,1.032,740
131,2022-01-31 01:00:00+00:00,1.038,680
132,2022-02-01 01:00:00+00:00,1.05,661
133,2022-02-02 01:00:00+00:00,1.12,669
134,2022-02-03 01:00:00+00:00,1.115,634
135,2022-02-04 01:00:00+00:00,1.17,595
136,2022-02-05 01:00:00+00:00,1.211,587
137,2022-02-06 01:00:00+00:00,1.266,548
138,2022-02-07 01:00:00+00:00,1.244,547
139,2022-02-08 01:00:00+00:00,1.226,512
140,2022-02-09 01:00:00+00:00,1.237,522
141,2022-02-10 01:00:00+00:00,1.245,493
142,2022-02-11 01:00:00+00:00,1.232,534
143,2022-02-12 01:00:00+00:00,1.278,559
144,2022-02-13 01:00:00+00:00,1.296,544
145,2022-02-14 01:00:00+00:00,1.284,506
146,2022-02-15 01:00:00+00:00,1.316,446
147,2022-02-16 01:00:00+00:00,1.321,464
148,2022-02-17 01:00:00+00:00,1.294,475
149,2022-02-18 01:00:00+00:00,1.331,477
150,2022-02-19 01:00:00+00:00,1.355,515
151,2022-02-20 01:00:00+00:00,1.406,583
152,2022-02-21 01:00:00+00:00,1.409,464
153,2022-02-22 01:00:00+00:00,1.383,493
154,2022-02-23 01:00:00+00:00,1.362,487
155,2022-02-24 01:00:00+00:00,1.353,374
156,2022-02-25 01:00:00+00:00,1.392,379
157,2022-02-26 01:00:00+00:00,1.38,444
158,2022-02-27 01:00:00+00:00,1.415,393
159,2022-02-28 01:00:00+00:00,1.424,375
160,2022-03-01 01:00:00+00:00,1.39,409
161,2022-03-02 01:00:00+00:00,1.425,392
162,2022-03-03 01:00:00+00:00,1.381,377
163,2022-03-04 01:00:00+00:00,1.424,421
164,2022-03-05 01:00:00+00:00,1.48,436
165,2022-03-06 01:00:00+00:00,1.494,413
166,2022-03-07 01:00:00+00:00,1.493,382
167,2022-03-08 01:00:00+00:00,1.404,472
168,2022-03-09 01:00:00+00:00,1.362,364
169,2022-03-10 01:00:00+00:00,1.387,418
170,2022-03-11 01:00:00+00:00,1.493,348
171,2022-03-12 01:00:00+00:00,1.533,408
172,2022-03-13 01:00:00+00:00,1.575,412
173,2022-03-14 01:00:00+00:00,1.584,292
174,2022-03-15 01:00:00+00:00,1.581,313
175,2022-03-16 01:00:00+00:00,1.615,304
176,2022-03-17 01:00:00+00:00,1.625,285
177,2022-03-18 01:00:00+00:00,1.665,314
178,2022-03-19 01:00:00+00:00,1.69,305
179,2022-03-20 01:00:00+00:00,1.694,320
180,2022-03-21 01:00:00+00:00,1.713,257
