,date,price,volume
60,2021-02-01 01:00:00+00:00,2.202,362
61,2021-02-02 01:00:00+00:00,2.199,429
62,2021-02-03 01:00:00+00:00,2.12,552
63,2021-02-04 01:00:00+00:00,2.128,479
64,2021-02-05 01:00:00+00:00,2.032,383
65,2021-02-06 01:00:00+00:00,2.038,418
66,2021-02-07 01:00:00+00:00,2.062,429
67,2021-02-08 01:00:00+00:00,2.061,362
68,2021-02-09 01:00:00+00:00,2.053,398
69,2021-02-10 01:00:00+00:00,1.844,589
70,2021-02-11 01:00:00+00:00,1.903,493
71,2021-02-12 01:00:00+00:00,1.821,463
72,2021-02-13 01:00:00+00:00,1.851,473
73,2021-02-14 01:00:00+00:00,1.901,434
74,2021-02-15 01:00:00+00:00,2.004,399
75,2021-02-16 01:00:00+00:00,2.01,453
76,2021-02-17 01:00:00+00:00,2.044,591
77,2021-02-18 01:00:00+00:00,2.095,567
78,2021-02-19 01:00:00+00:00,2.197,469
79,2021-02-20 01:00:00+00:00,2.242,503
80,2021-02-21 01:00:00+00:00,2.276,413
81,2021-02-22 01:00:00+00:00,2.149,411
82,2021-02-23 01:00:00+00:00,2.145,388
83,2021-02-24 01:00:00+00:00,2.056,502
84,2021-02-25 01:00:00+00:00,2.063,480
85,2021-02-26 01:00:00+00:00,2.073,446
86,2021-02-27 01:00:00+00:00,2.094,461
87,2021-02-28 01:00:00+00:00,2.117,480
88,2021-03-01 01:00:00+00:00,2.141,410
89,2021-03-02 01:00:00+00:00,2.163,399
90,2021-03-03 01:00:00+00:00,2.067,530
91,2021-03-04 01:00:00+00:00,2.13,439
92,2021-03-05 01:00:00+00:00,2.192,429
93,2021-03-06 01:00:00+00:00,2.227,496
94,2021-03-07 01:00:00+00:00,2.241,424
95,2021-03-08 01:00:00+00:00,2.246,405
96,2021-03-09 01:00:00+00:00,2.27,401
97,2021-03-10 01:00:00+00:00,2.172,580
98,2021-03-11 01:00:00+00:00,2.211,463
99,2021-03-12 01:00:00+00:00,2.229,474
100,2021-03-13 01:00:00+00:00,2.239,471
101,2021-03-14 01:00:00+00:00,2.22,422
102,2021-03-15 01:00:00+00:00,2.252,381
103,2021-03-16 01:00:00+00:00,2.219,423
104,2021-03-17 01:00:00+00:00,2.056,698
105,2021-03-18 01:00:00+00:00,2.082,553
106,2021-03-19 01:00:00+00:00,2.059,599
107,2021-03-20 01:00:00+00:00,2.099,574
108,2021-03-21 01:00:00+00:00,2.148,544
109,2021-03-22 01:00:00+00:00,2.164,482
110,2021-03-23 01:00:00+00:00,2.174,438
111,2021-03-24 01:00:00+00:00,2.185,412
112,2021-03-25 01:00:00+00:00,2.156,408
113,2021-03-26 01:00:00+00:00,2.145,390
114,2021-03-27 01:00:00+00:00,2.169,390
115,2021-03-28 01:00:00+00:00,2.113,417
116,2021-03-29 01:00:00+00:00,2.119,358
117,2021-03-30 01:00:00+00:00,2.184,347
118,2021-03-31 01:00:00+00:00,2.119,379
119,2021-04-01 01:00:00+00:00,2.134,354
120,2021-04-02 01:00:00+00:00,2.182,372
121,2021-04-03 01:00:00+00:00,2.192,381
122,2021-04-04 01:00:00+00:00,2.164,377
123,2021-04-05 01:00:00+00:00,2.183,358
124,2021-04-06 01:00:00+00:00,2.157,337
125,2021-04-07 01:00:00+00:00,1.976,504
126,2021-04-08 01:00:00+00:00,1.879,456
127,2021-04-09 01:00:00+00:00,1.809,493
128,2021-04-10 01:00:00+00:00,1.906,403
129,2021-04-11 01:00:00+00:00,1.867,373
130,2021-04-12 01:00:00+00:00,1.931,318
131,2021-04-13 01:00:00+00:00,1.923,307
132,2021-04-14 01:00:00+00:00,1.925,91
133,2021-04-15 01:00:00+00:00,1.935,408
134,2021-04-16 01:00:00+00:00,1.961,335
135,2021-04-17 01:00:00+00:00,1.947,365
136,2021-04-18 01:00:00+00:00,1.966,314
137,2021-04-19 01:00:00+00:00,1.991,306
138,2021-04-20 01:00:00+00:00,1.999,276
139,2021-04-21 01:00:00+00:00,2.057,306
140,2021-04-22 01:00:00+00:00,2.021,288
141,2021-04-23 01:00:00+00:00,1.954,321
142,2021-04-24 01:00:00+00:00,2.08,681
143,2021-04-25 01:00:00+00:00,2.099,311
144,2021-04-26 01:00:00+00:00,2.033,287
145,2021-04-27 01:00:00+00:00,2.099,273
146,2021-04-28 01:00:00+00:00,2.083,293
147,2021-04-29 01:00:00+00:00,2.044,284
148,2021-04-30 01:00:00+00:00,2.212,420
149,2021-05-01 01:00:00+00:00,2.269,327
150,2021-05-02 01:00:00+00:00,2.235,271
151,2021-05-03 01:00:00+00:00,2.188,319
152,2021-05-04 01:00:00+00:00,2.142,386
153,2021-05-05 01:00:00+00:00,2.203,349
154,2021-05-06 01:00:00+00:00,2.177,334
155,2021-05-07 01:00:00+00:00,2.194,330
156,2021-05-08 01:00:00+00:00,2.186,306
157,2021-05-09 01:00:00+00:00,2.218,303
158,2021-05-10 01:00:00+00:00,2.265,274
159,2021-05-11 01:00:00+00:00,2.269,268
160,2021-05-12 01:00:00+00:00,2.319,275
161,2021-05-13 01:00:00+00:00,2.306,285
162,2021-05-14 01:00:00+00:00,2.359,288
163,2021-05-15 01:00:00+00:00,2.343,270
164,2021-05-16 01:00:00+00:00,2.412,262
165,2021-05-17 01:00:00+00:00,2.414,252
166,2021-05-18 01:00:00+00:00,2.392,244
167,2021-05-19 01:00:00+00:00,2.382,228
168,2021-05-20 01:00:00+00:00,2.38,253
169,2021-05-21 01:00:00+00:00,2.402,259
170,2021-05-22 01:00:00+00:00,2.478,268
171,2021-05-23 01:00:00+00:00,2.42,250
172,2021-05-24 01:00:00+00:00,2.475,228
173,2021-05-25 01:00:00+00:00,2.493,220
174,2021-05-26 01:00:00+00:00,2.488,193
175,2021-05-27 01:00:00+00:00,2.413,244
176,2021-05-28 01:00:00+00:00,2.391,256
177,2021-05-29 01:00:00+00:00,2.441,250
178,2021-05-30 01:00:00+00:00,2.468,246
179,2021-05-31 01:00:00+00:00,2.401,233
180,2021-06-01 01:00:00+00:00,2.481,184
181,2021-06-02 01:00:00+00:00,2.401,194
182,2021-06-03 01:00:00+00:00,2.519,213
183,2021-06-04 01:00:00+00:00,2.557,237
184,2021-06-05 01:00:00+00:00,2.551,245
185,2021-06-06 01:00:00+00:00,2.544,227
186,2021-06-07 01:00:00+00:00,2.583,201
187,2021-06-08 01:00:00+00:00,2.645,206
188,2021-06-09 01:00:00+00:00,2.648,191
189,2021-06-10 01:00:00+00:00,2.661,193
190,2021-06-11 01:00:00+00:00,2.644,193
191,2021-06-12 01:00:00+00:00,2.667,198
192,2021-06-13 01:00:00+00:00,2.636,243
193,2021-06-14 01:00:00+00:00,2.656,180
194,2021-06-15 01:00:00+00:00,2.657,183
195,2021-06-16 01:00:00+00:00,2.633,184
196,2021-06-17 01:00:00+00:00,2.626,184
197,2021-06-18 01:00:00+00:00,2.643,193
198,2021-06-19 01:00:00+00:00,2.606,201
199,2021-06-20 01:00:00+00:00,2.595,182
200,2021-06-21 01:00:00+00:00,2.629,188
201,2021-06-22 01:00:00+00:00,2.625,180
202,2021-06-23 01:00:00+00:00,2.548,152
203,2021-06-24 01:00:00+00:00,2.399,260
204,2021-06-25 01:00:00+00:00,2.277,306
205,2021-06-26 01:00:00+00:00,2.322,208
206,2021-06-27 01:00:00+00:00,2.369,215
207,2021-06-28 01:00:00+00:00,2.345,179
208,2021-06-29 01:00:00+00:00,2.357,191
209,2021-06-30 01:00:00+00:00,2.289,168
210,2021-07-01 01:00:00+00:00,2.304,179
211,2021-07-02 01:00:00+00:00,2.365,183
212,2021-07-03 01:00:00+00:00,2.421,178
213,2021-07-04 01:00:00+00:00,2.365,190
214,2021-07-05 01:00:00+00:00,2.362,163
215,2021-07-06 01:00:00+00:00,2.389,171
216,2021-07-07 01:00:00+00:00,2.343,187
217,2021-07-08 01:00:00+00:00,2.358,165
218,2021-07-09 01:00:00+00:00,2.517,157
219,2021-07-10 01:00:00+00:00,2.526,147
220,2021-07-11 01:00:00+00:00,2.612,150
221,2021-07-12 01:00:00+00:00,2.607,144
222,2021-07-13 01:00:00+00:00,2.565,148
223,2021-07-14 01:00:00+00:00,2.691,160
224,2021-07-15 01:00:00+00:00,2.605,157
225,2021-07-16 01:00:00+00:00,2.656,134
226,2021-07-17 01:00:00+00:00,2.745,171
227,2021-07-18 01:00:00+00:00,2.69,160
228,2021-07-19 01:00:00+00:00,2.723,175
229,2021-07-20 01:00:00+00:00,2.767,168
230,2021-07-21 01:00:00+00:00,2.8,139
231,2021-07-22 01:00:00+00:00,2.865,139
232,2021-07-23 01:00:00+00:00,2.831,184
233,2021-07-24 01:00:00+00:00,2.92,143
234,2021-07-25 01:00:00+00:00,2.95,163
235,2021-07-26 01:00:00+00:00,2.935,133
236,2021-07-27 01:00:00+00:00,2.946,82
237,2021-07-28 01:00:00+00:00,2.98,160
238,2021-07-29 01:00:00+00:00,2.944,150
239,2021-07-30 01:00:00+00:00,2.975,136
240,2021-07-31 01:00:00+00:00,3.068,139
241,2021-08-01 01:00:00+00:00,3.016,141
242,2021-08-02 01:00:00+00:00,3.061,142
243,2021-08-03 01:00:00+00:00,3.045,151
244,2021-08-04 01:00:00+00:00,3.016,138
245,2021-08-05 01:00:00+00:00,3.074,121
246,2021-08-06 01:00:00+00:00,2.993,145
247,2021-08-07 01:00:00+00:00,3.106,136
248,2021-08-08 01:00:00+00:00,3.084,139
249,2021-08-09 01:00:00+00:00,3.155,129
250,2021-08-10 01:00:00+00:00,3.149,129
251,2021-08-11 01:00:00+00:00,3.206,135
252,2021-08-12 01:00:00+00:00,3.055,123
253,2021-08-13 01:00:00+00:00,3.012,157
254,2021-08-14 01:00:00+00:00,3.077,156
255,2021-08-15 01:00:00+00:00,3.123,122
256,2021-08-16 01:00:00+00:00,3.064,133
257,2021-08-17 01:00:00+00:00,3.1,145
258,2021-08-18 01:00:00+00:00,3.057,137
259,2021-08-19 01:00:00+00:00,3.113,118
260,2021-08-20 01:00:00+00:00,3.134,146
261,2021-08-21 01:00:00+00:00,3.159,141
262,2021-08-22 01:00:00+00:00,3.128,149
263,2021-08-23 01:00:00+00:00,3.094,143
264,2021-08-24 01:00:00+00:00,3.123,154
265,2021-08-25 01:00:00+00:00,3.127,151
266,2021-08-26 01:00:00+00:00,3.077,122
267,2021-08-27 01:00:00+00:00,3.111,131
268,2021-08-28 01:00:00+00:00,3.145,144
269,2021-08-29 01:00:00+00:00,3.105,131
270,2021-08-30 01:00:00+00:00,3.134,168
271,2021-08-31 01:00:00+00:00,3.122,128
272,2021-09-01 01:00:00+00:00,3.105,134
273,2021-09-02 01:00:00+00:00,3.049,120
274,2021-09-03 01:00:00+00:00,3.143,130
275,2021-09-04 01:00:00+00:00,3.235,126
276,2021-09-05 01:00:00+00:00,3.22,146
277,2021-09-06 01:00:00+00:00,3.316,142
278,2021-09-07 01:00:00+00:00,3.269,135
279,2021-09-08 01:00:00+00:00,3.297,130
280,2021-09-09 01:00:00+00:00,3.255,124
281,2021-09-10 01:00:00+00:00,3.223,130
282,2021-09-11 01:00:00+00:00,3.303,147
283,2021-09-12 01:00:00+00:00,3.338,149
284,2021-09-13 01:00:00+00:00,3.235,114
285,2021-09-14 01:00:00+00:00,3.355,133
286,2021-09-15 01:00:00+00:00,3.316,106
287,2021-09-16 01:00:00+00:00,3.259,118
288,2021-09-17 01:00:00+00:00,3.123,170
289,2021-09-18 01:00:00+00:00,3.188,133
290,2021-09-19 01:00:00+00:00,3.229,138
