,date,price,volume
60,2020-01-17 01:00:00+00:00,0.546,1580
61,2020-01-18 01:00:00+00:00,0.547,1689
62,2020-01-19 01:00:00+00:00,0.539,1629
63,2020-01-20 01:00:00+00:00,0.527,1436
64,2020-01-21 01:00:00+00:00,0.514,1378
65,2020-01-22 01:00:00+00:00,0.508,1500
66,2020-01-23 01:00:00+00:00,0.481,1429
67,2020-01-24 01:00:00+00:00,0.439,1576
68,2020-01-25 01:00:00+00:00,0.427,1704
69,2020-01-26 01:00:00+00:00,0.433,1688
70,2020-01-27 01:00:00+00:00,0.446,1344
71,2020-01-28 01:00:00+00:00,0.47,1390
72,2020-01-29 01:00:00+00:00,0.499,1446
73,2020-01-30 01:00:00+00:00,0.508,1145
74,2020-01-31 01:00:00+00:00,0.513,1455
75,2020-02-01 01:00:00+00:00,0.54,1586
76,2020-02-02 01:00:00+00:00,0.555,1486
77,2020-02-03 01:00:00+00:00,0.555,1214
78,2020-02-04 01:00:00+00:00,0.547,1324
79,2020-02-05 01:00:00+00:00,0.51,1900
80,2020-02-06 01:00:00+00:00,0.492,1642
81,2020-02-07 01:00:00+00:00,0.417,1934
82,2020-02-08 01:00:00+00:00,0.41,2251
83,2020-02-09 01:00:00+00:00,0.393,2150
84,2020-02-10 01:00:00+00:00,0.415,1847
85,2020-02-11 01:00:00+00:00,0.432,1687
86,2020-02-12 01:00:00+00:00,0.435,2029
87,2020-02-13 01:00:00+00:00,0.441,1666
88,2020-02-14 01:00:00+00:00,0.442,1656
89,2020-02-15 01:00:00+00:00,0.413,1846
90,2020-02-16 01:00:00+00:00,0.394,1765
91,2020-02-17 01:00:00+00:00,0.384,1483
92,2020-02-18 01:00:00+00:00,0.339,1249
93,2020-02-19 01:00:00+00:00,0.306,1697
94,2020-02-20 01:00:00+00:00,0.285,1548
95,2020-02-21 01:00:00+00:00,0.293,1604
96,2020-02-22 01:00:00+00:00,0.31,1710
97,2020-02-23 01:00:00+00:00,0.325,1790
