,date,price,volume
60,2020-01-17 01:00:00+00:00,1.18,1365
61,2020-01-18 01:00:00+00:00,1.182,1390
62,2020-01-19 01:00:00+00:00,1.175,1254
63,2020-01-20 01:00:00+00:00,1.164,1097
64,2020-01-21 01:00:00+00:00,1.158,997
65,2020-01-22 01:00:00+00:00,1.067,1260
66,2020-01-23 01:00:00+00:00,1.019,1261
67,2020-01-24 01:00:00+00:00,0.977,1314
68,2020-01-25 01:00:00+00:00,0.912,1484
69,2020-01-26 01:00:00+00:00,0.949,1525
70,2020-01-27 01:00:00+00:00,0.983,1049
71,2020-01-28 01:00:00+00:00,0.986,1136
72,2020-01-29 01:00:00+00:00,0.98,1029
73,2020-01-30 01:00:00+00:00,1.012,958
74,2020-01-31 01:00:00+00:00,1.036,1064
75,2020-02-01 01:00:00+00:00,1.076,1154
76,2020-02-02 01:00:00+00:00,1.059,1196
77,2020-02-03 01:00:00+00:00,1.05,931
78,2020-02-04 01:00:00+00:00,1.003,993
79,2020-02-05 01:00:00+00:00,0.963,2050
80,2020-02-06 01:00:00+00:00,0.904,1555
81,2020-02-07 01:00:00+00:00,0.825,2020
82,2020-02-08 01:00:00+00:00,0.769,2059
83,2020-02-09 01:00:00+00:00,0.768,1873
84,2020-02-10 01:00:00+00:00,0.783,1645
85,2020-02-11 01:00:00+00:00,0.785,1402
86,2020-02-12 01:00:00+00:00,0.794,1747
87,2020-02-13 01:00:00+00:00,0.814,1522
88,2020-02-14 01:00:00+00:00,0.802,1501
89,2020-02-15 01:00:00+00:00,0.755,1778
90,2020-02-16 01:00:00+00:00,0.754,1840
91,2020-02-17 01:00:00+00:00,0.682,1260
92,2020-02-18 01:00:00+00:00,0.621,1242
93,2020-02-19 01:00:00+00:00,0.576,1650
94,2020-02-20 01:00:00+00:00,0.56,1386
95,2020-02-21 01:00:00+00:00,0.591,1479
96,2020-02-22 01:00:00+00:00,0.599,1685
97,2020-02-23 01:00:00+00:00,0.614,1614
98,2020-02-24 01:00:00+00:00,0.625,1400
99,2020-02-25 01:00:00+00:00,0.743,2992
100,2020-02-26 01:00:00+00:00,0.748,1941
101,2020-02-27 01:00:00+00:00,0.718,1746
102,2020-02-28 01:00:00+00:00,0.724,1863
103,2020-02-29 01:00:00+00:00,0.748,2128
104,2020-03-01 01:00:00+00:00,0.753,2056
105,2020-03-02 01:00:00+00:00,0.71,1520
106,2020-03-03 01:00:00+00:00,0.702,1510
107,2020-03-04 01:00:00+00:00,0.613,3062
108,2020-03-05 01:00:00+00:00,0.581,2414
109,2020-03-06 01:00:00+00:00,0.595,2275
110,2020-03-07 01:00:00+00:00,0.577,2433
111,2020-03-08 01:00:00+00:00,0.611,2325
112,2020-03-09 01:00:00+00:00,0.61,2025
113,2020-03-10 01:00:00+00:00,0.598,1753
114,2020-03-11 01:00:00+00:00,0.589,1714
115,2020-03-12 01:00:00+00:00,0.574,1703
116,2020-03-13 01:00:00+00:00,0.551,1773
117,2020-03-14 01:00:00+00:00,0.553,2064
118,2020-03-15 01:00:00+00:00,0.54,2028
119,2020-03-16 01:00:00+00:00,0.537,1810
120,2020-03-17 01:00:00+00:00,0.503,1878
121,2020-03-18 01:00:00+00:00,0.494,1878
122,2020-03-19 01:00:00+00:00,0.503,1802
123,2020-03-20 01:00:00+00:00,0.495,1909
124,2020-03-21 01:00:00+00:00,0.513,1596
125,2020-03-22 01:00:00+00:00,0.508,2029
126,2020-03-23 01:00:00+00:00,0.526,1825
127,2020-03-24 01:00:00+00:00,0.527,1827
128,2020-03-25 01:00:00+00:00,0.539,1923
129,2020-03-26 01:00:00+00:00,0.519,1857
130,2020-03-27 01:00:00+00:00,0.521,1701
131,2020-03-28 01:00:00+00:00,0.538,1647
132,2020-03-29 01:00:00+00:00,0.618,1469
133,2020-03-30 01:00:00+00:00,0.812,9109
134,2020-03-31 01:00:00+00:00,0.77,4941
135,2020-04-01 01:00:00+00:00,0.661,2862
136,2020-04-02 01:00:00+00:00,0.616,2215
137,2020-04-03 01:00:00+00:00,0.563,2064
138,2020-04-04 01:00:00+00:00,0.553,1933
139,2020-04-05 01:00:00+00:00,0.563,1855
140,2020-04-06 01:00:00+00:00,0.559,1798
141,2020-04-07 01:00:00+00:00,0.556,1738
142,2020-04-08 01:00:00+00:00,0.567,1731
143,2020-04-09 01:00:00+00:00,0.563,1712
144,2020-04-10 01:00:00+00:00,0.566,1746
145,2020-04-11 01:00:00+00:00,0.571,1773
146,2020-04-12 01:00:00+00:00,0.611,1820
147,2020-04-13 01:00:00+00:00,0.635,1626
148,2020-04-14 01:00:00+00:00,0.64,1747
149,2020-04-15 01:00:00+00:00,0.656,1630
150,2020-04-16 01:00:00+00:00,0.666,1482
151,2020-04-17 01:00:00+00:00,0.703,1687
152,2020-04-18 01:00:00+00:00,0.723,1506
153,2020-04-19 01:00:00+00:00,0.714,1403
154,2020-04-20 01:00:00+00:00,0.705,1400
155,2020-04-21 01:00:00+00:00,0.714,1389
156,2020-04-22 01:00:00+00:00,0.69,1547
157,2020-04-23 01:00:00+00:00,0.674,1349
158,2020-04-24 01:00:00+00:00,0.666,1369
159,2020-04-25 01:00:00+00:00,0.677,1380
160,2020-04-26 01:00:00+00:00,0.66,1431
161,2020-04-27 01:00:00+00:00,0.66,1425
162,2020-04-28 01:00:00+00:00,0.649,1236
163,2020-04-29 01:00:00+00:00,0.645,1298
164,2020-04-30 01:00:00+00:00,0.639,1320
165,2020-05-01 01:00:00+00:00,0.626,1356
166,2020-05-02 01:00:00+00:00,0.61,1321
167,2020-05-03 01:00:00+00:00,0.605,1274
168,2020-05-04 01:00:00+00:00,0.618,1273
169,2020-05-05 01:00:00+00:00,0.637,1266
170,2020-05-06 01:00:00+00:00,0.646,1327
171,2020-05-07 01:00:00+00:00,0.666,1276
172,2020-05-08 01:00:00+00:00,0.662,1117
173,2020-05-09 01:00:00+00:00,0.667,1218
174,2020-05-10 01:00:00+00:00,0.654,1152
175,2020-05-11 01:00:00+00:00,0.673,1136
176,2020-05-12 01:00:00+00:00,0.685,1077
177,2020-05-13 01:00:00+00:00,0.696,1044
178,2020-05-14 01:00:00+00:00,0.673,993
179,2020-05-15 01:00:00+00:00,0.672,1031
180,2020-05-16 01:00:00+00:00,0.677,978
181,2020-05-17 01:00:00+00:00,0.677,984
182,2020-05-18 01:00:00+00:00,0.681,895
183,2020-05-19 01:00:00+00:00,0.668,959
184,2020-05-20 01:00:00+00:00,0.665,923
185,2020-05-21 01:00:00+00:00,0.66,1038
186,2020-05-22 01:00:00+00:00,0.655,1034
187,2020-05-23 01:00:00+00:00,0.647,998
188,2020-05-24 01:00:00+00:00,0.635,1092
189,2020-05-25 01:00:00+00:00,0.624,1077
190,2020-05-26 01:00:00+00:00,0.585,1065
191,2020-05-27 01:00:00+00:00,0.591,1058
192,2020-05-28 01:00:00+00:00,0.6,1124
193,2020-05-29 01:00:00+00:00,0.609,1038
194,2020-05-30 01:00:00+00:00,0.642,1003
195,2020-05-31 01:00:00+00:00,0.638,990
196,2020-06-01 01:00:00+00:00,0.645,930
197,2020-06-02 01:00:00+00:00,0.659,918
198,2020-06-03 01:00:00+00:00,0.648,877
199,2020-06-04 01:00:00+00:00,0.642,846
200,2020-06-05 01:00:00+00:00,0.631,896
201,2020-06-06 01:00:00+00:00,0.661,839
202,2020-06-07 01:00:00+00:00,0.662,901
203,2020-06-08 01:00:00+00:00,0.658,796
204,2020-06-09 01:00:00+00:00,0.66,842
205,2020-06-10 01:00:00+00:00,0.636,877
206,2020-06-11 01:00:00+00:00,0.642,874
207,2020-06-12 01:00:00+00:00,0.641,827
208,2020-06-13 01:00:00+00:00,0.642,800
209,2020-06-14 01:00:00+00:00,0.644,795
210,2020-06-15 01:00:00+00:00,0.64,769
211,2020-06-16 01:00:00+00:00,0.617,807
212,2020-06-17 01:00:00+00:00,0.62,830
213,2020-06-18 01:00:00+00:00,0.628,785
214,2020-06-19 01:00:00+00:00,0.626,812
215,2020-06-20 01:00:00+00:00,0.618,824
216,2020-06-21 01:00:00+00:00,0.619,829
217,2020-06-22 01:00:00+00:00,0.618,781
218,2020-06-23 01:00:00+00:00,0.614,786
219,2020-06-24 01:00:00+00:00,0.611,761
220,2020-06-25 01:00:00+00:00,0.57,1112
221,2020-06-26 01:00:00+00:00,0.524,1413
222,2020-06-27 01:00:00+00:00,0.528,1064
223,2020-06-28 01:00:00+00:00,0.547,885
224,2020-06-29 01:00:00+00:00,0.526,963
225,2020-06-30 01:00:00+00:00,0.525,850
226,2020-07-01 01:00:00+00:00,0.534,796
227,2020-07-02 01:00:00+00:00,0.537,830
228,2020-07-03 01:00:00+00:00,0.546,848
229,2020-07-04 01:00:00+00:00,0.554,814
230,2020-07-05 01:00:00+00:00,0.571,822
231,2020-07-06 01:00:00+00:00,0.57,786
232,2020-07-07 01:00:00+00:00,0.572,805
233,2020-07-08 01:00:00+00:00,0.579,847
234,2020-07-09 01:00:00+00:00,0.593,833
235,2020-07-10 01:00:00+00:00,0.614,745
236,2020-07-11 01:00:00+00:00,0.62,836
237,2020-07-12 01:00:00+00:00,0.63,770
238,2020-07-13 01:00:00+00:00,0.63,848
239,2020-07-14 01:00:00+00:00,0.634,817
240,2020-07-15 01:00:00+00:00,0.632,777
241,2020-07-16 01:00:00+00:00,0.66,727
242,2020-07-17 01:00:00+00:00,0.67,719
243,2020-07-18 01:00:00+00:00,0.679,699
244,2020-07-19 01:00:00+00:00,0.673,712
245,2020-07-20 01:00:00+00:00,0.664,784
246,2020-07-21 01:00:00+00:00,0.661,835
247,2020-07-22 01:00:00+00:00,0.682,814
248,2020-07-23 01:00:00+00:00,0.688,916
249,2020-07-24 01:00:00+00:00,0.711,779
250,2020-07-25 01:00:00+00:00,0.716,668
251,2020-07-26 01:00:00+00:00,0.717,688
252,2020-07-27 01:00:00+00:00,0.717,699
253,2020-07-28 01:00:00+00:00,0.721,698
254,2020-07-29 01:00:00+00:00,0.743,1441
255,2020-07-30 01:00:00+00:00,0.794,698
256,2020-07-31 01:00:00+00:00,0.797,668
257,2020-08-01 01:00:00+00:00,0.815,673
258,2020-08-02 01:00:00+00:00,0.81,634
259,2020-08-03 01:00:00+00:00,0.814,720
260,2020-08-04 01:00:00+00:00,0.856,733
261,2020-08-05 01:00:00+00:00,0.88,685
262,2020-08-06 01:00:00+00:00,0.892,567
263,2020-08-07 01:00:00+00:00,0.875,695
264,2020-08-08 01:00:00+00:00,0.887,688
265,2020-08-09 01:00:00+00:00,0.86,751
266,2020-08-10 01:00:00+00:00,0.855,723
267,2020-08-11 01:00:00+00:00,0.843,722
268,2020-08-12 01:00:00+00:00,0.846,719
269,2020-08-13 01:00:00+00:00,0.838,700
270,2020-08-14 01:00:00+00:00,0.842,711
271,2020-08-15 01:00:00+00:00,0.831,677
272,2020-08-16 01:00:00+00:00,0.843,752
273,2020-08-17 01:00:00+00:00,0.838,600
274,2020-08-18 01:00:00+00:00,0.832,705
275,2020-08-19 01:00:00+00:00,0.834,707
276,2020-08-20 01:00:00+00:00,0.834,676
277,2020-08-21 01:00:00+00:00,0.826,632
278,2020-08-22 01:00:00+00:00,0.813,697
279,2020-08-23 01:00:00+00:00,0.804,726
280,2020-08-24 01:00:00+00:00,0.814,708
281,2020-08-25 01:00:00+00:00,0.814,677
282,2020-08-26 01:00:00+00:00,0.815,703
283,2020-08-27 01:00:00+00:00,0.807,724
284,2020-08-28 01:00:00+00:00,0.817,694
285,2020-08-29 01:00:00+00:00,0.827,668
286,2020-08-30 01:00:00+00:00,0.808,747
287,2020-08-31 01:00:00+00:00,0.806,619
288,2020-09-01 01:00:00+00:00,0.809,627
289,2020-09-02 01:00:00+00:00,0.808,578
290,2020-09-03 01:00:00+00:00,0.8,610
291,2020-09-04 01:00:00+00:00,0.775,697
