,date,price,volume
60,2021-11-21 01:00:00+00:00,1.879,267
61,2021-11-22 01:00:00+00:00,1.913,225
62,2021-11-23 01:00:00+00:00,1.811,203
63,2021-11-24 01:00:00+00:00,1.701,343
64,2021-11-25 01:00:00+00:00,1.662,321
65,2021-11-26 01:00:00+00:00,1.598,314
66,2021-11-27 01:00:00+00:00,1.627,284
67,2021-11-28 01:00:00+00:00,1.604,261
68,2021-11-29 01:00:00+00:00,1.642,218
69,2021-11-30 01:00:00+00:00,1.584,296
70,2021-12-01 01:00:00+00:00,1.471,407
71,2021-12-02 01:00:00+00:00,1.528,268
72,2021-12-03 01:00:00+00:00,1.597,254
73,2021-12-04 01:00:00+00:00,1.679,322
74,2021-12-05 01:00:00+00:00,1.704,315
75,2021-12-06 01:00:00+00:00,1.711,222
76,2021-12-07 01:00:00+00:00,1.775,229
77,2021-12-08 01:00:00+00:00,1.673,339
78,2021-12-09 01:00:00+00:00,1.662,290
79,2021-12-10 01:00:00+00:00,1.714,270
80,2021-12-11 01:00:00+00:00,1.735,314
81,2021-12-12 01:00:00+00:00,1.623,253
82,2021-12-13 01:00:00+00:00,1.657,235
83,2021-12-14 01:00:00+00:00,1.646,184
84,2021-12-15 01:00:00+00:00,1.519,264
85,2021-12-16 01:00:00+00:00,1.51,238
86,2021-12-17 01:00:00+00:00,1.5,232
87,2021-12-18 01:00:00+00:00,1.505,264
88,2021-12-19 01:00:00+00:00,1.494,279
89,2021-12-20 01:00:00+00:00,1.455,207
90,2021-12-21 01:00:00+00:00,1.482,228
91,2021-12-22 01:00:00+00:00,1.371,305
92,2021-12-23 01:00:00+00:00,1.311,338
93,2021-12-24 01:00:00+00:00,1.338,240
94,2021-12-25 01:00:00+00:00,1.351,266
95,2021-12-26 01:00:00+00:00,1.341,306
96,2021-12-27 01:00:00+00:00,1.423,238
97,2021-12-28 01:00:00+00:00,1.389,255
98,2021-12-29 01:00:00+00:00,1.338,352
99,2021-12-30 01:00:00+00:00,1.347,328
100,2021-12-31 01:00:00+00:00,1.376,311
101,2022-01-01 01:00:00+00:00,1.491,302
102,2022-01-02 01:00:00+00:00,1.483,326
103,2022-01-03 01:00:00+00:00,1.472,283
104,2022-01-04 01:00:00+00:00,1.486,327
105,2022-01-05 01:00:00+00:00,1.543,537
106,2022-01-06 01:00:00+00:00,1.596,375
107,2022-01-07 01:00:00+00:00,1.654,330
108,2022-01-08 01:00:00+00:00,1.64,348
109,2022-01-09 01:00:00+00:00,1.593,310
110,2022-01-10 01:00:00+00:00,1.506,219
111,2022-01-11 01:00:00+00:00,1.6,260
112,2022-01-12 01:00:00+00:00,1.519,266
113,2022-01-13 01:00:00+00:00,1.519,249
114,2022-01-14 01:00:00+00:00,1.521,274
115,2022-01-15 01:00:00+00:00,1.474,291
116,2022-01-16 01:00:00+00:00,1.413,274
117,2022-01-17 01:00:00+00:00,1.427,246
118,2022-01-18 01:00:00+00:00,1.445,232
119,2022-01-19 01:00:00+00:00,1.444,208
120,2022-01-20 01:00:00+00:00,1.488,219
121,2022-01-21 01:00:00+00:00,1.483,284
122,2022-01-22 01:00:00+00:00,1.471,346
123,2022-01-23 01:00:00+00:00,1.488,316
124,2022-01-24 01:00:00+00:00,1.487,289
125,2022-01-25 01:00:00+00:00,1.518,277
126,2022-01-26 01:00:00+00:00,1.495,288
127,2022-01-27 01:00:00+00:00,1.464,278
128,2022-01-28 01:00:00+00:00,1.42,327
129,2022-01-29 01:00:00+00:00,1.431,348
130,2022-01-30 01:00:00+00:00,1.432,335
131,2022-01-31 01:00:00+00:00,1.418,279
132,2022-02-01 01:00:00+00:00,1.416,305
133,2022-02-02 01:00:00+00:00,1.424,325
134,2022-02-03 01:00:00+00:00,1.474,260
135,2022-02-04 01:00:00+00:00,1.528,241
136,2022-02-05 01:00:00+00:00,1.556,244
137,2022-02-06 01:00:00+00:00,1.604,297
138,2022-02-07 01:00:00+00:00,1.543,216
139,2022-02-08 01:00:00+00:00,1.552,197
140,2022-02-09 01:00:00+00:00,1.511,230
141,2022-02-10 01:00:00+00:00,1.6,207
142,2022-02-11 01:00:00+00:00,1.618,220
143,2022-02-12 01:00:00+00:00,1.629,202
144,2022-02-13 01:00:00+00:00,1.613,233
145,2022-02-14 01:00:00+00:00,1.578,185
146,2022-02-15 01:00:00+00:00,1.607,204
