,date,price,volume
60,2020-01-18 01:00:00+00:00,1.197,1177
61,2020-01-19 01:00:00+00:00,1.182,1075
62,2020-01-20 01:00:00+00:00,1.186,975
63,2020-01-21 01:00:00+00:00,1.191,905
64,2020-01-22 01:00:00+00:00,1.119,1053
65,2020-01-23 01:00:00+00:00,1.09,966
66,2020-01-24 01:00:00+00:00,1.017,1086
67,2020-01-25 01:00:00+00:00,0.995,1316
68,2020-01-26 01:00:00+00:00,0.994,1205
69,2020-01-27 01:00:00+00:00,0.983,1026
70,2020-01-28 01:00:00+00:00,0.988,996
71,2020-01-29 01:00:00+00:00,1.032,1049
72,2020-01-30 01:00:00+00:00,1.066,872
73,2020-01-31 01:00:00+00:00,1.077,1021
74,2020-02-01 01:00:00+00:00,1.145,1159
75,2020-02-02 01:00:00+00:00,1.127,1042
76,2020-02-03 01:00:00+00:00,1.094,866
77,2020-02-04 01:00:00+00:00,1.076,918
78,2020-02-05 01:00:00+00:00,1.085,1364
79,2020-02-06 01:00:00+00:00,1.054,1184
80,2020-02-07 01:00:00+00:00,0.971,1747
81,2020-02-08 01:00:00+00:00,0.874,1900
82,2020-02-09 01:00:00+00:00,0.857,1696
83,2020-02-10 01:00:00+00:00,0.875,1575
84,2020-02-11 01:00:00+00:00,0.891,1241
85,2020-02-12 01:00:00+00:00,0.875,1510
86,2020-02-13 01:00:00+00:00,0.901,1367
87,2020-02-14 01:00:00+00:00,0.904,1313
88,2020-02-15 01:00:00+00:00,0.867,1514
89,2020-02-16 01:00:00+00:00,0.865,1474
90,2020-02-17 01:00:00+00:00,0.834,1160
91,2020-02-18 01:00:00+00:00,0.773,1062
92,2020-02-19 01:00:00+00:00,0.699,1387
93,2020-02-20 01:00:00+00:00,0.672,1256
94,2020-02-21 01:00:00+00:00,0.768,1429
95,2020-02-22 01:00:00+00:00,0.796,1463
96,2020-02-23 01:00:00+00:00,0.829,1479
97,2020-02-24 01:00:00+00:00,0.811,1535
98,2020-02-25 01:00:00+00:00,0.94,2368
99,2020-02-26 01:00:00+00:00,0.937,1640
100,2020-02-27 01:00:00+00:00,0.926,1528
101,2020-02-28 01:00:00+00:00,0.957,1614
102,2020-02-29 01:00:00+00:00,0.978,1840
103,2020-03-01 01:00:00+00:00,0.973,1768
104,2020-03-02 01:00:00+00:00,0.964,1377
105,2020-03-03 01:00:00+00:00,0.926,1354
106,2020-03-04 01:00:00+00:00,0.831,2682
107,2020-03-05 01:00:00+00:00,0.802,1906
108,2020-03-06 01:00:00+00:00,0.826,1848
109,2020-03-07 01:00:00+00:00,0.787,1952
110,2020-03-08 01:00:00+00:00,0.798,1885
111,2020-03-09 01:00:00+00:00,0.774,1585
112,2020-03-10 01:00:00+00:00,0.81,1415
113,2020-03-11 01:00:00+00:00,0.777,1414
114,2020-03-12 01:00:00+00:00,0.768,1427
115,2020-03-13 01:00:00+00:00,0.741,1514
116,2020-03-14 01:00:00+00:00,0.755,1620
117,2020-03-15 01:00:00+00:00,0.707,1742
118,2020-03-16 01:00:00+00:00,0.688,1501
119,2020-03-17 01:00:00+00:00,0.661,1514
120,2020-03-18 01:00:00+00:00,0.669,1543
121,2020-03-19 01:00:00+00:00,0.681,1501
122,2020-03-20 01:00:00+00:00,0.678,1502
123,2020-03-21 01:00:00+00:00,0.695,1397
124,2020-03-22 01:00:00+00:00,0.684,1795
125,2020-03-23 01:00:00+00:00,0.719,1355
126,2020-03-24 01:00:00+00:00,0.706,1337
127,2020-03-25 01:00:00+00:00,0.684,1614
128,2020-03-26 01:00:00+00:00,0.691,1485
129,2020-03-27 01:00:00+00:00,0.711,1374
130,2020-03-28 01:00:00+00:00,0.738,1474
131,2020-03-29 01:00:00+00:00,0.83,1608
132,2020-03-30 01:00:00+00:00,0.987,3574
133,2020-03-31 01:00:00+00:00,0.813,3204
134,2020-04-01 01:00:00+00:00,0.783,2250
135,2020-04-02 01:00:00+00:00,0.756,2048
136,2020-04-03 01:00:00+00:00,0.738,1953
137,2020-04-04 01:00:00+00:00,0.764,1802
138,2020-04-05 01:00:00+00:00,0.788,1530
139,2020-04-06 01:00:00+00:00,0.801,1567
140,2020-04-07 01:00:00+00:00,0.799,1480
141,2020-04-08 01:00:00+00:00,0.793,1442
142,2020-04-09 01:00:00+00:00,0.806,1396
143,2020-04-10 01:00:00+00:00,0.825,1454
144,2020-04-11 01:00:00+00:00,0.828,1410
145,2020-04-12 01:00:00+00:00,0.883,1439
146,2020-04-13 01:00:00+00:00,0.905,1367
147,2020-04-14 01:00:00+00:00,0.891,1468
