,date,price,volume
60,2020-01-17 01:00:00+00:00,0.712,1358
61,2020-01-18 01:00:00+00:00,0.682,1487
62,2020-01-19 01:00:00+00:00,0.67,1300
63,2020-01-20 01:00:00+00:00,0.632,1135
64,2020-01-21 01:00:00+00:00,0.619,1286
65,2020-01-22 01:00:00+00:00,0.6,1392
66,2020-01-23 01:00:00+00:00,0.569,1257
67,2020-01-24 01:00:00+00:00,0.525,1403
68,2020-01-25 01:00:00+00:00,0.519,1514
69,2020-01-26 01:00:00+00:00,0.519,1377
70,2020-01-27 01:00:00+00:00,0.518,1141
71,2020-01-28 01:00:00+00:00,0.533,1041
72,2020-01-29 01:00:00+00:00,0.547,1094
73,2020-01-30 01:00:00+00:00,0.563,1013
74,2020-01-31 01:00:00+00:00,0.574,1270
75,2020-02-01 01:00:00+00:00,0.606,1404
76,2020-02-02 01:00:00+00:00,0.625,1276
77,2020-02-03 01:00:00+00:00,0.605,1018
78,2020-02-04 01:00:00+00:00,0.615,1175
79,2020-02-05 01:00:00+00:00,0.577,1973
80,2020-02-06 01:00:00+00:00,0.532,1524
81,2020-02-07 01:00:00+00:00,0.477,1960
82,2020-02-08 01:00:00+00:00,0.433,1974
83,2020-02-09 01:00:00+00:00,0.437,1890
84,2020-02-10 01:00:00+00:00,0.453,1641
85,2020-02-11 01:00:00+00:00,0.464,1591
86,2020-02-12 01:00:00+00:00,0.47,1839
87,2020-02-13 01:00:00+00:00,0.478,1632
88,2020-02-14 01:00:00+00:00,0.474,1681
89,2020-02-15 01:00:00+00:00,0.45,1752
90,2020-02-16 01:00:00+00:00,0.404,1558
91,2020-02-17 01:00:00+00:00,0.373,1397
92,2020-02-18 01:00:00+00:00,0.347,1215
93,2020-02-19 01:00:00+00:00,0.326,1630
94,2020-02-20 01:00:00+00:00,0.324,1493
95,2020-02-21 01:00:00+00:00,0.328,1515
96,2020-02-22 01:00:00+00:00,0.336,1593
97,2020-02-23 01:00:00+00:00,0.345,1606
98,2020-02-24 01:00:00+00:00,0.345,1407
99,2020-02-25 01:00:00+00:00,0.465,3426
100,2020-02-26 01:00:00+00:00,0.49,1922
101,2020-02-27 01:00:00+00:00,0.46,1811
102,2020-02-28 01:00:00+00:00,0.464,1895
103,2020-02-29 01:00:00+00:00,0.465,2097
104,2020-03-01 01:00:00+00:00,0.447,2099
105,2020-03-02 01:00:00+00:00,0.451,1481
106,2020-03-03 01:00:00+00:00,0.461,1676
107,2020-03-04 01:00:00+00:00,0.398,2777
108,2020-03-05 01:00:00+00:00,0.369,2123
109,2020-03-06 01:00:00+00:00,0.365,2231
110,2020-03-07 01:00:00+00:00,0.378,2192
111,2020-03-08 01:00:00+00:00,0.397,2308
112,2020-03-09 01:00:00+00:00,0.398,1936
113,2020-03-10 01:00:00+00:00,0.402,1614
114,2020-03-11 01:00:00+00:00,0.395,1616
115,2020-03-12 01:00:00+00:00,0.385,1685
116,2020-03-13 01:00:00+00:00,0.369,1809
117,2020-03-14 01:00:00+00:00,0.367,1892
118,2020-03-15 01:00:00+00:00,0.351,1826
119,2020-03-16 01:00:00+00:00,0.341,1760
120,2020-03-17 01:00:00+00:00,0.329,1709
121,2020-03-18 01:00:00+00:00,0.328,1648
122,2020-03-19 01:00:00+00:00,0.331,1661
123,2020-03-20 01:00:00+00:00,0.322,1714
124,2020-03-21 01:00:00+00:00,0.343,1359
125,2020-03-22 01:00:00+00:00,0.332,1850
126,2020-03-23 01:00:00+00:00,0.348,1365
127,2020-03-24 01:00:00+00:00,0.333,1648
128,2020-03-25 01:00:00+00:00,0.337,1814
129,2020-03-26 01:00:00+00:00,0.339,1612
130,2020-03-27 01:00:00+00:00,0.346,1556
131,2020-03-28 01:00:00+00:00,0.357,1478
132,2020-03-29 01:00:00+00:00,0.415,1760
133,2020-03-30 01:00:00+00:00,0.518,10727
134,2020-03-31 01:00:00+00:00,0.452,3929
135,2020-04-01 01:00:00+00:00,0.401,2869
136,2020-04-02 01:00:00+00:00,0.366,2123
137,2020-04-03 01:00:00+00:00,0.345,1751
138,2020-04-04 01:00:00+00:00,0.341,1734
139,2020-04-05 01:00:00+00:00,0.337,1625
140,2020-04-06 01:00:00+00:00,0.339,1670
141,2020-04-07 01:00:00+00:00,0.336,1553
142,2020-04-08 01:00:00+00:00,0.334,1438
143,2020-04-09 01:00:00+00:00,0.343,1552
144,2020-04-10 01:00:00+00:00,0.347,1646
145,2020-04-11 01:00:00+00:00,0.347,1582
146,2020-04-12 01:00:00+00:00,0.373,1495
147,2020-04-13 01:00:00+00:00,0.39,1418
148,2020-04-14 01:00:00+00:00,0.385,1543
149,2020-04-15 01:00:00+00:00,0.401,1459
150,2020-04-16 01:00:00+00:00,0.417,1499
151,2020-04-17 01:00:00+00:00,0.436,1683
152,2020-04-18 01:00:00+00:00,0.454,1618
153,2020-04-19 01:00:00+00:00,0.469,1564
154,2020-04-20 01:00:00+00:00,0.462,1425
155,2020-04-21 01:00:00+00:00,0.442,1326
156,2020-04-22 01:00:00+00:00,0.405,1355
157,2020-04-23 01:00:00+00:00,0.397,1238
158,2020-04-24 01:00:00+00:00,0.397,1267
159,2020-04-25 01:00:00+00:00,0.423,1206
160,2020-04-26 01:00:00+00:00,0.405,1217
161,2020-04-27 01:00:00+00:00,0.393,1154
162,2020-04-28 01:00:00+00:00,0.384,1100
163,2020-04-29 01:00:00+00:00,0.379,1163
164,2020-04-30 01:00:00+00:00,0.366,1264
165,2020-05-01 01:00:00+00:00,0.36,1308
166,2020-05-02 01:00:00+00:00,0.36,1242
167,2020-05-03 01:00:00+00:00,0.357,1222
168,2020-05-04 01:00:00+00:00,0.348,1133
169,2020-05-05 01:00:00+00:00,0.355,1280
170,2020-05-06 01:00:00+00:00,0.373,1154
171,2020-05-07 01:00:00+00:00,0.388,1073
172,2020-05-08 01:00:00+00:00,0.385,1066
173,2020-05-09 01:00:00+00:00,0.385,1029
174,2020-05-10 01:00:00+00:00,0.389,1033
175,2020-05-11 01:00:00+00:00,0.397,1086
176,2020-05-12 01:00:00+00:00,0.406,1080
177,2020-05-13 01:00:00+00:00,0.419,1036
178,2020-05-14 01:00:00+00:00,0.409,948
179,2020-05-15 01:00:00+00:00,0.4,938
180,2020-05-16 01:00:00+00:00,0.41,958
181,2020-05-17 01:00:00+00:00,0.408,933
182,2020-05-18 01:00:00+00:00,0.416,918
183,2020-05-19 01:00:00+00:00,0.419,930
184,2020-05-20 01:00:00+00:00,0.411,1006
185,2020-05-21 01:00:00+00:00,0.419,859
186,2020-05-22 01:00:00+00:00,0.404,897
187,2020-05-23 01:00:00+00:00,0.402,898
188,2020-05-24 01:00:00+00:00,0.397,960
189,2020-05-25 01:00:00+00:00,0.389,1044
190,2020-05-26 01:00:00+00:00,0.364,1073
191,2020-05-27 01:00:00+00:00,0.374,874
192,2020-05-28 01:00:00+00:00,0.381,889
193,2020-05-29 01:00:00+00:00,0.385,906
194,2020-05-30 01:00:00+00:00,0.395,902
195,2020-05-31 01:00:00+00:00,0.395,881
196,2020-06-01 01:00:00+00:00,0.406,913
197,2020-06-02 01:00:00+00:00,0.407,804
198,2020-06-03 01:00:00+00:00,0.41,827
199,2020-06-04 01:00:00+00:00,0.403,838
200,2020-06-05 01:00:00+00:00,0.399,911
201,2020-06-06 01:00:00+00:00,0.402,794
202,2020-06-07 01:00:00+00:00,0.395,845
203,2020-06-08 01:00:00+00:00,0.403,830
204,2020-06-09 01:00:00+00:00,0.397,897
205,2020-06-10 01:00:00+00:00,0.394,804
206,2020-06-11 01:00:00+00:00,0.396,811
207,2020-06-12 01:00:00+00:00,0.395,790
208,2020-06-13 01:00:00+00:00,0.394,704
209,2020-06-14 01:00:00+00:00,0.388,717
210,2020-06-15 01:00:00+00:00,0.386,741
211,2020-06-16 01:00:00+00:00,0.388,771
212,2020-06-17 01:00:00+00:00,0.385,840
213,2020-06-18 01:00:00+00:00,0.389,777
214,2020-06-19 01:00:00+00:00,0.382,724
215,2020-06-20 01:00:00+00:00,0.379,697
216,2020-06-21 01:00:00+00:00,0.379,764
217,2020-06-22 01:00:00+00:00,0.38,730
218,2020-06-23 01:00:00+00:00,0.376,708
219,2020-06-24 01:00:00+00:00,0.377,777
220,2020-06-25 01:00:00+00:00,0.361,975
