,date,price,volume
60,2021-11-21 01:00:00+00:00,2.026,398
61,2021-11-22 01:00:00+00:00,2.075,312
62,2021-11-23 01:00:00+00:00,2.071,307
63,2021-11-24 01:00:00+00:00,1.955,540
64,2021-11-25 01:00:00+00:00,1.854,447
65,2021-11-26 01:00:00+00:00,1.756,443
66,2021-11-27 01:00:00+00:00,1.839,429
67,2021-11-28 01:00:00+00:00,1.908,437
68,2021-11-29 01:00:00+00:00,2.076,349
69,2021-11-30 01:00:00+00:00,1.905,471
70,2021-12-01 01:00:00+00:00,1.77,614
71,2021-12-02 01:00:00+00:00,1.853,438
72,2021-12-03 01:00:00+00:00,1.901,394
73,2021-12-04 01:00:00+00:00,1.937,395
74,2021-12-05 01:00:00+00:00,1.962,369
75,2021-12-06 01:00:00+00:00,2.061,309
76,2021-12-07 01:00:00+00:00,2.083,290
77,2021-12-08 01:00:00+00:00,1.747,542
78,2021-12-09 01:00:00+00:00,1.906,403
79,2021-12-10 01:00:00+00:00,1.899,371
80,2021-12-11 01:00:00+00:00,1.894,411
81,2021-12-12 01:00:00+00:00,1.861,361
82,2021-12-13 01:00:00+00:00,1.876,304
83,2021-12-14 01:00:00+00:00,1.909,303
84,2021-12-15 01:00:00+00:00,1.757,462
85,2021-12-16 01:00:00+00:00,1.834,416
86,2021-12-17 01:00:00+00:00,1.887,355
87,2021-12-18 01:00:00+00:00,1.868,369
88,2021-12-19 01:00:00+00:00,1.876,431
89,2021-12-20 01:00:00+00:00,1.942,383
90,2021-12-21 01:00:00+00:00,2.004,366
91,2021-12-22 01:00:00+00:00,1.83,479
92,2021-12-23 01:00:00+00:00,1.809,437
93,2021-12-24 01:00:00+00:00,1.803,407
94,2021-12-25 01:00:00+00:00,1.812,374
95,2021-12-26 01:00:00+00:00,1.825,415
96,2021-12-27 01:00:00+00:00,1.846,399
97,2021-12-28 01:00:00+00:00,1.924,416
98,2021-12-29 01:00:00+00:00,1.745,587
99,2021-12-30 01:00:00+00:00,1.782,493
100,2021-12-31 01:00:00+00:00,1.83,362
101,2022-01-01 01:00:00+00:00,1.883,435
102,2022-01-02 01:00:00+00:00,1.88,438
103,2022-01-03 01:00:00+00:00,1.892,403
104,2022-01-04 01:00:00+00:00,1.895,514
105,2022-01-05 01:00:00+00:00,1.791,938
106,2022-01-06 01:00:00+00:00,1.867,628
107,2022-01-07 01:00:00+00:00,1.896,541
108,2022-01-08 01:00:00+00:00,1.865,512
109,2022-01-09 01:00:00+00:00,1.917,501
110,2022-01-10 01:00:00+00:00,1.936,416
111,2022-01-11 01:00:00+00:00,1.955,386
112,2022-01-12 01:00:00+00:00,1.986,410
113,2022-01-13 01:00:00+00:00,1.983,366
114,2022-01-14 01:00:00+00:00,1.974,388
115,2022-01-15 01:00:00+00:00,1.955,414
116,2022-01-16 01:00:00+00:00,1.956,424
117,2022-01-17 01:00:00+00:00,1.97,373
118,2022-01-18 01:00:00+00:00,1.951,343
119,2022-01-19 01:00:00+00:00,1.923,394
120,2022-01-20 01:00:00+00:00,1.9,368
121,2022-01-21 01:00:00+00:00,1.868,460
122,2022-01-22 01:00:00+00:00,1.884,528
