,date,price,volume
60,2020-01-18 01:00:00+00:00,1.396,573
61,2020-01-19 01:00:00+00:00,1.401,558
62,2020-01-20 01:00:00+00:00,1.429,465
63,2020-01-21 01:00:00+00:00,1.392,499
64,2020-01-22 01:00:00+00:00,1.265,752
65,2020-01-23 01:00:00+00:00,1.28,673
66,2020-01-24 01:00:00+00:00,1.196,615
67,2020-01-25 01:00:00+00:00,1.177,662
68,2020-01-26 01:00:00+00:00,1.178,729
69,2020-01-27 01:00:00+00:00,1.167,581
70,2020-01-28 01:00:00+00:00,1.205,514
71,2020-01-29 01:00:00+00:00,1.1,720
72,2020-01-30 01:00:00+00:00,1.149,682
73,2020-01-31 01:00:00+00:00,1.152,671
74,2020-02-01 01:00:00+00:00,1.152,658
75,2020-02-02 01:00:00+00:00,1.187,678
76,2020-02-03 01:00:00+00:00,1.161,580
77,2020-02-04 01:00:00+00:00,1.157,926
78,2020-02-05 01:00:00+00:00,0.907,5533
79,2020-02-06 01:00:00+00:00,0.826,3101
80,2020-02-07 01:00:00+00:00,0.741,2547
81,2020-02-08 01:00:00+00:00,0.672,2678
82,2020-02-09 01:00:00+00:00,0.688,2233
83,2020-02-10 01:00:00+00:00,0.66,1826
84,2020-02-11 01:00:00+00:00,0.683,1522
85,2020-02-12 01:00:00+00:00,0.668,2415
86,2020-02-13 01:00:00+00:00,0.683,1820
87,2020-02-14 01:00:00+00:00,0.644,1715
88,2020-02-15 01:00:00+00:00,0.543,1902
89,2020-02-16 01:00:00+00:00,0.49,1831
90,2020-02-17 01:00:00+00:00,0.466,1644
91,2020-02-18 01:00:00+00:00,0.439,1423
92,2020-02-19 01:00:00+00:00,0.407,1897
93,2020-02-20 01:00:00+00:00,0.422,1533
94,2020-02-21 01:00:00+00:00,0.438,1561
95,2020-02-22 01:00:00+00:00,0.425,1737
96,2020-02-23 01:00:00+00:00,0.441,1687
97,2020-02-24 01:00:00+00:00,0.459,1537
98,2020-02-25 01:00:00+00:00,0.621,3536
99,2020-02-26 01:00:00+00:00,0.6,2095
100,2020-02-27 01:00:00+00:00,0.578,1925
101,2020-02-28 01:00:00+00:00,0.589,2078
102,2020-02-29 01:00:00+00:00,0.612,2204
103,2020-03-01 01:00:00+00:00,0.618,2029
104,2020-03-02 01:00:00+00:00,0.579,1638
105,2020-03-03 01:00:00+00:00,0.57,1560
106,2020-03-04 01:00:00+00:00,0.504,3456
107,2020-03-05 01:00:00+00:00,0.465,2689
108,2020-03-06 01:00:00+00:00,0.472,2376
109,2020-03-07 01:00:00+00:00,0.452,2453
110,2020-03-08 01:00:00+00:00,0.459,2304
111,2020-03-09 01:00:00+00:00,0.453,2092
112,2020-03-10 01:00:00+00:00,0.467,1879
