,date,price,volume
60,2020-01-17 01:00:00+00:00,3.597,505
61,2020-01-18 01:00:00+00:00,3.643,522
62,2020-01-19 01:00:00+00:00,3.72,470
63,2020-01-20 01:00:00+00:00,3.704,401
64,2020-01-21 01:00:00+00:00,3.5,523
65,2020-01-22 01:00:00+00:00,3.369,744
66,2020-01-23 01:00:00+00:00,3.193,708
67,2020-01-24 01:00:00+00:00,3.117,612
68,2020-01-25 01:00:00+00:00,3.172,609
69,2020-01-26 01:00:00+00:00,3.347,625
70,2020-01-27 01:00:00+00:00,3.371,492
71,2020-01-28 01:00:00+00:00,3.465,590
72,2020-01-29 01:00:00+00:00,3.374,708
73,2020-01-30 01:00:00+00:00,3.258,585
74,2020-01-31 01:00:00+00:00,3.265,670
75,2020-02-01 01:00:00+00:00,3.187,641
76,2020-02-02 01:00:00+00:00,3.191,636
77,2020-02-03 01:00:00+00:00,3.2,594
78,2020-02-04 01:00:00+00:00,3.04,1011
79,2020-02-05 01:00:00+00:00,2.595,5153
80,2020-02-06 01:00:00+00:00,2.444,2819
81,2020-02-07 01:00:00+00:00,2.374,2587
82,2020-02-08 01:00:00+00:00,2.173,2496
83,2020-02-09 01:00:00+00:00,2.126,2315
84,2020-02-10 01:00:00+00:00,2.236,1718
85,2020-02-11 01:00:00+00:00,2.207,1503
86,2020-02-12 01:00:00+00:00,2.032,2158
87,2020-02-13 01:00:00+00:00,2.058,1862
88,2020-02-14 01:00:00+00:00,2.037,1647
89,2020-02-15 01:00:00+00:00,1.839,1791
90,2020-02-16 01:00:00+00:00,1.72,1802
91,2020-02-17 01:00:00+00:00,1.672,1359
92,2020-02-18 01:00:00+00:00,1.62,1362
93,2020-02-19 01:00:00+00:00,1.492,1808
94,2020-02-20 01:00:00+00:00,1.401,1644
95,2020-02-21 01:00:00+00:00,1.499,1621
96,2020-02-22 01:00:00+00:00,1.553,1692
97,2020-02-23 01:00:00+00:00,1.635,1695
98,2020-02-24 01:00:00+00:00,1.666,1425
99,2020-02-25 01:00:00+00:00,2.035,2869
100,2020-02-26 01:00:00+00:00,1.829,1874
101,2020-02-27 01:00:00+00:00,1.828,1856
102,2020-02-28 01:00:00+00:00,1.923,2049
103,2020-02-29 01:00:00+00:00,1.958,2151
104,2020-03-01 01:00:00+00:00,1.962,1908
105,2020-03-02 01:00:00+00:00,1.868,1557
106,2020-03-03 01:00:00+00:00,1.858,1663
107,2020-03-04 01:00:00+00:00,1.596,3856
108,2020-03-05 01:00:00+00:00,1.471,2841
109,2020-03-06 01:00:00+00:00,1.506,2416
110,2020-03-07 01:00:00+00:00,1.471,2582
111,2020-03-08 01:00:00+00:00,1.473,2397
112,2020-03-09 01:00:00+00:00,1.463,2164
113,2020-03-10 01:00:00+00:00,1.518,1792
114,2020-03-11 01:00:00+00:00,1.49,1884
115,2020-03-12 01:00:00+00:00,1.461,1703
116,2020-03-13 01:00:00+00:00,1.385,1888
117,2020-03-14 01:00:00+00:00,1.371,2050
118,2020-03-15 01:00:00+00:00,1.335,2085
119,2020-03-16 01:00:00+00:00,1.305,1777
120,2020-03-17 01:00:00+00:00,1.255,1844
121,2020-03-18 01:00:00+00:00,1.264,1822
122,2020-03-19 01:00:00+00:00,1.3,1821
123,2020-03-20 01:00:00+00:00,1.279,1887
124,2020-03-21 01:00:00+00:00,1.352,1523
125,2020-03-22 01:00:00+00:00,1.271,2077
126,2020-03-23 01:00:00+00:00,1.308,1654
127,2020-03-24 01:00:00+00:00,1.289,1557
