,date,price,volume
60,2021-02-01 01:00:00+00:00,2.231,796
61,2021-02-02 01:00:00+00:00,2.245,783
62,2021-02-03 01:00:00+00:00,2.141,1081
63,2021-02-04 01:00:00+00:00,2.148,981
64,2021-02-05 01:00:00+00:00,2.076,903
65,2021-02-06 01:00:00+00:00,2.063,910
66,2021-02-07 01:00:00+00:00,2.067,845
67,2021-02-08 01:00:00+00:00,2.129,783
68,2021-02-09 01:00:00+00:00,2.096,845
69,2021-02-10 01:00:00+00:00,1.926,1227
70,2021-02-11 01:00:00+00:00,1.956,1006
71,2021-02-12 01:00:00+00:00,1.86,1046
72,2021-02-13 01:00:00+00:00,1.897,1117
73,2021-02-14 01:00:00+00:00,1.854,1078
74,2021-02-15 01:00:00+00:00,1.932,905
75,2021-02-16 01:00:00+00:00,2.023,826
76,2021-02-17 01:00:00+00:00,1.974,1086
77,2021-02-18 01:00:00+00:00,2.112,996
78,2021-02-19 01:00:00+00:00,2.17,1024
79,2021-02-20 01:00:00+00:00,2.121,961
80,2021-02-21 01:00:00+00:00,2.15,912
81,2021-02-22 01:00:00+00:00,2.1,846
82,2021-02-23 01:00:00+00:00,2.135,894
83,2021-02-24 01:00:00+00:00,2.097,1131
84,2021-02-25 01:00:00+00:00,2.084,1027
85,2021-02-26 01:00:00+00:00,2.102,1010
86,2021-02-27 01:00:00+00:00,2.114,1045
87,2021-02-28 01:00:00+00:00,2.083,967
88,2021-03-01 01:00:00+00:00,2.1,961
89,2021-03-02 01:00:00+00:00,2.162,869
90,2021-03-03 01:00:00+00:00,2.136,1025
91,2021-03-04 01:00:00+00:00,2.153,944
92,2021-03-05 01:00:00+00:00,2.225,1019
93,2021-03-06 01:00:00+00:00,2.227,1049
94,2021-03-07 01:00:00+00:00,2.273,1082
95,2021-03-08 01:00:00+00:00,2.277,972
96,2021-03-09 01:00:00+00:00,2.228,945
97,2021-03-10 01:00:00+00:00,2.164,1219
98,2021-03-11 01:00:00+00:00,2.176,1055
99,2021-03-12 01:00:00+00:00,2.226,1054
100,2021-03-13 01:00:00+00:00,2.302,1073
101,2021-03-14 01:00:00+00:00,2.24,986
102,2021-03-15 01:00:00+00:00,2.282,922
103,2021-03-16 01:00:00+00:00,2.27,941
104,2021-03-17 01:00:00+00:00,2.158,1450
105,2021-03-18 01:00:00+00:00,2.116,1272
106,2021-03-19 01:00:00+00:00,2.066,1403
107,2021-03-20 01:00:00+00:00,2.175,1453
108,2021-03-21 01:00:00+00:00,2.206,1286
109,2021-03-22 01:00:00+00:00,2.27,1144
110,2021-03-23 01:00:00+00:00,2.353,1088
111,2021-03-24 01:00:00+00:00,2.317,983
112,2021-03-25 01:00:00+00:00,2.27,1028
113,2021-03-26 01:00:00+00:00,2.25,1065
114,2021-03-27 01:00:00+00:00,2.191,959
115,2021-03-28 01:00:00+00:00,2.185,970
116,2021-03-29 01:00:00+00:00,2.132,872
117,2021-03-30 01:00:00+00:00,2.104,824
118,2021-03-31 01:00:00+00:00,2.079,895
119,2021-04-01 01:00:00+00:00,2.08,790
