,date,price,volume
60,2020-01-17 01:00:00+00:00,2.725,871
61,2020-01-18 01:00:00+00:00,2.617,915
62,2020-01-19 01:00:00+00:00,2.594,940
63,2020-01-20 01:00:00+00:00,2.582,793
64,2020-01-21 01:00:00+00:00,2.533,730
65,2020-01-22 01:00:00+00:00,2.44,875
66,2020-01-23 01:00:00+00:00,2.298,890
67,2020-01-24 01:00:00+00:00,2.181,979
68,2020-01-25 01:00:00+00:00,2.232,1059
69,2020-01-26 01:00:00+00:00,2.219,939
70,2020-01-27 01:00:00+00:00,2.313,798
71,2020-01-28 01:00:00+00:00,2.373,688
72,2020-01-29 01:00:00+00:00,2.306,787
73,2020-01-30 01:00:00+00:00,2.382,696
74,2020-01-31 01:00:00+00:00,2.356,854
75,2020-02-01 01:00:00+00:00,2.418,1082
76,2020-02-02 01:00:00+00:00,2.455,984
77,2020-02-03 01:00:00+00:00,2.391,709
78,2020-02-04 01:00:00+00:00,2.374,722
79,2020-02-05 01:00:00+00:00,2.334,1113
80,2020-02-06 01:00:00+00:00,2.325,932
81,2020-02-07 01:00:00+00:00,2.09,1521
82,2020-02-08 01:00:00+00:00,1.976,1650
83,2020-02-09 01:00:00+00:00,1.916,1331
84,2020-02-10 01:00:00+00:00,1.986,1215
85,2020-02-11 01:00:00+00:00,2.007,1066
86,2020-02-12 01:00:00+00:00,1.96,1208
87,2020-02-13 01:00:00+00:00,1.936,1083
88,2020-02-14 01:00:00+00:00,1.932,1072
89,2020-02-15 01:00:00+00:00,1.916,1257
90,2020-02-16 01:00:00+00:00,1.803,1338
91,2020-02-17 01:00:00+00:00,1.708,1026
92,2020-02-18 01:00:00+00:00,1.613,1002
93,2020-02-19 01:00:00+00:00,1.53,1333
94,2020-02-20 01:00:00+00:00,1.512,1197
95,2020-02-21 01:00:00+00:00,1.528,1155
96,2020-02-22 01:00:00+00:00,1.557,1232
97,2020-02-23 01:00:00+00:00,1.618,1149
98,2020-02-24 01:00:00+00:00,1.587,1061
99,2020-02-25 01:00:00+00:00,1.891,1962
100,2020-02-26 01:00:00+00:00,1.878,1410
101,2020-02-27 01:00:00+00:00,1.877,1314
102,2020-02-28 01:00:00+00:00,1.899,1476
103,2020-02-29 01:00:00+00:00,1.924,1633
104,2020-03-01 01:00:00+00:00,1.893,1525
105,2020-03-02 01:00:00+00:00,1.863,1249
106,2020-03-03 01:00:00+00:00,1.852,1201
107,2020-03-04 01:00:00+00:00,1.641,2514
108,2020-03-05 01:00:00+00:00,1.561,1905
109,2020-03-06 01:00:00+00:00,1.609,1831
110,2020-03-07 01:00:00+00:00,1.582,1957
111,2020-03-08 01:00:00+00:00,1.606,1811
112,2020-03-09 01:00:00+00:00,1.579,1598
113,2020-03-10 01:00:00+00:00,1.593,1258
114,2020-03-11 01:00:00+00:00,1.575,1474
115,2020-03-12 01:00:00+00:00,1.52,1437
116,2020-03-13 01:00:00+00:00,1.484,1484
117,2020-03-14 01:00:00+00:00,1.472,1558
118,2020-03-15 01:00:00+00:00,1.425,1575
119,2020-03-16 01:00:00+00:00,1.41,1488
120,2020-03-17 01:00:00+00:00,1.366,1438
121,2020-03-18 01:00:00+00:00,1.352,1448
122,2020-03-19 01:00:00+00:00,1.361,1428
123,2020-03-20 01:00:00+00:00,1.301,1380
124,2020-03-21 01:00:00+00:00,1.422,1299
125,2020-03-22 01:00:00+00:00,1.368,1625
126,2020-03-23 01:00:00+00:00,1.422,1428
127,2020-03-24 01:00:00+00:00,1.426,1315
128,2020-03-25 01:00:00+00:00,1.429,1433
129,2020-03-26 01:00:00+00:00,1.403,1419
130,2020-03-27 01:00:00+00:00,1.43,1395
131,2020-03-28 01:00:00+00:00,1.486,1355
132,2020-03-29 01:00:00+00:00,1.67,1233
133,2020-03-30 01:00:00+00:00,1.974,2309
134,2020-03-31 01:00:00+00:00,1.585,3244
135,2020-04-01 01:00:00+00:00,1.569,2426
136,2020-04-02 01:00:00+00:00,1.489,2157
137,2020-04-03 01:00:00+00:00,1.405,1622
138,2020-04-04 01:00:00+00:00,1.465,1673
139,2020-04-05 01:00:00+00:00,1.423,1586
140,2020-04-06 01:00:00+00:00,1.412,1563
141,2020-04-07 01:00:00+00:00,1.394,1484
142,2020-04-08 01:00:00+00:00,1.408,1496
143,2020-04-09 01:00:00+00:00,1.429,1447
144,2020-04-10 01:00:00+00:00,1.449,1449
145,2020-04-11 01:00:00+00:00,1.458,1553
146,2020-04-12 01:00:00+00:00,1.526,1501
147,2020-04-13 01:00:00+00:00,1.492,1332
148,2020-04-14 01:00:00+00:00,1.488,1259
149,2020-04-15 01:00:00+00:00,1.503,1513
150,2020-04-16 01:00:00+00:00,1.553,1321
151,2020-04-17 01:00:00+00:00,1.554,1355
152,2020-04-18 01:00:00+00:00,1.559,1185
153,2020-04-19 01:00:00+00:00,1.582,1217
154,2020-04-20 01:00:00+00:00,1.588,1032
155,2020-04-21 01:00:00+00:00,1.56,1103
156,2020-04-22 01:00:00+00:00,1.508,1062
157,2020-04-23 01:00:00+00:00,1.459,1015
158,2020-04-24 01:00:00+00:00,1.477,1101
159,2020-04-25 01:00:00+00:00,1.479,1063
160,2020-04-26 01:00:00+00:00,1.46,981
161,2020-04-27 01:00:00+00:00,1.424,998
162,2020-04-28 01:00:00+00:00,1.416,974
163,2020-04-29 01:00:00+00:00,1.419,1012
164,2020-04-30 01:00:00+00:00,1.412,1037
165,2020-05-01 01:00:00+00:00,1.411,1012
166,2020-05-02 01:00:00+00:00,1.42,1005
167,2020-05-03 01:00:00+00:00,1.429,1008
168,2020-05-04 01:00:00+00:00,1.419,811
169,2020-05-05 01:00:00+00:00,1.459,968
170,2020-05-06 01:00:00+00:00,1.481,893
171,2020-05-07 01:00:00+00:00,1.478,875
172,2020-05-08 01:00:00+00:00,1.46,869
173,2020-05-09 01:00:00+00:00,1.474,893
174,2020-05-10 01:00:00+00:00,1.467,856
175,2020-05-11 01:00:00+00:00,1.481,818
176,2020-05-12 01:00:00+00:00,1.493,824
