,date,price,volume
60,2021-02-01 01:00:00+00:00,1.11,355
61,2021-02-02 01:00:00+00:00,1.073,396
62,2021-02-03 01:00:00+00:00,0.999,599
63,2021-02-04 01:00:00+00:00,1.029,458
64,2021-02-05 01:00:00+00:00,1.045,413
65,2021-02-06 01:00:00+00:00,1.019,435
66,2021-02-07 01:00:00+00:00,1.027,426
67,2021-02-08 01:00:00+00:00,0.996,435
68,2021-02-09 01:00:00+00:00,0.978,447
69,2021-02-10 01:00:00+00:00,0.91,615
70,2021-02-11 01:00:00+00:00,0.891,564
71,2021-02-12 01:00:00+00:00,0.869,533
72,2021-02-13 01:00:00+00:00,0.884,567
73,2021-02-14 01:00:00+00:00,0.89,499
74,2021-02-15 01:00:00+00:00,0.899,397
75,2021-02-16 01:00:00+00:00,0.883,499
76,2021-02-17 01:00:00+00:00,0.908,587
77,2021-02-18 01:00:00+00:00,0.947,530
78,2021-02-19 01:00:00+00:00,0.997,486
79,2021-02-20 01:00:00+00:00,1.009,450
80,2021-02-21 01:00:00+00:00,1.009,427
81,2021-02-22 01:00:00+00:00,0.985,398
82,2021-02-23 01:00:00+00:00,0.997,464
83,2021-02-24 01:00:00+00:00,0.958,566
84,2021-02-25 01:00:00+00:00,1.016,527
85,2021-02-26 01:00:00+00:00,1.003,504
86,2021-02-27 01:00:00+00:00,1.014,508
87,2021-02-28 01:00:00+00:00,1.028,523
88,2021-03-01 01:00:00+00:00,1.045,411
89,2021-03-02 01:00:00+00:00,1.046,386
90,2021-03-03 01:00:00+00:00,1.025,536
91,2021-03-04 01:00:00+00:00,1.019,469
92,2021-03-05 01:00:00+00:00,1.056,473
93,2021-03-06 01:00:00+00:00,1.085,523
94,2021-03-07 01:00:00+00:00,1.103,537
95,2021-03-08 01:00:00+00:00,1.13,454
96,2021-03-09 01:00:00+00:00,1.101,451
97,2021-03-10 01:00:00+00:00,1.054,554
98,2021-03-11 01:00:00+00:00,1.083,516
99,2021-03-12 01:00:00+00:00,1.075,537
100,2021-03-13 01:00:00+00:00,1.098,523
101,2021-03-14 01:00:00+00:00,1.084,486
102,2021-03-15 01:00:00+00:00,1.095,456
103,2021-03-16 01:00:00+00:00,1.076,522
104,2021-03-17 01:00:00+00:00,1.004,739
105,2021-03-18 01:00:00+00:00,1.014,626
106,2021-03-19 01:00:00+00:00,1.017,719
107,2021-03-20 01:00:00+00:00,1.033,655
108,2021-03-21 01:00:00+00:00,1.036,581
109,2021-03-22 01:00:00+00:00,1.028,547
110,2021-03-23 01:00:00+00:00,1.052,482
111,2021-03-24 01:00:00+00:00,1.07,429
112,2021-03-25 01:00:00+00:00,1.07,427
113,2021-03-26 01:00:00+00:00,1.058,465
114,2021-03-27 01:00:00+00:00,1.074,455
115,2021-03-28 01:00:00+00:00,1.064,473
116,2021-03-29 01:00:00+00:00,1.033,445
117,2021-03-30 01:00:00+00:00,1.064,425
118,2021-03-31 01:00:00+00:00,1.049,458
119,2021-04-01 01:00:00+00:00,1.062,420
120,2021-04-02 01:00:00+00:00,1.1,415
121,2021-04-03 01:00:00+00:00,1.094,434
122,2021-04-04 01:00:00+00:00,1.102,411
123,2021-04-05 01:00:00+00:00,1.13,442
124,2021-04-06 01:00:00+00:00,1.127,433
125,2021-04-07 01:00:00+00:00,0.977,648
126,2021-04-08 01:00:00+00:00,0.855,595
127,2021-04-09 01:00:00+00:00,0.856,605
128,2021-04-10 01:00:00+00:00,0.863,530
129,2021-04-11 01:00:00+00:00,0.906,463
130,2021-04-12 01:00:00+00:00,0.918,348
131,2021-04-13 01:00:00+00:00,0.918,417
132,2021-04-14 01:00:00+00:00,0.959,134
133,2021-04-15 01:00:00+00:00,0.97,495
134,2021-04-16 01:00:00+00:00,0.951,380
135,2021-04-17 01:00:00+00:00,0.952,420
136,2021-04-18 01:00:00+00:00,0.937,402
137,2021-04-19 01:00:00+00:00,0.926,357
138,2021-04-20 01:00:00+00:00,0.94,360
139,2021-04-21 01:00:00+00:00,0.938,366
140,2021-04-22 01:00:00+00:00,0.944,335
141,2021-04-23 01:00:00+00:00,0.938,345
142,2021-04-24 01:00:00+00:00,0.968,410
143,2021-04-25 01:00:00+00:00,0.961,350
144,2021-04-26 01:00:00+00:00,0.938,397
145,2021-04-27 01:00:00+00:00,0.954,415
146,2021-04-28 01:00:00+00:00,0.997,371
147,2021-04-29 01:00:00+00:00,1.024,334
148,2021-04-30 01:00:00+00:00,1.005,388
149,2021-05-01 01:00:00+00:00,1.02,325
150,2021-05-02 01:00:00+00:00,1.037,347
151,2021-05-03 01:00:00+00:00,1.018,401
152,2021-05-04 01:00:00+00:00,1.099,451
153,2021-05-05 01:00:00+00:00,1.143,461
154,2021-05-06 01:00:00+00:00,1.108,408
155,2021-05-07 01:00:00+00:00,1.166,397
156,2021-05-08 01:00:00+00:00,1.195,348
157,2021-05-09 01:00:00+00:00,1.181,324
158,2021-05-10 01:00:00+00:00,1.165,465
159,2021-05-11 01:00:00+00:00,1.148,430
160,2021-05-12 01:00:00+00:00,1.179,320
161,2021-05-13 01:00:00+00:00,1.167,412
162,2021-05-14 01:00:00+00:00,1.186,343
163,2021-05-15 01:00:00+00:00,1.188,358
164,2021-05-16 01:00:00+00:00,1.224,315
