,date,price,volume
60,2021-02-01 01:00:00+00:00,4.376,374
61,2021-02-02 01:00:00+00:00,4.274,340
62,2021-02-03 01:00:00+00:00,4.037,597
63,2021-02-04 01:00:00+00:00,4.183,433
64,2021-02-05 01:00:00+00:00,4.005,437
65,2021-02-06 01:00:00+00:00,3.997,424
66,2021-02-07 01:00:00+00:00,4.029,389
67,2021-02-08 01:00:00+00:00,4.09,352
68,2021-02-09 01:00:00+00:00,4.039,367
69,2021-02-10 01:00:00+00:00,3.745,594
70,2021-02-11 01:00:00+00:00,3.802,459
71,2021-02-12 01:00:00+00:00,3.809,479
72,2021-02-13 01:00:00+00:00,3.907,469
73,2021-02-14 01:00:00+00:00,3.972,468
74,2021-02-15 01:00:00+00:00,4.083,422
75,2021-02-16 01:00:00+00:00,4.126,455
76,2021-02-17 01:00:00+00:00,4.108,660
77,2021-02-18 01:00:00+00:00,4.203,504
78,2021-02-19 01:00:00+00:00,4.355,500
79,2021-02-20 01:00:00+00:00,4.368,458
80,2021-02-21 01:00:00+00:00,4.341,392
81,2021-02-22 01:00:00+00:00,4.217,398
82,2021-02-23 01:00:00+00:00,4.271,474
83,2021-02-24 01:00:00+00:00,4.225,586
84,2021-02-25 01:00:00+00:00,4.198,477
85,2021-02-26 01:00:00+00:00,4.254,507
86,2021-02-27 01:00:00+00:00,4.294,513
87,2021-02-28 01:00:00+00:00,4.22,472
88,2021-03-01 01:00:00+00:00,4.212,396
89,2021-03-02 01:00:00+00:00,4.306,419
90,2021-03-03 01:00:00+00:00,4.421,556
91,2021-03-04 01:00:00+00:00,4.524,485
92,2021-03-05 01:00:00+00:00,4.606,502
93,2021-03-06 01:00:00+00:00,4.661,552
94,2021-03-07 01:00:00+00:00,4.656,453
95,2021-03-08 01:00:00+00:00,4.71,400
96,2021-03-09 01:00:00+00:00,4.699,460
97,2021-03-10 01:00:00+00:00,4.429,585
98,2021-03-11 01:00:00+00:00,4.452,504
99,2021-03-12 01:00:00+00:00,4.505,491
100,2021-03-13 01:00:00+00:00,4.544,508
101,2021-03-14 01:00:00+00:00,4.575,478
102,2021-03-15 01:00:00+00:00,4.503,376
103,2021-03-16 01:00:00+00:00,4.561,482
104,2021-03-17 01:00:00+00:00,4.271,881
105,2021-03-18 01:00:00+00:00,4.346,744
106,2021-03-19 01:00:00+00:00,4.418,751
107,2021-03-20 01:00:00+00:00,4.494,657
108,2021-03-21 01:00:00+00:00,4.538,621
109,2021-03-22 01:00:00+00:00,4.405,534
110,2021-03-23 01:00:00+00:00,4.498,499
111,2021-03-24 01:00:00+00:00,4.573,492
112,2021-03-25 01:00:00+00:00,4.418,442
113,2021-03-26 01:00:00+00:00,4.315,464
114,2021-03-27 01:00:00+00:00,4.228,443
115,2021-03-28 01:00:00+00:00,4.142,451
116,2021-03-29 01:00:00+00:00,4.097,370
117,2021-03-30 01:00:00+00:00,4.187,372
118,2021-03-31 01:00:00+00:00,3.992,400
119,2021-04-01 01:00:00+00:00,4.088,390
120,2021-04-02 01:00:00+00:00,4.191,419
121,2021-04-03 01:00:00+00:00,4.272,432
122,2021-04-04 01:00:00+00:00,4.379,431
123,2021-04-05 01:00:00+00:00,4.378,427
124,2021-04-06 01:00:00+00:00,4.422,354
125,2021-04-07 01:00:00+00:00,4.048,754
126,2021-04-08 01:00:00+00:00,3.793,721
127,2021-04-09 01:00:00+00:00,3.706,671
128,2021-04-10 01:00:00+00:00,3.752,553
129,2021-04-11 01:00:00+00:00,3.804,491
130,2021-04-12 01:00:00+00:00,3.742,427
131,2021-04-13 01:00:00+00:00,3.811,380
132,2021-04-14 01:00:00+00:00,3.944,118
133,2021-04-15 01:00:00+00:00,3.878,464
134,2021-04-16 01:00:00+00:00,3.982,413
135,2021-04-17 01:00:00+00:00,4.011,411
136,2021-04-18 01:00:00+00:00,3.961,334
137,2021-04-19 01:00:00+00:00,3.963,334
138,2021-04-20 01:00:00+00:00,3.981,316
139,2021-04-21 01:00:00+00:00,4.042,302
140,2021-04-22 01:00:00+00:00,4.011,340
141,2021-04-23 01:00:00+00:00,4.06,364
142,2021-04-24 01:00:00+00:00,4.062,369
143,2021-04-25 01:00:00+00:00,4.037,369
144,2021-04-26 01:00:00+00:00,4.009,317
145,2021-04-27 01:00:00+00:00,4.09,310
146,2021-04-28 01:00:00+00:00,4.127,312
147,2021-04-29 01:00:00+00:00,4.232,298
148,2021-04-30 01:00:00+00:00,4.173,337
149,2021-05-01 01:00:00+00:00,4.366,364
150,2021-05-02 01:00:00+00:00,4.395,295
151,2021-05-03 01:00:00+00:00,4.251,314
152,2021-05-04 01:00:00+00:00,4.347,406
153,2021-05-05 01:00:00+00:00,4.454,418
154,2021-05-06 01:00:00+00:00,4.46,349
155,2021-05-07 01:00:00+00:00,4.5,372
156,2021-05-08 01:00:00+00:00,4.494,340
157,2021-05-09 01:00:00+00:00,4.508,305
158,2021-05-10 01:00:00+00:00,4.464,285
159,2021-05-11 01:00:00+00:00,4.573,256
160,2021-05-12 01:00:00+00:00,4.525,293
161,2021-05-13 01:00:00+00:00,4.63,268
162,2021-05-14 01:00:00+00:00,4.697,288
163,2021-05-15 01:00:00+00:00,4.689,294
164,2021-05-16 01:00:00+00:00,4.59,314
165,2021-05-17 01:00:00+00:00,4.637,266
166,2021-05-18 01:00:00+00:00,4.699,250
167,2021-05-19 01:00:00+00:00,4.677,230
168,2021-05-20 01:00:00+00:00,4.73,238
169,2021-05-21 01:00:00+00:00,4.736,296
170,2021-05-22 01:00:00+00:00,4.927,305
171,2021-05-23 01:00:00+00:00,4.915,275
172,2021-05-24 01:00:00+00:00,5.051,229
173,2021-05-25 01:00:00+00:00,5.013,222
174,2021-05-26 01:00:00+00:00,5.021,233
175,2021-05-27 01:00:00+00:00,5.069,259
176,2021-05-28 01:00:00+00:00,4.898,283
177,2021-05-29 01:00:00+00:00,4.912,310
178,2021-05-30 01:00:00+00:00,4.973,279
179,2021-05-31 01:00:00+00:00,4.941,242
180,2021-06-01 01:00:00+00:00,4.979,196
181,2021-06-02 01:00:00+00:00,5.173,222
182,2021-06-03 01:00:00+00:00,5.168,213
183,2021-06-04 01:00:00+00:00,5.068,255
184,2021-06-05 01:00:00+00:00,5.28,232
185,2021-06-06 01:00:00+00:00,5.191,231
186,2021-06-07 01:00:00+00:00,5.314,192
187,2021-06-08 01:00:00+00:00,5.4,192
188,2021-06-09 01:00:00+00:00,5.365,201
189,2021-06-10 01:00:00+00:00,5.353,177
190,2021-06-11 01:00:00+00:00,5.479,192
191,2021-06-12 01:00:00+00:00,5.387,178
192,2021-06-13 01:00:00+00:00,5.453,193
193,2021-06-14 01:00:00+00:00,5.331,190
