,date,price,volume
60,2021-02-01 01:00:00+00:00,6.945,334
61,2021-02-02 01:00:00+00:00,7.031,336
62,2021-02-03 01:00:00+00:00,6.864,512
63,2021-02-04 01:00:00+00:00,6.819,443
64,2021-02-05 01:00:00+00:00,6.757,400
65,2021-02-06 01:00:00+00:00,6.876,323
66,2021-02-07 01:00:00+00:00,6.867,316
67,2021-02-08 01:00:00+00:00,6.743,297
68,2021-02-09 01:00:00+00:00,6.947,312
69,2021-02-10 01:00:00+00:00,6.2,506
70,2021-02-11 01:00:00+00:00,6.522,398
71,2021-02-12 01:00:00+00:00,6.526,390
72,2021-02-13 01:00:00+00:00,6.599,486
73,2021-02-14 01:00:00+00:00,6.559,420
74,2021-02-15 01:00:00+00:00,6.934,341
75,2021-02-16 01:00:00+00:00,7.079,380
76,2021-02-17 01:00:00+00:00,6.901,512
77,2021-02-18 01:00:00+00:00,7.018,487
78,2021-02-19 01:00:00+00:00,7.258,413
79,2021-02-20 01:00:00+00:00,7.311,424
80,2021-02-21 01:00:00+00:00,7.264,333
81,2021-02-22 01:00:00+00:00,7.218,368
82,2021-02-23 01:00:00+00:00,7.284,339
83,2021-02-24 01:00:00+00:00,7.22,535
84,2021-02-25 01:00:00+00:00,7.033,432
85,2021-02-26 01:00:00+00:00,7.134,443
86,2021-02-27 01:00:00+00:00,7.114,381
87,2021-02-28 01:00:00+00:00,7.131,385
88,2021-03-01 01:00:00+00:00,7.141,349
89,2021-03-02 01:00:00+00:00,7.233,377
90,2021-03-03 01:00:00+00:00,7.405,432
91,2021-03-04 01:00:00+00:00,7.428,403
92,2021-03-05 01:00:00+00:00,7.603,417
93,2021-03-06 01:00:00+00:00,7.871,417
94,2021-03-07 01:00:00+00:00,8.035,395
95,2021-03-08 01:00:00+00:00,8.106,359
96,2021-03-09 01:00:00+00:00,8.113,349
97,2021-03-10 01:00:00+00:00,7.936,504
98,2021-03-11 01:00:00+00:00,7.94,391
99,2021-03-12 01:00:00+00:00,7.832,397
100,2021-03-13 01:00:00+00:00,7.878,391
101,2021-03-14 01:00:00+00:00,7.73,373
102,2021-03-15 01:00:00+00:00,7.749,312
103,2021-03-16 01:00:00+00:00,7.732,477
104,2021-03-17 01:00:00+00:00,7.357,829
105,2021-03-18 01:00:00+00:00,7.533,654
106,2021-03-19 01:00:00+00:00,7.795,637
107,2021-03-20 01:00:00+00:00,7.918,593
108,2021-03-21 01:00:00+00:00,7.887,490
109,2021-03-22 01:00:00+00:00,7.847,406
110,2021-03-23 01:00:00+00:00,7.838,386
111,2021-03-24 01:00:00+00:00,7.721,360
112,2021-03-25 01:00:00+00:00,7.601,365
113,2021-03-26 01:00:00+00:00,7.397,399
114,2021-03-27 01:00:00+00:00,7.33,349
115,2021-03-28 01:00:00+00:00,7.121,343
116,2021-03-29 01:00:00+00:00,6.942,290
117,2021-03-30 01:00:00+00:00,7.076,344
118,2021-03-31 01:00:00+00:00,7.043,287
119,2021-04-01 01:00:00+00:00,7.068,292
120,2021-04-02 01:00:00+00:00,7.143,365
121,2021-04-03 01:00:00+00:00,7.443,357
122,2021-04-04 01:00:00+00:00,7.502,303
123,2021-04-05 01:00:00+00:00,7.42,307
124,2021-04-06 01:00:00+00:00,7.331,288
125,2021-04-07 01:00:00+00:00,7.032,505
126,2021-04-08 01:00:00+00:00,6.933,529
127,2021-04-09 01:00:00+00:00,6.594,442
128,2021-04-10 01:00:00+00:00,6.695,403
129,2021-04-11 01:00:00+00:00,6.707,348
130,2021-04-12 01:00:00+00:00,6.746,318
131,2021-04-13 01:00:00+00:00,6.699,328
132,2021-04-14 01:00:00+00:00,6.919,86
133,2021-04-15 01:00:00+00:00,7.121,369
134,2021-04-16 01:00:00+00:00,7.004,294
135,2021-04-17 01:00:00+00:00,7.074,272
136,2021-04-18 01:00:00+00:00,7.049,308
137,2021-04-19 01:00:00+00:00,7.003,229
138,2021-04-20 01:00:00+00:00,6.937,277
139,2021-04-21 01:00:00+00:00,7.009,246
140,2021-04-22 01:00:00+00:00,7.124,209
141,2021-04-23 01:00:00+00:00,7.14,229
142,2021-04-24 01:00:00+00:00,7.129,294
143,2021-04-25 01:00:00+00:00,7.139,254
144,2021-04-26 01:00:00+00:00,7.019,265
145,2021-04-27 01:00:00+00:00,7.014,213
146,2021-04-28 01:00:00+00:00,7.005,246
147,2021-04-29 01:00:00+00:00,7.036,273
148,2021-04-30 01:00:00+00:00,7.07,268
149,2021-05-01 01:00:00+00:00,7.282,338
150,2021-05-02 01:00:00+00:00,7.364,243
