,date,price,volume
60,2021-02-01 01:00:00+00:00,3.279,409
61,2021-02-02 01:00:00+00:00,3.365,408
62,2021-02-03 01:00:00+00:00,3.157,682
63,2021-02-04 01:00:00+00:00,3.279,471
64,2021-02-05 01:00:00+00:00,3.19,492
65,2021-02-06 01:00:00+00:00,3.251,502
66,2021-02-07 01:00:00+00:00,3.166,468
67,2021-02-08 01:00:00+00:00,3.164,399
68,2021-02-09 01:00:00+00:00,3.299,434
69,2021-02-10 01:00:00+00:00,3.023,591
70,2021-02-11 01:00:00+00:00,2.949,559
71,2021-02-12 01:00:00+00:00,2.949,568
72,2021-02-13 01:00:00+00:00,3.0,631
73,2021-02-14 01:00:00+00:00,2.995,600
74,2021-02-15 01:00:00+00:00,3.143,473
75,2021-02-16 01:00:00+00:00,3.216,589
76,2021-02-17 01:00:00+00:00,3.068,715
77,2021-02-18 01:00:00+00:00,3.16,584
78,2021-02-19 01:00:00+00:00,3.321,564
79,2021-02-20 01:00:00+00:00,3.387,543
80,2021-02-21 01:00:00+00:00,3.381,525
81,2021-02-22 01:00:00+00:00,3.228,473
82,2021-02-23 01:00:00+00:00,3.139,531
83,2021-02-24 01:00:00+00:00,3.07,686
84,2021-02-25 01:00:00+00:00,3.128,573
85,2021-02-26 01:00:00+00:00,3.13,553
86,2021-02-27 01:00:00+00:00,3.129,599
87,2021-02-28 01:00:00+00:00,3.127,575
88,2021-03-01 01:00:00+00:00,3.156,480
89,2021-03-02 01:00:00+00:00,3.25,503
90,2021-03-03 01:00:00+00:00,3.278,680
91,2021-03-04 01:00:00+00:00,3.338,581
92,2021-03-05 01:00:00+00:00,3.354,712
93,2021-03-06 01:00:00+00:00,3.465,686
94,2021-03-07 01:00:00+00:00,3.471,587
95,2021-03-08 01:00:00+00:00,3.49,539
96,2021-03-09 01:00:00+00:00,3.428,504
97,2021-03-10 01:00:00+00:00,3.287,694
98,2021-03-11 01:00:00+00:00,3.328,602
99,2021-03-12 01:00:00+00:00,3.379,625
100,2021-03-13 01:00:00+00:00,3.4,635
101,2021-03-14 01:00:00+00:00,3.387,599
102,2021-03-15 01:00:00+00:00,3.322,551
103,2021-03-16 01:00:00+00:00,3.297,627
104,2021-03-17 01:00:00+00:00,3.131,1171
105,2021-03-18 01:00:00+00:00,3.26,858
106,2021-03-19 01:00:00+00:00,3.239,915
107,2021-03-20 01:00:00+00:00,3.222,790
108,2021-03-21 01:00:00+00:00,3.239,748
109,2021-03-22 01:00:00+00:00,3.268,657
110,2021-03-23 01:00:00+00:00,3.304,656
111,2021-03-24 01:00:00+00:00,3.289,614
112,2021-03-25 01:00:00+00:00,3.226,586
113,2021-03-26 01:00:00+00:00,3.174,624
114,2021-03-27 01:00:00+00:00,3.122,580
115,2021-03-28 01:00:00+00:00,3.114,593
116,2021-03-29 01:00:00+00:00,3.061,571
117,2021-03-30 01:00:00+00:00,3.095,486
118,2021-03-31 01:00:00+00:00,3.031,492
119,2021-04-01 01:00:00+00:00,3.009,503
120,2021-04-02 01:00:00+00:00,3.064,560
121,2021-04-03 01:00:00+00:00,3.195,589
122,2021-04-04 01:00:00+00:00,3.244,569
123,2021-04-05 01:00:00+00:00,3.231,578
124,2021-04-06 01:00:00+00:00,3.269,475
125,2021-04-07 01:00:00+00:00,2.937,966
126,2021-04-08 01:00:00+00:00,2.78,848
127,2021-04-09 01:00:00+00:00,2.733,854
128,2021-04-10 01:00:00+00:00,2.752,679
129,2021-04-11 01:00:00+00:00,2.791,539
130,2021-04-12 01:00:00+00:00,2.741,541
131,2021-04-13 01:00:00+00:00,2.779,487
132,2021-04-14 01:00:00+00:00,2.894,158
133,2021-04-15 01:00:00+00:00,2.9,591
134,2021-04-16 01:00:00+00:00,2.954,517
135,2021-04-17 01:00:00+00:00,2.988,488
136,2021-04-18 01:00:00+00:00,2.909,479
137,2021-04-19 01:00:00+00:00,2.877,433
138,2021-04-20 01:00:00+00:00,2.915,465
139,2021-04-21 01:00:00+00:00,2.96,421
140,2021-04-22 01:00:00+00:00,2.978,410
141,2021-04-23 01:00:00+00:00,2.97,463
142,2021-04-24 01:00:00+00:00,2.956,512
143,2021-04-25 01:00:00+00:00,3.003,475
144,2021-04-26 01:00:00+00:00,3.003,413
145,2021-04-27 01:00:00+00:00,3.013,401
146,2021-04-28 01:00:00+00:00,3.071,429
147,2021-04-29 01:00:00+00:00,3.04,398
148,2021-04-30 01:00:00+00:00,3.059,463
149,2021-05-01 01:00:00+00:00,3.13,426
150,2021-05-02 01:00:00+00:00,3.166,449
151,2021-05-03 01:00:00+00:00,3.169,424
152,2021-05-04 01:00:00+00:00,3.228,574
153,2021-05-05 01:00:00+00:00,3.387,553
154,2021-05-06 01:00:00+00:00,3.391,481
155,2021-05-07 01:00:00+00:00,3.435,542
156,2021-05-08 01:00:00+00:00,3.44,500
157,2021-05-09 01:00:00+00:00,3.45,451
158,2021-05-10 01:00:00+00:00,3.346,436
159,2021-05-11 01:00:00+00:00,3.404,426
160,2021-05-12 01:00:00+00:00,3.406,377
161,2021-05-13 01:00:00+00:00,3.397,416
162,2021-05-14 01:00:00+00:00,3.444,403
163,2021-05-15 01:00:00+00:00,3.488,475
164,2021-05-16 01:00:00+00:00,3.523,402
165,2021-05-17 01:00:00+00:00,3.532,350
166,2021-05-18 01:00:00+00:00,3.5,382
167,2021-05-19 01:00:00+00:00,3.476,371
168,2021-05-20 01:00:00+00:00,3.469,370
169,2021-05-21 01:00:00+00:00,3.518,436
170,2021-05-22 01:00:00+00:00,3.622,383
171,2021-05-23 01:00:00+00:00,3.642,432
