,date,price,volume
60,2021-02-01 01:00:00+00:00,4.207,352
61,2021-02-02 01:00:00+00:00,4.293,337
62,2021-02-03 01:00:00+00:00,4.264,527
63,2021-02-04 01:00:00+00:00,4.217,415
64,2021-02-05 01:00:00+00:00,4.057,408
65,2021-02-06 01:00:00+00:00,3.972,388
66,2021-02-07 01:00:00+00:00,3.894,386
67,2021-02-08 01:00:00+00:00,3.943,364
68,2021-02-09 01:00:00+00:00,4.0,360
69,2021-02-10 01:00:00+00:00,3.697,478
70,2021-02-11 01:00:00+00:00,3.771,441
71,2021-02-12 01:00:00+00:00,3.711,497
72,2021-02-13 01:00:00+00:00,3.821,529
73,2021-02-14 01:00:00+00:00,3.879,483
74,2021-02-15 01:00:00+00:00,3.99,374
75,2021-02-16 01:00:00+00:00,4.048,349
76,2021-02-17 01:00:00+00:00,3.835,605
77,2021-02-18 01:00:00+00:00,3.966,583
78,2021-02-19 01:00:00+00:00,4.202,506
79,2021-02-20 01:00:00+00:00,4.301,471
80,2021-02-21 01:00:00+00:00,4.207,454
81,2021-02-22 01:00:00+00:00,3.997,403
82,2021-02-23 01:00:00+00:00,4.001,440
83,2021-02-24 01:00:00+00:00,3.904,583
84,2021-02-25 01:00:00+00:00,4.035,467
85,2021-02-26 01:00:00+00:00,4.058,514
86,2021-02-27 01:00:00+00:00,4.059,498
87,2021-02-28 01:00:00+00:00,4.025,456
88,2021-03-01 01:00:00+00:00,4.03,418
89,2021-03-02 01:00:00+00:00,4.094,418
90,2021-03-03 01:00:00+00:00,4.189,524
91,2021-03-04 01:00:00+00:00,4.227,495
92,2021-03-05 01:00:00+00:00,4.328,532
93,2021-03-06 01:00:00+00:00,4.485,520
94,2021-03-07 01:00:00+00:00,4.536,468
95,2021-03-08 01:00:00+00:00,4.522,412
96,2021-03-09 01:00:00+00:00,4.539,436
97,2021-03-10 01:00:00+00:00,4.333,614
98,2021-03-11 01:00:00+00:00,4.324,534
99,2021-03-12 01:00:00+00:00,4.38,532
100,2021-03-13 01:00:00+00:00,4.432,516
101,2021-03-14 01:00:00+00:00,4.409,486
102,2021-03-15 01:00:00+00:00,4.282,396
103,2021-03-16 01:00:00+00:00,4.35,483
104,2021-03-17 01:00:00+00:00,4.083,937
105,2021-03-18 01:00:00+00:00,4.173,728
106,2021-03-19 01:00:00+00:00,4.227,719
107,2021-03-20 01:00:00+00:00,4.214,679
108,2021-03-21 01:00:00+00:00,4.262,668
109,2021-03-22 01:00:00+00:00,4.262,495
110,2021-03-23 01:00:00+00:00,4.312,501
111,2021-03-24 01:00:00+00:00,4.377,447
112,2021-03-25 01:00:00+00:00,4.233,437
113,2021-03-26 01:00:00+00:00,4.093,484
114,2021-03-27 01:00:00+00:00,4.022,449
115,2021-03-28 01:00:00+00:00,3.983,430
116,2021-03-29 01:00:00+00:00,3.914,386
117,2021-03-30 01:00:00+00:00,3.957,381
118,2021-03-31 01:00:00+00:00,3.865,410
119,2021-04-01 01:00:00+00:00,3.844,388
120,2021-04-02 01:00:00+00:00,4.026,401
121,2021-04-03 01:00:00+00:00,4.137,407
122,2021-04-04 01:00:00+00:00,4.139,424
