,date,price,volume
60,2020-01-17 01:00:00+00:00,0.892,1452
61,2020-01-18 01:00:00+00:00,0.878,1425
62,2020-01-19 01:00:00+00:00,0.858,1418
63,2020-01-20 01:00:00+00:00,0.844,1270
64,2020-01-21 01:00:00+00:00,0.804,1122
65,2020-01-22 01:00:00+00:00,0.774,1380
66,2020-01-23 01:00:00+00:00,0.734,1263
67,2020-01-24 01:00:00+00:00,0.655,1415
68,2020-01-25 01:00:00+00:00,0.643,1559
69,2020-01-26 01:00:00+00:00,0.649,1545
70,2020-01-27 01:00:00+00:00,0.652,1415
71,2020-01-28 01:00:00+00:00,0.665,1203
72,2020-01-29 01:00:00+00:00,0.712,1364
73,2020-01-30 01:00:00+00:00,0.719,985
74,2020-01-31 01:00:00+00:00,0.728,1337
75,2020-02-01 01:00:00+00:00,0.751,1421
76,2020-02-02 01:00:00+00:00,0.76,1401
77,2020-02-03 01:00:00+00:00,0.765,1001
78,2020-02-04 01:00:00+00:00,0.737,1072
79,2020-02-05 01:00:00+00:00,0.675,1956
80,2020-02-06 01:00:00+00:00,0.677,1611
81,2020-02-07 01:00:00+00:00,0.621,1910
82,2020-02-08 01:00:00+00:00,0.598,2109
83,2020-02-09 01:00:00+00:00,0.596,2028
84,2020-02-10 01:00:00+00:00,0.615,1654
85,2020-02-11 01:00:00+00:00,0.62,1575
86,2020-02-12 01:00:00+00:00,0.615,1761
87,2020-02-13 01:00:00+00:00,0.626,1618
88,2020-02-14 01:00:00+00:00,0.607,1551
89,2020-02-15 01:00:00+00:00,0.53,1628
90,2020-02-16 01:00:00+00:00,0.488,1681
91,2020-02-17 01:00:00+00:00,0.46,1387
92,2020-02-18 01:00:00+00:00,0.425,1253
93,2020-02-19 01:00:00+00:00,0.415,1647
94,2020-02-20 01:00:00+00:00,0.399,1430
95,2020-02-21 01:00:00+00:00,0.395,1551
96,2020-02-22 01:00:00+00:00,0.416,1772
97,2020-02-23 01:00:00+00:00,0.427,1698
98,2020-02-24 01:00:00+00:00,0.434,1485
