,date,price,volume
60,2020-01-17 01:00:00+00:00,0.48,1283
61,2020-01-18 01:00:00+00:00,0.476,1346
62,2020-01-19 01:00:00+00:00,0.449,1253
63,2020-01-20 01:00:00+00:00,0.455,1106
64,2020-01-21 01:00:00+00:00,0.44,1019
65,2020-01-22 01:00:00+00:00,0.4,1119
66,2020-01-23 01:00:00+00:00,0.374,1163
67,2020-01-24 01:00:00+00:00,0.348,1217
68,2020-01-25 01:00:00+00:00,0.35,1356
69,2020-01-26 01:00:00+00:00,0.354,1322
70,2020-01-27 01:00:00+00:00,0.342,991
71,2020-01-28 01:00:00+00:00,0.351,992
72,2020-01-29 01:00:00+00:00,0.357,1226
73,2020-01-30 01:00:00+00:00,0.351,1161
74,2020-01-31 01:00:00+00:00,0.375,1220
75,2020-02-01 01:00:00+00:00,0.395,1247
76,2020-02-02 01:00:00+00:00,0.402,1283
77,2020-02-03 01:00:00+00:00,0.395,1064
78,2020-02-04 01:00:00+00:00,0.411,968
79,2020-02-05 01:00:00+00:00,0.396,1512
80,2020-02-06 01:00:00+00:00,0.378,1332
81,2020-02-07 01:00:00+00:00,0.343,1771
82,2020-02-08 01:00:00+00:00,0.32,1870
83,2020-02-09 01:00:00+00:00,0.311,2247
84,2020-02-10 01:00:00+00:00,0.322,1829
85,2020-02-11 01:00:00+00:00,0.324,1659
86,2020-02-12 01:00:00+00:00,0.33,1663
87,2020-02-13 01:00:00+00:00,0.334,1552
88,2020-02-14 01:00:00+00:00,0.333,1532
89,2020-02-15 01:00:00+00:00,0.323,1686
90,2020-02-16 01:00:00+00:00,0.287,1614
91,2020-02-17 01:00:00+00:00,0.278,1442
92,2020-02-18 01:00:00+00:00,0.257,1370
93,2020-02-19 01:00:00+00:00,0.229,1411
94,2020-02-20 01:00:00+00:00,0.227,1338
95,2020-02-21 01:00:00+00:00,0.236,1501
96,2020-02-22 01:00:00+00:00,0.249,1661
97,2020-02-23 01:00:00+00:00,0.261,1678
98,2020-02-24 01:00:00+00:00,0.264,1571
99,2020-02-25 01:00:00+00:00,0.376,3988
100,2020-02-26 01:00:00+00:00,0.37,1987
101,2020-02-27 01:00:00+00:00,0.343,1727
102,2020-02-28 01:00:00+00:00,0.355,1956
103,2020-02-29 01:00:00+00:00,0.378,2327
104,2020-03-01 01:00:00+00:00,0.383,1968
105,2020-03-02 01:00:00+00:00,0.359,1557
106,2020-03-03 01:00:00+00:00,0.355,1500
107,2020-03-04 01:00:00+00:00,0.355,3481
108,2020-03-05 01:00:00+00:00,0.296,1804
109,2020-03-06 01:00:00+00:00,0.296,1879
110,2020-03-07 01:00:00+00:00,0.297,2041
