,date,price,volume
60,2021-11-21 01:00:00+00:00,0.592,338
61,2021-11-22 01:00:00+00:00,0.604,282
62,2021-11-23 01:00:00+00:00,0.608,226
63,2021-11-24 01:00:00+00:00,0.573,384
64,2021-11-25 01:00:00+00:00,0.55,487
65,2021-11-26 01:00:00+00:00,0.505,358
66,2021-11-27 01:00:00+00:00,0.509,388
67,2021-11-28 01:00:00+00:00,0.517,335
68,2021-11-29 01:00:00+00:00,0.506,323
69,2021-11-30 01:00:00+00:00,0.47,451
70,2021-12-01 01:00:00+00:00,0.47,489
71,2021-12-02 01:00:00+00:00,0.453,338
72,2021-12-03 01:00:00+00:00,0.472,389
73,2021-12-04 01:00:00+00:00,0.521,491
74,2021-12-05 01:00:00+00:00,0.62,318
75,2021-12-06 01:00:00+00:00,0.636,249
76,2021-12-07 01:00:00+00:00,0.629,224
77,2021-12-08 01:00:00+00:00,0.585,379
78,2021-12-09 01:00:00+00:00,0.593,343
79,2021-12-10 01:00:00+00:00,0.613,337
80,2021-12-11 01:00:00+00:00,0.605,363
81,2021-12-12 01:00:00+00:00,0.599,288
82,2021-12-13 01:00:00+00:00,0.6,221
83,2021-12-14 01:00:00+00:00,0.609,225
84,2021-12-15 01:00:00+00:00,0.567,347
85,2021-12-16 01:00:00+00:00,0.552,253
86,2021-12-17 01:00:00+00:00,0.547,291
87,2021-12-18 01:00:00+00:00,0.544,315
88,2021-12-19 01:00:00+00:00,0.539,297
89,2021-12-20 01:00:00+00:00,0.547,216
90,2021-12-21 01:00:00+00:00,0.504,253
91,2021-12-22 01:00:00+00:00,0.473,393
92,2021-12-23 01:00:00+00:00,0.459,342
93,2021-12-24 01:00:00+00:00,0.473,341
94,2021-12-25 01:00:00+00:00,0.488,351
95,2021-12-26 01:00:00+00:00,0.485,333
96,2021-12-27 01:00:00+00:00,0.483,311
97,2021-12-28 01:00:00+00:00,0.506,350
98,2021-12-29 01:00:00+00:00,0.545,712
99,2021-12-30 01:00:00+00:00,0.628,400
100,2021-12-31 01:00:00+00:00,0.653,287
101,2022-01-01 01:00:00+00:00,0.64,307
102,2022-01-02 01:00:00+00:00,0.606,366
103,2022-01-03 01:00:00+00:00,0.603,337
104,2022-01-04 01:00:00+00:00,0.636,687
105,2022-01-05 01:00:00+00:00,0.688,1070
106,2022-01-06 01:00:00+00:00,0.685,622
107,2022-01-07 01:00:00+00:00,0.672,525
108,2022-01-08 01:00:00+00:00,0.651,529
109,2022-01-09 01:00:00+00:00,0.64,493
110,2022-01-10 01:00:00+00:00,0.653,313
111,2022-01-11 01:00:00+00:00,0.66,489
112,2022-01-12 01:00:00+00:00,0.63,343
113,2022-01-13 01:00:00+00:00,0.653,384
114,2022-01-14 01:00:00+00:00,0.64,307
115,2022-01-15 01:00:00+00:00,0.626,354
116,2022-01-16 01:00:00+00:00,0.62,355
117,2022-01-17 01:00:00+00:00,0.625,300
118,2022-01-18 01:00:00+00:00,0.617,295
119,2022-01-19 01:00:00+00:00,0.614,322
120,2022-01-20 01:00:00+00:00,0.611,319
121,2022-01-21 01:00:00+00:00,0.614,420
122,2022-01-22 01:00:00+00:00,0.632,435
123,2022-01-23 01:00:00+00:00,0.637,378
124,2022-01-24 01:00:00+00:00,0.671,340
125,2022-01-25 01:00:00+00:00,0.678,312
126,2022-01-26 01:00:00+00:00,0.687,314
127,2022-01-27 01:00:00+00:00,0.635,354
128,2022-01-28 01:00:00+00:00,0.624,390
129,2022-01-29 01:00:00+00:00,0.633,408
130,2022-01-30 01:00:00+00:00,0.624,397
131,2022-01-31 01:00:00+00:00,0.637,362
132,2022-02-01 01:00:00+00:00,0.653,347
133,2022-02-02 01:00:00+00:00,0.664,409
134,2022-02-03 01:00:00+00:00,0.681,402
135,2022-02-04 01:00:00+00:00,0.688,333
136,2022-02-05 01:00:00+00:00,0.722,325
137,2022-02-06 01:00:00+00:00,0.707,352
138,2022-02-07 01:00:00+00:00,0.719,326
139,2022-02-08 01:00:00+00:00,0.699,332
140,2022-02-09 01:00:00+00:00,0.704,350
141,2022-02-10 01:00:00+00:00,0.724,384
142,2022-02-11 01:00:00+00:00,0.732,335
143,2022-02-12 01:00:00+00:00,0.744,349
144,2022-02-13 01:00:00+00:00,0.747,342
145,2022-02-14 01:00:00+00:00,0.79,406
146,2022-02-15 01:00:00+00:00,0.803,244
147,2022-02-16 01:00:00+00:00,0.809,250
148,2022-02-17 01:00:00+00:00,0.796,248
149,2022-02-18 01:00:00+00:00,0.817,284
150,2022-02-19 01:00:00+00:00,0.832,334
151,2022-02-20 01:00:00+00:00,0.827,320
152,2022-02-21 01:00:00+00:00,0.828,270
153,2022-02-22 01:00:00+00:00,0.827,321
154,2022-02-23 01:00:00+00:00,0.851,283
155,2022-02-24 01:00:00+00:00,0.886,204
156,2022-02-25 01:00:00+00:00,0.905,225
157,2022-02-26 01:00:00+00:00,0.89,230
158,2022-02-27 01:00:00+00:00,0.907,249
159,2022-02-28 01:00:00+00:00,0.845,228
160,2022-03-01 01:00:00+00:00,0.824,238
161,2022-03-02 01:00:00+00:00,0.827,224
162,2022-03-03 01:00:00+00:00,0.818,242
163,2022-03-04 01:00:00+00:00,0.818,271
164,2022-03-05 01:00:00+00:00,0.834,262
165,2022-03-06 01:00:00+00:00,0.855,283
166,2022-03-07 01:00:00+00:00,0.844,254
167,2022-03-08 01:00:00+00:00,0.803,294
168,2022-03-09 01:00:00+00:00,0.807,236
169,2022-03-10 01:00:00+00:00,0.79,223
170,2022-03-11 01:00:00+00:00,0.839,219
171,2022-03-12 01:00:00+00:00,0.86,251
172,2022-03-13 01:00:00+00:00,0.875,217
173,2022-03-14 01:00:00+00:00,0.888,197
174,2022-03-15 01:00:00+00:00,0.895,172
175,2022-03-16 01:00:00+00:00,0.898,183
176,2022-03-17 01:00:00+00:00,0.907,174
177,2022-03-18 01:00:00+00:00,0.932,163
178,2022-03-19 01:00:00+00:00,0.926,217
179,2022-03-20 01:00:00+00:00,0.911,209
180,2022-03-21 01:00:00+00:00,0.917,170
181,2022-03-22 01:00:00+00:00,0.909,161
182,2022-03-23 01:00:00+00:00,0.917,160
183,2022-03-24 01:00:00+00:00,0.918,178
184,2022-03-25 01:00:00+00:00,0.926,169
185,2022-03-26 01:00:00+00:00,0.971,185
186,2022-03-27 01:00:00+00:00,0.961,190
187,2022-03-28 01:00:00+00:00,0.966,171
188,2022-03-29 01:00:00+00:00,0.932,154
189,2022-03-30 01:00:00+00:00,0.948,160
190,2022-03-31 01:00:00+00:00,0.943,171
191,2022-04-01 01:00:00+00:00,1.003,164
192,2022-04-02 01:00:00+00:00,1.036,188
193,2022-04-03 01:00:00+00:00,1.026,161
194,2022-04-04 01:00:00+00:00,1.027,167
195,2022-04-05 01:00:00+00:00,1.053,169
196,2022-04-06 01:00:00+00:00,1.053,140
197,2022-04-07 01:00:00+00:00,1.086,152
