,date,price,volume
60,2020-01-17 01:00:00+00:00,12.617,474
61,2020-01-18 01:00:00+00:00,12.698,511
62,2020-01-19 01:00:00+00:00,12.734,426
63,2020-01-20 01:00:00+00:00,12.596,387
64,2020-01-21 01:00:00+00:00,12.285,425
65,2020-01-22 01:00:00+00:00,12.016,579
66,2020-01-23 01:00:00+00:00,11.36,525
67,2020-01-24 01:00:00+00:00,11.207,511
68,2020-01-25 01:00:00+00:00,11.545,502
69,2020-01-26 01:00:00+00:00,11.965,490
70,2020-01-27 01:00:00+00:00,12.078,390
71,2020-01-28 01:00:00+00:00,11.898,394
72,2020-01-29 01:00:00+00:00,11.834,479
73,2020-01-30 01:00:00+00:00,11.61,435
74,2020-01-31 01:00:00+00:00,11.819,505
75,2020-02-01 01:00:00+00:00,12.015,530
76,2020-02-02 01:00:00+00:00,12.044,625
77,2020-02-03 01:00:00+00:00,11.931,431
78,2020-02-04 01:00:00+00:00,11.996,534
79,2020-02-05 01:00:00+00:00,11.897,700
80,2020-02-06 01:00:00+00:00,11.806,690
81,2020-02-07 01:00:00+00:00,11.456,794
82,2020-02-08 01:00:00+00:00,11.359,839
83,2020-02-09 01:00:00+00:00,11.123,781
84,2020-02-10 01:00:00+00:00,10.77,621
85,2020-02-11 01:00:00+00:00,10.084,643
86,2020-02-12 01:00:00+00:00,9.6,927
87,2020-02-13 01:00:00+00:00,8.979,698
88,2020-02-14 01:00:00+00:00,8.861,730
89,2020-02-15 01:00:00+00:00,8.388,811
90,2020-02-16 01:00:00+00:00,7.859,821
91,2020-02-17 01:00:00+00:00,7.908,607
92,2020-02-18 01:00:00+00:00,8.12,645
93,2020-02-19 01:00:00+00:00,7.414,1249
94,2020-02-20 01:00:00+00:00,7.386,907
95,2020-02-21 01:00:00+00:00,7.542,801
96,2020-02-22 01:00:00+00:00,7.608,844
97,2020-02-23 01:00:00+00:00,8.055,874
98,2020-02-24 01:00:00+00:00,8.248,752
99,2020-02-25 01:00:00+00:00,10.2,1766
100,2020-02-26 01:00:00+00:00,8.846,1504
101,2020-02-27 01:00:00+00:00,9.4,1264
102,2020-02-28 01:00:00+00:00,9.594,1514
103,2020-02-29 01:00:00+00:00,9.675,1392
104,2020-03-01 01:00:00+00:00,9.485,1322
105,2020-03-02 01:00:00+00:00,8.988,1117
106,2020-03-03 01:00:00+00:00,9.108,2012
107,2020-03-04 01:00:00+00:00,7.738,13160
108,2020-03-05 01:00:00+00:00,7.884,5767
109,2020-03-06 01:00:00+00:00,7.922,4310
110,2020-03-07 01:00:00+00:00,7.765,4075
111,2020-03-08 01:00:00+00:00,7.814,3425
112,2020-03-09 01:00:00+00:00,7.781,2698
113,2020-03-10 01:00:00+00:00,7.911,2406
114,2020-03-11 01:00:00+00:00,7.9,2127
115,2020-03-12 01:00:00+00:00,7.683,2318
116,2020-03-13 01:00:00+00:00,7.343,2319
117,2020-03-14 01:00:00+00:00,6.94,2526
118,2020-03-15 01:00:00+00:00,6.661,2457
119,2020-03-16 01:00:00+00:00,6.585,2161
120,2020-03-17 01:00:00+00:00,6.516,2126
121,2020-03-18 01:00:00+00:00,6.501,2066
122,2020-03-19 01:00:00+00:00,6.602,1886
123,2020-03-20 01:00:00+00:00,6.544,1960
124,2020-03-21 01:00:00+00:00,6.53,1760
125,2020-03-22 01:00:00+00:00,6.773,2380
126,2020-03-23 01:00:00+00:00,6.654,1805
127,2020-03-24 01:00:00+00:00,6.708,1782
128,2020-03-25 01:00:00+00:00,6.829,1956
129,2020-03-26 01:00:00+00:00,6.818,1873
130,2020-03-27 01:00:00+00:00,6.863,1790
131,2020-03-28 01:00:00+00:00,7.111,1849
132,2020-03-29 01:00:00+00:00,8.043,2506
133,2020-03-30 01:00:00+00:00,10.272,4719
134,2020-03-31 01:00:00+00:00,8.958,5437
135,2020-04-01 01:00:00+00:00,9.355,3692
136,2020-04-02 01:00:00+00:00,8.315,2164
137,2020-04-03 01:00:00+00:00,7.59,1906
138,2020-04-04 01:00:00+00:00,7.575,1663
139,2020-04-05 01:00:00+00:00,7.313,1450
140,2020-04-06 01:00:00+00:00,7.171,1418
141,2020-04-07 01:00:00+00:00,7.01,1427
142,2020-04-08 01:00:00+00:00,7.164,1304
143,2020-04-09 01:00:00+00:00,6.99,1289
144,2020-04-10 01:00:00+00:00,7.019,1263
145,2020-04-11 01:00:00+00:00,6.786,1436
146,2020-04-12 01:00:00+00:00,7.07,1196
147,2020-04-13 01:00:00+00:00,6.871,1093
148,2020-04-14 01:00:00+00:00,6.779,1126
149,2020-04-15 01:00:00+00:00,6.92,1018
150,2020-04-16 01:00:00+00:00,6.95,832
151,2020-04-17 01:00:00+00:00,6.855,1008
152,2020-04-18 01:00:00+00:00,6.795,1031
153,2020-04-19 01:00:00+00:00,6.681,958
154,2020-04-20 01:00:00+00:00,6.554,919
155,2020-04-21 01:00:00+00:00,6.345,964
156,2020-04-22 01:00:00+00:00,6.255,992
157,2020-04-23 01:00:00+00:00,5.893,1198
158,2020-04-24 01:00:00+00:00,5.905,1074
159,2020-04-25 01:00:00+00:00,6.002,969
160,2020-04-26 01:00:00+00:00,5.944,930
161,2020-04-27 01:00:00+00:00,5.737,894
162,2020-04-28 01:00:00+00:00,5.66,880
163,2020-04-29 01:00:00+00:00,5.61,903
164,2020-04-30 01:00:00+00:00,5.794,951
165,2020-05-01 01:00:00+00:00,5.841,1000
166,2020-05-02 01:00:00+00:00,5.781,852
167,2020-05-03 01:00:00+00:00,5.822,840
168,2020-05-04 01:00:00+00:00,5.868,755
169,2020-05-05 01:00:00+00:00,6.005,769
170,2020-05-06 01:00:00+00:00,6.044,765
171,2020-05-07 01:00:00+00:00,6.086,746
172,2020-05-08 01:00:00+00:00,6.073,832
173,2020-05-09 01:00:00+00:00,6.085,869
174,2020-05-10 01:00:00+00:00,6.109,813
175,2020-05-11 01:00:00+00:00,6.109,746
176,2020-05-12 01:00:00+00:00,6.186,1094
177,2020-05-13 01:00:00+00:00,6.32,810
178,2020-05-14 01:00:00+00:00,6.513,716
179,2020-05-15 01:00:00+00:00,6.686,901
180,2020-05-16 01:00:00+00:00,6.813,746
181,2020-05-17 01:00:00+00:00,6.731,630
182,2020-05-18 01:00:00+00:00,6.478,630
183,2020-05-19 01:00:00+00:00,6.401,696
184,2020-05-20 01:00:00+00:00,6.399,643
185,2020-05-21 01:00:00+00:00,6.421,627
186,2020-05-22 01:00:00+00:00,6.545,654
187,2020-05-23 01:00:00+00:00,6.494,642
188,2020-05-24 01:00:00+00:00,6.432,640
189,2020-05-25 01:00:00+00:00,6.244,897
190,2020-05-26 01:00:00+00:00,5.797,868
191,2020-05-27 01:00:00+00:00,5.996,595
192,2020-05-28 01:00:00+00:00,6.13,597
193,2020-05-29 01:00:00+00:00,6.263,613
194,2020-05-30 01:00:00+00:00,6.291,613
195,2020-05-31 01:00:00+00:00,6.172,627
196,2020-06-01 01:00:00+00:00,6.244,631
197,2020-06-02 01:00:00+00:00,6.286,529
198,2020-06-03 01:00:00+00:00,6.301,568
199,2020-06-04 01:00:00+00:00,6.175,561
200,2020-06-05 01:00:00+00:00,6.084,881
201,2020-06-06 01:00:00+00:00,6.038,746
202,2020-06-07 01:00:00+00:00,6.153,602
203,2020-06-08 01:00:00+00:00,6.163,696
204,2020-06-09 01:00:00+00:00,6.146,604
205,2020-06-10 01:00:00+00:00,6.188,602
206,2020-06-11 01:00:00+00:00,6.124,621
207,2020-06-12 01:00:00+00:00,6.078,644
208,2020-06-13 01:00:00+00:00,6.094,568
209,2020-06-14 01:00:00+00:00,6.08,576
210,2020-06-15 01:00:00+00:00,6.031,598
211,2020-06-16 01:00:00+00:00,5.997,591
212,2020-06-17 01:00:00+00:00,5.948,558
213,2020-06-18 01:00:00+00:00,6.0,559
214,2020-06-19 01:00:00+00:00,5.955,628
215,2020-06-20 01:00:00+00:00,5.909,575
216,2020-06-21 01:00:00+00:00,5.936,651
217,2020-06-22 01:00:00+00:00,5.895,608
218,2020-06-23 01:00:00+00:00,5.84,561
219,2020-06-24 01:00:00+00:00,5.839,626
220,2020-06-25 01:00:00+00:00,5.521,913
221,2020-06-26 01:00:00+00:00,5.422,1089
222,2020-06-27 01:00:00+00:00,5.442,778
223,2020-06-28 01:00:00+00:00,5.459,700
224,2020-06-29 01:00:00+00:00,5.487,726
225,2020-06-30 01:00:00+00:00,5.518,598
226,2020-07-01 01:00:00+00:00,5.516,642
227,2020-07-02 01:00:00+00:00,5.51,615
228,2020-07-03 01:00:00+00:00,5.472,678
229,2020-07-04 01:00:00+00:00,5.489,684
230,2020-07-05 01:00:00+00:00,5.524,603
231,2020-07-06 01:00:00+00:00,5.498,592
232,2020-07-07 01:00:00+00:00,5.63,596
233,2020-07-08 01:00:00+00:00,5.789,589
234,2020-07-09 01:00:00+00:00,5.816,584
235,2020-07-10 01:00:00+00:00,6.085,495
236,2020-07-11 01:00:00+00:00,6.257,464
237,2020-07-12 01:00:00+00:00,6.376,460
238,2020-07-13 01:00:00+00:00,6.561,438
239,2020-07-14 01:00:00+00:00,6.486,459
240,2020-07-15 01:00:00+00:00,6.435,415
241,2020-07-16 01:00:00+00:00,6.441,445
242,2020-07-17 01:00:00+00:00,6.421,456
243,2020-07-18 01:00:00+00:00,6.563,482
244,2020-07-19 01:00:00+00:00,6.524,549
245,2020-07-20 01:00:00+00:00,6.555,563
