,date,price,volume
60,2021-02-01 01:00:00+00:00,0.906,710
61,2021-02-02 01:00:00+00:00,0.899,755
62,2021-02-03 01:00:00+00:00,0.844,1008
63,2021-02-04 01:00:00+00:00,0.896,872
64,2021-02-05 01:00:00+00:00,0.889,717
65,2021-02-06 01:00:00+00:00,0.856,745
66,2021-02-07 01:00:00+00:00,0.886,679
67,2021-02-08 01:00:00+00:00,0.878,681
68,2021-02-09 01:00:00+00:00,0.868,708
69,2021-02-10 01:00:00+00:00,0.815,986
70,2021-02-11 01:00:00+00:00,0.82,795
71,2021-02-12 01:00:00+00:00,0.812,831
72,2021-02-13 01:00:00+00:00,0.802,824
73,2021-02-14 01:00:00+00:00,0.741,813
74,2021-02-15 01:00:00+00:00,0.775,713
75,2021-02-16 01:00:00+00:00,0.797,688
76,2021-02-17 01:00:00+00:00,0.764,864
77,2021-02-18 01:00:00+00:00,0.822,764
78,2021-02-19 01:00:00+00:00,0.871,705
79,2021-02-20 01:00:00+00:00,0.898,745
80,2021-02-21 01:00:00+00:00,0.907,656
81,2021-02-22 01:00:00+00:00,0.911,627
82,2021-02-23 01:00:00+00:00,0.927,698
83,2021-02-24 01:00:00+00:00,0.86,853
84,2021-02-25 01:00:00+00:00,0.862,749
85,2021-02-26 01:00:00+00:00,0.887,759
86,2021-02-27 01:00:00+00:00,0.908,813
87,2021-02-28 01:00:00+00:00,0.917,789
88,2021-03-01 01:00:00+00:00,0.902,686
89,2021-03-02 01:00:00+00:00,0.922,696
90,2021-03-03 01:00:00+00:00,0.885,851
91,2021-03-04 01:00:00+00:00,0.88,731
92,2021-03-05 01:00:00+00:00,0.908,818
93,2021-03-06 01:00:00+00:00,0.921,807
94,2021-03-07 01:00:00+00:00,0.951,777
95,2021-03-08 01:00:00+00:00,1.0,683
96,2021-03-09 01:00:00+00:00,0.981,667
97,2021-03-10 01:00:00+00:00,0.918,851
98,2021-03-11 01:00:00+00:00,0.919,763
99,2021-03-12 01:00:00+00:00,0.924,769
100,2021-03-13 01:00:00+00:00,0.952,852
101,2021-03-14 01:00:00+00:00,0.996,761
102,2021-03-15 01:00:00+00:00,1.03,699
103,2021-03-16 01:00:00+00:00,1.05,661
104,2021-03-17 01:00:00+00:00,0.931,1027
105,2021-03-18 01:00:00+00:00,0.946,866
106,2021-03-19 01:00:00+00:00,0.941,1019
107,2021-03-20 01:00:00+00:00,1.0,854
108,2021-03-21 01:00:00+00:00,1.029,780
109,2021-03-22 01:00:00+00:00,1.014,707
110,2021-03-23 01:00:00+00:00,0.999,712
111,2021-03-24 01:00:00+00:00,0.997,715
112,2021-03-25 01:00:00+00:00,0.992,649
113,2021-03-26 01:00:00+00:00,1.027,644
114,2021-03-27 01:00:00+00:00,1.022,637
115,2021-03-28 01:00:00+00:00,0.995,667
116,2021-03-29 01:00:00+00:00,0.989,609
117,2021-03-30 01:00:00+00:00,0.983,622
118,2021-03-31 01:00:00+00:00,0.955,612
119,2021-04-01 01:00:00+00:00,0.992,626
120,2021-04-02 01:00:00+00:00,1.008,607
121,2021-04-03 01:00:00+00:00,1.006,611
122,2021-04-04 01:00:00+00:00,1.035,601
123,2021-04-05 01:00:00+00:00,1.055,583
124,2021-04-06 01:00:00+00:00,1.043,530
125,2021-04-07 01:00:00+00:00,0.867,849
126,2021-04-08 01:00:00+00:00,0.794,841
127,2021-04-09 01:00:00+00:00,0.759,867
128,2021-04-10 01:00:00+00:00,0.822,716
129,2021-04-11 01:00:00+00:00,0.819,596
130,2021-04-12 01:00:00+00:00,0.827,568
131,2021-04-13 01:00:00+00:00,0.839,572
132,2021-04-14 01:00:00+00:00,0.904,147
133,2021-04-15 01:00:00+00:00,0.868,651
134,2021-04-16 01:00:00+00:00,0.882,556
135,2021-04-17 01:00:00+00:00,0.909,571
136,2021-04-18 01:00:00+00:00,0.914,531
137,2021-04-19 01:00:00+00:00,0.93,518
138,2021-04-20 01:00:00+00:00,0.948,516
139,2021-04-21 01:00:00+00:00,0.948,510
140,2021-04-22 01:00:00+00:00,0.962,469
141,2021-04-23 01:00:00+00:00,0.96,479
142,2021-04-24 01:00:00+00:00,0.999,518
143,2021-04-25 01:00:00+00:00,0.957,498
144,2021-04-26 01:00:00+00:00,0.945,469
145,2021-04-27 01:00:00+00:00,0.946,488
146,2021-04-28 01:00:00+00:00,0.968,554
147,2021-04-29 01:00:00+00:00,1.007,488
148,2021-04-30 01:00:00+00:00,1.003,537
149,2021-05-01 01:00:00+00:00,0.969,433
150,2021-05-02 01:00:00+00:00,0.991,488
151,2021-05-03 01:00:00+00:00,0.986,551
152,2021-05-04 01:00:00+00:00,1.015,615
153,2021-05-05 01:00:00+00:00,1.03,657
154,2021-05-06 01:00:00+00:00,1.027,554
155,2021-05-07 01:00:00+00:00,1.064,578
156,2021-05-08 01:00:00+00:00,1.061,509
157,2021-05-09 01:00:00+00:00,1.058,511
158,2021-05-10 01:00:00+00:00,1.051,623
159,2021-05-11 01:00:00+00:00,1.091,524
160,2021-05-12 01:00:00+00:00,1.133,443
161,2021-05-13 01:00:00+00:00,1.131,498
162,2021-05-14 01:00:00+00:00,1.109,459
163,2021-05-15 01:00:00+00:00,1.135,470
164,2021-05-16 01:00:00+00:00,1.153,449
165,2021-05-17 01:00:00+00:00,1.179,479
166,2021-05-18 01:00:00+00:00,1.21,438
167,2021-05-19 01:00:00+00:00,1.208,356
168,2021-05-20 01:00:00+00:00,1.223,381
169,2021-05-21 01:00:00+00:00,1.244,420
170,2021-05-22 01:00:00+00:00,1.315,476
171,2021-05-23 01:00:00+00:00,1.324,401
172,2021-05-24 01:00:00+00:00,1.302,402
173,2021-05-25 01:00:00+00:00,1.337,350
174,2021-05-26 01:00:00+00:00,1.356,386
175,2021-05-27 01:00:00+00:00,1.348,360
176,2021-05-28 01:00:00+00:00,1.341,444
177,2021-05-29 01:00:00+00:00,1.343,408
178,2021-05-30 01:00:00+00:00,1.306,387
179,2021-05-31 01:00:00+00:00,1.325,417
180,2021-06-01 01:00:00+00:00,1.327,336
181,2021-06-02 01:00:00+00:00,1.335,365
182,2021-06-03 01:00:00+00:00,1.331,348
183,2021-06-04 01:00:00+00:00,1.297,444
184,2021-06-05 01:00:00+00:00,1.313,450
185,2021-06-06 01:00:00+00:00,1.316,395
186,2021-06-07 01:00:00+00:00,1.337,390
187,2021-06-08 01:00:00+00:00,1.325,322
188,2021-06-09 01:00:00+00:00,1.337,340
189,2021-06-10 01:00:00+00:00,1.323,300
190,2021-06-11 01:00:00+00:00,1.338,303
191,2021-06-12 01:00:00+00:00,1.471,385
192,2021-06-13 01:00:00+00:00,1.459,282
193,2021-06-14 01:00:00+00:00,1.404,271
194,2021-06-15 01:00:00+00:00,1.409,288
195,2021-06-16 01:00:00+00:00,1.416,322
196,2021-06-17 01:00:00+00:00,1.41,282
197,2021-06-18 01:00:00+00:00,1.409,320
198,2021-06-19 01:00:00+00:00,1.393,307
199,2021-06-20 01:00:00+00:00,1.394,304
200,2021-06-21 01:00:00+00:00,1.397,285
201,2021-06-22 01:00:00+00:00,1.422,313
202,2021-06-23 01:00:00+00:00,1.38,270
203,2021-06-24 01:00:00+00:00,1.249,402
204,2021-06-25 01:00:00+00:00,1.156,432
205,2021-06-26 01:00:00+00:00,1.153,366
206,2021-06-27 01:00:00+00:00,1.18,325
207,2021-06-28 01:00:00+00:00,1.182,315
208,2021-06-29 01:00:00+00:00,1.234,332
