,date,price,volume
60,2020-01-17 01:00:00+00:00,5.245,425
61,2020-01-18 01:00:00+00:00,5.241,451
62,2020-01-19 01:00:00+00:00,5.207,397
63,2020-01-20 01:00:00+00:00,5.201,372
64,2020-01-21 01:00:00+00:00,5.071,416
65,2020-01-22 01:00:00+00:00,5.095,566
66,2020-01-23 01:00:00+00:00,4.987,480
67,2020-01-24 01:00:00+00:00,4.992,512
68,2020-01-25 01:00:00+00:00,5.119,546
69,2020-01-26 01:00:00+00:00,5.183,616
70,2020-01-27 01:00:00+00:00,5.156,477
71,2020-01-28 01:00:00+00:00,5.183,423
72,2020-01-29 01:00:00+00:00,5.02,517
73,2020-01-30 01:00:00+00:00,4.934,438
74,2020-01-31 01:00:00+00:00,5.064,500
75,2020-02-01 01:00:00+00:00,5.054,549
76,2020-02-02 01:00:00+00:00,5.033,618
77,2020-02-03 01:00:00+00:00,5.055,438
78,2020-02-04 01:00:00+00:00,5.006,487
79,2020-02-05 01:00:00+00:00,4.909,701
80,2020-02-06 01:00:00+00:00,4.639,582
81,2020-02-07 01:00:00+00:00,4.257,699
82,2020-02-08 01:00:00+00:00,4.322,765
83,2020-02-09 01:00:00+00:00,4.15,669
84,2020-02-10 01:00:00+00:00,3.966,554
85,2020-02-11 01:00:00+00:00,3.971,574
86,2020-02-12 01:00:00+00:00,3.696,874
87,2020-02-13 01:00:00+00:00,3.413,641
88,2020-02-14 01:00:00+00:00,3.392,669
89,2020-02-15 01:00:00+00:00,3.247,689
90,2020-02-16 01:00:00+00:00,3.159,706
91,2020-02-17 01:00:00+00:00,3.165,516
92,2020-02-18 01:00:00+00:00,3.063,606
93,2020-02-19 01:00:00+00:00,2.72,1217
94,2020-02-20 01:00:00+00:00,2.778,800
95,2020-02-21 01:00:00+00:00,2.792,738
96,2020-02-22 01:00:00+00:00,2.846,865
97,2020-02-23 01:00:00+00:00,3.057,910
98,2020-02-24 01:00:00+00:00,3.085,703
99,2020-02-25 01:00:00+00:00,3.975,1442
100,2020-02-26 01:00:00+00:00,3.212,1524
101,2020-02-27 01:00:00+00:00,3.248,1169
102,2020-02-28 01:00:00+00:00,3.337,1378
103,2020-02-29 01:00:00+00:00,3.419,1388
104,2020-03-01 01:00:00+00:00,3.462,1185
105,2020-03-02 01:00:00+00:00,3.257,1041
106,2020-03-03 01:00:00+00:00,3.286,1966
107,2020-03-04 01:00:00+00:00,2.402,12388
108,2020-03-05 01:00:00+00:00,2.401,5748
109,2020-03-06 01:00:00+00:00,2.553,4585
110,2020-03-07 01:00:00+00:00,2.603,4164
111,2020-03-08 01:00:00+00:00,2.494,3271
112,2020-03-09 01:00:00+00:00,2.381,2557
113,2020-03-10 01:00:00+00:00,2.367,2297
114,2020-03-11 01:00:00+00:00,2.413,1979
115,2020-03-12 01:00:00+00:00,2.198,2160
116,2020-03-13 01:00:00+00:00,2.055,2142
117,2020-03-14 01:00:00+00:00,1.975,2279
118,2020-03-15 01:00:00+00:00,1.925,2254
119,2020-03-16 01:00:00+00:00,1.881,1950
120,2020-03-17 01:00:00+00:00,1.742,1935
121,2020-03-18 01:00:00+00:00,1.754,1943
122,2020-03-19 01:00:00+00:00,1.797,1950
123,2020-03-20 01:00:00+00:00,1.837,1945
124,2020-03-21 01:00:00+00:00,1.871,1800
125,2020-03-22 01:00:00+00:00,1.91,2196
126,2020-03-23 01:00:00+00:00,1.845,1672
127,2020-03-24 01:00:00+00:00,1.854,1688
128,2020-03-25 01:00:00+00:00,1.945,1902
129,2020-03-26 01:00:00+00:00,1.888,1906
130,2020-03-27 01:00:00+00:00,1.925,1840
131,2020-03-28 01:00:00+00:00,2.001,1724
132,2020-03-29 01:00:00+00:00,2.195,1752
133,2020-03-30 01:00:00+00:00,2.611,5242
134,2020-03-31 01:00:00+00:00,2.394,4307
135,2020-04-01 01:00:00+00:00,2.369,2853
136,2020-04-02 01:00:00+00:00,2.111,1905
137,2020-04-03 01:00:00+00:00,1.974,1796
138,2020-04-04 01:00:00+00:00,1.986,1789
139,2020-04-05 01:00:00+00:00,2.025,1668
140,2020-04-06 01:00:00+00:00,1.986,1505
141,2020-04-07 01:00:00+00:00,1.936,1563
142,2020-04-08 01:00:00+00:00,1.943,1428
143,2020-04-09 01:00:00+00:00,1.927,1301
144,2020-04-10 01:00:00+00:00,1.918,1364
145,2020-04-11 01:00:00+00:00,1.923,1426
146,2020-04-12 01:00:00+00:00,1.986,1231
147,2020-04-13 01:00:00+00:00,1.949,1221
148,2020-04-14 01:00:00+00:00,1.942,1296
149,2020-04-15 01:00:00+00:00,1.959,1248
150,2020-04-16 01:00:00+00:00,2.027,1125
151,2020-04-17 01:00:00+00:00,2.085,1213
152,2020-04-18 01:00:00+00:00,2.073,1124
153,2020-04-19 01:00:00+00:00,2.052,1019
154,2020-04-20 01:00:00+00:00,2.032,956
155,2020-04-21 01:00:00+00:00,2.014,996
156,2020-04-22 01:00:00+00:00,1.956,952
157,2020-04-23 01:00:00+00:00,1.926,954
158,2020-04-24 01:00:00+00:00,1.919,1078
159,2020-04-25 01:00:00+00:00,1.895,950
160,2020-04-26 01:00:00+00:00,1.929,940
161,2020-04-27 01:00:00+00:00,1.921,1041
162,2020-04-28 01:00:00+00:00,1.871,944
163,2020-04-29 01:00:00+00:00,1.84,1110
164,2020-04-30 01:00:00+00:00,1.862,1082
165,2020-05-01 01:00:00+00:00,1.872,1237
166,2020-05-02 01:00:00+00:00,1.893,968
167,2020-05-03 01:00:00+00:00,1.898,948
168,2020-05-04 01:00:00+00:00,1.904,857
169,2020-05-05 01:00:00+00:00,1.931,921
170,2020-05-06 01:00:00+00:00,1.966,873
171,2020-05-07 01:00:00+00:00,1.973,880
172,2020-05-08 01:00:00+00:00,1.984,882
173,2020-05-09 01:00:00+00:00,1.968,867
174,2020-05-10 01:00:00+00:00,1.977,863
175,2020-05-11 01:00:00+00:00,1.976,801
176,2020-05-12 01:00:00+00:00,1.988,845
177,2020-05-13 01:00:00+00:00,2.031,842
178,2020-05-14 01:00:00+00:00,2.047,800
179,2020-05-15 01:00:00+00:00,2.073,768
180,2020-05-16 01:00:00+00:00,2.081,793
181,2020-05-17 01:00:00+00:00,2.1,787
182,2020-05-18 01:00:00+00:00,2.095,762
183,2020-05-19 01:00:00+00:00,2.109,936
184,2020-05-20 01:00:00+00:00,2.142,703
185,2020-05-21 01:00:00+00:00,2.167,797
186,2020-05-22 01:00:00+00:00,2.207,687
187,2020-05-23 01:00:00+00:00,2.206,779
188,2020-05-24 01:00:00+00:00,2.257,1068
189,2020-05-25 01:00:00+00:00,2.16,839
190,2020-05-26 01:00:00+00:00,2.038,929
191,2020-05-27 01:00:00+00:00,2.15,794
192,2020-05-28 01:00:00+00:00,2.291,727
193,2020-05-29 01:00:00+00:00,2.301,766
194,2020-05-30 01:00:00+00:00,2.32,692
195,2020-05-31 01:00:00+00:00,2.327,761
196,2020-06-01 01:00:00+00:00,2.31,855
197,2020-06-02 01:00:00+00:00,2.38,635
198,2020-06-03 01:00:00+00:00,2.396,615
199,2020-06-04 01:00:00+00:00,2.385,654
200,2020-06-05 01:00:00+00:00,2.348,716
201,2020-06-06 01:00:00+00:00,2.274,522
202,2020-06-07 01:00:00+00:00,2.305,656
203,2020-06-08 01:00:00+00:00,2.301,545
204,2020-06-09 01:00:00+00:00,2.22,1194
205,2020-06-10 01:00:00+00:00,2.208,594
206,2020-06-11 01:00:00+00:00,2.235,572
207,2020-06-12 01:00:00+00:00,2.264,573
208,2020-06-13 01:00:00+00:00,2.278,583
209,2020-06-14 01:00:00+00:00,2.245,537
210,2020-06-15 01:00:00+00:00,2.228,563
211,2020-06-16 01:00:00+00:00,2.226,603
212,2020-06-17 01:00:00+00:00,2.198,554
213,2020-06-18 01:00:00+00:00,2.158,506
214,2020-06-19 01:00:00+00:00,2.137,620
215,2020-06-20 01:00:00+00:00,2.169,557
216,2020-06-21 01:00:00+00:00,2.176,599
217,2020-06-22 01:00:00+00:00,2.133,612
218,2020-06-23 01:00:00+00:00,2.131,523
219,2020-06-24 01:00:00+00:00,2.127,536
220,2020-06-25 01:00:00+00:00,2.073,826
221,2020-06-26 01:00:00+00:00,1.914,1159
222,2020-06-27 01:00:00+00:00,1.987,725
223,2020-06-28 01:00:00+00:00,2.011,730
224,2020-06-29 01:00:00+00:00,1.902,930
225,2020-06-30 01:00:00+00:00,1.93,870
226,2020-07-01 01:00:00+00:00,2.048,663
227,2020-07-02 01:00:00+00:00,2.109,783
228,2020-07-03 01:00:00+00:00,2.107,802
229,2020-07-04 01:00:00+00:00,2.004,671
230,2020-07-05 01:00:00+00:00,2.067,606
231,2020-07-06 01:00:00+00:00,2.043,828
232,2020-07-07 01:00:00+00:00,2.122,626
233,2020-07-08 01:00:00+00:00,2.149,601
234,2020-07-09 01:00:00+00:00,2.194,586
235,2020-07-10 01:00:00+00:00,2.224,521
236,2020-07-11 01:00:00+00:00,2.266,523
237,2020-07-12 01:00:00+00:00,2.343,629
238,2020-07-13 01:00:00+00:00,2.424,525
239,2020-07-14 01:00:00+00:00,2.453,596
240,2020-07-15 01:00:00+00:00,2.509,439
241,2020-07-16 01:00:00+00:00,2.479,430
242,2020-07-17 01:00:00+00:00,2.513,435
243,2020-07-18 01:00:00+00:00,2.449,451
244,2020-07-19 01:00:00+00:00,2.475,485
245,2020-07-20 01:00:00+00:00,2.449,598
246,2020-07-21 01:00:00+00:00,2.544,501
247,2020-07-22 01:00:00+00:00,2.62,473
248,2020-07-23 01:00:00+00:00,2.802,539
249,2020-07-24 01:00:00+00:00,2.935,581
250,2020-07-25 01:00:00+00:00,2.868,385
251,2020-07-26 01:00:00+00:00,2.899,410
252,2020-07-27 01:00:00+00:00,2.789,489
253,2020-07-28 01:00:00+00:00,2.853,522
254,2020-07-29 01:00:00+00:00,2.875,391
255,2020-07-30 01:00:00+00:00,2.86,385
256,2020-07-31 01:00:00+00:00,2.879,353
257,2020-08-01 01:00:00+00:00,2.856,391
258,2020-08-02 01:00:00+00:00,2.884,358
259,2020-08-03 01:00:00+00:00,2.922,398
260,2020-08-04 01:00:00+00:00,2.894,397
261,2020-08-05 01:00:00+00:00,2.887,463
262,2020-08-06 01:00:00+00:00,2.897,429
263,2020-08-07 01:00:00+00:00,2.922,508
264,2020-08-08 01:00:00+00:00,3.004,460
265,2020-08-09 01:00:00+00:00,3.056,545
266,2020-08-10 01:00:00+00:00,3.044,478
267,2020-08-11 01:00:00+00:00,3.022,506
268,2020-08-12 01:00:00+00:00,3.013,530
269,2020-08-13 01:00:00+00:00,2.987,442
270,2020-08-14 01:00:00+00:00,2.829,454
271,2020-08-15 01:00:00+00:00,2.903,497
272,2020-08-16 01:00:00+00:00,2.939,488
273,2020-08-17 01:00:00+00:00,2.918,408
274,2020-08-18 01:00:00+00:00,2.943,438
275,2020-08-19 01:00:00+00:00,2.883,406
276,2020-08-20 01:00:00+00:00,2.882,445
277,2020-08-21 01:00:00+00:00,2.879,446
278,2020-08-22 01:00:00+00:00,2.87,427
279,2020-08-23 01:00:00+00:00,2.866,449
280,2020-08-24 01:00:00+00:00,2.834,411
281,2020-08-25 01:00:00+00:00,2.855,400
282,2020-08-26 01:00:00+00:00,2.842,431
283,2020-08-27 01:00:00+00:00,2.876,419
