,date,price,volume
60,2021-11-21 01:00:00+00:00,0.832,563
61,2021-11-22 01:00:00+00:00,0.855,526
62,2021-11-23 01:00:00+00:00,0.876,426
63,2021-11-24 01:00:00+00:00,0.851,705
64,2021-11-25 01:00:00+00:00,0.809,717
65,2021-11-26 01:00:00+00:00,0.785,531
66,2021-11-27 01:00:00+00:00,0.751,579
67,2021-11-28 01:00:00+00:00,0.744,529
68,2021-11-29 01:00:00+00:00,0.763,431
69,2021-11-30 01:00:00+00:00,0.695,634
70,2021-12-01 01:00:00+00:00,0.637,797
71,2021-12-02 01:00:00+00:00,0.625,657
72,2021-12-03 01:00:00+00:00,0.718,567
73,2021-12-04 01:00:00+00:00,0.805,560
74,2021-12-05 01:00:00+00:00,0.843,436
75,2021-12-06 01:00:00+00:00,0.836,379
76,2021-12-07 01:00:00+00:00,0.819,438
77,2021-12-08 01:00:00+00:00,0.717,711
78,2021-12-09 01:00:00+00:00,0.703,496
79,2021-12-10 01:00:00+00:00,0.722,545
80,2021-12-11 01:00:00+00:00,0.734,556
81,2021-12-12 01:00:00+00:00,0.736,497
82,2021-12-13 01:00:00+00:00,0.781,404
83,2021-12-14 01:00:00+00:00,0.783,407
84,2021-12-15 01:00:00+00:00,0.698,625
85,2021-12-16 01:00:00+00:00,0.696,561
86,2021-12-17 01:00:00+00:00,0.685,468
87,2021-12-18 01:00:00+00:00,0.696,488
88,2021-12-19 01:00:00+00:00,0.718,522
89,2021-12-20 01:00:00+00:00,0.746,453
90,2021-12-21 01:00:00+00:00,0.717,410
91,2021-12-22 01:00:00+00:00,0.658,636
92,2021-12-23 01:00:00+00:00,0.643,580
93,2021-12-24 01:00:00+00:00,0.661,554
94,2021-12-25 01:00:00+00:00,0.704,568
95,2021-12-26 01:00:00+00:00,0.717,529
96,2021-12-27 01:00:00+00:00,0.71,473
97,2021-12-28 01:00:00+00:00,0.726,542
98,2021-12-29 01:00:00+00:00,0.718,800
99,2021-12-30 01:00:00+00:00,0.776,643
100,2021-12-31 01:00:00+00:00,0.779,486
101,2022-01-01 01:00:00+00:00,0.777,575
102,2022-01-02 01:00:00+00:00,0.775,609
103,2022-01-03 01:00:00+00:00,0.757,579
104,2022-01-04 01:00:00+00:00,0.776,973
105,2022-01-05 01:00:00+00:00,0.822,1508
106,2022-01-06 01:00:00+00:00,0.862,854
107,2022-01-07 01:00:00+00:00,0.865,769
108,2022-01-08 01:00:00+00:00,0.845,740
109,2022-01-09 01:00:00+00:00,0.849,723
110,2022-01-10 01:00:00+00:00,0.831,600
111,2022-01-11 01:00:00+00:00,0.888,673
112,2022-01-12 01:00:00+00:00,0.896,560
113,2022-01-13 01:00:00+00:00,0.875,486
114,2022-01-14 01:00:00+00:00,0.854,538
115,2022-01-15 01:00:00+00:00,0.869,616
116,2022-01-16 01:00:00+00:00,0.842,588
117,2022-01-17 01:00:00+00:00,0.833,464
118,2022-01-18 01:00:00+00:00,0.847,499
119,2022-01-19 01:00:00+00:00,0.84,503
120,2022-01-20 01:00:00+00:00,0.858,485
121,2022-01-21 01:00:00+00:00,0.837,625
122,2022-01-22 01:00:00+00:00,0.851,757
123,2022-01-23 01:00:00+00:00,0.84,655
124,2022-01-24 01:00:00+00:00,0.901,608
125,2022-01-25 01:00:00+00:00,0.9,562
126,2022-01-26 01:00:00+00:00,0.912,584
127,2022-01-27 01:00:00+00:00,0.897,582
128,2022-01-28 01:00:00+00:00,0.845,678
129,2022-01-29 01:00:00+00:00,0.852,671
130,2022-01-30 01:00:00+00:00,0.89,598
131,2022-01-31 01:00:00+00:00,0.861,599
132,2022-02-01 01:00:00+00:00,0.868,631
133,2022-02-02 01:00:00+00:00,0.877,643
134,2022-02-03 01:00:00+00:00,0.917,678
135,2022-02-04 01:00:00+00:00,0.972,537
136,2022-02-05 01:00:00+00:00,0.985,553
137,2022-02-06 01:00:00+00:00,1.004,581
138,2022-02-07 01:00:00+00:00,0.993,487
139,2022-02-08 01:00:00+00:00,1.01,488
140,2022-02-09 01:00:00+00:00,1.028,489
141,2022-02-10 01:00:00+00:00,1.051,461
142,2022-02-11 01:00:00+00:00,1.045,474
143,2022-02-12 01:00:00+00:00,1.062,538
144,2022-02-13 01:00:00+00:00,1.031,562
145,2022-02-14 01:00:00+00:00,1.055,466
146,2022-02-15 01:00:00+00:00,1.072,425
147,2022-02-16 01:00:00+00:00,1.084,402
148,2022-02-17 01:00:00+00:00,1.067,406
149,2022-02-18 01:00:00+00:00,1.073,428
150,2022-02-19 01:00:00+00:00,1.064,547
151,2022-02-20 01:00:00+00:00,1.088,525
152,2022-02-21 01:00:00+00:00,1.063,413
153,2022-02-22 01:00:00+00:00,1.07,441
154,2022-02-23 01:00:00+00:00,1.027,424
155,2022-02-24 01:00:00+00:00,1.073,409
156,2022-02-25 01:00:00+00:00,1.062,363
157,2022-02-26 01:00:00+00:00,1.046,430
158,2022-02-27 01:00:00+00:00,1.046,455
159,2022-02-28 01:00:00+00:00,1.059,432
160,2022-03-01 01:00:00+00:00,1.071,426
161,2022-03-02 01:00:00+00:00,1.059,383
162,2022-03-03 01:00:00+00:00,1.073,380
163,2022-03-04 01:00:00+00:00,1.066,404
164,2022-03-05 01:00:00+00:00,1.102,452
165,2022-03-06 01:00:00+00:00,1.148,430
166,2022-03-07 01:00:00+00:00,1.161,358
167,2022-03-08 01:00:00+00:00,1.114,486
168,2022-03-09 01:00:00+00:00,1.084,361
169,2022-03-10 01:00:00+00:00,1.099,345
170,2022-03-11 01:00:00+00:00,1.112,340
171,2022-03-12 01:00:00+00:00,1.138,508
