,date,price,volume
60,2021-11-21 01:00:00+00:00,1.468,311
61,2021-11-22 01:00:00+00:00,1.495,228
62,2021-11-23 01:00:00+00:00,1.511,222
63,2021-11-24 01:00:00+00:00,1.474,360
64,2021-11-25 01:00:00+00:00,1.307,333
65,2021-11-26 01:00:00+00:00,1.265,349
66,2021-11-27 01:00:00+00:00,1.336,303
67,2021-11-28 01:00:00+00:00,1.33,314
68,2021-11-29 01:00:00+00:00,1.364,244
69,2021-11-30 01:00:00+00:00,1.301,317
70,2021-12-01 01:00:00+00:00,1.188,418
71,2021-12-02 01:00:00+00:00,1.2,330
72,2021-12-03 01:00:00+00:00,1.308,294
73,2021-12-04 01:00:00+00:00,1.299,285
74,2021-12-05 01:00:00+00:00,1.329,284
75,2021-12-06 01:00:00+00:00,1.366,257
76,2021-12-07 01:00:00+00:00,1.376,233
77,2021-12-08 01:00:00+00:00,1.314,354
78,2021-12-09 01:00:00+00:00,1.326,317
79,2021-12-10 01:00:00+00:00,1.354,303
80,2021-12-11 01:00:00+00:00,1.387,298
81,2021-12-12 01:00:00+00:00,1.357,282
82,2021-12-13 01:00:00+00:00,1.406,236
83,2021-12-14 01:00:00+00:00,1.429,211
84,2021-12-15 01:00:00+00:00,1.343,281
85,2021-12-16 01:00:00+00:00,1.352,243
86,2021-12-17 01:00:00+00:00,1.376,251
87,2021-12-18 01:00:00+00:00,1.345,265
88,2021-12-19 01:00:00+00:00,1.356,258
89,2021-12-20 01:00:00+00:00,1.35,212
90,2021-12-21 01:00:00+00:00,1.348,220
91,2021-12-22 01:00:00+00:00,1.278,333
92,2021-12-23 01:00:00+00:00,1.281,315
93,2021-12-24 01:00:00+00:00,1.248,246
94,2021-12-25 01:00:00+00:00,1.223,281
95,2021-12-26 01:00:00+00:00,1.267,277
96,2021-12-27 01:00:00+00:00,1.274,253
97,2021-12-28 01:00:00+00:00,1.226,296
98,2021-12-29 01:00:00+00:00,1.21,407
99,2021-12-30 01:00:00+00:00,1.211,330
100,2021-12-31 01:00:00+00:00,1.254,273
101,2022-01-01 01:00:00+00:00,1.298,281
102,2022-01-02 01:00:00+00:00,1.287,333
103,2022-01-03 01:00:00+00:00,1.268,305
104,2022-01-04 01:00:00+00:00,1.294,374
105,2022-01-05 01:00:00+00:00,1.294,610
106,2022-01-06 01:00:00+00:00,1.38,427
107,2022-01-07 01:00:00+00:00,1.376,397
108,2022-01-08 01:00:00+00:00,1.41,350
109,2022-01-09 01:00:00+00:00,1.404,346
110,2022-01-10 01:00:00+00:00,1.416,302
111,2022-01-11 01:00:00+00:00,1.473,254
112,2022-01-12 01:00:00+00:00,1.452,272
113,2022-01-13 01:00:00+00:00,1.44,265
114,2022-01-14 01:00:00+00:00,1.472,255
115,2022-01-15 01:00:00+00:00,1.458,288
116,2022-01-16 01:00:00+00:00,1.46,289
117,2022-01-17 01:00:00+00:00,1.453,229
118,2022-01-18 01:00:00+00:00,1.451,227
119,2022-01-19 01:00:00+00:00,1.425,244
120,2022-01-20 01:00:00+00:00,1.438,249
121,2022-01-21 01:00:00+00:00,1.394,294
122,2022-01-22 01:00:00+00:00,1.431,368
123,2022-01-23 01:00:00+00:00,1.454,364
124,2022-01-24 01:00:00+00:00,1.4,314
125,2022-01-25 01:00:00+00:00,1.444,350
126,2022-01-26 01:00:00+00:00,1.486,301
127,2022-01-27 01:00:00+00:00,1.485,295
128,2022-01-28 01:00:00+00:00,1.39,356
129,2022-01-29 01:00:00+00:00,1.46,346
130,2022-01-30 01:00:00+00:00,1.496,310
131,2022-01-31 01:00:00+00:00,1.492,287
132,2022-02-01 01:00:00+00:00,1.51,271
133,2022-02-02 01:00:00+00:00,1.483,321
134,2022-02-03 01:00:00+00:00,1.546,284
135,2022-02-04 01:00:00+00:00,1.533,242
136,2022-02-05 01:00:00+00:00,1.52,294
137,2022-02-06 01:00:00+00:00,1.515,239
138,2022-02-07 01:00:00+00:00,1.544,259
139,2022-02-08 01:00:00+00:00,1.547,237
140,2022-02-09 01:00:00+00:00,1.57,235
141,2022-02-10 01:00:00+00:00,1.569,225
142,2022-02-11 01:00:00+00:00,1.563,234
143,2022-02-12 01:00:00+00:00,1.645,273
144,2022-02-13 01:00:00+00:00,1.599,261
145,2022-02-14 01:00:00+00:00,1.61,229
146,2022-02-15 01:00:00+00:00,1.636,194
147,2022-02-16 01:00:00+00:00,1.706,205
148,2022-02-17 01:00:00+00:00,1.655,194
149,2022-02-18 01:00:00+00:00,1.684,233
150,2022-02-19 01:00:00+00:00,1.739,256
151,2022-02-20 01:00:00+00:00,1.703,235
152,2022-02-21 01:00:00+00:00,1.673,200
153,2022-02-22 01:00:00+00:00,1.722,202
154,2022-02-23 01:00:00+00:00,1.762,189
155,2022-02-24 01:00:00+00:00,1.75,191
156,2022-02-25 01:00:00+00:00,1.743,158
157,2022-02-26 01:00:00+00:00,1.74,186
158,2022-02-27 01:00:00+00:00,1.761,201
159,2022-02-28 01:00:00+00:00,1.721,171
160,2022-03-01 01:00:00+00:00,1.739,188
161,2022-03-02 01:00:00+00:00,1.761,183
162,2022-03-03 01:00:00+00:00,1.696,179
163,2022-03-04 01:00:00+00:00,1.795,200
164,2022-03-05 01:00:00+00:00,1.873,202
165,2022-03-06 01:00:00+00:00,2.006,203
166,2022-03-07 01:00:00+00:00,2.052,173
167,2022-03-08 01:00:00+00:00,1.857,225
168,2022-03-09 01:00:00+00:00,1.825,159
169,2022-03-10 01:00:00+00:00,1.851,149
170,2022-03-11 01:00:00+00:00,2.057,135
171,2022-03-12 01:00:00+00:00,1.996,163
172,2022-03-13 01:00:00+00:00,1.993,159
173,2022-03-14 01:00:00+00:00,1.928,132
174,2022-03-15 01:00:00+00:00,2.004,147
175,2022-03-16 01:00:00+00:00,1.981,165
176,2022-03-17 01:00:00+00:00,2.036,158
177,2022-03-18 01:00:00+00:00,2.042,142
178,2022-03-19 01:00:00+00:00,2.004,159
179,2022-03-20 01:00:00+00:00,2.017,155
180,2022-03-21 01:00:00+00:00,2.006,135
181,2022-03-22 01:00:00+00:00,2.005,131
182,2022-03-23 01:00:00+00:00,2.051,126
183,2022-03-24 01:00:00+00:00,2.083,135
184,2022-03-25 01:00:00+00:00,2.112,130
185,2022-03-26 01:00:00+00:00,2.1,163
186,2022-03-27 01:00:00+00:00,2.183,122
187,2022-03-28 01:00:00+00:00,2.228,120
188,2022-03-29 01:00:00+00:00,2.15,118
189,2022-03-30 01:00:00+00:00,2.309,125
190,2022-03-31 01:00:00+00:00,2.271,130
191,2022-04-01 01:00:00+00:00,2.284,149
192,2022-04-02 01:00:00+00:00,2.252,153
193,2022-04-03 01:00:00+00:00,2.37,129
194,2022-04-04 01:00:00+00:00,2.381,110
195,2022-04-05 01:00:00+00:00,2.444,125
196,2022-04-06 01:00:00+00:00,2.492,113
197,2022-04-07 01:00:00+00:00,2.395,110
198,2022-04-08 01:00:00+00:00,2.451,104
199,2022-04-09 01:00:00+00:00,2.529,132
200,2022-04-10 01:00:00+00:00,2.525,126
201,2022-04-11 01:00:00+00:00,2.435,107
202,2022-04-12 01:00:00+00:00,2.527,100
203,2022-04-13 01:00:00+00:00,2.52,111
204,2022-04-14 01:00:00+00:00,2.484,107
205,2022-04-15 01:00:00+00:00,2.47,106
206,2022-04-16 01:00:00+00:00,2.524,110
207,2022-04-17 01:00:00+00:00,2.515,122
208,2022-04-18 01:00:00+00:00,2.593,101
209,2022-04-19 01:00:00+00:00,2.545,114
210,2022-04-20 01:00:00+00:00,2.478,100
211,2022-04-21 01:00:00+00:00,2.468,81
212,2022-04-22 01:00:00+00:00,2.522,92
213,2022-04-23 01:00:00+00:00,2.644,106
214,2022-04-24 01:00:00+00:00,2.567,119
215,2022-04-25 01:00:00+00:00,2.535,103
216,2022-04-26 01:00:00+00:00,2.518,92
217,2022-04-27 01:00:00+00:00,2.475,113
218,2022-04-28 01:00:00+00:00,2.458,108
219,2022-04-29 01:00:00+00:00,2.563,115
