,date,price,volume
60,2021-11-21 01:00:00+00:00,7.159,189
61,2021-11-22 01:00:00+00:00,7.179,178
62,2021-11-23 01:00:00+00:00,6.997,152
63,2021-11-24 01:00:00+00:00,6.806,202
64,2021-11-25 01:00:00+00:00,6.339,214
65,2021-11-26 01:00:00+00:00,6.419,224
66,2021-11-27 01:00:00+00:00,6.559,215
67,2021-11-28 01:00:00+00:00,6.654,198
68,2021-11-29 01:00:00+00:00,6.588,168
69,2021-11-30 01:00:00+00:00,6.562,215
70,2021-12-01 01:00:00+00:00,6.433,237
71,2021-12-02 01:00:00+00:00,6.619,210
72,2021-12-03 01:00:00+00:00,6.978,206
73,2021-12-04 01:00:00+00:00,7.324,231
74,2021-12-05 01:00:00+00:00,7.505,184
75,2021-12-06 01:00:00+00:00,7.489,172
76,2021-12-07 01:00:00+00:00,7.367,159
77,2021-12-08 01:00:00+00:00,7.126,260
78,2021-12-09 01:00:00+00:00,7.085,192
79,2021-12-10 01:00:00+00:00,6.959,207
80,2021-12-11 01:00:00+00:00,6.913,204
81,2021-12-12 01:00:00+00:00,6.985,199
82,2021-12-13 01:00:00+00:00,6.98,152
83,2021-12-14 01:00:00+00:00,7.025,152
84,2021-12-15 01:00:00+00:00,6.763,224
85,2021-12-16 01:00:00+00:00,6.704,186
86,2021-12-17 01:00:00+00:00,6.77,204
87,2021-12-18 01:00:00+00:00,6.818,184
88,2021-12-19 01:00:00+00:00,6.695,188
89,2021-12-20 01:00:00+00:00,6.696,180
90,2021-12-21 01:00:00+00:00,6.716,170
91,2021-12-22 01:00:00+00:00,6.527,211
92,2021-12-23 01:00:00+00:00,6.417,256
93,2021-12-24 01:00:00+00:00,6.603,239
94,2021-12-25 01:00:00+00:00,6.641,262
95,2021-12-26 01:00:00+00:00,6.685,249
96,2021-12-27 01:00:00+00:00,6.684,210
97,2021-12-28 01:00:00+00:00,6.762,219
98,2021-12-29 01:00:00+00:00,6.719,282
99,2021-12-30 01:00:00+00:00,6.847,246
100,2021-12-31 01:00:00+00:00,6.866,191
101,2022-01-01 01:00:00+00:00,6.936,254
102,2022-01-02 01:00:00+00:00,6.899,231
103,2022-01-03 01:00:00+00:00,6.874,245
104,2022-01-04 01:00:00+00:00,6.993,287
105,2022-01-05 01:00:00+00:00,6.879,389
106,2022-01-06 01:00:00+00:00,7.106,302
107,2022-01-07 01:00:00+00:00,7.101,252
108,2022-01-08 01:00:00+00:00,7.113,290
109,2022-01-09 01:00:00+00:00,7.156,261
110,2022-01-10 01:00:00+00:00,7.193,225
111,2022-01-11 01:00:00+00:00,7.133,222
112,2022-01-12 01:00:00+00:00,7.33,200
113,2022-01-13 01:00:00+00:00,7.389,212
114,2022-01-14 01:00:00+00:00,7.345,200
115,2022-01-15 01:00:00+00:00,7.344,219
116,2022-01-16 01:00:00+00:00,7.247,196
117,2022-01-17 01:00:00+00:00,7.375,171
118,2022-01-18 01:00:00+00:00,7.441,157
119,2022-01-19 01:00:00+00:00,7.219,191
120,2022-01-20 01:00:00+00:00,7.392,183
121,2022-01-21 01:00:00+00:00,7.259,237
122,2022-01-22 01:00:00+00:00,7.019,199
123,2022-01-23 01:00:00+00:00,6.996,224
124,2022-01-24 01:00:00+00:00,6.835,185
125,2022-01-25 01:00:00+00:00,6.801,195
126,2022-01-26 01:00:00+00:00,6.815,182
127,2022-01-27 01:00:00+00:00,6.711,168
128,2022-01-28 01:00:00+00:00,6.701,221
129,2022-01-29 01:00:00+00:00,6.741,217
130,2022-01-30 01:00:00+00:00,6.712,213
131,2022-01-31 01:00:00+00:00,6.733,181
132,2022-02-01 01:00:00+00:00,6.72,169
133,2022-02-02 01:00:00+00:00,6.807,196
134,2022-02-03 01:00:00+00:00,6.801,171
135,2022-02-04 01:00:00+00:00,6.912,163
136,2022-02-05 01:00:00+00:00,6.893,172
137,2022-02-06 01:00:00+00:00,6.889,170
138,2022-02-07 01:00:00+00:00,6.929,149
139,2022-02-08 01:00:00+00:00,6.819,150
140,2022-02-09 01:00:00+00:00,6.837,154
141,2022-02-10 01:00:00+00:00,6.848,131
142,2022-02-11 01:00:00+00:00,7.041,151
143,2022-02-12 01:00:00+00:00,7.025,163
144,2022-02-13 01:00:00+00:00,7.114,151
145,2022-02-14 01:00:00+00:00,7.104,132
146,2022-02-15 01:00:00+00:00,7.072,136
147,2022-02-16 01:00:00+00:00,7.235,137
148,2022-02-17 01:00:00+00:00,6.997,133
149,2022-02-18 01:00:00+00:00,7.228,130
150,2022-02-19 01:00:00+00:00,7.241,139
151,2022-02-20 01:00:00+00:00,7.358,155
152,2022-02-21 01:00:00+00:00,7.111,122
153,2022-02-22 01:00:00+00:00,7.234,120
154,2022-02-23 01:00:00+00:00,7.176,128
155,2022-02-24 01:00:00+00:00,7.125,114
156,2022-02-25 01:00:00+00:00,7.406,108
157,2022-02-26 01:00:00+00:00,7.124,131
158,2022-02-27 01:00:00+00:00,7.219,119
159,2022-02-28 01:00:00+00:00,7.215,99
160,2022-03-01 01:00:00+00:00,7.261,114
161,2022-03-02 01:00:00+00:00,7.178,98
162,2022-03-03 01:00:00+00:00,7.056,112
163,2022-03-04 01:00:00+00:00,7.193,99
164,2022-03-05 01:00:00+00:00,7.439,138
165,2022-03-06 01:00:00+00:00,7.309,109
166,2022-03-07 01:00:00+00:00,7.307,136
167,2022-03-08 01:00:00+00:00,7.054,141
168,2022-03-09 01:00:00+00:00,7.103,103
169,2022-03-10 01:00:00+00:00,7.093,124
170,2022-03-11 01:00:00+00:00,7.202,93
171,2022-03-12 01:00:00+00:00,7.131,123
172,2022-03-13 01:00:00+00:00,7.348,131
173,2022-03-14 01:00:00+00:00,7.299,93
174,2022-03-15 01:00:00+00:00,7.163,112
175,2022-03-16 01:00:00+00:00,7.448,105
176,2022-03-17 01:00:00+00:00,7.346,94
177,2022-03-18 01:00:00+00:00,7.529,94
178,2022-03-19 01:00:00+00:00,7.369,103
179,2022-03-20 01:00:00+00:00,7.571,99
180,2022-03-21 01:00:00+00:00,7.682,91
181,2022-03-22 01:00:00+00:00,7.507,83
182,2022-03-23 01:00:00+00:00,7.592,79
183,2022-03-24 01:00:00+00:00,7.527,95
184,2022-03-25 01:00:00+00:00,7.507,94
185,2022-03-26 01:00:00+00:00,7.574,98
186,2022-03-27 01:00:00+00:00,7.599,98
187,2022-03-28 01:00:00+00:00,7.819,94
188,2022-03-29 01:00:00+00:00,7.443,84
189,2022-03-30 01:00:00+00:00,7.694,88
190,2022-03-31 01:00:00+00:00,7.891,78
191,2022-04-01 01:00:00+00:00,8.066,83
192,2022-04-02 01:00:00+00:00,7.919,99
193,2022-04-03 01:00:00+00:00,8.127,86
194,2022-04-04 01:00:00+00:00,7.949,78
195,2022-04-05 01:00:00+00:00,8.182,97
196,2022-04-06 01:00:00+00:00,8.364,63
197,2022-04-07 01:00:00+00:00,8.383,83
198,2022-04-08 01:00:00+00:00,8.196,87
199,2022-04-09 01:00:00+00:00,8.527,91
200,2022-04-10 01:00:00+00:00,8.448,91
201,2022-04-11 01:00:00+00:00,8.468,80
202,2022-04-12 01:00:00+00:00,8.412,66
203,2022-04-13 01:00:00+00:00,8.168,72
204,2022-04-14 01:00:00+00:00,8.442,77
205,2022-04-15 01:00:00+00:00,8.563,92
206,2022-04-16 01:00:00+00:00,8.446,91
207,2022-04-17 01:00:00+00:00,8.377,88
208,2022-04-18 01:00:00+00:00,8.391,76
209,2022-04-19 01:00:00+00:00,8.378,67
210,2022-04-20 01:00:00+00:00,8.691,62
211,2022-04-21 01:00:00+00:00,8.356,56
212,2022-04-22 01:00:00+00:00,8.418,78
213,2022-04-23 01:00:00+00:00,8.255,92
214,2022-04-24 01:00:00+00:00,8.616,84
215,2022-04-25 01:00:00+00:00,8.374,76
216,2022-04-26 01:00:00+00:00,8.139,67
217,2022-04-27 01:00:00+00:00,7.996,74
218,2022-04-28 01:00:00+00:00,8.212,85
219,2022-04-29 01:00:00+00:00,8.199,77
220,2022-04-30 01:00:00+00:00,8.048,77
221,2022-05-01 01:00:00+00:00,8.246,87
222,2022-05-02 01:00:00+00:00,8.382,71
223,2022-05-03 01:00:00+00:00,8.182,64
224,2022-05-04 01:00:00+00:00,7.576,231
225,2022-05-05 01:00:00+00:00,7.522,99
226,2022-05-06 01:00:00+00:00,7.716,113
227,2022-05-07 01:00:00+00:00,7.745,92
228,2022-05-08 01:00:00+00:00,7.983,94
229,2022-05-09 01:00:00+00:00,8.068,73
230,2022-05-10 01:00:00+00:00,8.019,69
231,2022-05-11 01:00:00+00:00,7.849,99
232,2022-05-12 01:00:00+00:00,8.184,86
233,2022-05-13 01:00:00+00:00,8.054,83
234,2022-05-14 01:00:00+00:00,8.217,68
235,2022-05-15 01:00:00+00:00,8.163,61
236,2022-05-16 01:00:00+00:00,7.951,65
237,2022-05-17 01:00:00+00:00,7.937,72
238,2022-05-18 01:00:00+00:00,8.148,62
239,2022-05-19 01:00:00+00:00,8.024,69
240,2022-05-20 01:00:00+00:00,7.868,65
241,2022-05-21 01:00:00+00:00,8.212,84
242,2022-05-22 01:00:00+00:00,8.182,76
243,2022-05-23 01:00:00+00:00,8.132,73
244,2022-05-24 01:00:00+00:00,7.908,70
245,2022-05-25 01:00:00+00:00,8.219,83
246,2022-05-26 01:00:00+00:00,7.855,91
247,2022-05-27 01:00:00+00:00,8.212,81
248,2022-05-28 01:00:00+00:00,8.28,77
249,2022-05-29 01:00:00+00:00,8.331,85
250,2022-05-30 01:00:00+00:00,8.143,78
251,2022-05-31 01:00:00+00:00,8.408,72
252,2022-06-01 01:00:00+00:00,8.61,85
253,2022-06-02 01:00:00+00:00,8.666,61
254,2022-06-03 01:00:00+00:00,8.471,103
255,2022-06-04 01:00:00+00:00,8.343,92
256,2022-06-05 01:00:00+00:00,8.433,88
257,2022-06-06 01:00:00+00:00,8.539,69
258,2022-06-07 01:00:00+00:00,8.421,66
259,2022-06-08 01:00:00+00:00,8.6,77
260,2022-06-09 01:00:00+00:00,8.488,78
261,2022-06-10 01:00:00+00:00,8.819,65
262,2022-06-11 01:00:00+00:00,8.451,80
263,2022-06-12 01:00:00+00:00,8.385,69
264,2022-06-13 01:00:00+00:00,8.203,68
265,2022-06-14 01:00:00+00:00,8.141,73
266,2022-06-15 01:00:00+00:00,8.226,76
267,2022-06-16 01:00:00+00:00,8.089,86
268,2022-06-17 01:00:00+00:00,8.228,69
269,2022-06-18 01:00:00+00:00,8.314,80
270,2022-06-19 01:00:00+00:00,8.252,71
271,2022-06-20 01:00:00+00:00,7.946,69
272,2022-06-21 01:00:00+00:00,8.123,86
273,2022-06-22 01:00:00+00:00,7.915,79
274,2022-06-23 01:00:00+00:00,7.946,76
275,2022-06-24 01:00:00+00:00,7.733,99
276,2022-06-25 01:00:00+00:00,7.956,84
277,2022-06-26 01:00:00+00:00,7.883,91
278,2022-06-27 01:00:00+00:00,7.802,80
279,2022-06-28 01:00:00+00:00,8.047,75
280,2022-06-29 01:00:00+00:00,8.158,75
281,2022-06-30 01:00:00+00:00,8.102,72
282,2022-07-01 01:00:00+00:00,8.268,76
283,2022-07-02 01:00:00+00:00,8.282,90
284,2022-07-03 01:00:00+00:00,8.194,94
285,2022-07-04 01:00:00+00:00,8.355,73
286,2022-07-05 01:00:00+00:00,8.32,91
287,2022-07-06 01:00:00+00:00,8.229,90
288,2022-07-07 01:00:00+00:00,8.19,84
289,2022-07-08 01:00:00+00:00,8.372,67
290,2022-07-09 01:00:00+00:00,8.536,77
291,2022-07-10 01:00:00+00:00,8.671,82
292,2022-07-11 01:00:00+00:00,8.758,62
293,2022-07-12 01:00:00+00:00,8.895,61
294,2022-07-13 01:00:00+00:00,8.538,46
295,2022-07-14 01:00:00+00:00,8.41,65
296,2022-07-15 01:00:00+00:00,8.746,74
297,2022-07-16 01:00:00+00:00,9.041,72
298,2022-07-17 01:00:00+00:00,8.978,85
299,2022-07-18 01:00:00+00:00,8.866,79
300,2022-07-19 01:00:00+00:00,8.851,70
301,2022-07-20 01:00:00+00:00,9.704,41
302,2022-07-21 01:00:00+00:00,8.962,73
303,2022-07-22 01:00:00+00:00,8.864,78
304,2022-07-23 01:00:00+00:00,9.174,74
305,2022-07-24 01:00:00+00:00,8.967,71
306,2022-07-25 01:00:00+00:00,8.948,70
307,2022-07-26 01:00:00+00:00,9.229,55
308,2022-07-27 01:00:00+00:00,8.96,70
309,2022-07-28 01:00:00+00:00,9.205,68
310,2022-07-29 01:00:00+00:00,9.466,61
311,2022-07-30 01:00:00+00:00,8.993,72
312,2022-07-31 01:00:00+00:00,9.027,83
313,2022-08-01 01:00:00+00:00,9.088,62
314,2022-08-02 01:00:00+00:00,9.402,72
315,2022-08-03 01:00:00+00:00,9.208,67
316,2022-08-04 01:00:00+00:00,9.208,68
317,2022-08-05 01:00:00+00:00,9.206,66
318,2022-08-06 01:00:00+00:00,9.289,67
319,2022-08-07 01:00:00+00:00,9.311,86
320,2022-08-08 01:00:00+00:00,9.362,74
321,2022-08-09 01:00:00+00:00,9.458,40
322,2022-08-10 01:00:00+00:00,9.567,76
323,2022-08-11 01:00:00+00:00,9.812,74
324,2022-08-12 01:00:00+00:00,9.616,64
325,2022-08-13 01:00:00+00:00,10.033,58
326,2022-08-14 01:00:00+00:00,9.698,67
327,2022-08-15 01:00:00+00:00,9.78,73
328,2022-08-16 01:00:00+00:00,9.769,76
329,2022-08-17 01:00:00+00:00,10.004,95
330,2022-08-18 01:00:00+00:00,10.226,77
331,2022-08-19 01:00:00+00:00,10.568,74
332,2022-08-20 01:00:00+00:00,10.529,82
333,2022-08-21 01:00:00+00:00,10.42,73
334,2022-08-22 01:00:00+00:00,10.751,62
335,2022-08-23 01:00:00+00:00,10.336,65
336,2022-08-24 01:00:00+00:00,9.497,102
337,2022-08-25 01:00:00+00:00,9.446,66
338,2022-08-26 01:00:00+00:00,9.457,59
339,2022-08-27 01:00:00+00:00,9.821,57
340,2022-08-28 01:00:00+00:00,9.828,83
341,2022-08-29 01:00:00+00:00,9.477,78
342,2022-08-30 01:00:00+00:00,9.44,70
343,2022-08-31 01:00:00+00:00,9.848,61
344,2022-09-01 01:00:00+00:00,9.713,62
345,2022-09-02 01:00:00+00:00,9.283,86
346,2022-09-03 01:00:00+00:00,9.429,68
347,2022-09-04 01:00:00+00:00,9.99,67
348,2022-09-05 01:00:00+00:00,9.967,79
349,2022-09-06 01:00:00+00:00,9.614,59
350,2022-09-07 01:00:00+00:00,9.874,67
351,2022-09-08 01:00:00+00:00,10.132,63
352,2022-09-09 01:00:00+00:00,9.826,75
353,2022-09-10 01:00:00+00:00,10.066,81
354,2022-09-11 01:00:00+00:00,10.058,69
355,2022-09-12 01:00:00+00:00,9.927,65
356,2022-09-13 01:00:00+00:00,9.357,108
357,2022-09-14 01:00:00+00:00,9.272,92
358,2022-09-15 01:00:00+00:00,9.732,94
359,2022-09-16 01:00:00+00:00,9.749,85
360,2022-09-17 01:00:00+00:00,9.589,96
361,2022-09-18 01:00:00+00:00,9.543,86
362,2022-09-19 01:00:00+00:00,9.664,75
363,2022-09-20 01:00:00+00:00,9.446,71
364,2022-09-21 01:00:00+00:00,9.28,72
365,2022-09-22 01:00:00+00:00,9.251,69
366,2022-09-23 01:00:00+00:00,9.142,63
367,2022-09-24 01:00:00+00:00,9.521,59
368,2022-09-25 01:00:00+00:00,9.499,71
369,2022-09-26 01:00:00+00:00,9.146,65
370,2022-09-27 01:00:00+00:00,9.493,64
371,2022-09-28 01:00:00+00:00,9.418,62
372,2022-09-29 01:00:00+00:00,9.144,62
373,2022-09-30 01:00:00+00:00,9.2,87
374,2022-10-01 01:00:00+00:00,9.407,81
375,2022-10-02 01:00:00+00:00,9.688,76
376,2022-10-03 01:00:00+00:00,9.773,70
377,2022-10-04 01:00:00+00:00,9.985,58
378,2022-10-05 01:00:00+00:00,9.886,81
379,2022-10-06 01:00:00+00:00,9.846,67
380,2022-10-07 01:00:00+00:00,10.277,71
381,2022-10-08 01:00:00+00:00,9.769,53
382,2022-10-09 01:00:00+00:00,9.782,62
383,2022-10-10 01:00:00+00:00,9.813,67
384,2022-10-11 01:00:00+00:00,10.082,45
385,2022-10-12 01:00:00+00:00,9.825,40
386,2022-10-13 01:00:00+00:00,9.675,77
387,2022-10-14 01:00:00+00:00,9.4,43
388,2022-10-15 01:00:00+00:00,9.737,71
389,2022-10-16 01:00:00+00:00,9.943,72
390,2022-10-17 01:00:00+00:00,9.739,41
391,2022-10-18 01:00:00+00:00,10.06,51
392,2022-10-19 01:00:00+00:00,9.467,62
393,2022-10-20 01:00:00+00:00,9.689,68
394,2022-10-21 01:00:00+00:00,9.233,64
395,2022-10-22 01:00:00+00:00,8.77,136
396,2022-10-23 01:00:00+00:00,9.052,70
397,2022-10-24 01:00:00+00:00,8.804,68
398,2022-10-25 01:00:00+00:00,9.092,58
399,2022-10-26 01:00:00+00:00,9.05,61
400,2022-10-27 01:00:00+00:00,9.015,74
401,2022-10-28 01:00:00+00:00,9.044,61
402,2022-10-29 01:00:00+00:00,9.046,93
403,2022-10-30 01:00:00+00:00,9.148,79
404,2022-10-31 01:00:00+00:00,9.385,71
405,2022-11-01 01:00:00+00:00,9.522,60
406,2022-11-02 01:00:00+00:00,9.358,65
407,2022-11-03 01:00:00+00:00,9.437,57
408,2022-11-04 01:00:00+00:00,9.454,67
409,2022-11-05 01:00:00+00:00,9.429,63
410,2022-11-06 01:00:00+00:00,9.748,59
411,2022-11-07 01:00:00+00:00,9.688,60
412,2022-11-08 01:00:00+00:00,9.869,58
413,2022-11-09 01:00:00+00:00,9.559,54
414,2022-11-10 01:00:00+00:00,9.46,49
415,2022-11-11 01:00:00+00:00,9.498,48
416,2022-11-12 01:00:00+00:00,9.453,70
417,2022-11-13 01:00:00+00:00,9.607,53
418,2022-11-14 01:00:00+00:00,9.799,58
419,2022-11-15 01:00:00+00:00,9.788,54
420,2022-11-16 01:00:00+00:00,9.977,58
421,2022-11-17 01:00:00+00:00,9.522,52
422,2022-11-18 01:00:00+00:00,9.334,47
423,2022-11-19 01:00:00+00:00,9.532,81
424,2022-11-20 01:00:00+00:00,9.8,63
425,2022-11-21 01:00:00+00:00,9.186,56
426,2022-11-22 01:00:00+00:00,9.626,64
427,2022-11-23 01:00:00+00:00,9.038,84
428,2022-11-24 01:00:00+00:00,8.591,52
429,2022-11-25 01:00:00+00:00,8.728,66
430,2022-11-26 01:00:00+00:00,8.711,81
431,2022-11-27 01:00:00+00:00,8.46,66
432,2022-11-28 01:00:00+00:00,8.632,48
433,2022-11-29 01:00:00+00:00,8.808,63
434,2022-11-30 01:00:00+00:00,9.328,62
435,2022-12-01 01:00:00+00:00,9.713,52
436,2022-12-02 01:00:00+00:00,9.956,49
437,2022-12-03 01:00:00+00:00,10.148,53
438,2022-12-04 01:00:00+00:00,10.215,49
439,2022-12-05 01:00:00+00:00,9.83,51
440,2022-12-06 01:00:00+00:00,9.845,47
441,2022-12-07 01:00:00+00:00,9.818,43
442,2022-12-08 01:00:00+00:00,9.809,56
443,2022-12-09 01:00:00+00:00,10.16,56
444,2022-12-10 01:00:00+00:00,9.556,57
445,2022-12-11 01:00:00+00:00,9.731,53
446,2022-12-12 01:00:00+00:00,9.911,48
447,2022-12-13 01:00:00+00:00,9.313,48
448,2022-12-14 01:00:00+00:00,9.685,42
449,2022-12-15 01:00:00+00:00,9.703,46
450,2022-12-16 01:00:00+00:00,9.646,63
451,2022-12-17 01:00:00+00:00,9.603,56
452,2022-12-18 01:00:00+00:00,9.797,51
453,2022-12-19 01:00:00+00:00,9.794,47
454,2022-12-20 01:00:00+00:00,9.632,46
455,2022-12-21 01:00:00+00:00,9.924,38
456,2022-12-22 01:00:00+00:00,9.725,58
457,2022-12-23 01:00:00+00:00,9.632,92
458,2022-12-24 01:00:00+00:00,9.53,73
459,2022-12-25 01:00:00+00:00,9.513,65
460,2022-12-26 01:00:00+00:00,9.696,65
461,2022-12-27 01:00:00+00:00,9.917,64
462,2022-12-28 01:00:00+00:00,9.843,49
463,2022-12-29 01:00:00+00:00,9.589,63
464,2022-12-30 01:00:00+00:00,10.119,58
465,2022-12-31 01:00:00+00:00,9.805,52
466,2023-01-01 01:00:00+00:00,10.174,54
467,2023-01-02 01:00:00+00:00,10.321,61
468,2023-01-03 01:00:00+00:00,10.036,55
469,2023-01-04 01:00:00+00:00,9.939,55
470,2023-01-05 01:00:00+00:00,10.056,59
471,2023-01-06 01:00:00+00:00,10.374,68
472,2023-01-07 01:00:00+00:00,10.368,58
473,2023-01-08 01:00:00+00:00,10.952,53
474,2023-01-09 01:00:00+00:00,10.958,53
475,2023-01-10 01:00:00+00:00,10.832,46
476,2023-01-11 01:00:00+00:00,11.142,52
477,2023-01-12 01:00:00+00:00,11.302,59
478,2023-01-13 01:00:00+00:00,11.487,55
479,2023-01-14 01:00:00+00:00,11.458,53
480,2023-01-15 01:00:00+00:00,11.531,58
481,2023-01-16 01:00:00+00:00,11.874,37
482,2023-01-17 01:00:00+00:00,12.347,43
483,2023-01-18 01:00:00+00:00,11.919,68
484,2023-01-19 01:00:00+00:00,11.52,48
485,2023-01-20 01:00:00+00:00,11.96,43
486,2023-01-21 01:00:00+00:00,11.969,63
487,2023-01-22 01:00:00+00:00,11.9,59
488,2023-01-23 01:00:00+00:00,12.021,63
489,2023-01-24 01:00:00+00:00,11.697,43
490,2023-01-25 01:00:00+00:00,11.748,59
491,2023-01-26 01:00:00+00:00,11.758,49
492,2023-01-27 01:00:00+00:00,11.842,50
493,2023-01-28 01:00:00+00:00,12.069,56
494,2023-01-29 01:00:00+00:00,11.858,68
495,2023-01-30 01:00:00+00:00,11.985,60
496,2023-01-31 01:00:00+00:00,12.294,42
497,2023-02-01 01:00:00+00:00,11.87,45
498,2023-02-02 01:00:00+00:00,12.155,38
499,2023-02-03 01:00:00+00:00,11.502,62
500,2023-02-04 01:00:00+00:00,12.304,60
501,2023-02-05 01:00:00+00:00,12.009,62
502,2023-02-06 01:00:00+00:00,12.209,51
503,2023-02-07 01:00:00+00:00,11.735,53
504,2023-02-08 01:00:00+00:00,11.707,65
505,2023-02-09 01:00:00+00:00,11.837,47
506,2023-02-10 01:00:00+00:00,11.626,67
