,date,price,volume
60,2015-06-15 01:00:00+00:00,0.213,115817
61,2015-06-16 01:00:00+00:00,0.206,116535
62,2015-06-17 01:00:00+00:00,0.204,115213
63,2015-06-18 01:00:00+00:00,0.192,113126
64,2015-06-19 01:00:00+00:00,0.185,118174
65,2015-06-20 01:00:00+00:00,0.186,122174
66,2015-06-21 01:00:00+00:00,0.162,108390
67,2015-06-22 01:00:00+00:00,0.146,108501
68,2015-06-23 01:00:00+00:00,0.154,107642
69,2015-06-24 01:00:00+00:00,0.164,119154
70,2015-06-25 01:00:00+00:00,0.184,130457
71,2015-06-26 01:00:00+00:00,0.202,130310
72,2015-06-27 01:00:00+00:00,0.208,122717
73,2015-06-28 01:00:00+00:00,0.202,119617
74,2015-06-29 01:00:00+00:00,0.188,121771
75,2015-06-30 01:00:00+00:00,0.204,135350
76,2015-07-01 01:00:00+00:00,0.219,122007
77,2015-07-02 01:00:00+00:00,0.225,120049
78,2015-07-03 01:00:00+00:00,0.229,121661
79,2015-07-04 01:00:00+00:00,0.247,117361
80,2015-07-05 01:00:00+00:00,0.24,115027
81,2015-07-06 01:00:00+00:00,0.227,121109
82,2015-07-07 01:00:00+00:00,0.226,122582
83,2015-07-08 01:00:00+00:00,0.213,116811
84,2015-07-09 01:00:00+00:00,0.21,129776
85,2015-07-10 01:00:00+00:00,0.232,138384
86,2015-07-11 01:00:00+00:00,0.255,126487
87,2015-07-12 01:00:00+00:00,0.242,125491
88,2015-07-13 01:00:00+00:00,0.217,130098
89,2015-07-14 01:00:00+00:00,0.213,126016
90,2015-07-15 01:00:00+00:00,0.208,128726
91,2015-07-16 01:00:00+00:00,0.21,127147
92,2015-07-17 01:00:00+00:00,0.217,131586
93,2015-07-18 01:00:00+00:00,0.23,126747
94,2015-07-19 01:00:00+00:00,0.219,120478
95,2015-07-20 01:00:00+00:00,0.201,133058
96,2015-07-21 01:00:00+00:00,0.193,124985
97,2015-07-22 01:00:00+00:00,0.188,126876
98,2015-07-23 01:00:00+00:00,0.183,134959
99,2015-07-24 01:00:00+00:00,0.199,148151
100,2015-07-25 01:00:00+00:00,0.217,128063
101,2015-07-26 01:00:00+00:00,0.196,117975
102,2015-07-27 01:00:00+00:00,0.191,129329
103,2015-07-28 01:00:00+00:00,0.181,122398
104,2015-07-29 01:00:00+00:00,0.177,117380
105,2015-07-30 01:00:00+00:00,0.176,128588
106,2015-07-31 01:00:00+00:00,0.189,138118
107,2015-08-01 01:00:00+00:00,0.188,127972
108,2015-08-02 01:00:00+00:00,0.179,120280
109,2015-08-03 01:00:00+00:00,0.174,124198
110,2015-08-04 01:00:00+00:00,0.172,116568
111,2015-08-05 01:00:00+00:00,0.172,120598
112,2015-08-06 01:00:00+00:00,0.169,124106
113,2015-08-07 01:00:00+00:00,0.165,123175
114,2015-08-08 01:00:00+00:00,0.16,123212
115,2015-08-09 01:00:00+00:00,0.159,116372
116,2015-08-10 01:00:00+00:00,0.144,117439
117,2015-08-11 01:00:00+00:00,0.133,121337
118,2015-08-12 01:00:00+00:00,0.123,122194
119,2015-08-13 01:00:00+00:00,0.133,117830
120,2015-08-14 01:00:00+00:00,0.138,127910
121,2015-08-15 01:00:00+00:00,0.122,125797
122,2015-08-16 01:00:00+00:00,0.112,116541
123,2015-08-17 01:00:00+00:00,0.097,113787
124,2015-08-18 01:00:00+00:00,0.1,109808
125,2015-08-19 01:00:00+00:00,0.095,107401
126,2015-08-20 01:00:00+00:00,0.093,111627
127,2015-08-21 01:00:00+00:00,0.096,124151
128,2015-08-22 01:00:00+00:00,0.094,121563
129,2015-08-23 01:00:00+00:00,0.073,112035
130,2015-08-24 01:00:00+00:00,0.058,114419
131,2015-08-25 01:00:00+00:00,0.088,133280
132,2015-08-26 01:00:00+00:00,0.099,129960
133,2015-08-27 01:00:00+00:00,0.105,137055
134,2015-08-28 01:00:00+00:00,0.117,155890
135,2015-08-29 01:00:00+00:00,0.137,145278
136,2015-08-30 01:00:00+00:00,0.137,144886
137,2015-08-31 01:00:00+00:00,0.135,142171
138,2015-09-01 01:00:00+00:00,0.15,129651
139,2015-09-02 01:00:00+00:00,0.156,122574
140,2015-09-03 01:00:00+00:00,0.154,124203
141,2015-09-04 01:00:00+00:00,0.158,137014
142,2015-09-05 01:00:00+00:00,0.148,152582
143,2015-09-06 01:00:00+00:00,0.125,138453
144,2015-09-07 01:00:00+00:00,0.128,121243
145,2015-09-08 01:00:00+00:00,0.139,119585
146,2015-09-09 01:00:00+00:00,0.138,102612
147,2015-09-10 01:00:00+00:00,0.134,122866
148,2015-09-11 01:00:00+00:00,0.133,134592
149,2015-09-12 01:00:00+00:00,0.129,151011
150,2015-09-13 01:00:00+00:00,0.117,138885
151,2015-09-14 01:00:00+00:00,0.118,116328
152,2015-09-15 01:00:00+00:00,0.121,115780
153,2015-09-16 01:00:00+00:00,0.119,114613
154,2015-09-17 01:00:00+00:00,0.113,115678
155,2015-09-18 01:00:00+00:00,0.099,148542
156,2015-09-19 01:00:00+00:00,0.073,144478
157,2015-09-20 01:00:00+00:00,0.057,137145
158,2015-09-21 01:00:00+00:00,0.063,118151
159,2015-09-22 01:00:00+00:00,0.062,117387
160,2015-09-23 01:00:00+00:00,0.064,117930
161,2015-09-24 01:00:00+00:00,0.062,118682
162,2015-09-25 01:00:00+00:00,0.069,149287
163,2015-09-26 01:00:00+00:00,0.065,145481
164,2015-09-27 01:00:00+00:00,0.057,149148
165,2015-09-28 01:00:00+00:00,0.06,110487
166,2015-09-29 01:00:00+00:00,0.061,116033
167,2015-09-30 01:00:00+00:00,0.062,127834
168,2015-10-01 01:00:00+00:00,0.067,136130
169,2015-10-02 01:00:00+00:00,0.07,144835
170,2015-10-03 01:00:00+00:00,0.069,158210
171,2015-10-04 01:00:00+00:00,0.067,134380
172,2015-10-05 01:00:00+00:00,0.069,122087
