,date,price,volume
60,2015-03-10 01:00:00+00:00,0.516,82941
61,2015-03-11 01:00:00+00:00,0.529,73926
62,2015-03-12 01:00:00+00:00,0.46,82693
63,2015-03-13 01:00:00+00:00,0.496,97582
64,2015-03-14 01:00:00+00:00,0.465,114896
65,2015-03-15 01:00:00+00:00,0.392,115346
66,2015-03-16 01:00:00+00:00,0.355,95124
67,2015-03-17 01:00:00+00:00,0.38,88471
68,2015-03-18 01:00:00+00:00,0.38,85070
69,2015-03-19 01:00:00+00:00,0.392,91613
70,2015-03-20 01:00:00+00:00,0.407,103536
71,2015-03-21 01:00:00+00:00,0.384,112947
72,2015-03-22 01:00:00+00:00,0.336,109970
73,2015-03-23 01:00:00+00:00,0.32,97483
74,2015-03-24 01:00:00+00:00,0.324,97454
75,2015-03-25 01:00:00+00:00,0.356,106436
76,2015-03-26 01:00:00+00:00,0.39,100462
77,2015-03-27 01:00:00+00:00,0.401,115380
78,2015-03-28 01:00:00+00:00,0.396,123943
79,2015-03-29 01:00:00+00:00,0.363,117241
80,2015-03-30 01:00:00+00:00,0.355,109534
81,2015-03-31 01:00:00+00:00,0.376,112262
82,2015-04-01 01:00:00+00:00,0.411,127063
83,2015-04-02 01:00:00+00:00,0.423,110801
84,2015-04-03 01:00:00+00:00,0.419,113899
85,2015-04-04 01:00:00+00:00,0.396,117739
86,2015-04-05 01:00:00+00:00,0.383,121149
87,2015-04-06 01:00:00+00:00,0.4,111708
88,2015-04-07 01:00:00+00:00,0.388,106270
89,2015-04-08 01:00:00+00:00,0.389,108838
90,2015-04-09 01:00:00+00:00,0.402,108132
91,2015-04-10 01:00:00+00:00,0.4,107617
92,2015-04-11 01:00:00+00:00,0.398,129525
93,2015-04-12 01:00:00+00:00,0.376,114412
94,2015-04-13 01:00:00+00:00,0.37,96417
95,2015-04-14 01:00:00+00:00,0.347,85543
96,2015-04-15 01:00:00+00:00,0.312,91353
97,2015-04-16 01:00:00+00:00,0.233,125764
98,2015-04-17 01:00:00+00:00,0.183,119586
99,2015-04-18 01:00:00+00:00,0.164,139038
100,2015-04-19 01:00:00+00:00,0.138,112362
101,2015-04-20 01:00:00+00:00,0.143,111936
102,2015-04-21 01:00:00+00:00,0.141,97553
103,2015-04-22 01:00:00+00:00,0.137,94291
104,2015-04-23 01:00:00+00:00,0.138,101250
105,2015-04-24 01:00:00+00:00,0.142,114779
106,2015-04-25 01:00:00+00:00,0.138,123638
107,2015-04-26 01:00:00+00:00,0.12,108597
108,2015-04-27 01:00:00+00:00,0.114,96070
109,2015-04-28 01:00:00+00:00,0.114,93680
110,2015-04-29 01:00:00+00:00,0.12,96990
111,2015-04-30 01:00:00+00:00,0.12,113738
112,2015-05-01 01:00:00+00:00,0.114,140549
113,2015-05-02 01:00:00+00:00,0.123,121723
114,2015-05-03 01:00:00+00:00,0.102,102435
115,2015-05-04 01:00:00+00:00,0.094,96830
116,2015-05-05 01:00:00+00:00,0.093,88723
117,2015-05-06 01:00:00+00:00,0.093,85254
118,2015-05-07 01:00:00+00:00,0.092,84765
119,2015-05-08 01:00:00+00:00,0.092,106355
120,2015-05-09 01:00:00+00:00,0.09,112383
121,2015-05-10 01:00:00+00:00,0.08,97481
122,2015-05-11 01:00:00+00:00,0.072,84184
123,2015-05-12 01:00:00+00:00,0.072,81381
124,2015-05-13 01:00:00+00:00,0.072,85830
125,2015-05-14 01:00:00+00:00,0.073,90318
126,2015-05-15 01:00:00+00:00,0.079,102606
127,2015-05-16 01:00:00+00:00,0.074,109916
128,2015-05-17 01:00:00+00:00,0.068,105035
129,2015-05-18 01:00:00+00:00,0.062,80908
130,2015-05-19 01:00:00+00:00,0.06,91937
131,2015-05-20 01:00:00+00:00,0.058,82150
132,2015-05-21 01:00:00+00:00,0.057,86136
133,2015-05-22 01:00:00+00:00,0.055,103310
134,2015-05-23 01:00:00+00:00,0.054,107622
135,2015-05-24 01:00:00+00:00,0.046,106586
136,2015-05-25 01:00:00+00:00,0.049,97663
137,2015-05-26 01:00:00+00:00,0.051,97977
138,2015-05-27 01:00:00+00:00,0.032,91803
139,2015-05-28 01:00:00+00:00,0.032,91867
140,2015-05-29 01:00:00+00:00,0.036,101753
141,2015-05-30 01:00:00+00:00,0.039,110340
142,2015-05-31 01:00:00+00:00,0.038,110245
143,2015-06-01 01:00:00+00:00,0.041,109124
144,2015-06-02 01:00:00+00:00,0.038,107592
145,2015-06-03 01:00:00+00:00,0.034,100587
146,2015-06-04 01:00:00+00:00,0.032,102959
147,2015-06-05 01:00:00+00:00,0.031,101697
148,2015-06-06 01:00:00+00:00,0.035,93102
149,2015-06-07 01:00:00+00:00,0.034,86822
150,2015-06-08 01:00:00+00:00,0.033,81799
151,2015-06-09 01:00:00+00:00,0.031,81892
152,2015-06-10 01:00:00+00:00,0.031,88942
153,2015-06-11 01:00:00+00:00,0.03,75422
154,2015-06-12 01:00:00+00:00,0.03,92665
155,2015-06-13 01:00:00+00:00,0.03,86942
156,2015-06-14 01:00:00+00:00,0.03,87948
157,2015-06-15 01:00:00+00:00,0.03,71338
158,2015-06-16 01:00:00+00:00,0.03,72383
159,2015-06-17 01:00:00+00:00,0.03,69315
160,2015-06-18 01:00:00+00:00,0.03,68252
161,2015-06-19 01:00:00+00:00,0.03,66410
162,2015-06-20 01:00:00+00:00,0.03,69167
163,2015-06-21 01:00:00+00:00,0.03,63549
164,2015-06-22 01:00:00+00:00,0.03,60445
165,2015-06-23 01:00:00+00:00,0.03,55952
166,2015-06-24 01:00:00+00:00,0.03,62471
167,2015-06-25 01:00:00+00:00,0.03,63908
168,2015-06-26 01:00:00+00:00,0.03,67835
169,2015-06-27 01:00:00+00:00,0.03,68250
170,2015-06-28 01:00:00+00:00,0.03,66352
171,2015-06-29 01:00:00+00:00,0.03,66821
172,2015-06-30 01:00:00+00:00,0.03,75965
173,2015-07-01 01:00:00+00:00,0.03,76036
174,2015-07-02 01:00:00+00:00,0.03,74451
175,2015-07-03 01:00:00+00:00,0.03,74878
176,2015-07-04 01:00:00+00:00,0.03,65848
177,2015-07-05 01:00:00+00:00,0.03,60233
178,2015-07-06 01:00:00+00:00,0.03,70069
179,2015-07-07 01:00:00+00:00,0.03,65839
180,2015-07-08 01:00:00+00:00,0.03,61662
181,2015-07-09 01:00:00+00:00,0.03,65571
182,2015-07-10 01:00:00+00:00,0.03,67290
183,2015-07-11 01:00:00+00:00,0.03,73722
184,2015-07-12 01:00:00+00:00,0.03,71548
185,2015-07-13 01:00:00+00:00,0.03,68556
186,2015-07-14 01:00:00+00:00,0.03,67135
187,2015-07-15 01:00:00+00:00,0.03,69881
188,2015-07-16 01:00:00+00:00,0.03,70163
189,2015-07-17 01:00:00+00:00,0.03,72024
190,2015-07-18 01:00:00+00:00,0.03,70206
191,2015-07-19 01:00:00+00:00,0.03,69525
192,2015-07-20 01:00:00+00:00,0.03,71515
193,2015-07-21 01:00:00+00:00,0.03,75191
194,2015-07-22 01:00:00+00:00,0.03,62795
195,2015-07-23 01:00:00+00:00,0.03,69408
196,2015-07-24 01:00:00+00:00,0.03,72848
197,2015-07-25 01:00:00+00:00,0.03,71608
198,2015-07-26 01:00:00+00:00,0.03,62465
199,2015-07-27 01:00:00+00:00,0.03,69929
200,2015-07-28 01:00:00+00:00,0.03,66575
201,2015-07-29 01:00:00+00:00,0.03,65589
202,2015-07-30 01:00:00+00:00,0.03,65430
203,2015-07-31 01:00:00+00:00,0.03,68485
204,2015-08-01 01:00:00+00:00,0.03,71711
205,2015-08-02 01:00:00+00:00,0.03,74523
206,2015-08-03 01:00:00+00:00,0.03,65100
207,2015-08-04 01:00:00+00:00,0.03,66546
208,2015-08-05 01:00:00+00:00,0.03,67344
209,2015-08-06 01:00:00+00:00,0.03,66487
210,2015-08-07 01:00:00+00:00,0.03,69446
211,2015-08-08 01:00:00+00:00,0.03,71051
212,2015-08-09 01:00:00+00:00,0.03,65163
213,2015-08-10 01:00:00+00:00,0.03,71875
214,2015-08-11 01:00:00+00:00,0.03,61375
215,2015-08-12 01:00:00+00:00,0.03,68117
216,2015-08-13 01:00:00+00:00,0.03,61408
217,2015-08-14 01:00:00+00:00,0.03,63278
218,2015-08-15 01:00:00+00:00,0.03,58427
219,2015-08-16 01:00:00+00:00,0.03,57861
220,2015-08-17 01:00:00+00:00,0.03,54504
221,2015-08-18 01:00:00+00:00,0.03,53844
222,2015-08-19 01:00:00+00:00,0.03,67889
223,2015-08-20 01:00:00+00:00,0.03,64668
224,2015-08-21 01:00:00+00:00,0.03,70445
225,2015-08-22 01:00:00+00:00,0.03,61971
226,2015-08-23 01:00:00+00:00,0.03,60754
227,2015-08-24 01:00:00+00:00,0.03,67673
228,2015-08-25 01:00:00+00:00,0.03,62692
229,2015-08-26 01:00:00+00:00,0.03,65489
230,2015-08-27 01:00:00+00:00,0.03,67708
231,2015-08-28 01:00:00+00:00,0.03,70835
232,2015-08-29 01:00:00+00:00,0.03,70350
233,2015-08-30 01:00:00+00:00,0.03,74974
234,2015-08-31 01:00:00+00:00,0.03,67217
235,2015-09-01 01:00:00+00:00,0.03,73737
236,2015-09-02 01:00:00+00:00,0.03,68672
237,2015-09-03 01:00:00+00:00,0.03,74944
238,2015-09-04 01:00:00+00:00,0.03,74390
239,2015-09-05 01:00:00+00:00,0.03,80744
240,2015-09-06 01:00:00+00:00,0.03,73110
241,2015-09-07 01:00:00+00:00,0.03,73035
242,2015-09-08 01:00:00+00:00,0.03,86441
243,2015-09-09 01:00:00+00:00,0.03,57446
244,2015-09-10 01:00:00+00:00,0.03,74220
245,2015-09-11 01:00:00+00:00,0.03,71522
246,2015-09-12 01:00:00+00:00,0.03,77601
247,2015-09-13 01:00:00+00:00,0.03,80378
248,2015-09-14 01:00:00+00:00,0.03,64413
249,2015-09-15 01:00:00+00:00,0.03,60444
250,2015-09-16 01:00:00+00:00,0.03,77071
251,2015-09-17 01:00:00+00:00,0.03,77552
252,2015-09-18 01:00:00+00:00,0.03,152595
253,2015-09-19 01:00:00+00:00,0.03,151635
254,2015-09-20 01:00:00+00:00,0.03,128117
255,2015-09-21 01:00:00+00:00,0.03,109600
256,2015-09-22 01:00:00+00:00,0.03,95045
257,2015-09-23 01:00:00+00:00,0.03,87208
258,2015-09-24 01:00:00+00:00,0.03,80629
259,2015-09-25 01:00:00+00:00,0.03,89070
260,2015-09-26 01:00:00+00:00,0.03,78555
261,2015-09-27 01:00:00+00:00,0.03,68169
262,2015-09-28 01:00:00+00:00,0.03,65924
263,2015-09-29 01:00:00+00:00,0.03,58249
264,2015-09-30 01:00:00+00:00,0.03,55835
265,2015-10-01 01:00:00+00:00,0.03,52381
266,2015-10-02 01:00:00+00:00,0.03,65820
267,2015-10-03 01:00:00+00:00,0.03,72520
268,2015-10-04 01:00:00+00:00,0.03,64921
269,2015-10-05 01:00:00+00:00,0.03,64446
270,2015-10-06 01:00:00+00:00,0.03,70005
271,2015-10-07 01:00:00+00:00,0.03,80480
272,2015-10-08 01:00:00+00:00,0.03,183590
273,2015-10-09 01:00:00+00:00,0.03,144475
274,2015-10-10 01:00:00+00:00,0.03,119137
275,2015-10-11 01:00:00+00:00,0.03,113881
276,2015-10-12 01:00:00+00:00,0.03,292085
277,2015-10-13 01:00:00+00:00,0.03,294339
278,2015-10-14 01:00:00+00:00,0.038,158872
279,2015-10-15 01:00:00+00:00,0.036,118899
280,2015-10-16 01:00:00+00:00,0.037,65717
281,2015-10-17 01:00:00+00:00,0.033,76070
282,2015-10-18 01:00:00+00:00,0.03,63529
283,2015-10-19 01:00:00+00:00,0.031,51039
284,2015-10-20 01:00:00+00:00,0.03,54406
285,2015-10-21 01:00:00+00:00,0.03,66605
286,2015-10-22 01:00:00+00:00,0.03,46277
287,2015-10-23 01:00:00+00:00,0.03,63021
288,2015-10-24 01:00:00+00:00,0.03,64324
289,2015-10-25 01:00:00+00:00,0.03,65161
290,2015-10-26 01:00:00+00:00,0.03,51328
291,2015-10-27 01:00:00+00:00,0.03,51611
292,2015-10-28 01:00:00+00:00,0.03,53222
293,2015-10-29 01:00:00+00:00,0.03,53002
294,2015-10-30 01:00:00+00:00,0.03,55659
295,2015-10-31 01:00:00+00:00,0.03,66730
296,2015-11-01 01:00:00+00:00,0.03,78425
297,2015-11-02 01:00:00+00:00,0.03,56324
298,2015-11-03 01:00:00+00:00,0.03,38862
299,2015-11-04 01:00:00+00:00,0.03,42254
300,2015-11-05 01:00:00+00:00,0.03,40733
301,2015-11-06 01:00:00+00:00,0.03,39479
302,2015-11-07 01:00:00+00:00,0.03,45094
303,2015-11-08 01:00:00+00:00,0.03,42020
304,2015-11-09 01:00:00+00:00,0.03,35526
305,2015-11-10 01:00:00+00:00,0.03,31841
306,2015-11-11 01:00:00+00:00,0.03,28421
307,2015-11-12 01:00:00+00:00,0.03,31008
308,2015-11-13 01:00:00+00:00,0.03,48223
309,2015-11-14 01:00:00+00:00,0.03,45880
310,2015-11-15 01:00:00+00:00,0.03,46644
311,2015-11-16 01:00:00+00:00,0.03,61945
312,2015-11-17 01:00:00+00:00,0.03,99011
313,2015-11-18 01:00:00+00:00,0.032,72163
314,2015-11-19 01:00:00+00:00,0.03,59506
315,2015-11-20 01:00:00+00:00,0.032,65609
316,2015-11-21 01:00:00+00:00,0.032,65855
317,2015-11-22 01:00:00+00:00,0.032,57665
318,2015-11-23 01:00:00+00:00,0.032,44217
319,2015-11-24 01:00:00+00:00,0.035,45287
320,2015-11-25 01:00:00+00:00,0.032,48395
321,2015-11-26 01:00:00+00:00,0.03,61111
322,2015-11-27 01:00:00+00:00,0.03,66273
323,2015-11-28 01:00:00+00:00,0.03,61967
324,2015-11-29 01:00:00+00:00,0.03,57509
325,2015-11-30 01:00:00+00:00,0.03,46843
326,2015-12-01 01:00:00+00:00,0.03,53579
327,2015-12-02 01:00:00+00:00,0.03,50489
328,2015-12-03 01:00:00+00:00,0.03,40601
329,2015-12-04 01:00:00+00:00,0.03,50041
330,2015-12-05 01:00:00+00:00,0.03,46572
331,2015-12-06 01:00:00+00:00,0.031,46260
332,2015-12-07 01:00:00+00:00,0.032,43145
333,2015-12-08 01:00:00+00:00,0.031,38480
334,2015-12-09 01:00:00+00:00,0.03,47185
335,2015-12-10 01:00:00+00:00,0.032,50106
336,2015-12-11 01:00:00+00:00,0.034,44144
337,2015-12-12 01:00:00+00:00,0.033,46760
338,2015-12-13 01:00:00+00:00,0.032,45173
339,2015-12-14 01:00:00+00:00,0.034,34952
340,2015-12-15 01:00:00+00:00,0.033,36627
341,2015-12-16 01:00:00+00:00,0.033,36911
342,2015-12-17 01:00:00+00:00,0.037,27517
343,2015-12-18 01:00:00+00:00,0.038,31515
344,2015-12-19 01:00:00+00:00,0.034,36291
345,2015-12-20 01:00:00+00:00,0.033,34296
346,2015-12-21 01:00:00+00:00,0.038,31276
347,2015-12-22 01:00:00+00:00,0.038,33116
348,2015-12-23 01:00:00+00:00,0.033,40226
349,2015-12-24 01:00:00+00:00,0.037,38276
350,2015-12-25 01:00:00+00:00,0.041,41402
351,2015-12-26 01:00:00+00:00,0.036,53271
352,2015-12-27 01:00:00+00:00,0.034,45442
353,2015-12-28 01:00:00+00:00,0.036,40564
354,2015-12-29 01:00:00+00:00,0.036,37573
355,2015-12-30 01:00:00+00:00,0.036,36441
356,2015-12-31 01:00:00+00:00,0.032,52900
357,2016-01-01 01:00:00+00:00,0.032,65344
358,2016-01-02 01:00:00+00:00,0.035,46759
359,2016-01-03 01:00:00+00:00,0.035,42976
360,2016-01-04 01:00:00+00:00,0.033,39366
361,2016-01-05 01:00:00+00:00,0.038,33897
362,2016-01-06 01:00:00+00:00,0.038,32144
363,2016-01-07 01:00:00+00:00,0.037,40498
364,2016-01-08 01:00:00+00:00,0.037,47633
365,2016-01-09 01:00:00+00:00,0.038,60611
366,2016-01-10 01:00:00+00:00,0.046,37719
367,2016-01-11 01:00:00+00:00,0.044,31855
368,2016-01-12 01:00:00+00:00,0.046,40567
369,2016-01-13 01:00:00+00:00,0.047,44553
370,2016-01-14 01:00:00+00:00,0.049,36510
371,2016-01-15 01:00:00+00:00,0.049,43292
372,2016-01-16 01:00:00+00:00,0.049,49798
373,2016-01-17 01:00:00+00:00,0.05,42042
374,2016-01-18 01:00:00+00:00,0.048,34367
375,2016-01-19 01:00:00+00:00,0.051,30935
376,2016-01-20 01:00:00+00:00,0.051,28906
377,2016-01-21 01:00:00+00:00,0.05,29728
378,2016-01-22 01:00:00+00:00,0.052,29534
379,2016-01-23 01:00:00+00:00,0.056,31194
380,2016-01-24 01:00:00+00:00,0.052,31351
381,2016-01-25 01:00:00+00:00,0.055,33454
382,2016-01-26 01:00:00+00:00,0.056,32137
383,2016-01-27 01:00:00+00:00,0.056,30450
384,2016-01-28 01:00:00+00:00,0.054,25736
385,2016-01-29 01:00:00+00:00,0.054,32153
386,2016-01-30 01:00:00+00:00,0.056,35460
387,2016-01-31 01:00:00+00:00,0.055,33441
388,2016-02-01 01:00:00+00:00,0.054,31922
389,2016-02-02 01:00:00+00:00,0.053,28713
390,2016-02-03 01:00:00+00:00,0.054,25243
391,2016-02-04 01:00:00+00:00,0.057,27144
392,2016-02-05 01:00:00+00:00,0.057,33699
393,2016-02-06 01:00:00+00:00,0.052,36893
394,2016-02-07 01:00:00+00:00,0.05,33042
395,2016-02-08 01:00:00+00:00,0.05,26295
396,2016-02-09 01:00:00+00:00,0.05,25321
397,2016-02-10 01:00:00+00:00,0.049,24433
398,2016-02-11 01:00:00+00:00,0.05,24730
399,2016-02-12 01:00:00+00:00,0.049,25255
400,2016-02-13 01:00:00+00:00,0.051,26446
401,2016-02-14 01:00:00+00:00,0.052,31185
402,2016-02-15 01:00:00+00:00,0.055,21964
403,2016-02-16 01:00:00+00:00,0.057,22726
404,2016-02-17 01:00:00+00:00,0.055,22640
405,2016-02-18 01:00:00+00:00,0.053,47550
406,2016-02-19 01:00:00+00:00,0.053,28045
407,2016-02-20 01:00:00+00:00,0.051,30451
408,2016-02-21 01:00:00+00:00,0.05,28856
409,2016-02-22 01:00:00+00:00,0.05,27389
410,2016-02-23 01:00:00+00:00,0.053,22254
411,2016-02-24 01:00:00+00:00,0.057,25412
412,2016-02-25 01:00:00+00:00,0.056,28391
413,2016-02-26 01:00:00+00:00,0.057,25248
414,2016-02-27 01:00:00+00:00,0.059,33858
415,2016-02-28 01:00:00+00:00,0.059,23669
416,2016-02-29 01:00:00+00:00,0.058,30319
