,date,price,volume
60,2018-04-17 01:00:00+00:00,0.278,31188
61,2018-04-18 01:00:00+00:00,0.272,30251
62,2018-04-19 01:00:00+00:00,0.278,31304
63,2018-04-20 01:00:00+00:00,0.265,32995
64,2018-04-21 01:00:00+00:00,0.245,39448
65,2018-04-22 01:00:00+00:00,0.222,37441
66,2018-04-23 01:00:00+00:00,0.236,32825
67,2018-04-24 01:00:00+00:00,0.243,30780
68,2018-04-25 01:00:00+00:00,0.261,33233
69,2018-04-26 01:00:00+00:00,0.267,31690
70,2018-04-27 01:00:00+00:00,0.283,36656
71,2018-04-28 01:00:00+00:00,0.275,39014
72,2018-04-29 01:00:00+00:00,0.263,39486
73,2018-04-30 01:00:00+00:00,0.274,37882
74,2018-05-01 01:00:00+00:00,0.268,34300
75,2018-05-02 01:00:00+00:00,0.243,29558
76,2018-05-03 01:00:00+00:00,0.249,30209
77,2018-05-04 01:00:00+00:00,0.253,31681
78,2018-05-05 01:00:00+00:00,0.247,35669
79,2018-05-06 01:00:00+00:00,0.231,33366
80,2018-05-07 01:00:00+00:00,0.225,29461
81,2018-05-08 01:00:00+00:00,0.223,30237
82,2018-05-09 01:00:00+00:00,0.211,31548
83,2018-05-10 01:00:00+00:00,0.226,32008
84,2018-05-11 01:00:00+00:00,0.242,32484
85,2018-05-12 01:00:00+00:00,0.23,32987
86,2018-05-13 01:00:00+00:00,0.212,32359
87,2018-05-14 01:00:00+00:00,0.212,27289
88,2018-05-15 01:00:00+00:00,0.215,26673
89,2018-05-16 01:00:00+00:00,0.213,26213
90,2018-05-17 01:00:00+00:00,0.209,26652
91,2018-05-18 01:00:00+00:00,0.206,30736
92,2018-05-19 01:00:00+00:00,0.197,33768
93,2018-05-20 01:00:00+00:00,0.189,33369
94,2018-05-21 01:00:00+00:00,0.197,28869
95,2018-05-22 01:00:00+00:00,0.188,26197
96,2018-05-23 01:00:00+00:00,0.191,25752
97,2018-05-24 01:00:00+00:00,0.188,26922
98,2018-05-25 01:00:00+00:00,0.192,30746
99,2018-05-26 01:00:00+00:00,0.187,32193
100,2018-05-27 01:00:00+00:00,0.181,31530
101,2018-05-28 01:00:00+00:00,0.177,29088
102,2018-05-29 01:00:00+00:00,0.178,28494
103,2018-05-30 01:00:00+00:00,0.179,28747
104,2018-05-31 01:00:00+00:00,0.179,30888
105,2018-06-01 01:00:00+00:00,0.18,32931
106,2018-06-02 01:00:00+00:00,0.18,32827
107,2018-06-03 01:00:00+00:00,0.177,32677
108,2018-06-04 01:00:00+00:00,0.178,29199
109,2018-06-05 01:00:00+00:00,0.174,27234
110,2018-06-06 01:00:00+00:00,0.177,28949
111,2018-06-07 01:00:00+00:00,0.174,28197
112,2018-06-08 01:00:00+00:00,0.176,30357
113,2018-06-09 01:00:00+00:00,0.174,31921
114,2018-06-10 01:00:00+00:00,0.167,29920
115,2018-06-11 01:00:00+00:00,0.157,26996
116,2018-06-12 01:00:00+00:00,0.14,24907
117,2018-06-13 01:00:00+00:00,0.113,28383
118,2018-06-14 01:00:00+00:00,0.11,24248
119,2018-06-15 01:00:00+00:00,0.116,25604
120,2018-06-16 01:00:00+00:00,0.126,26947
121,2018-06-17 01:00:00+00:00,0.128,25392
122,2018-06-18 01:00:00+00:00,0.115,23194
123,2018-06-19 01:00:00+00:00,0.104,23403
124,2018-06-20 01:00:00+00:00,0.105,27234
125,2018-06-21 01:00:00+00:00,0.102,27386
126,2018-06-22 01:00:00+00:00,0.077,28229
127,2018-06-23 01:00:00+00:00,0.07,28418
128,2018-06-24 01:00:00+00:00,0.067,27354
129,2018-06-25 01:00:00+00:00,0.062,24515
130,2018-06-26 01:00:00+00:00,0.059,25405
131,2018-06-27 01:00:00+00:00,0.063,24331
132,2018-06-28 01:00:00+00:00,0.06,23185
133,2018-06-29 01:00:00+00:00,0.073,28551
134,2018-06-30 01:00:00+00:00,0.086,27202
135,2018-07-01 01:00:00+00:00,0.084,28987
136,2018-07-02 01:00:00+00:00,0.081,28755
137,2018-07-03 01:00:00+00:00,0.077,26969
138,2018-07-04 01:00:00+00:00,0.07,23964
139,2018-07-05 01:00:00+00:00,0.066,24304
140,2018-07-06 01:00:00+00:00,0.076,26775
141,2018-07-07 01:00:00+00:00,0.095,31743
142,2018-07-08 01:00:00+00:00,0.098,32027
143,2018-07-09 01:00:00+00:00,0.101,30298
144,2018-07-10 01:00:00+00:00,0.106,27525
145,2018-07-11 01:00:00+00:00,0.101,26731
146,2018-07-12 01:00:00+00:00,0.102,27022
147,2018-07-13 01:00:00+00:00,0.105,28033
148,2018-07-14 01:00:00+00:00,0.112,28160
149,2018-07-15 01:00:00+00:00,0.123,30371
150,2018-07-16 01:00:00+00:00,0.117,27259
151,2018-07-17 01:00:00+00:00,0.113,29012
152,2018-07-18 01:00:00+00:00,0.094,28276
153,2018-07-19 01:00:00+00:00,0.093,26814
154,2018-07-20 01:00:00+00:00,0.103,26428
155,2018-07-21 01:00:00+00:00,0.109,27571
156,2018-07-22 01:00:00+00:00,0.106,27241
157,2018-07-23 01:00:00+00:00,0.1,26586
158,2018-07-24 01:00:00+00:00,0.098,26479
159,2018-07-25 01:00:00+00:00,0.099,27685
160,2018-07-26 01:00:00+00:00,0.098,28525
161,2018-07-27 01:00:00+00:00,0.101,26398
162,2018-07-28 01:00:00+00:00,0.108,27952
163,2018-07-29 01:00:00+00:00,0.111,29451
164,2018-07-30 01:00:00+00:00,0.112,29194
165,2018-07-31 01:00:00+00:00,0.118,29112
166,2018-08-01 01:00:00+00:00,0.117,27597
167,2018-08-02 01:00:00+00:00,0.115,27964
168,2018-08-03 01:00:00+00:00,0.104,36548
169,2018-08-04 01:00:00+00:00,0.09,32191
170,2018-08-05 01:00:00+00:00,0.079,33342
171,2018-08-06 01:00:00+00:00,0.071,31715
172,2018-08-07 01:00:00+00:00,0.07,31339
173,2018-08-08 01:00:00+00:00,0.073,31872
174,2018-08-09 01:00:00+00:00,0.07,30609
175,2018-08-10 01:00:00+00:00,0.065,31728
176,2018-08-11 01:00:00+00:00,0.059,30548
177,2018-08-12 01:00:00+00:00,0.053,30797
178,2018-08-13 01:00:00+00:00,0.05,30414
179,2018-08-14 01:00:00+00:00,0.044,28546
180,2018-08-15 01:00:00+00:00,0.033,28795
181,2018-08-16 01:00:00+00:00,0.031,22384
182,2018-08-17 01:00:00+00:00,0.034,24526
183,2018-08-18 01:00:00+00:00,0.035,26455
184,2018-08-19 01:00:00+00:00,0.03,25734
185,2018-08-20 01:00:00+00:00,0.03,22101
186,2018-08-21 01:00:00+00:00,0.03,22416
187,2018-08-22 01:00:00+00:00,0.03,19407
188,2018-08-23 01:00:00+00:00,0.03,18971
189,2018-08-24 01:00:00+00:00,0.03,19312
190,2018-08-25 01:00:00+00:00,0.03,20576
191,2018-08-26 01:00:00+00:00,0.03,22341
192,2018-08-27 01:00:00+00:00,0.03,24876
193,2018-08-28 01:00:00+00:00,0.03,20376
