,date,price,volume
60,2019-12-17 01:00:00+00:00,0.177,40266
61,2019-12-18 01:00:00+00:00,0.165,37938
62,2019-12-19 01:00:00+00:00,0.148,38637
63,2019-12-20 01:00:00+00:00,0.139,43437
64,2019-12-21 01:00:00+00:00,0.131,48442
65,2019-12-22 01:00:00+00:00,0.124,48179
66,2019-12-23 01:00:00+00:00,0.139,50734
67,2019-12-24 01:00:00+00:00,0.158,50921
68,2019-12-25 01:00:00+00:00,0.183,57320
69,2019-12-26 01:00:00+00:00,0.192,53222
70,2019-12-27 01:00:00+00:00,0.196,54263
71,2019-12-28 01:00:00+00:00,0.197,56702
72,2019-12-29 01:00:00+00:00,0.192,55254
73,2019-12-30 01:00:00+00:00,0.193,54852
74,2019-12-31 01:00:00+00:00,0.198,46949
75,2020-01-01 01:00:00+00:00,0.204,51694
76,2020-01-02 01:00:00+00:00,0.194,52410
77,2020-01-03 01:00:00+00:00,0.192,54114
78,2020-01-04 01:00:00+00:00,0.188,55161
79,2020-01-05 01:00:00+00:00,0.188,52360
80,2020-01-06 01:00:00+00:00,0.179,45406
81,2020-01-07 01:00:00+00:00,0.17,44346
82,2020-01-08 01:00:00+00:00,0.168,46150
83,2020-01-09 01:00:00+00:00,0.168,45111
84,2020-01-10 01:00:00+00:00,0.168,53150
85,2020-01-11 01:00:00+00:00,0.169,57781
86,2020-01-12 01:00:00+00:00,0.169,52932
87,2020-01-13 01:00:00+00:00,0.167,41988
88,2020-01-14 01:00:00+00:00,0.164,43065
89,2020-01-15 01:00:00+00:00,0.164,44170
90,2020-01-16 01:00:00+00:00,0.163,45455
91,2020-01-17 01:00:00+00:00,0.162,49518
92,2020-01-18 01:00:00+00:00,0.161,56354
93,2020-01-19 01:00:00+00:00,0.16,54859
94,2020-01-20 01:00:00+00:00,0.158,44151
95,2020-01-21 01:00:00+00:00,0.152,41739
96,2020-01-22 01:00:00+00:00,0.146,44258
97,2020-01-23 01:00:00+00:00,0.139,44276
98,2020-01-24 01:00:00+00:00,0.142,55165
99,2020-01-25 01:00:00+00:00,0.147,62563
100,2020-01-26 01:00:00+00:00,0.143,53555
101,2020-01-27 01:00:00+00:00,0.137,45845
102,2020-01-28 01:00:00+00:00,0.13,42560
103,2020-01-29 01:00:00+00:00,0.128,44805
104,2020-01-30 01:00:00+00:00,0.134,43873
105,2020-01-31 01:00:00+00:00,0.135,53822
106,2020-02-01 01:00:00+00:00,0.141,57565
107,2020-02-02 01:00:00+00:00,0.139,56750
108,2020-02-03 01:00:00+00:00,0.135,46254
109,2020-02-04 01:00:00+00:00,0.137,44242
110,2020-02-05 01:00:00+00:00,0.135,45247
111,2020-02-06 01:00:00+00:00,0.136,47930
112,2020-02-07 01:00:00+00:00,0.133,51541
113,2020-02-08 01:00:00+00:00,0.129,57706
114,2020-02-09 01:00:00+00:00,0.124,55671
115,2020-02-10 01:00:00+00:00,0.116,45658
116,2020-02-11 01:00:00+00:00,0.114,44639
117,2020-02-12 01:00:00+00:00,0.114,45879
118,2020-02-13 01:00:00+00:00,0.108,44549
119,2020-02-14 01:00:00+00:00,0.113,51356
120,2020-02-15 01:00:00+00:00,0.116,58118
121,2020-02-16 01:00:00+00:00,0.108,53803
122,2020-02-17 01:00:00+00:00,0.105,42559
123,2020-02-18 01:00:00+00:00,0.101,42032
124,2020-02-19 01:00:00+00:00,0.096,47050
125,2020-02-20 01:00:00+00:00,0.086,45452
126,2020-02-21 01:00:00+00:00,0.082,46908
127,2020-02-22 01:00:00+00:00,0.075,49566
128,2020-02-23 01:00:00+00:00,0.07,52576
129,2020-02-24 01:00:00+00:00,0.072,47805
130,2020-02-25 01:00:00+00:00,0.07,52598
131,2020-02-26 01:00:00+00:00,0.067,47758
132,2020-02-27 01:00:00+00:00,0.069,57241
133,2020-02-28 01:00:00+00:00,0.08,68156
134,2020-02-29 01:00:00+00:00,0.084,63585
135,2020-03-01 01:00:00+00:00,0.087,64488
136,2020-03-02 01:00:00+00:00,0.086,47907
137,2020-03-03 01:00:00+00:00,0.084,44469
138,2020-03-04 01:00:00+00:00,0.078,48152
139,2020-03-05 01:00:00+00:00,0.076,47057
140,2020-03-06 01:00:00+00:00,0.076,53131
141,2020-03-07 01:00:00+00:00,0.075,61803
142,2020-03-08 01:00:00+00:00,0.07,53222
143,2020-03-09 01:00:00+00:00,0.068,50193
144,2020-03-10 01:00:00+00:00,0.064,41811
145,2020-03-11 01:00:00+00:00,0.061,43810
146,2020-03-12 01:00:00+00:00,0.061,46238
147,2020-03-13 01:00:00+00:00,0.059,52567
148,2020-03-14 01:00:00+00:00,0.055,55979
149,2020-03-15 01:00:00+00:00,0.054,56813
150,2020-03-16 01:00:00+00:00,0.053,51739
151,2020-03-17 01:00:00+00:00,0.052,53457
152,2020-03-18 01:00:00+00:00,0.049,48326
153,2020-03-19 01:00:00+00:00,0.05,48676
154,2020-03-20 01:00:00+00:00,0.047,46369
155,2020-03-21 01:00:00+00:00,0.045,49972
156,2020-03-22 01:00:00+00:00,0.041,51073
157,2020-03-23 01:00:00+00:00,0.037,55531
158,2020-03-24 01:00:00+00:00,0.039,50738
159,2020-03-25 01:00:00+00:00,0.035,49623
160,2020-03-26 01:00:00+00:00,0.038,48017
161,2020-03-27 01:00:00+00:00,0.038,53064
162,2020-03-28 01:00:00+00:00,0.04,53079
163,2020-03-29 01:00:00+00:00,0.04,51410
164,2020-03-30 01:00:00+00:00,0.037,62612
165,2020-03-31 01:00:00+00:00,0.033,67381
166,2020-04-01 01:00:00+00:00,0.031,86068
167,2020-04-02 01:00:00+00:00,0.03,81917
168,2020-04-03 01:00:00+00:00,0.033,74172
169,2020-04-04 01:00:00+00:00,0.041,89285
170,2020-04-05 01:00:00+00:00,0.04,70301
171,2020-04-06 01:00:00+00:00,0.036,76463
172,2020-04-07 01:00:00+00:00,0.038,72986
173,2020-04-08 01:00:00+00:00,0.039,67860
174,2020-04-09 01:00:00+00:00,0.036,67509
175,2020-04-10 01:00:00+00:00,0.036,66484
176,2020-04-11 01:00:00+00:00,0.033,69197
177,2020-04-12 01:00:00+00:00,0.037,66202
178,2020-04-13 01:00:00+00:00,0.034,63748
179,2020-04-14 01:00:00+00:00,0.031,65868
