,date,price,volume
60,2014-01-06 01:00:00+00:00,0.035,8678
61,2014-01-07 01:00:00+00:00,0.032,8824
62,2014-01-08 01:00:00+00:00,0.03,7470
63,2014-01-09 01:00:00+00:00,0.03,8663
64,2014-01-10 01:00:00+00:00,0.032,9345
65,2014-01-11 01:00:00+00:00,0.032,9542
66,2014-01-12 01:00:00+00:00,0.031,8863
67,2014-01-13 01:00:00+00:00,0.03,8224
68,2014-01-14 01:00:00+00:00,0.03,7499
69,2014-01-15 01:00:00+00:00,0.03,6868
70,2014-01-16 01:00:00+00:00,0.031,6973
71,2014-01-17 01:00:00+00:00,0.031,8096
72,2014-01-18 01:00:00+00:00,0.033,9388
73,2014-01-19 01:00:00+00:00,0.03,9511
74,2014-01-20 01:00:00+00:00,0.03,8892
75,2014-01-21 01:00:00+00:00,0.03,8920
76,2014-01-22 01:00:00+00:00,0.03,8236
77,2014-01-23 01:00:00+00:00,0.03,8333
78,2014-01-24 01:00:00+00:00,0.034,8573
79,2014-01-25 01:00:00+00:00,0.033,8391
80,2014-01-26 01:00:00+00:00,0.032,10028
81,2014-01-27 01:00:00+00:00,0.03,8383
82,2014-01-28 01:00:00+00:00,0.03,9296
83,2014-01-29 01:00:00+00:00,0.03,9521
84,2014-01-30 01:00:00+00:00,0.03,8828
85,2014-01-31 01:00:00+00:00,0.032,10015
86,2014-02-01 01:00:00+00:00,0.032,11616
87,2014-02-02 01:00:00+00:00,0.032,11219
88,2014-02-03 01:00:00+00:00,0.03,11165
89,2014-02-04 01:00:00+00:00,0.032,9962
90,2014-02-05 01:00:00+00:00,0.03,9873
91,2014-02-06 01:00:00+00:00,0.033,11083
92,2014-02-07 01:00:00+00:00,0.03,14546
93,2014-02-08 01:00:00+00:00,0.031,15485
94,2014-02-09 01:00:00+00:00,0.03,13677
95,2014-02-10 01:00:00+00:00,0.031,9222
96,2014-02-11 01:00:00+00:00,0.032,10025
97,2014-02-12 01:00:00+00:00,0.03,11931
98,2014-02-13 01:00:00+00:00,0.035,31298
99,2014-02-14 01:00:00+00:00,0.03,20334
100,2014-02-15 01:00:00+00:00,0.035,18070
101,2014-02-16 01:00:00+00:00,0.034,18718
102,2014-02-17 01:00:00+00:00,0.033,12839
103,2014-02-18 01:00:00+00:00,0.035,16023
104,2014-02-19 01:00:00+00:00,0.034,13775
105,2014-02-20 01:00:00+00:00,0.032,21269
106,2014-02-21 01:00:00+00:00,0.03,23198
107,2014-02-22 01:00:00+00:00,0.03,16847
108,2014-02-23 01:00:00+00:00,0.03,17239
109,2014-02-24 01:00:00+00:00,0.03,11938
110,2014-02-25 01:00:00+00:00,0.03,11589
111,2014-02-26 01:00:00+00:00,0.032,11261
112,2014-02-27 01:00:00+00:00,0.034,11105
113,2014-02-28 01:00:00+00:00,0.038,16330
114,2014-03-01 01:00:00+00:00,0.035,19107
115,2014-03-02 01:00:00+00:00,0.034,20384
116,2014-03-03 01:00:00+00:00,0.035,16337
117,2014-03-04 01:00:00+00:00,0.035,13192
118,2014-03-05 01:00:00+00:00,0.036,13122
119,2014-03-06 01:00:00+00:00,0.043,20757
120,2014-03-07 01:00:00+00:00,0.044,16518
121,2014-03-08 01:00:00+00:00,0.043,12647
122,2014-03-09 01:00:00+00:00,0.04,11291
123,2014-03-10 01:00:00+00:00,0.044,8227
124,2014-03-11 01:00:00+00:00,0.043,7785
125,2014-03-12 01:00:00+00:00,0.044,7266
126,2014-03-13 01:00:00+00:00,0.048,8649
127,2014-03-14 01:00:00+00:00,0.042,8814
128,2014-03-15 01:00:00+00:00,0.044,14418
129,2014-03-16 01:00:00+00:00,0.042,10230
130,2014-03-17 01:00:00+00:00,0.043,7462
131,2014-03-18 01:00:00+00:00,0.045,7989
132,2014-03-19 01:00:00+00:00,0.046,7455
133,2014-03-20 01:00:00+00:00,0.046,7007
134,2014-03-21 01:00:00+00:00,0.046,9467
135,2014-03-22 01:00:00+00:00,0.043,11671
136,2014-03-23 01:00:00+00:00,0.047,9646
137,2014-03-24 01:00:00+00:00,0.053,14071
138,2014-03-25 01:00:00+00:00,0.051,8697
139,2014-03-26 01:00:00+00:00,0.051,13664
140,2014-03-27 01:00:00+00:00,0.055,18582
141,2014-03-28 01:00:00+00:00,0.061,13781
142,2014-03-29 01:00:00+00:00,0.062,16836
143,2014-03-30 01:00:00+00:00,0.067,22329
144,2014-03-31 01:00:00+00:00,0.078,25213
145,2014-04-01 01:00:00+00:00,0.128,36463
146,2014-04-02 01:00:00+00:00,0.194,16521
147,2014-04-03 01:00:00+00:00,0.174,9546
148,2014-04-04 01:00:00+00:00,0.139,8659
149,2014-04-05 01:00:00+00:00,0.123,8485
