,date,price,volume
60,2013-10-13 01:00:00+00:00,0.076,14770
61,2013-10-14 01:00:00+00:00,0.071,12187
62,2013-10-15 01:00:00+00:00,0.07,11889
63,2013-10-16 01:00:00+00:00,0.069,10790
64,2013-10-17 01:00:00+00:00,0.067,9877
65,2013-10-18 01:00:00+00:00,0.068,10334
66,2013-10-19 01:00:00+00:00,0.064,15193
67,2013-10-20 01:00:00+00:00,0.059,14808
68,2013-10-21 01:00:00+00:00,0.056,12062
69,2013-10-22 01:00:00+00:00,0.055,11340
70,2013-10-23 01:00:00+00:00,0.059,11228
71,2013-10-24 01:00:00+00:00,0.056,10935
72,2013-10-25 01:00:00+00:00,0.058,13441
73,2013-10-26 01:00:00+00:00,0.056,14676
74,2013-10-27 01:00:00+00:00,0.051,15780
75,2013-10-28 01:00:00+00:00,0.051,15302
76,2013-10-29 01:00:00+00:00,0.054,14086
77,2013-10-30 01:00:00+00:00,0.05,12583
78,2013-10-31 01:00:00+00:00,0.049,11972
79,2013-11-01 01:00:00+00:00,0.048,12800
80,2013-11-02 01:00:00+00:00,0.048,12554
81,2013-11-03 01:00:00+00:00,0.047,11238
82,2013-11-04 01:00:00+00:00,0.045,9521
83,2013-11-05 01:00:00+00:00,0.043,8790
84,2013-11-06 01:00:00+00:00,0.044,8782
85,2013-11-07 01:00:00+00:00,0.045,8957
86,2013-11-08 01:00:00+00:00,0.041,10462
87,2013-11-09 01:00:00+00:00,0.037,9737
88,2013-11-10 01:00:00+00:00,0.035,9451
89,2013-11-11 01:00:00+00:00,0.036,6829
90,2013-11-12 01:00:00+00:00,0.034,6810
91,2013-11-13 01:00:00+00:00,0.042,5980
92,2013-11-14 01:00:00+00:00,0.04,5769
93,2013-11-15 01:00:00+00:00,0.039,6075
94,2013-11-16 01:00:00+00:00,0.042,5795
95,2013-11-17 01:00:00+00:00,0.04,6339
96,2013-11-18 01:00:00+00:00,0.039,5066
97,2013-11-19 01:00:00+00:00,0.042,4549
98,2013-11-20 01:00:00+00:00,0.049,4848
99,2013-11-21 01:00:00+00:00,0.045,4574
100,2013-11-22 01:00:00+00:00,0.045,4626
101,2013-11-23 01:00:00+00:00,0.045,5248
102,2013-11-24 01:00:00+00:00,0.045,5043
103,2013-11-25 01:00:00+00:00,0.046,4352
104,2013-11-26 01:00:00+00:00,0.045,4127
105,2013-11-27 01:00:00+00:00,0.046,4425
106,2013-11-28 01:00:00+00:00,0.046,5342
107,2013-11-29 01:00:00+00:00,0.048,6440
108,2013-11-30 01:00:00+00:00,0.049,7459
109,2013-12-01 01:00:00+00:00,0.051,9233
110,2013-12-02 01:00:00+00:00,0.054,7226
111,2013-12-03 01:00:00+00:00,0.057,6638
112,2013-12-04 01:00:00+00:00,0.058,6155
113,2013-12-05 01:00:00+00:00,0.058,7281
114,2013-12-06 01:00:00+00:00,0.065,7747
115,2013-12-07 01:00:00+00:00,0.064,8182
116,2013-12-08 01:00:00+00:00,0.069,8168
117,2013-12-09 01:00:00+00:00,0.071,6918
118,2013-12-10 01:00:00+00:00,0.074,5959
119,2013-12-11 01:00:00+00:00,0.075,6509
