,date,price,volume
60,2019-02-04 01:00:00+00:00,0.448,46794
61,2019-02-05 01:00:00+00:00,0.472,44522
62,2019-02-06 01:00:00+00:00,0.474,39935
63,2019-02-07 01:00:00+00:00,0.478,44513
64,2019-02-08 01:00:00+00:00,0.482,47645
65,2019-02-09 01:00:00+00:00,0.462,52262
66,2019-02-10 01:00:00+00:00,0.429,49291
67,2019-02-11 01:00:00+00:00,0.397,40430
68,2019-02-12 01:00:00+00:00,0.371,40773
69,2019-02-13 01:00:00+00:00,0.403,35853
70,2019-02-14 01:00:00+00:00,0.408,36125
71,2019-02-15 01:00:00+00:00,0.414,41358
72,2019-02-16 01:00:00+00:00,0.398,47341
73,2019-02-17 01:00:00+00:00,0.377,47068
74,2019-02-18 01:00:00+00:00,0.372,39980
75,2019-02-19 01:00:00+00:00,0.384,37546
76,2019-02-20 01:00:00+00:00,0.389,35649
77,2019-02-21 01:00:00+00:00,0.394,36806
78,2019-02-22 01:00:00+00:00,0.392,44159
79,2019-02-23 01:00:00+00:00,0.387,52069
80,2019-02-24 01:00:00+00:00,0.378,50236
81,2019-02-25 01:00:00+00:00,0.367,39726
82,2019-02-26 01:00:00+00:00,0.368,40967
83,2019-02-27 01:00:00+00:00,0.37,38482
84,2019-02-28 01:00:00+00:00,0.383,39320
85,2019-03-01 01:00:00+00:00,0.391,47951
86,2019-03-02 01:00:00+00:00,0.373,54602
87,2019-03-03 01:00:00+00:00,0.346,56273
88,2019-03-04 01:00:00+00:00,0.321,42561
89,2019-03-05 01:00:00+00:00,0.298,41735
90,2019-03-06 01:00:00+00:00,0.293,41818
91,2019-03-07 01:00:00+00:00,0.299,37639
92,2019-03-08 01:00:00+00:00,0.307,54877
93,2019-03-09 01:00:00+00:00,0.318,57217
94,2019-03-10 01:00:00+00:00,0.318,52786
95,2019-03-11 01:00:00+00:00,0.321,42012
96,2019-03-12 01:00:00+00:00,0.332,39441
97,2019-03-13 01:00:00+00:00,0.343,39742
98,2019-03-14 01:00:00+00:00,0.323,59775
99,2019-03-15 01:00:00+00:00,0.313,57724
100,2019-03-16 01:00:00+00:00,0.315,70770
101,2019-03-17 01:00:00+00:00,0.324,70239
102,2019-03-18 01:00:00+00:00,0.343,54024
103,2019-03-19 01:00:00+00:00,0.345,47805
104,2019-03-20 01:00:00+00:00,0.348,48051
105,2019-03-21 01:00:00+00:00,0.355,49064
106,2019-03-22 01:00:00+00:00,0.354,54110
107,2019-03-23 01:00:00+00:00,0.323,61255
108,2019-03-24 01:00:00+00:00,0.293,59606
109,2019-03-25 01:00:00+00:00,0.267,49329
110,2019-03-26 01:00:00+00:00,0.264,47580
111,2019-03-27 01:00:00+00:00,0.252,45549
112,2019-03-28 01:00:00+00:00,0.25,45445
113,2019-03-29 01:00:00+00:00,0.252,54196
114,2019-03-30 01:00:00+00:00,0.245,56076
115,2019-03-31 01:00:00+00:00,0.219,51555
116,2019-04-01 01:00:00+00:00,0.201,47755
117,2019-04-02 01:00:00+00:00,0.181,43323
118,2019-04-03 01:00:00+00:00,0.191,43755
119,2019-04-04 01:00:00+00:00,0.202,44488
120,2019-04-05 01:00:00+00:00,0.212,50050
121,2019-04-06 01:00:00+00:00,0.21,51347
122,2019-04-07 01:00:00+00:00,0.204,54072
123,2019-04-08 01:00:00+00:00,0.196,44835
124,2019-04-09 01:00:00+00:00,0.199,43638
125,2019-04-10 01:00:00+00:00,0.214,42286
126,2019-04-11 01:00:00+00:00,0.228,41424
127,2019-04-12 01:00:00+00:00,0.239,47977
128,2019-04-13 01:00:00+00:00,0.225,49784
129,2019-04-14 01:00:00+00:00,0.205,50395
130,2019-04-15 01:00:00+00:00,0.196,42890
131,2019-04-16 01:00:00+00:00,0.209,40908
132,2019-04-17 01:00:00+00:00,0.209,39531
133,2019-04-18 01:00:00+00:00,0.213,42926
134,2019-04-19 01:00:00+00:00,0.217,45243
135,2019-04-20 01:00:00+00:00,0.216,47455
136,2019-04-21 01:00:00+00:00,0.209,48584
137,2019-04-22 01:00:00+00:00,0.201,42291
138,2019-04-23 01:00:00+00:00,0.188,40299
139,2019-04-24 01:00:00+00:00,0.182,37672
140,2019-04-25 01:00:00+00:00,0.18,37849
141,2019-04-26 01:00:00+00:00,0.179,39637
142,2019-04-27 01:00:00+00:00,0.174,45675
143,2019-04-28 01:00:00+00:00,0.166,44441
144,2019-04-29 01:00:00+00:00,0.151,34736
145,2019-04-30 01:00:00+00:00,0.139,38659
146,2019-05-01 01:00:00+00:00,0.13,42750
147,2019-05-02 01:00:00+00:00,0.119,40021
148,2019-05-03 01:00:00+00:00,0.118,41365
149,2019-05-04 01:00:00+00:00,0.116,44598
150,2019-05-05 01:00:00+00:00,0.108,44526
151,2019-05-06 01:00:00+00:00,0.101,34749
152,2019-05-07 01:00:00+00:00,0.098,36054
153,2019-05-08 01:00:00+00:00,0.095,37709
154,2019-05-09 01:00:00+00:00,0.098,36901
155,2019-05-10 01:00:00+00:00,0.113,48072
156,2019-05-11 01:00:00+00:00,0.128,47283
157,2019-05-12 01:00:00+00:00,0.128,42761
