,date,price,volume
60,2014-09-13 01:00:00+00:00,1.369,1548
61,2014-09-14 01:00:00+00:00,1.386,1462
62,2014-09-15 01:00:00+00:00,1.411,1316
63,2014-09-16 01:00:00+00:00,1.438,1178
64,2014-09-17 01:00:00+00:00,1.479,1382
65,2014-09-18 01:00:00+00:00,1.487,1115
66,2014-09-19 01:00:00+00:00,1.591,1460
67,2014-09-20 01:00:00+00:00,1.62,1309
68,2014-09-21 01:00:00+00:00,1.552,1156
69,2014-09-22 01:00:00+00:00,1.521,1024
70,2014-09-23 01:00:00+00:00,1.521,1069
71,2014-09-24 01:00:00+00:00,1.555,1011
72,2014-09-25 01:00:00+00:00,1.55,1116
73,2014-09-26 01:00:00+00:00,1.572,1365
74,2014-09-27 01:00:00+00:00,1.592,1207
75,2014-09-28 01:00:00+00:00,1.51,1173
76,2014-09-29 01:00:00+00:00,1.537,1000
77,2014-09-30 01:00:00+00:00,1.532,893
78,2014-10-01 01:00:00+00:00,1.577,1167
79,2014-10-02 01:00:00+00:00,1.601,1010
80,2014-10-03 01:00:00+00:00,1.542,1122
81,2014-10-04 01:00:00+00:00,1.56,1296
82,2014-10-05 01:00:00+00:00,1.533,1299
83,2014-10-06 01:00:00+00:00,1.597,1016
84,2014-10-07 01:00:00+00:00,1.565,941
85,2014-10-08 01:00:00+00:00,1.578,1092
86,2014-10-09 01:00:00+00:00,1.585,951
87,2014-10-10 01:00:00+00:00,1.615,1133
88,2014-10-11 01:00:00+00:00,1.608,1249
89,2014-10-12 01:00:00+00:00,1.595,1102
90,2014-10-13 01:00:00+00:00,1.63,1105
91,2014-10-14 01:00:00+00:00,1.663,1048
92,2014-10-15 01:00:00+00:00,1.691,961
93,2014-10-16 01:00:00+00:00,1.646,890
94,2014-10-17 01:00:00+00:00,1.67,965
95,2014-10-18 01:00:00+00:00,1.665,1178
96,2014-10-19 01:00:00+00:00,1.493,1015
97,2014-10-20 01:00:00+00:00,1.521,894
98,2014-10-21 01:00:00+00:00,1.574,902
99,2014-10-22 01:00:00+00:00,1.586,868
100,2014-10-23 01:00:00+00:00,1.616,882
101,2014-10-24 01:00:00+00:00,1.645,1053
102,2014-10-25 01:00:00+00:00,1.627,1169
103,2014-10-26 01:00:00+00:00,1.588,989
104,2014-10-27 01:00:00+00:00,1.577,874
105,2014-10-28 01:00:00+00:00,1.638,976
106,2014-10-29 01:00:00+00:00,1.676,1017
107,2014-10-30 01:00:00+00:00,1.671,920
108,2014-10-31 01:00:00+00:00,1.659,1039
109,2014-11-01 01:00:00+00:00,1.636,1080
110,2014-11-02 01:00:00+00:00,1.588,1232
111,2014-11-03 01:00:00+00:00,1.584,1099
112,2014-11-04 01:00:00+00:00,1.668,936
113,2014-11-05 01:00:00+00:00,1.584,766
114,2014-11-06 01:00:00+00:00,1.615,827
115,2014-11-07 01:00:00+00:00,1.627,1074
116,2014-11-08 01:00:00+00:00,1.625,1109
117,2014-11-09 01:00:00+00:00,1.63,1072
118,2014-11-10 01:00:00+00:00,1.641,1009
119,2014-11-11 01:00:00+00:00,1.649,1104
120,2014-11-12 01:00:00+00:00,1.281,1173
121,2014-11-13 01:00:00+00:00,1.145,829
122,2014-11-14 01:00:00+00:00,1.222,837
123,2014-11-15 01:00:00+00:00,1.233,824
124,2014-11-16 01:00:00+00:00,1.166,926
125,2014-11-17 01:00:00+00:00,1.177,714
126,2014-11-18 01:00:00+00:00,1.215,772
127,2014-11-19 01:00:00+00:00,1.242,723
128,2014-11-20 01:00:00+00:00,1.264,738
129,2014-11-21 01:00:00+00:00,1.235,824
130,2014-11-22 01:00:00+00:00,1.212,738
131,2014-11-23 01:00:00+00:00,1.174,887
132,2014-11-24 01:00:00+00:00,1.205,778
133,2014-11-25 01:00:00+00:00,1.201,730
134,2014-11-26 01:00:00+00:00,1.218,853
135,2014-11-27 01:00:00+00:00,1.215,1060
136,2014-11-28 01:00:00+00:00,1.242,1128
137,2014-11-29 01:00:00+00:00,1.216,1186
138,2014-11-30 01:00:00+00:00,1.167,1201
139,2014-12-01 01:00:00+00:00,1.2,916
140,2014-12-02 01:00:00+00:00,1.256,1062
141,2014-12-03 01:00:00+00:00,1.319,753
142,2014-12-04 01:00:00+00:00,1.336,748
143,2014-12-05 01:00:00+00:00,1.381,980
144,2014-12-06 01:00:00+00:00,1.446,1077
145,2014-12-07 01:00:00+00:00,1.375,825
146,2014-12-08 01:00:00+00:00,1.39,861
147,2014-12-09 01:00:00+00:00,1.447,921
148,2014-12-10 01:00:00+00:00,1.473,809
149,2014-12-11 01:00:00+00:00,1.486,928
150,2014-12-12 01:00:00+00:00,1.436,877
151,2014-12-13 01:00:00+00:00,1.342,1119
152,2014-12-14 01:00:00+00:00,1.302,966
153,2014-12-15 01:00:00+00:00,1.275,816
154,2014-12-16 01:00:00+00:00,1.276,927
155,2014-12-17 01:00:00+00:00,1.284,1087
156,2014-12-18 01:00:00+00:00,1.332,1018
157,2014-12-19 01:00:00+00:00,1.319,1129
158,2014-12-20 01:00:00+00:00,1.314,1120
159,2014-12-21 01:00:00+00:00,1.273,973
160,2014-12-22 01:00:00+00:00,1.207,932
161,2014-12-23 01:00:00+00:00,1.3,936
162,2014-12-24 01:00:00+00:00,1.427,1198
163,2014-12-25 01:00:00+00:00,1.503,1760
164,2014-12-26 01:00:00+00:00,1.537,1428
165,2014-12-27 01:00:00+00:00,1.545,1495
166,2014-12-28 01:00:00+00:00,1.527,1146
167,2014-12-29 01:00:00+00:00,1.582,1211
168,2014-12-30 01:00:00+00:00,1.658,1315
169,2014-12-31 01:00:00+00:00,1.671,1219
170,2015-01-01 01:00:00+00:00,1.678,1111
171,2015-01-02 01:00:00+00:00,1.638,1314
172,2015-01-03 01:00:00+00:00,1.692,1283
173,2015-01-04 01:00:00+00:00,1.648,1231
174,2015-01-05 01:00:00+00:00,1.659,1141
175,2015-01-06 01:00:00+00:00,1.701,1241
176,2015-01-07 01:00:00+00:00,1.734,1243
177,2015-01-08 01:00:00+00:00,1.761,1250
178,2015-01-09 01:00:00+00:00,1.747,1202
179,2015-01-10 01:00:00+00:00,1.78,1018
180,2015-01-11 01:00:00+00:00,1.699,858
181,2015-01-12 01:00:00+00:00,1.711,833
182,2015-01-13 01:00:00+00:00,1.758,838
183,2015-01-14 01:00:00+00:00,1.755,805
184,2015-01-15 01:00:00+00:00,1.73,851
185,2015-01-16 01:00:00+00:00,1.708,855
186,2015-01-17 01:00:00+00:00,1.706,1096
187,2015-01-18 01:00:00+00:00,1.711,696
188,2015-01-19 01:00:00+00:00,1.694,755
189,2015-01-20 01:00:00+00:00,1.801,658
190,2015-01-21 01:00:00+00:00,1.741,700
191,2015-01-22 01:00:00+00:00,1.697,752
192,2015-01-23 01:00:00+00:00,1.772,851
193,2015-01-24 01:00:00+00:00,1.782,870
194,2015-01-25 01:00:00+00:00,1.781,819
195,2015-01-26 01:00:00+00:00,1.762,545
196,2015-01-27 01:00:00+00:00,1.785,630
197,2015-01-28 01:00:00+00:00,1.751,601
198,2015-01-29 01:00:00+00:00,1.757,682
199,2015-01-30 01:00:00+00:00,1.803,687
200,2015-01-31 01:00:00+00:00,1.796,682
201,2015-02-01 01:00:00+00:00,1.802,669
202,2015-02-02 01:00:00+00:00,1.847,749
203,2015-02-03 01:00:00+00:00,1.844,712
204,2015-02-04 01:00:00+00:00,1.866,534
205,2015-02-05 01:00:00+00:00,1.922,630
206,2015-02-06 01:00:00+00:00,1.979,615
207,2015-02-07 01:00:00+00:00,1.975,806
208,2015-02-08 01:00:00+00:00,1.939,580
209,2015-02-09 01:00:00+00:00,1.982,604
210,2015-02-10 01:00:00+00:00,1.971,539
211,2015-02-11 01:00:00+00:00,1.981,500
212,2015-02-12 01:00:00+00:00,1.977,555
213,2015-02-13 01:00:00+00:00,1.946,581
214,2015-02-14 01:00:00+00:00,2.056,709
215,2015-02-15 01:00:00+00:00,2.058,596
216,2015-02-16 01:00:00+00:00,2.079,615
217,2015-02-17 01:00:00+00:00,2.121,557
218,2015-02-18 01:00:00+00:00,2.273,513
219,2015-02-19 01:00:00+00:00,2.271,559
220,2015-02-20 01:00:00+00:00,2.263,596
221,2015-02-21 01:00:00+00:00,2.244,675
222,2015-02-22 01:00:00+00:00,2.335,603
223,2015-02-23 01:00:00+00:00,2.389,503
224,2015-02-24 01:00:00+00:00,2.396,547
225,2015-02-25 01:00:00+00:00,2.53,495
226,2015-02-26 01:00:00+00:00,2.749,432
227,2015-02-27 01:00:00+00:00,2.911,505
228,2015-02-28 01:00:00+00:00,3.057,507
229,2015-03-01 01:00:00+00:00,3.325,530
230,2015-03-02 01:00:00+00:00,3.122,325
231,2015-03-03 01:00:00+00:00,2.886,350
