,date,price,volume
60,2014-09-09 01:00:00+00:00,0.174,37366
61,2014-09-10 01:00:00+00:00,0.173,39790
62,2014-09-11 01:00:00+00:00,0.162,43344
63,2014-09-12 01:00:00+00:00,0.159,48316
64,2014-09-13 01:00:00+00:00,0.151,53279
65,2014-09-14 01:00:00+00:00,0.13,43902
66,2014-09-15 01:00:00+00:00,0.12,38644
67,2014-09-16 01:00:00+00:00,0.115,38410
68,2014-09-17 01:00:00+00:00,0.114,37969
69,2014-09-18 01:00:00+00:00,0.115,37151
70,2014-09-19 01:00:00+00:00,0.115,43824
71,2014-09-20 01:00:00+00:00,0.113,52278
72,2014-09-21 01:00:00+00:00,0.103,40654
73,2014-09-22 01:00:00+00:00,0.099,35173
74,2014-09-23 01:00:00+00:00,0.096,33000
75,2014-09-24 01:00:00+00:00,0.09,34864
76,2014-09-25 01:00:00+00:00,0.095,40270
77,2014-09-26 01:00:00+00:00,0.098,42679
78,2014-09-27 01:00:00+00:00,0.093,48688
79,2014-09-28 01:00:00+00:00,0.088,47520
80,2014-09-29 01:00:00+00:00,0.088,39498
81,2014-09-30 01:00:00+00:00,0.09,40666
82,2014-10-01 01:00:00+00:00,0.098,46699
83,2014-10-02 01:00:00+00:00,0.097,42255
84,2014-10-03 01:00:00+00:00,0.095,48715
85,2014-10-04 01:00:00+00:00,0.097,54254
86,2014-10-05 01:00:00+00:00,0.092,48617
87,2014-10-06 01:00:00+00:00,0.092,41822
88,2014-10-07 01:00:00+00:00,0.096,40724
89,2014-10-08 01:00:00+00:00,0.096,39282
90,2014-10-09 01:00:00+00:00,0.095,39808
91,2014-10-10 01:00:00+00:00,0.098,48458
92,2014-10-11 01:00:00+00:00,0.096,52233
93,2014-10-12 01:00:00+00:00,0.091,49102
94,2014-10-13 01:00:00+00:00,0.09,41629
95,2014-10-14 01:00:00+00:00,0.089,38694
96,2014-10-15 01:00:00+00:00,0.089,38027
97,2014-10-16 01:00:00+00:00,0.089,38343
98,2014-10-17 01:00:00+00:00,0.088,42369
99,2014-10-18 01:00:00+00:00,0.082,47648
100,2014-10-19 01:00:00+00:00,0.074,45748
101,2014-10-20 01:00:00+00:00,0.072,38396
102,2014-10-21 01:00:00+00:00,0.072,36914
103,2014-10-22 01:00:00+00:00,0.072,37367
104,2014-10-23 01:00:00+00:00,0.07,39760
105,2014-10-24 01:00:00+00:00,0.073,48922
106,2014-10-25 01:00:00+00:00,0.069,52965
107,2014-10-26 01:00:00+00:00,0.064,47893
108,2014-10-27 01:00:00+00:00,0.064,38628
109,2014-10-28 01:00:00+00:00,0.064,40510
110,2014-10-29 01:00:00+00:00,0.065,38310
111,2014-10-30 01:00:00+00:00,0.063,40715
112,2014-10-31 01:00:00+00:00,0.064,47713
113,2014-11-01 01:00:00+00:00,0.062,53173
114,2014-11-02 01:00:00+00:00,0.055,51925
115,2014-11-03 01:00:00+00:00,0.055,40990
116,2014-11-04 01:00:00+00:00,0.055,41904
117,2014-11-05 01:00:00+00:00,0.055,39776
118,2014-11-06 01:00:00+00:00,0.053,39772
119,2014-11-07 01:00:00+00:00,0.053,48623
120,2014-11-08 01:00:00+00:00,0.052,50689
121,2014-11-09 01:00:00+00:00,0.048,46183
122,2014-11-10 01:00:00+00:00,0.048,37641
123,2014-11-11 01:00:00+00:00,0.05,41594
124,2014-11-12 01:00:00+00:00,0.039,47369
125,2014-11-13 01:00:00+00:00,0.034,35400
126,2014-11-14 01:00:00+00:00,0.036,36215
127,2014-11-15 01:00:00+00:00,0.037,42103
128,2014-11-16 01:00:00+00:00,0.034,40387
129,2014-11-17 01:00:00+00:00,0.035,30455
130,2014-11-18 01:00:00+00:00,0.035,31086
131,2014-11-19 01:00:00+00:00,0.035,29962
132,2014-11-20 01:00:00+00:00,0.03,28440
133,2014-11-21 01:00:00+00:00,0.033,30205
134,2014-11-22 01:00:00+00:00,0.03,33713
135,2014-11-23 01:00:00+00:00,0.03,35864
136,2014-11-24 01:00:00+00:00,0.03,27129
137,2014-11-25 01:00:00+00:00,0.03,25445
138,2014-11-26 01:00:00+00:00,0.03,27526
139,2014-11-27 01:00:00+00:00,0.03,31835
140,2014-11-28 01:00:00+00:00,0.03,37975
141,2014-11-29 01:00:00+00:00,0.03,37776
142,2014-11-30 01:00:00+00:00,0.03,40743
143,2014-12-01 01:00:00+00:00,0.03,31222
144,2014-12-02 01:00:00+00:00,0.03,38278
145,2014-12-03 01:00:00+00:00,0.03,31357
146,2014-12-04 01:00:00+00:00,0.03,36234
147,2014-12-05 01:00:00+00:00,0.03,39419
148,2014-12-06 01:00:00+00:00,0.03,49246
149,2014-12-07 01:00:00+00:00,0.03,45097
150,2014-12-08 01:00:00+00:00,0.03,35008
151,2014-12-09 01:00:00+00:00,0.03,36436
152,2014-12-10 01:00:00+00:00,0.03,40384
153,2014-12-11 01:00:00+00:00,0.03,40730
154,2014-12-12 01:00:00+00:00,0.03,44803
155,2014-12-13 01:00:00+00:00,0.03,46503
156,2014-12-14 01:00:00+00:00,0.03,44079
157,2014-12-15 01:00:00+00:00,0.03,38934
158,2014-12-16 01:00:00+00:00,0.03,44212
159,2014-12-17 01:00:00+00:00,0.03,42406
160,2014-12-18 01:00:00+00:00,0.03,39210
161,2014-12-19 01:00:00+00:00,0.03,39756
162,2014-12-20 01:00:00+00:00,0.03,42482
