,date,price,volume
60,2015-07-26 01:00:00+00:00,0.352,88813
61,2015-07-27 01:00:00+00:00,0.316,103875
62,2015-07-28 01:00:00+00:00,0.307,97101
63,2015-07-29 01:00:00+00:00,0.299,92316
64,2015-07-30 01:00:00+00:00,0.307,96834
65,2015-07-31 01:00:00+00:00,0.348,108927
66,2015-08-01 01:00:00+00:00,0.358,95078
67,2015-08-02 01:00:00+00:00,0.306,91564
68,2015-08-03 01:00:00+00:00,0.284,95515
69,2015-08-04 01:00:00+00:00,0.272,91247
70,2015-08-05 01:00:00+00:00,0.274,94559
71,2015-08-06 01:00:00+00:00,0.267,89206
72,2015-08-07 01:00:00+00:00,0.273,92977
73,2015-08-08 01:00:00+00:00,0.266,89999
74,2015-08-09 01:00:00+00:00,0.245,85698
75,2015-08-10 01:00:00+00:00,0.216,90144
76,2015-08-11 01:00:00+00:00,0.198,93700
77,2015-08-12 01:00:00+00:00,0.192,93987
78,2015-08-13 01:00:00+00:00,0.196,94668
79,2015-08-14 01:00:00+00:00,0.212,95926
80,2015-08-15 01:00:00+00:00,0.186,107392
81,2015-08-16 01:00:00+00:00,0.142,94355
82,2015-08-17 01:00:00+00:00,0.124,94719
83,2015-08-18 01:00:00+00:00,0.12,92902
84,2015-08-19 01:00:00+00:00,0.12,94208
85,2015-08-20 01:00:00+00:00,0.128,95266
86,2015-08-21 01:00:00+00:00,0.126,97712
87,2015-08-22 01:00:00+00:00,0.126,102824
88,2015-08-23 01:00:00+00:00,0.102,97922
89,2015-08-24 01:00:00+00:00,0.091,105612
90,2015-08-25 01:00:00+00:00,0.121,110140
91,2015-08-26 01:00:00+00:00,0.133,103046
92,2015-08-27 01:00:00+00:00,0.135,102380
93,2015-08-28 01:00:00+00:00,0.149,112332
94,2015-08-29 01:00:00+00:00,0.176,103173
95,2015-08-30 01:00:00+00:00,0.149,100753
96,2015-08-31 01:00:00+00:00,0.138,100005
97,2015-09-01 01:00:00+00:00,0.15,93967
98,2015-09-02 01:00:00+00:00,0.154,90824
99,2015-09-03 01:00:00+00:00,0.143,88379
100,2015-09-04 01:00:00+00:00,0.14,99686
101,2015-09-05 01:00:00+00:00,0.129,107917
102,2015-09-06 01:00:00+00:00,0.112,100440
103,2015-09-07 01:00:00+00:00,0.117,93582
104,2015-09-08 01:00:00+00:00,0.12,86269
105,2015-09-09 01:00:00+00:00,0.111,78349
106,2015-09-10 01:00:00+00:00,0.103,88888
107,2015-09-11 01:00:00+00:00,0.095,96229
108,2015-09-12 01:00:00+00:00,0.091,106656
109,2015-09-13 01:00:00+00:00,0.083,101426
110,2015-09-14 01:00:00+00:00,0.087,82644
111,2015-09-15 01:00:00+00:00,0.09,81870
112,2015-09-16 01:00:00+00:00,0.082,85056
113,2015-09-17 01:00:00+00:00,0.074,85305
114,2015-09-18 01:00:00+00:00,0.063,109215
115,2015-09-19 01:00:00+00:00,0.054,105859
116,2015-09-20 01:00:00+00:00,0.052,96598
117,2015-09-21 01:00:00+00:00,0.054,86040
118,2015-09-22 01:00:00+00:00,0.055,83062
119,2015-09-23 01:00:00+00:00,0.051,77472
120,2015-09-24 01:00:00+00:00,0.05,79853
121,2015-09-25 01:00:00+00:00,0.052,102577
122,2015-09-26 01:00:00+00:00,0.05,104839
123,2015-09-27 01:00:00+00:00,0.046,93172
124,2015-09-28 01:00:00+00:00,0.047,78549
125,2015-09-29 01:00:00+00:00,0.048,81172
126,2015-09-30 01:00:00+00:00,0.051,91321
127,2015-10-01 01:00:00+00:00,0.049,91428
128,2015-10-02 01:00:00+00:00,0.047,100124
129,2015-10-03 01:00:00+00:00,0.045,97981
130,2015-10-04 01:00:00+00:00,0.041,85599
131,2015-10-05 01:00:00+00:00,0.041,75874
132,2015-10-06 01:00:00+00:00,0.046,81593
133,2015-10-07 01:00:00+00:00,0.049,80463
134,2015-10-08 01:00:00+00:00,0.046,72166
135,2015-10-09 01:00:00+00:00,0.049,79450
136,2015-10-10 01:00:00+00:00,0.047,86550
137,2015-10-11 01:00:00+00:00,0.043,81700
138,2015-10-12 01:00:00+00:00,0.042,69623
139,2015-10-13 01:00:00+00:00,0.041,69558
140,2015-10-14 01:00:00+00:00,0.04,76388
141,2015-10-15 01:00:00+00:00,0.037,81177
142,2015-10-16 01:00:00+00:00,0.038,87412
143,2015-10-17 01:00:00+00:00,0.038,90400
144,2015-10-18 01:00:00+00:00,0.036,83198
145,2015-10-19 01:00:00+00:00,0.035,63275
146,2015-10-20 01:00:00+00:00,0.036,67642
147,2015-10-21 01:00:00+00:00,0.035,79216
148,2015-10-22 01:00:00+00:00,0.034,61035
149,2015-10-23 01:00:00+00:00,0.034,85948
150,2015-10-24 01:00:00+00:00,0.033,90674
151,2015-10-25 01:00:00+00:00,0.031,84307
152,2015-10-26 01:00:00+00:00,0.03,80866
153,2015-10-27 01:00:00+00:00,0.03,76739
154,2015-10-28 01:00:00+00:00,0.031,75171
155,2015-10-29 01:00:00+00:00,0.03,71919
156,2015-10-30 01:00:00+00:00,0.031,83506
157,2015-10-31 01:00:00+00:00,0.03,92003
158,2015-11-01 01:00:00+00:00,0.03,90762
159,2015-11-02 01:00:00+00:00,0.03,72583
160,2015-11-03 01:00:00+00:00,0.03,80708
161,2015-11-04 01:00:00+00:00,0.03,80672
162,2015-11-05 01:00:00+00:00,0.03,77878
163,2015-11-06 01:00:00+00:00,0.03,91638
164,2015-11-07 01:00:00+00:00,0.03,101122
165,2015-11-08 01:00:00+00:00,0.03,87359
166,2015-11-09 01:00:00+00:00,0.03,67044
167,2015-11-10 01:00:00+00:00,0.03,66497
168,2015-11-11 01:00:00+00:00,0.03,57794
169,2015-11-12 01:00:00+00:00,0.03,59442
170,2015-11-13 01:00:00+00:00,0.03,74915
171,2015-11-14 01:00:00+00:00,0.03,93851
172,2015-11-15 01:00:00+00:00,0.03,92485
173,2015-11-16 01:00:00+00:00,0.03,180085
174,2015-11-17 01:00:00+00:00,0.039,119117
175,2015-11-18 01:00:00+00:00,0.041,119436
176,2015-11-19 01:00:00+00:00,0.039,98560
177,2015-11-20 01:00:00+00:00,0.035,111129
178,2015-11-21 01:00:00+00:00,0.037,136254
179,2015-11-22 01:00:00+00:00,0.034,105301
180,2015-11-23 01:00:00+00:00,0.033,91119
181,2015-11-24 01:00:00+00:00,0.037,99560
182,2015-11-25 01:00:00+00:00,0.033,102396
183,2015-11-26 01:00:00+00:00,0.033,126978
184,2015-11-27 01:00:00+00:00,0.032,150935
185,2015-11-28 01:00:00+00:00,0.032,138611
186,2015-11-29 01:00:00+00:00,0.03,118702
187,2015-11-30 01:00:00+00:00,0.032,93213
188,2015-12-01 01:00:00+00:00,0.032,95871
189,2015-12-02 01:00:00+00:00,0.032,100124
190,2015-12-03 01:00:00+00:00,0.032,90110
191,2015-12-04 01:00:00+00:00,0.034,109695
192,2015-12-05 01:00:00+00:00,0.033,115929
193,2015-12-06 01:00:00+00:00,0.031,114117
194,2015-12-07 01:00:00+00:00,0.031,100432
195,2015-12-08 01:00:00+00:00,0.03,113490
196,2015-12-09 01:00:00+00:00,0.03,108660
197,2015-12-10 01:00:00+00:00,0.032,115215
198,2015-12-11 01:00:00+00:00,0.03,130647
199,2015-12-12 01:00:00+00:00,0.03,157384
200,2015-12-13 01:00:00+00:00,0.03,124283
201,2015-12-14 01:00:00+00:00,0.03,95921
202,2015-12-15 01:00:00+00:00,0.03,109591
203,2015-12-16 01:00:00+00:00,0.03,97183
204,2015-12-17 01:00:00+00:00,0.03,92691
205,2015-12-18 01:00:00+00:00,0.031,94467
206,2015-12-19 01:00:00+00:00,0.03,96145
207,2015-12-20 01:00:00+00:00,0.03,95879
208,2015-12-21 01:00:00+00:00,0.03,98129
209,2015-12-22 01:00:00+00:00,0.032,92803
210,2015-12-23 01:00:00+00:00,0.03,100225
211,2015-12-24 01:00:00+00:00,0.032,95746
212,2015-12-25 01:00:00+00:00,0.03,112897
213,2015-12-26 01:00:00+00:00,0.03,117559
214,2015-12-27 01:00:00+00:00,0.03,111112
215,2015-12-28 01:00:00+00:00,0.032,111929
216,2015-12-29 01:00:00+00:00,0.03,113493
217,2015-12-30 01:00:00+00:00,0.032,105696
218,2015-12-31 01:00:00+00:00,0.031,105319
219,2016-01-01 01:00:00+00:00,0.03,99687
220,2016-01-02 01:00:00+00:00,0.03,108747
221,2016-01-03 01:00:00+00:00,0.03,99751
222,2016-01-04 01:00:00+00:00,0.03,103069
223,2016-01-05 01:00:00+00:00,0.03,96728
224,2016-01-06 01:00:00+00:00,0.03,97061
225,2016-01-07 01:00:00+00:00,0.031,86742
226,2016-01-08 01:00:00+00:00,0.03,94864
227,2016-01-09 01:00:00+00:00,0.032,102333
228,2016-01-10 01:00:00+00:00,0.03,95867
229,2016-01-11 01:00:00+00:00,0.03,82159
230,2016-01-12 01:00:00+00:00,0.03,82213
231,2016-01-13 01:00:00+00:00,0.034,76695
232,2016-01-14 01:00:00+00:00,0.032,88092
233,2016-01-15 01:00:00+00:00,0.031,98024
234,2016-01-16 01:00:00+00:00,0.033,114434
235,2016-01-17 01:00:00+00:00,0.03,97426
236,2016-01-18 01:00:00+00:00,0.03,82633
237,2016-01-19 01:00:00+00:00,0.03,85161
238,2016-01-20 01:00:00+00:00,0.03,80430
239,2016-01-21 01:00:00+00:00,0.03,83759
240,2016-01-22 01:00:00+00:00,0.03,83547
241,2016-01-23 01:00:00+00:00,0.031,93623
242,2016-01-24 01:00:00+00:00,0.03,90243
243,2016-01-25 01:00:00+00:00,0.03,92618
244,2016-01-26 01:00:00+00:00,0.03,94448
245,2016-01-27 01:00:00+00:00,0.031,96211
246,2016-01-28 01:00:00+00:00,0.03,90452
247,2016-01-29 01:00:00+00:00,0.03,101987
248,2016-01-30 01:00:00+00:00,0.031,113502
249,2016-01-31 01:00:00+00:00,0.03,97450
250,2016-02-01 01:00:00+00:00,0.032,88242
251,2016-02-02 01:00:00+00:00,0.034,88073
252,2016-02-03 01:00:00+00:00,0.03,86785
253,2016-02-04 01:00:00+00:00,0.03,80470
254,2016-02-05 01:00:00+00:00,0.03,90553
255,2016-02-06 01:00:00+00:00,0.03,114025
256,2016-02-07 01:00:00+00:00,0.03,106613
257,2016-02-08 01:00:00+00:00,0.03,93829
258,2016-02-09 01:00:00+00:00,0.03,69734
259,2016-02-10 01:00:00+00:00,0.03,75316
260,2016-02-11 01:00:00+00:00,0.03,77908
261,2016-02-12 01:00:00+00:00,0.03,85579
262,2016-02-13 01:00:00+00:00,0.03,107804
263,2016-02-14 01:00:00+00:00,0.03,96877
264,2016-02-15 01:00:00+00:00,0.03,81065
265,2016-02-16 01:00:00+00:00,0.03,81854
266,2016-02-17 01:00:00+00:00,0.03,93675
267,2016-02-18 01:00:00+00:00,0.03,101187
268,2016-02-19 01:00:00+00:00,0.03,93034
269,2016-02-20 01:00:00+00:00,0.03,111091
270,2016-02-21 01:00:00+00:00,0.03,122078
271,2016-02-22 01:00:00+00:00,0.03,81280
272,2016-02-23 01:00:00+00:00,0.03,80309
273,2016-02-24 01:00:00+00:00,0.03,84103
274,2016-02-25 01:00:00+00:00,0.03,101440
275,2016-02-26 01:00:00+00:00,0.03,89670
276,2016-02-27 01:00:00+00:00,0.03,97264
277,2016-02-28 01:00:00+00:00,0.03,85630
278,2016-02-29 01:00:00+00:00,0.03,78273
279,2016-03-01 01:00:00+00:00,0.03,71753
280,2016-03-02 01:00:00+00:00,0.03,75868
281,2016-03-03 01:00:00+00:00,0.03,83543
282,2016-03-04 01:00:00+00:00,0.03,80327
283,2016-03-05 01:00:00+00:00,0.03,82633
284,2016-03-06 01:00:00+00:00,0.03,84905
285,2016-03-07 01:00:00+00:00,0.03,61947
286,2016-03-08 01:00:00+00:00,0.03,66541
287,2016-03-09 01:00:00+00:00,0.03,52752
288,2016-03-10 01:00:00+00:00,0.03,35097
289,2016-03-11 01:00:00+00:00,0.03,45806
290,2016-03-12 01:00:00+00:00,0.031,48877
291,2016-03-13 01:00:00+00:00,0.03,48854
292,2016-03-14 01:00:00+00:00,0.032,46037
293,2016-03-15 01:00:00+00:00,0.03,54415
294,2016-03-16 01:00:00+00:00,0.032,50647
295,2016-03-17 01:00:00+00:00,0.032,47092
296,2016-03-18 01:00:00+00:00,0.032,59298
297,2016-03-19 01:00:00+00:00,0.033,70947
298,2016-03-20 01:00:00+00:00,0.032,52269
299,2016-03-21 01:00:00+00:00,0.031,46222
300,2016-03-22 01:00:00+00:00,0.034,47088
301,2016-03-23 01:00:00+00:00,0.034,58477
302,2016-03-24 01:00:00+00:00,0.036,52524
303,2016-03-25 01:00:00+00:00,0.035,60446
304,2016-03-26 01:00:00+00:00,0.036,57810
305,2016-03-27 01:00:00+00:00,0.031,73459
306,2016-03-28 01:00:00+00:00,0.033,55592
